dates,satname,nzd0037-0000,nzd0037-0001,nzd0037-0002,nzd0037-0003,nzd0037-0004,nzd0037-0005,nzd0037-0006,nzd0037-0007,nzd0037-0008,nzd0037-0009,nzd0037-0010,nzd0037-0011
1999-07-25 22:04:15+00:00,L7,342.54,340.74,341.97,334.29,325.00,338.00,343.40,364.59,391.27,320.96,331.20,345.30
1999-08-26 22:04:21+00:00,L7,345.49,338.80,338.29,321.84,316.57,316.14,335.07,349.77,376.27,314.57,328.55,329.78
1999-09-27 22:04:25+00:00,L7,337.33,333.51,324.82,316.13,312.25,308.11,329.65,337.11,333.06,314.53,324.65,326.53
1999-10-04 22:10:38+00:00,L7,389.70,374.32,354.57,369.89,361.86,367.90,364.76,,399.41,338.84,351.84,373.28
1999-10-13 22:04:24+00:00,L7,344.30,335.19,335.62,323.87,320.41,323.93,341.27,343.75,342.72,319.33,329.96,331.23
1999-11-14 22:04:18+00:00,L7,351.92,344.35,340.25,332.78,324.19,326.59,341.04,358.29,391.02,322.28,333.74,338.61
2000-02-09 22:10:19+00:00,L7,358.85,348.74,342.69,338.19,324.26,326.56,338.77,350.87,356.45,328.64,337.53,341.25
2000-04-13 22:09:54+00:00,L7,397.05,387.40,389.62,389.88,351.16,360.38,380.75,409.96,397.59,351.72,361.28,370.78
2000-04-29 22:09:53+00:00,L7,404.44,391.05,389.92,375.26,367.70,362.43,373.60,406.34,407.06,354.04,361.75,367.69
2000-05-24 22:03:22+00:00,L7,361.74,353.05,350.45,342.82,330.24,335.10,343.22,367.12,391.22,332.51,344.16,341.79
2000-08-03 22:08:44+00:00,L7,323.09,315.52,310.06,299.68,300.34,293.21,326.18,337.20,326.08,313.07,327.89,326.08
2000-08-12 22:02:30+00:00,L7,341.07,343.71,330.29,329.19,316.05,330.77,343.28,364.89,383.87,323.63,333.51,346.28
2000-08-19 22:08:38+00:00,L7,204.95,,187.31,,,,202.33,296.89,292.68,292.64,315.21,314.24
2000-09-04 22:08:22+00:00,L7,325.98,321.53,325.55,317.87,308.98,306.80,325.87,,380.84,310.18,321.05,325.28
2001-01-03 22:01:48+00:00,L7,365.40,357.73,349.72,353.01,337.52,343.12,364.11,379.74,406.24,340.99,360.34,365.27
