,dates,usa_HI_0024-0000,usa_HI_0024-0001,usa_HI_0024-0002,usa_HI_0024-0003,usa_HI_0024-0004,usa_HI_0024-0005,usa_HI_0024-0006,usa_HI_0024-0007,usa_HI_0024-0008,usa_HI_0024-0009,usa_HI_0024-0010,usa_HI_0024-0011,usa_HI_0024-0012,usa_HI_0024-0013,usa_HI_0024-0014
0,1990-09-11 20:20:05+00:00,194.70871555340085,170.3005983853419,170.3141071506146,168.72075914414611,177.11777931689636,191.0051280906027,167.48732545804742,166.29394987364367,175.25572499379086,170.99862477502663,161.96357216423942,170.51983277052622,,,
1,1991-10-09 20:18:07+00:00,203.78356667715542,184.30297580220076,192.42768105836888,168.34043810988743,176.9713188766464,192.9063777302603,172.5627699528283,174.08190458679124,179.94959960307924,181.021415963515,181.12056393997548,187.48347582578833,171.3410227357132,183.50148157567978,177.82205252999273
2,1991-10-25 20:18:11+00:00,,,,,,,159.24776411740177,165.47743989427843,166.94023380485172,167.7420137372636,160.24076414436146,173.55813828524163,157.43854687540198,168.53684772077563,151.95590105086063
3,1991-12-12 20:18:31+00:00,195.66463080295844,173.9609976691819,176.10409203591408,165.36992163844994,174.45428202203072,175.54831399446238,167.85647625937702,167.12966484910197,173.35201285498172,169.82022405957022,160.18285000810977,177.58841129705067,164.83473749115228,169.64570092597748,174.8062417599384
4,1999-07-03 20:46:48+00:00,211.20476182935855,192.9806889760499,196.26831034493242,182.53642479753228,191.18985040485765,205.7142976813169,,190.1577753762225,196.71753862353097,184.17140091587402,179.0549239632257,199.42063929356848,182.8762382404631,193.7627928378056,190.58114696956713
5,1999-07-10 20:53:01+00:00,,,,,,,,,,,,,,,
6,1999-07-26 20:53:05+00:00,196.26154447132717,179.1486057067342,185.5064093957879,170.9677783433683,188.96738090390878,206.62962336329738,176.10703007184958,170.3586412658676,180.04487045819366,176.6982594090284,178.36897451751815,186.3159100581117,169.87454111638766,180.63215506264024,186.3131924172552
7,1999-08-11 20:53:07+00:00,199.41545826173973,180.7809852424559,180.82617311977924,169.58208020647277,189.2036887005074,199.53097783175377,183.38990947694637,179.85475362032145,183.62136113636902,171.15082721021545,170.80580687853111,182.9198386946158,181.7557643983623,164.99432124661251,162.56316927382562
8,1999-08-20 20:46:55+00:00,213.184248388193,187.0692276155552,191.30187269978617,187.55898502957783,214.40840187990128,218.5047609310986,182.65496814923796,178.83769350286988,195.32362267499826,193.83889354694313,181.95028003188386,195.3335557780396,177.4030003697591,188.45741299773826,195.91027520317215
9,1999-09-05 20:46:59+00:00,207.54500261205482,181.70942042449178,189.89392253198525,191.87007151210688,197.5708131360583,200.58861437396084,175.3493410162539,178.311262513211,194.34109332057628,190.09435701238706,179.45615625065133,173.95147794322955,166.19305053591452,180.80644096326625,
10,1999-10-14 20:53:13+00:00,201.79087088831622,184.22827865484527,185.7201439570142,181.47064503642986,183.7289069688747,193.17322143883442,173.26089344204806,174.72845140158842,180.30251060016232,182.73667166770184,182.1832986860245,188.99641828446775,175.91365714143464,184.58825461547704,191.06593762251015
11,1999-10-30 20:53:07+00:00,204.19091867621916,186.77029296359802,188.36885258201664,185.43481117641352,189.8478500118153,197.78486572809902,178.75975781261567,183.07378605937606,184.91751183344098,192.51501791850507,189.29937299647358,195.3724425840951,173.8487974823847,185.0975941204832,187.27230745385668
