dates,nzd0393-0000,nzd0393-0001,nzd0393-0002,nzd0393-0003,nzd0393-0004,nzd0393-0005,nzd0393-0006,nzd0393-0007,nzd0393-0008,nzd0393-0009,nzd0393-0010,nzd0393-0011,nzd0393-0012,nzd0393-0013,nzd0393-0014,nzd0393-0015,nzd0393-0016,nzd0393-0017,nzd0393-0018,nzd0393-0019,nzd0393-0020,nzd0393-0021,nzd0393-0022,nzd0393-0023,nzd0393-0024,nzd0393-0025,nzd0393-0026,nzd0393-0027,nzd0393-0028,nzd0393-0029,nzd0393-0030,nzd0393-0031,nzd0393-0032,nzd0393-0033,nzd0393-0034,nzd0393-0035,nzd0393-0036,nzd0393-0037,nzd0393-0038,nzd0393-0039,nzd0393-0040,nzd0393-0041,nzd0393-0042,nzd0393-0043,nzd0393-0044,nzd0393-0045,nzd0393-0046,nzd0393-0047,nzd0393-0048,nzd0393-0049,nzd0393-0050,nzd0393-0051,nzd0393-0052,nzd0393-0053,nzd0393-0054,nzd0393-0055,nzd0393-0056,nzd0393-0057,nzd0393-0058,nzd0393-0059,nzd0393-0060,nzd0393-0061,nzd0393-0062,nzd0393-0063,nzd0393-0064,nzd0393-0065,nzd0393-0066,nzd0393-0067,nzd0393-0068,nzd0393-0069,nzd0393-0070,nzd0393-0071,nzd0393-0072,nzd0393-0073,nzd0393-0074,nzd0393-0075,nzd0393-0076,nzd0393-0077,nzd0393-0078,nzd0393-0079,nzd0393-0080,nzd0393-0081,nzd0393-0082,nzd0393-0083,nzd0393-0084,nzd0393-0085,nzd0393-0086,nzd0393-0087,nzd0393-0088,nzd0393-0089,nzd0393-0090,nzd0393-0091,nzd0393-0092,nzd0393-0093,nzd0393-0094,nzd0393-0095,nzd0393-0096,nzd0393-0097,nzd0393-0098,nzd0393-0099,nzd0393-0100,nzd0393-0101,nzd0393-0102,satname
1999-07-18 22:00:01+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-09-04 22:00:09+00:00,347.96,322.87,310.52,310.08,328.65,323.88,316.57,318.63,334.62,353.47,367.26,360.78,349.25,355.55,347.33,363.81,361.38,358.01,353.34,362.81,361.64,359.35,342.45,347.98,339.82,341.01,330.23,324.32,318.50,325.51,331.75,333.03,332.19,340.38,342.00,337.36,330.09,329.69,327.78,330.06,329.96,328.58,328.06,327.38,331.56,337.30,337.58,338.91,345.04,346.39,336.06,347.07,347.45,344.94,340.74,341.30,339.94,335.91,337.29,341.43,332.68,336.77,339.99,341.92,343.32,341.83,341.03,342.92,345.05,347.17,344.38,342.45,343.33,347.29,355.23,358.31,357.50,355.38,352.14,354.58,354.22,353.55,352.84,342.34,341.31,345.65,347.97,348.19,347.49,342.96,341.91,348.59,346.70,345.76,345.87,342.47,338.86,336.42,342.75,336.67,331.73,335.38,335.23,L7
1999-10-22 22:00:04+00:00,348.48,323.22,312.83,316.78,327.25,325.49,315.25,317.66,331.97,352.05,368.20,362.57,350.32,358.12,354.77,363.48,363.42,361.19,362.39,359.69,355.81,355.43,351.12,352.33,347.32,348.02,342.84,334.46,325.96,332.15,334.61,336.77,338.29,342.85,347.97,340.64,336.30,335.03,333.10,334.09,331.81,333.09,335.09,334.12,337.77,342.21,341.72,339.68,341.77,343.14,340.56,347.61,348.34,348.31,346.96,346.90,344.85,340.12,341.06,343.81,341.35,344.73,346.66,347.84,349.47,348.12,348.86,349.88,347.59,351.91,351.57,351.34,351.00,351.59,356.76,360.62,362.42,361.19,357.17,357.07,356.32,356.64,357.56,350.80,351.94,354.07,353.69,354.68,353.06,349.85,345.90,348.31,348.50,348.26,348.90,349.07,343.23,340.10,344.64,339.11,336.93,341.37,337.58,L7
1999-12-09 22:00:33+00:00,350.42,328.24,317.50,321.40,332.15,331.06,319.87,320.37,335.88,354.62,372.76,367.47,354.96,361.14,360.16,366.69,365.18,362.37,364.48,363.89,359.30,357.89,354.61,352.96,348.98,352.02,343.20,334.17,326.58,331.61,334.01,337.62,339.97,345.13,349.62,341.99,336.70,335.89,333.61,333.63,332.01,333.48,334.47,333.92,337.75,341.92,342.01,342.39,345.02,342.60,345.42,351.07,350.47,349.54,347.34,347.23,344.76,340.49,340.81,342.35,341.49,344.09,346.56,347.79,347.70,346.33,347.03,348.70,346.36,350.00,348.33,349.38,349.31,352.66,357.24,359.51,361.03,359.78,357.03,355.76,354.22,353.99,352.94,348.55,350.09,350.59,350.98,351.75,350.32,348.49,344.76,345.38,346.91,347.13,347.96,348.10,343.03,340.03,343.91,337.94,336.59,344.80,343.24,L7
1999-12-25 22:00:04+00:00,347.97,327.56,316.45,320.62,330.27,330.75,318.87,319.87,336.44,355.02,371.82,367.03,352.80,359.21,356.37,362.79,360.50,359.01,361.36,360.81,355.73,355.73,351.28,348.72,346.49,350.27,340.99,332.14,324.65,328.78,331.85,335.49,338.92,343.65,347.36,340.10,334.46,333.59,330.80,331.44,329.75,330.70,331.36,332.31,336.13,338.19,338.87,340.32,343.30,336.12,337.44,344.89,349.61,346.64,345.38,344.73,341.82,338.58,338.33,339.10,338.42,341.16,342.59,344.05,343.88,342.78,343.32,345.93,343.44,346.31,344.62,346.01,345.46,348.89,354.76,354.70,357.80,356.37,354.22,353.36,349.39,348.62,348.17,344.23,345.19,343.78,344.50,345.17,345.08,344.90,341.13,342.70,343.21,343.61,343.89,344.86,338.92,338.05,340.38,336.85,337.41,344.48,342.25,L7
2000-01-26 22:00:02+00:00,347.25,326.48,316.23,318.97,329.88,330.39,319.61,321.20,338.25,356.23,372.60,368.26,353.06,357.15,355.23,360.55,358.47,358.47,361.04,360.17,355.55,354.86,347.61,344.63,344.35,349.79,341.12,332.29,323.40,327.62,330.14,334.66,338.38,342.62,345.82,339.54,333.21,331.88,330.24,329.77,328.59,330.86,330.65,331.48,333.70,335.47,336.16,338.44,342.80,335.00,335.64,343.43,346.64,344.37,344.26,344.41,341.65,338.51,337.75,337.45,337.00,339.60,340.85,341.70,341.60,342.08,341.85,343.74,340.96,342.49,342.62,344.03,343.38,347.43,352.16,352.09,354.91,353.78,352.37,351.37,347.64,346.03,346.78,342.82,342.50,342.20,342.15,343.83,343.74,343.49,339.32,340.34,341.65,340.43,341.60,342.48,337.12,335.47,338.64,336.94,338.50,345.16,342.16,L7
2000-02-11 21:59:57+00:00,348.08,328.22,317.66,321.39,332.44,332.19,322.06,323.70,341.03,358.45,374.81,369.12,354.46,358.66,356.45,361.39,359.31,358.79,360.84,360.33,356.46,355.00,347.56,342.77,343.70,349.89,341.71,333.38,324.70,328.26,331.16,336.14,339.31,343.28,346.96,340.23,334.69,333.08,331.58,330.44,329.81,331.87,331.76,331.36,333.74,335.67,337.04,339.83,343.52,335.73,338.29,344.50,346.81,345.43,345.05,344.94,342.71,340.03,338.86,338.81,338.14,339.58,341.04,341.95,341.59,342.30,341.83,344.57,341.48,343.15,342.24,344.22,343.44,347.55,352.11,351.94,354.52,352.79,351.35,351.03,347.93,345.86,346.27,343.19,341.92,342.11,342.20,344.40,344.60,343.82,340.18,340.39,341.01,340.26,341.36,343.05,337.35,335.38,338.84,336.50,339.37,345.34,342.13,L7
2000-02-27 21:59:52+00:00,347.20,327.77,317.18,321.46,332.94,332.66,321.83,323.57,340.98,358.58,374.63,368.87,354.13,358.33,356.38,361.35,358.76,358.40,360.30,360.12,356.96,354.75,346.40,341.80,344.22,349.86,341.84,333.18,324.28,328.08,331.34,336.75,339.30,342.18,346.31,340.22,334.15,332.82,331.70,330.11,330.00,331.59,331.31,330.92,333.07,334.66,336.01,339.56,343.19,336.75,340.05,344.67,347.20,346.73,345.15,344.24,342.17,339.50,338.70,337.78,337.28,338.87,339.59,340.69,340.61,341.85,340.92,344.19,341.26,342.33,341.07,343.19,342.80,346.97,351.75,352.24,354.16,352.32,350.58,350.57,347.52,345.48,345.35,342.35,341.38,342.12,342.65,344.61,344.09,342.58,339.14,340.13,340.38,339.79,340.45,342.38,335.92,334.43,338.30,336.68,339.91,346.52,342.91,L7
2000-03-30 22:00:09+00:00,347.16,328.41,317.83,322.30,333.02,334.07,322.44,323.86,340.88,359.09,374.93,370.07,356.08,359.55,359.00,362.53,359.83,359.03,362.58,360.41,356.77,354.16,346.97,341.84,345.76,351.29,344.10,335.69,326.45,328.97,331.60,336.98,339.60,342.47,346.94,341.19,334.97,333.50,332.61,330.86,330.67,332.97,332.82,332.11,334.54,336.77,338.12,342.46,344.11,337.24,342.95,346.56,348.86,348.00,347.25,346.02,343.76,341.29,339.98,337.85,338.98,340.14,340.11,341.17,340.95,341.68,341.44,344.53,341.44,342.78,341.80,343.98,343.68,347.56,351.49,351.24,354.01,353.21,351.92,350.87,347.93,345.91,345.35,344.41,343.64,343.71,343.89,345.64,345.11,343.82,340.35,339.99,340.12,340.06,340.49,343.04,336.27,335.03,338.27,337.90,342.38,350.72,346.41,L7
2000-04-15 21:59:31+00:00,346.76,327.47,316.78,320.75,331.75,333.05,321.35,322.26,339.58,358.22,372.79,369.15,355.94,359.54,359.27,362.76,360.00,357.82,361.64,357.87,355.36,352.38,346.00,339.95,344.90,349.21,343.62,335.54,326.43,329.58,331.78,335.80,338.68,341.75,345.88,340.30,334.34,332.81,331.56,329.43,329.37,331.74,331.14,331.00,334.07,336.77,338.85,343.13,344.40,337.13,343.34,347.49,349.28,347.45,347.31,345.83,344.06,341.50,339.63,337.98,339.49,340.71,340.32,340.79,341.15,341.50,341.61,343.84,340.84,342.43,341.27,343.70,343.37,347.59,351.00,351.64,354.12,352.92,351.32,350.13,347.75,346.27,345.20,344.53,344.16,343.84,344.69,346.19,345.45,343.69,340.47,339.92,339.75,339.13,339.68,341.78,336.40,334.73,338.42,338.05,342.77,350.95,346.72,L7
