dates,satname,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075
1999-08-17 22:12:26+00:00,L7,,388.16,388.68,390.06,422.41,434.50,,,,,,,,,,,,,,,,,,,,,346.28,349.77,349.65,349.69,352.91,362.23,364.84,371.28,374.50,379.48,378.46,383.98,380.50,383.27,378.74,374.25,375.93,373.88,374.75,374.79,375.39,377.18,373.66,378.24,378.96,383.64,382.16,380.80,370.67,373.32,368.86,368.41,363.64,357.40,348.41,342.84,340.52,340.76,340.05,336.14,334.03,330.91,329.97,335.39,335.96,340.32,327.61,295.62,343.39,335.06
1999-08-26 22:06:44+00:00,L7,371.66,360.36,361.74,367.83,396.74,412.03,413.78,406.44,396.75,387.63,386.43,379.34,381.70,375.38,365.71,361.02,357.32,349.81,345.34,,,,331.78,334.95,331.99,333.67,328.62,331.84,330.33,341.16,346.36,349.17,352.36,360.70,365.01,369.18,370.43,369.08,368.62,368.83,363.48,362.65,359.83,359.72,361.25,356.32,362.42,359.76,361.48,365.61,370.90,370.18,370.69,363.64,364.46,362.30,355.21,350.82,348.05,343.51,338.60,334.75,330.37,330.76,328.05,328.19,323.12,319.92,315.62,322.02,322.51,322.15,314.04,296.20,321.70,303.83
1999-09-18 22:12:27+00:00,L7,378.52,372.70,373.01,372.53,392.40,407.03,400.24,405.23,401.16,398.49,395.91,398.58,392.01,384.69,382.19,379.51,379.01,369.70,354.28,,,342.96,339.50,336.75,335.30,332.00,337.84,340.32,342.44,346.56,352.70,358.37,360.14,364.14,367.44,379.22,374.07,375.81,376.29,376.54,376.88,371.89,374.19,369.90,367.27,368.11,367.83,370.35,369.75,374.21,378.21,375.27,375.03,371.11,371.39,369.15,363.47,359.27,351.66,347.67,347.78,343.18,335.75,335.50,327.88,331.92,327.40,321.78,325.13,333.61,337.86,334.79,335.59,323.44,341.40,327.67
1999-10-13 22:06:48+00:00,L7,379.92,374.97,376.89,377.07,393.56,414.66,410.25,406.46,403.57,395.90,393.11,398.77,404.30,400.95,389.52,377.61,365.24,364.71,364.78,,,,350.94,344.41,341.78,345.95,347.32,345.09,349.66,354.53,359.16,362.34,365.63,370.23,375.56,377.66,379.75,375.92,381.70,377.29,380.13,375.88,367.67,369.18,375.21,375.58,374.00,376.42,376.73,379.17,380.66,379.42,377.25,381.19,376.14,369.45,364.15,359.78,360.24,352.19,347.37,343.60,339.53,336.93,333.46,334.12,328.58,331.55,331.99,337.71,337.19,337.76,331.09,328.01,343.46,336.74
1999-11-05 22:12:28+00:00,L7,349.74,347.92,353.22,358.95,370.85,392.06,393.08,397.53,388.03,381.81,380.26,383.17,384.97,385.45,375.52,366.97,354.77,354.69,350.62,,,,326.17,329.75,328.90,327.69,332.73,332.62,334.92,337.75,344.87,355.29,355.21,363.03,365.78,370.49,371.03,363.66,368.45,365.36,366.39,363.19,361.12,363.29,365.94,369.84,365.87,369.69,367.23,369.33,370.85,369.90,371.49,366.39,361.70,358.00,355.05,354.53,352.81,348.56,344.51,339.12,336.86,331.41,323.30,323.98,327.02,319.38,319.66,324.80,331.53,324.99,324.80,327.39,339.10,335.45
1999-12-07 22:12:29+00:00,L7,338.83,342.63,348.66,356.29,364.41,377.48,376.05,374.02,367.46,368.76,364.09,368.65,378.82,378.97,375.02,370.81,351.70,338.86,332.74,326.98,323.82,322.87,325.93,321.30,326.90,321.60,331.10,328.54,328.21,338.98,339.91,344.68,348.81,349.72,358.09,359.20,359.96,358.88,357.01,364.88,369.14,365.40,359.96,361.18,356.84,355.65,356.72,356.59,359.57,364.95,364.34,366.68,362.46,360.21,361.20,358.17,356.09,349.26,345.17,336.98,331.78,325.32,323.76,323.21,318.40,321.84,323.34,317.82,317.09,318.30,324.12,317.95,314.99,321.08,336.45,326.57
2000-01-17 22:06:35+00:00,L7,340.48,337.90,342.65,361.46,397.72,409.33,401.67,390.49,384.65,381.57,384.89,392.12,394.91,391.35,386.04,371.81,371.41,364.18,363.32,358.93,351.07,346.00,342.22,343.12,341.91,339.50,338.37,340.61,338.64,346.39,348.03,353.98,357.98,363.08,366.71,370.86,373.26,371.51,374.76,372.08,374.37,373.15,372.35,373.11,369.96,365.62,369.25,372.44,373.55,375.82,376.05,377.68,372.94,375.48,369.43,369.33,363.76,357.65,349.35,347.33,344.65,336.08,335.70,338.10,331.92,329.81,330.57,325.25,323.08,324.24,331.38,330.88,332.99,329.47,345.69,339.70
2000-01-24 22:12:23+00:00,L7,364.26,355.99,354.09,366.24,403.01,427.17,425.40,412.33,405.06,402.88,404.39,410.35,414.25,418.72,414.30,411.03,400.00,384.52,379.67,,,367.44,359.41,355.46,353.93,354.41,355.36,357.33,358.28,363.56,367.22,369.27,370.46,373.44,378.41,386.86,387.85,389.11,388.70,389.14,386.89,385.38,381.97,379.31,377.41,371.69,371.11,374.32,373.79,378.77,382.62,390.80,386.23,385.55,386.59,381.91,372.45,368.43,361.27,356.90,351.36,340.16,341.38,337.26,332.78,333.14,328.09,328.98,331.44,334.74,334.84,339.87,338.71,332.40,342.97,335.79
2000-03-21 22:06:25+00:00,L7,339.93,336.59,338.56,341.06,365.82,380.23,378.14,378.55,385.67,388.32,386.32,389.60,391.59,388.07,377.82,365.55,361.21,358.72,354.68,353.24,347.18,342.72,341.46,334.64,333.00,332.37,335.37,329.03,331.54,340.81,345.69,346.18,349.03,357.66,362.54,366.60,369.91,367.80,368.85,368.62,363.93,363.47,359.37,361.16,356.01,355.14,359.32,362.90,365.06,369.88,367.38,368.88,365.44,367.80,366.34,359.50,355.63,348.67,341.24,335.61,330.99,324.26,319.31,315.63,317.01,319.77,323.04,314.77,316.73,313.50,317.66,315.65,304.63,302.68,318.26,305.60
2000-04-13 22:11:54+00:00,L7,353.96,349.73,346.17,351.39,368.05,386.55,380.92,381.74,389.84,399.50,403.38,405.95,410.70,409.04,394.41,382.38,374.88,370.19,363.80,364.28,364.78,362.81,360.41,353.09,354.25,350.57,349.19,345.11,348.02,349.16,353.86,351.71,357.93,363.27,373.82,378.84,378.32,377.39,378.31,382.45,382.49,374.16,371.53,369.97,368.85,365.74,367.41,373.77,375.70,380.11,378.92,380.55,380.20,380.68,374.76,373.48,365.96,359.25,352.74,344.88,345.17,341.00,337.52,337.17,330.74,332.03,329.36,323.97,324.13,323.42,332.58,334.35,334.02,300.73,341.10,314.90
2000-05-31 22:11:30+00:00,L7,,,,323.60,335.32,351.38,347.42,347.54,348.31,353.31,361.46,369.23,380.24,377.89,368.74,359.57,351.42,349.20,343.75,345.40,,,332.10,327.27,323.01,320.85,317.54,317.68,320.01,323.82,333.48,333.23,340.10,343.18,346.43,357.40,351.51,353.80,343.64,346.31,347.55,345.51,340.29,337.08,343.46,344.22,341.48,350.73,353.99,354.62,356.23,359.63,356.07,352.19,350.61,349.66,344.51,340.05,329.22,326.06,323.21,316.84,312.63,311.43,309.76,306.68,304.85,301.68,298.74,309.49,309.20,305.02,259.97,310.22,317.57,302.20
2000-06-25 22:05:07+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,551.66,556.55,549.28,550.62,562.94,,,,,360.98,353.23,364.48,370.81,369.93,372.28,373.95,,,,366.51,368.83,372.02,355.73,370.55,349.40,,,,,372.41,375.25,368.64,375.17,373.83,350.08,372.18,337.70,,340.27,361.58,343.01,337.98,306.55,338.55,314.94,322.49,332.43,324.08,335.49,321.30,200.24,262.98,336.21,256.30
2000-08-03 22:10:43+00:00,L7,,,,,,405.51,384.07,378.55,388.16,398.73,401.42,405.80,414.69,408.73,402.45,394.65,396.43,395.62,391.12,,,,376.11,369.69,359.14,358.24,352.53,349.89,346.45,353.13,352.85,359.00,365.67,372.14,378.18,387.63,384.76,379.53,377.35,377.20,382.83,373.45,367.26,370.94,372.46,371.13,374.64,379.20,376.78,381.19,385.02,382.25,380.88,380.96,379.31,381.66,367.33,361.58,361.36,352.49,351.89,347.92,346.72,340.54,336.32,342.97,340.32,345.26,340.23,337.92,342.32,346.80,343.41,340.98,349.31,286.34
2000-08-12 22:04:53+00:00,L7,345.02,328.65,324.64,326.28,345.13,358.21,355.25,349.63,350.33,352.02,355.90,374.29,393.01,380.86,372.50,385.54,368.35,343.87,341.43,,,155.71,252.20,104.16,118.43,106.76,123.69,135.15,,68.00,,,,,,,,,,,,,,,,,,,,,,,,,,,491.35,539.40,567.97,,281.37,289.17,275.47,215.85,,,323.96,115.43,114.41,123.87,,,,,,
2000-08-19 22:10:38+00:00,L7,384.62,384.08,381.91,377.08,382.20,392.64,386.83,380.28,379.19,381.58,395.39,402.91,410.40,408.25,400.66,394.24,391.41,393.61,389.36,,,,370.22,365.45,360.39,356.13,352.58,346.28,353.78,355.00,356.30,366.47,365.25,373.16,377.73,391.02,383.93,376.61,379.11,376.21,374.73,374.38,372.18,370.78,368.06,370.43,371.72,376.33,377.03,377.95,380.54,383.73,384.78,382.23,381.37,377.65,370.47,368.29,361.05,357.03,350.36,349.28,348.57,348.01,349.02,348.75,352.01,344.28,341.76,343.12,337.04,338.84,337.18,286.14,336.83,288.63
2000-09-04 22:10:22+00:00,L7,367.80,376.19,383.05,384.29,386.30,392.06,378.87,376.22,376.64,377.85,381.96,389.61,400.50,402.73,394.49,390.56,387.88,385.82,383.09,,,367.95,365.28,358.99,353.46,347.40,342.10,341.27,345.81,347.78,350.40,356.04,359.85,366.85,373.76,380.97,374.68,370.63,365.63,371.07,364.89,366.64,360.06,368.80,369.47,366.86,365.62,373.19,372.35,374.68,376.08,374.58,373.84,374.80,370.76,367.30,364.66,358.37,353.70,348.93,346.40,341.43,338.40,336.60,334.09,332.67,332.65,323.32,321.63,327.77,326.37,333.19,310.92,306.00,325.04,307.71
2000-09-13 22:04:25+00:00,L7,344.42,343.26,339.63,343.61,352.48,359.29,353.55,355.26,355.78,367.73,371.16,378.20,385.96,382.44,378.00,376.61,369.61,360.89,355.23,352.81,,,343.74,342.29,332.86,332.26,333.31,335.49,333.72,336.79,334.49,338.33,343.12,351.40,357.86,364.11,360.42,358.75,355.59,352.98,348.61,345.42,347.73,348.23,353.08,347.61,350.49,351.90,361.34,363.41,365.21,363.87,367.11,369.40,366.98,363.82,353.87,346.63,337.09,335.45,331.18,325.28,321.55,317.87,315.33,313.11,317.66,312.25,306.43,303.39,305.13,311.68,299.83,306.37,319.35,309.30
2000-09-20 22:10:03+00:00,L7,364.53,367.36,375.24,385.58,394.10,400.00,392.30,384.09,379.70,382.92,385.84,396.58,404.77,405.91,400.90,395.44,389.37,384.21,379.77,,,,369.38,362.43,356.57,352.39,347.97,342.59,348.73,351.66,350.38,357.67,356.74,370.35,374.88,383.73,384.07,381.98,376.78,373.10,369.78,368.67,362.20,356.41,362.97,361.97,368.54,,,,,381.32,376.28,378.83,371.40,373.79,364.42,358.13,358.48,348.82,345.54,342.92,339.57,339.94,337.31,338.63,331.06,333.38,331.20,331.56,329.17,330.23,334.64,320.82,342.39,333.46
