dates,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075,satname
1999-08-17 22:12:26+00:00,,374.66,375.18,376.56,413.88,427.14,,,,,,,,,,,,,,,,,,,,,338.92,341.67,342.29,342.33,345.87,355.75,357.80,364.80,368.91,372.44,371.10,375.88,372.79,376.52,371.70,367.21,368.22,365.35,367.39,366.69,368.35,370.14,366.62,372.45,371.60,377.16,376.76,374.57,366.62,367.73,363.63,364.36,359.59,350.65,343.78,336.36,333.48,335.53,333.30,329.66,326.99,321.38,320.44,326.86,327.86,328.75,316.04,285.50,333.26,326.06,L7
1999-08-26 22:06:44+00:00,393.84,380.69,382.07,388.16,409.58,423.12,432.55,423.87,417.08,406.40,405.20,398.11,397.97,390.63,380.96,376.27,370.16,363.37,358.90,,,,343.98,346.04,344.19,346.51,339.71,344.04,341.42,352.25,356.97,358.93,362.97,370.46,373.42,379.79,381.52,381.28,380.24,379.00,374.09,373.26,371.45,372.56,372.34,368.52,373.03,370.37,372.09,374.32,381.99,379.94,378.82,373.02,370.56,370.71,363.08,356.92,354.15,353.68,345.57,344.51,340.98,338.63,338.22,337.95,333.73,334.27,329.97,334.86,334.71,339.58,331.47,311.45,336.95,317.39,L7
1999-09-18 22:12:27+00:00,370.70,365.53,365.84,365.36,387.87,403.12,393.62,399.09,393.99,391.87,389.29,391.96,386.28,379.31,376.81,374.13,374.48,364.92,349.50,,,337.23,335.20,332.84,331.00,327.47,333.93,336.02,338.53,342.65,348.96,354.93,356.40,360.70,364.47,375.48,370.16,371.51,372.19,372.96,373.14,368.15,370.09,365.37,363.36,363.81,364.09,366.61,366.01,371.14,374.30,371.83,372.16,367.80,369.24,366.18,360.70,357.12,349.51,344.09,345.32,339.74,332.01,332.73,324.30,328.48,323.66,316.72,320.07,329.08,333.56,328.65,329.45,318.06,336.02,322.89,L7
1999-10-13 22:06:48+00:00,375.92,371.30,373.22,373.40,391.24,412.66,406.87,403.32,399.90,392.52,389.73,395.39,401.37,398.20,386.77,374.86,362.92,362.27,362.34,,,,348.74,342.41,339.58,343.63,345.32,342.89,347.66,352.53,357.25,360.58,363.72,368.47,374.04,375.75,377.75,373.72,379.60,375.46,378.22,373.97,365.57,366.86,373.21,373.38,372.09,374.51,374.82,377.60,378.66,377.66,375.78,379.50,375.04,367.93,362.73,358.68,359.14,350.36,346.11,341.84,337.62,335.51,331.63,332.36,326.67,328.96,329.40,335.39,334.99,334.62,327.95,325.26,340.71,334.30,L7
1999-11-05 22:12:28+00:00,369.19,365.75,371.05,376.78,382.11,401.79,409.54,412.82,405.86,398.27,396.72,399.63,399.24,398.82,388.89,380.35,366.03,366.58,362.51,,,,336.87,339.48,339.60,338.95,342.46,343.32,344.65,347.48,354.17,363.85,364.51,371.59,373.16,379.79,380.76,374.36,378.64,374.28,375.69,372.49,371.31,374.55,375.67,380.54,375.17,378.99,376.53,376.97,380.58,378.46,378.62,374.62,367.05,365.38,361.95,359.88,358.16,357.48,350.62,347.68,346.16,338.31,332.22,332.54,336.32,331.97,332.25,336.06,342.23,340.28,340.09,340.76,352.48,347.34,L7
1999-12-07 22:12:29+00:00,357.19,359.46,365.49,373.12,375.04,386.66,391.59,388.45,384.29,384.30,379.63,384.19,392.29,391.60,387.64,383.44,362.33,350.08,343.96,336.60,335.04,336.34,336.03,330.48,337.00,332.23,340.28,338.64,337.39,348.16,348.69,352.76,357.59,357.80,365.06,367.98,369.14,368.98,366.63,373.30,377.92,374.18,369.58,371.81,366.02,365.75,365.50,365.37,368.35,372.16,373.52,374.76,369.19,367.98,366.25,365.14,362.61,354.31,350.22,345.40,337.55,333.40,332.54,329.73,326.82,329.92,332.12,329.70,328.97,328.93,334.22,332.38,329.42,333.70,349.07,337.79,L7
2000-01-17 22:06:35+00:00,349.03,345.73,350.48,369.29,402.67,413.60,408.90,397.20,392.48,388.80,392.12,399.35,401.18,397.23,391.92,377.69,376.36,369.40,368.54,363.41,356.29,352.27,346.92,347.39,346.61,344.45,342.64,345.31,342.91,350.66,352.12,357.74,362.07,366.84,369.95,374.95,377.53,376.21,379.24,376.00,378.46,377.24,376.83,378.06,374.23,370.32,373.34,376.53,377.64,379.18,380.32,381.44,376.07,379.10,371.78,372.57,366.79,360.00,351.70,351.25,347.34,339.84,339.79,341.13,335.84,333.57,334.66,330.78,328.61,329.19,336.08,337.59,339.70,335.35,351.56,344.92,L7
2000-01-24 22:12:23+00:00,355.53,347.99,346.09,358.24,397.96,422.81,418.02,405.47,397.06,395.50,397.01,402.97,407.85,412.72,408.30,405.03,394.95,379.19,374.34,,,361.04,354.61,351.10,349.13,349.36,351.00,352.53,353.92,359.20,363.05,365.43,366.29,369.60,375.10,382.69,383.49,384.31,384.13,385.14,382.72,381.21,377.40,374.26,373.05,366.89,366.94,370.15,369.62,375.34,378.26,386.96,383.03,381.86,384.19,378.60,369.35,366.03,358.87,352.90,348.62,336.32,337.21,334.16,328.78,329.30,323.92,323.33,325.79,329.69,330.04,333.01,331.85,326.40,336.97,330.46,L7
2000-03-21 22:06:25+00:00,352.11,347.76,349.73,352.23,372.87,386.32,388.45,388.12,396.84,398.63,396.63,399.91,400.52,396.44,386.19,373.93,368.26,366.16,362.12,359.62,354.62,351.65,348.16,340.73,339.70,339.42,341.46,335.73,337.63,346.90,351.52,351.54,354.86,363.02,367.16,372.43,376.00,374.50,375.23,374.20,369.76,369.30,365.75,368.21,362.10,361.84,365.15,368.73,370.89,374.67,373.47,374.24,369.91,372.95,369.69,364.12,359.95,352.02,344.59,341.19,334.82,329.62,325.14,319.95,322.59,325.13,328.87,322.65,324.61,320.55,324.36,325.22,314.20,311.06,326.63,313.04,L7
2000-04-13 22:11:54+00:00,356.14,351.73,348.17,353.39,369.31,387.64,382.77,383.45,391.84,401.35,405.23,407.80,412.30,410.54,395.91,383.88,376.14,371.52,365.13,365.42,366.11,364.41,361.61,354.18,355.45,351.83,350.28,346.31,349.11,350.25,354.90,352.67,358.97,364.23,374.65,379.88,379.41,378.59,379.45,383.45,383.53,375.20,372.67,371.23,369.94,366.94,368.45,374.81,376.74,380.97,380.01,381.51,381.00,381.60,375.36,374.31,366.73,359.85,353.34,345.88,345.86,341.96,338.56,337.94,331.74,332.99,330.40,325.38,325.54,324.68,333.78,336.06,335.73,302.23,342.60,316.23,L7
