dates,nzd0392-0000,nzd0392-0001,nzd0392-0002,nzd0392-0003,nzd0392-0004,nzd0392-0005,nzd0392-0006,nzd0392-0007,nzd0392-0008,nzd0392-0009,nzd0392-0010,nzd0392-0011,nzd0392-0012,nzd0392-0013,nzd0392-0014,nzd0392-0015,nzd0392-0016,nzd0392-0017,nzd0392-0018,nzd0392-0019,nzd0392-0020,nzd0392-0021,nzd0392-0022,nzd0392-0023,nzd0392-0024,nzd0392-0025,nzd0392-0026,nzd0392-0027,nzd0392-0028,nzd0392-0029,nzd0392-0030,nzd0392-0031,nzd0392-0032,nzd0392-0033,nzd0392-0034,nzd0392-0035,nzd0392-0036,nzd0392-0037,nzd0392-0038,nzd0392-0039,nzd0392-0040,nzd0392-0041,nzd0392-0042,nzd0392-0043,nzd0392-0044,nzd0392-0045,nzd0392-0046,nzd0392-0047,nzd0392-0048,nzd0392-0049,nzd0392-0050,nzd0392-0051,nzd0392-0052,nzd0392-0053,nzd0392-0054,nzd0392-0055,nzd0392-0056,nzd0392-0057,nzd0392-0058,nzd0392-0059,nzd0392-0060,nzd0392-0061,nzd0392-0062,nzd0392-0063,nzd0392-0064,nzd0392-0065,nzd0392-0066,nzd0392-0067,nzd0392-0068,nzd0392-0069,nzd0392-0070,nzd0392-0071,nzd0392-0072,nzd0392-0073,nzd0392-0074,nzd0392-0075,satname
1999-08-17 22:12:26+00:00,,374.66,375.18,376.56,413.88,427.14,,,,,,,,,,,,,,,,,,,,,338.92,341.67,342.29,342.33,345.87,355.75,357.80,364.80,368.91,372.44,371.10,375.88,372.79,376.52,371.70,367.21,368.22,365.35,367.39,366.69,368.35,370.14,366.62,372.45,371.60,377.16,376.76,374.57,366.62,367.73,363.63,364.36,359.59,350.65,343.78,336.36,333.48,335.53,333.30,329.66,326.99,321.38,320.44,326.86,327.86,328.75,316.04,285.50,333.26,326.06,L7
1999-08-26 22:06:44+00:00,393.84,377.68,378.62,382.36,411.73,425.13,432.55,423.87,417.08,406.40,405.20,398.11,397.97,390.63,380.96,376.27,370.16,363.37,358.90,,,,343.98,346.04,344.19,346.51,339.31,342.86,341.86,347.29,351.42,357.34,360.38,367.63,371.17,376.12,376.31,378.58,376.51,377.76,372.89,370.24,369.84,368.96,369.87,367.61,370.69,370.25,369.36,373.38,376.80,378.55,377.79,373.79,368.59,369.22,363.36,360.64,356.87,352.16,344.67,340.44,337.23,337.08,335.76,333.81,330.36,327.82,325.21,330.86,331.28,334.16,323.75,298.48,335.11,321.73,L7
1999-09-18 22:12:27+00:00,382.27,373.63,374.36,376.69,403.78,417.79,413.09,411.48,405.53,399.13,397.25,395.03,392.12,384.97,378.88,375.20,372.32,364.14,354.20,,,337.23,339.59,339.44,337.60,336.99,337.52,340.58,340.75,345.74,350.60,356.54,359.06,365.32,368.93,375.90,374.26,376.22,375.07,376.16,372.98,369.54,369.92,367.76,367.70,366.34,368.49,369.04,368.24,372.64,375.96,376.31,375.91,371.80,368.81,368.21,362.47,359.47,354.42,349.47,344.89,340.20,335.49,335.63,331.94,332.03,328.13,324.12,323.49,330.27,332.04,332.33,325.65,305.00,335.41,322.11,L7
1999-10-13 22:06:48+00:00,380.15,373.05,374.08,375.87,400.64,416.51,411.01,408.76,403.66,396.93,394.74,395.15,395.21,389.38,381.51,375.09,369.19,363.52,356.91,,,337.23,342.64,340.43,338.26,339.20,339.47,341.15,342.48,347.44,352.26,357.55,360.22,366.11,370.21,375.87,375.13,375.60,376.21,375.99,374.29,370.65,368.83,367.54,369.07,368.10,369.39,370.41,369.88,373.88,376.64,376.65,375.88,373.72,370.37,368.14,362.53,359.27,355.60,349.69,345.19,340.61,336.02,335.60,331.86,332.11,327.76,325.33,324.97,331.55,332.78,332.90,326.23,310.07,336.74,325.16,L7
1999-11-05 22:12:28+00:00,377.41,371.59,373.47,376.05,396.94,413.57,410.64,409.77,404.21,397.26,395.24,396.27,396.22,391.74,383.36,376.40,368.40,364.28,358.31,,,337.23,341.20,340.19,338.59,339.14,340.07,341.59,342.91,347.45,352.64,358.81,361.08,367.20,370.80,376.65,376.26,375.35,376.69,375.64,374.57,371.02,369.33,368.94,370.39,370.59,370.55,372.12,371.21,374.50,377.43,377.01,376.43,373.90,369.70,367.59,362.42,359.39,356.11,351.25,346.28,342.03,338.05,336.14,331.93,332.20,329.47,326.66,326.43,332.45,334.67,334.38,329.00,316.21,339.88,329.60,L7
1999-12-07 22:12:29+00:00,373.37,369.56,372.14,375.56,393.29,409.08,406.83,405.51,400.22,394.67,392.11,393.86,395.43,391.71,384.21,377.81,367.18,361.44,355.44,336.60,335.04,336.78,340.16,338.25,338.27,337.76,340.10,341.10,341.99,347.57,351.98,357.80,360.50,365.64,369.84,375.20,375.07,374.29,375.02,375.25,375.13,371.54,369.37,369.42,369.66,369.78,369.70,371.00,370.74,374.11,376.78,376.63,375.22,372.91,369.13,367.18,362.45,358.55,355.13,350.28,344.82,340.59,337.13,335.07,331.08,331.82,329.92,327.17,326.85,331.86,334.60,334.04,329.07,319.12,341.41,330.96,L7
2000-01-17 22:06:35+00:00,369.31,366.16,369.05,374.67,394.63,409.73,407.18,404.12,398.93,393.69,392.12,394.77,396.39,392.63,385.50,377.79,368.71,362.77,357.62,350.00,345.67,341.95,341.29,339.77,339.66,338.87,340.47,341.70,342.12,348.01,352.00,357.79,360.72,365.81,369.86,375.17,375.42,374.56,375.62,375.36,375.60,372.36,370.44,370.65,370.32,369.86,370.22,371.79,371.72,374.83,377.28,377.32,375.34,373.80,369.51,367.95,363.07,358.75,354.64,350.42,345.18,340.48,337.51,335.94,331.76,332.07,330.59,327.68,327.10,331.48,334.81,334.55,330.59,321.44,342.86,332.96,L7
2000-01-24 22:12:23+00:00,367.34,363.89,366.18,372.61,395.04,411.36,408.73,404.32,398.67,393.95,392.81,395.94,398.03,395.50,388.76,381.68,372.46,365.12,360.01,350.00,345.67,346.72,343.19,341.39,341.02,340.37,341.78,343.05,343.60,349.41,353.38,358.75,361.42,366.28,370.51,376.11,376.43,375.78,376.68,376.58,376.49,373.46,371.31,371.10,370.66,369.49,369.81,371.58,371.46,374.89,377.40,378.53,376.30,374.81,371.34,369.28,363.86,359.66,355.17,350.73,345.61,339.96,337.47,335.72,331.39,331.72,329.76,327.14,326.94,331.26,334.21,334.36,330.75,322.06,342.13,332.64,L7
2000-03-21 22:06:25+00:00,359.83,356.33,359.34,367.18,386.98,403.97,403.89,399.23,396.07,393.00,391.97,396.91,400.41,399.17,391.62,382.55,371.81,365.61,362.30,353.21,348.65,350.32,345.22,341.93,341.94,341.34,343.86,343.07,344.03,350.82,354.47,358.65,361.51,366.22,370.74,375.60,377.44,375.35,377.25,376.40,377.13,374.73,371.07,372.29,370.71,369.79,369.70,372.38,372.97,375.99,377.47,378.92,375.43,376.00,372.33,368.96,363.90,358.49,353.78,349.76,344.18,338.12,336.41,333.13,329.65,330.47,330.43,327.90,328.27,329.97,333.65,333.85,330.54,328.75,342.90,334.64,L7
2000-04-13 22:11:54+00:00,356.53,353.07,355.17,363.84,383.33,399.80,399.88,395.92,394.73,394.47,394.56,398.97,402.23,401.23,393.14,384.05,374.01,367.15,362.77,356.26,353.01,353.14,347.37,343.89,344.58,342.71,344.69,343.64,344.27,350.44,354.07,357.33,360.71,365.51,370.85,376.29,377.72,376.16,377.22,377.73,378.01,374.94,372.26,373.02,370.17,368.71,369.09,372.43,373.30,376.55,377.69,379.56,376.30,376.35,372.39,370.02,364.56,358.68,352.81,349.02,344.13,338.14,336.57,333.54,329.67,330.57,331.05,327.30,327.63,328.18,333.45,334.09,331.83,324.92,343.22,331.63,L7
