,dates,per0235-0000,per0235-0001,per0235-0002
0,1984-06-20 14:16:12+00:00,,,
1,1985-03-03 14:18:15+00:00,,,
2,1985-03-19 14:18:14+00:00,,,
3,1985-04-20 14:18:05+00:00,,,
4,1987-02-21 14:08:52+00:00,,141.66849630520952,141.23007827567898
5,1988-02-24 14:17:33+00:00,,117.2378995402235,110.81939467592738
6,1988-03-11 14:17:43+00:00,,,
7,1988-03-27 14:17:51+00:00,,,
8,1988-06-15 14:18:24+00:00,,129.21155596681336,117.18361771942578
9,1988-11-06 14:18:26+00:00,,124.68277465807007,121.61300828656351
10,1989-03-14 14:17:09+00:00,,111.35892605464015,108.6349653714154
11,1989-12-11 14:11:24+00:00,,,
12,1990-02-13 14:09:22+00:00,,,131.53970998112345
13,1990-03-01 14:08:49+00:00,,125.60644266501507,125.71665633682576
14,1990-03-17 14:08:18+00:00,,,
15,1990-04-18 14:08:03+00:00,,126.61518439355547,125.98261436630735
16,1990-05-04 14:07:57+00:00,,135.03326285147517,130.69076771872503
17,1991-01-15 14:08:05+00:00,,106.99487771717187,106.61022750147063
18,1991-01-31 14:08:23+00:00,,116.0627239429798,125.02323586655082
19,1991-02-16 14:08:41+00:00,105.21913897792939,,105.2824859404017
20,1991-03-04 14:08:58+00:00,131.91594519964036,122.43425128804624,127.11193248720942
21,1991-04-05 14:09:31+00:00,147.37440248284489,141.59043757594998,144.32970040519078
22,1992-03-06 14:12:00+00:00,,,
23,1993-01-20 14:09:31+00:00,,122.20164377681279,120.09440532334997
24,1993-06-29 14:10:15+00:00,,,
25,1993-11-20 14:09:44+00:00,,,
26,1994-03-12 14:08:28+00:00,,,94.07689794021802
27,1994-12-25 14:01:08+00:00,130.95593180107204,149.9502007809738,143.11943625638298
28,1995-03-31 13:57:23+00:00,,,147.13940505180793
29,1995-04-16 13:56:43+00:00,,,
30,1995-06-03 13:54:32+00:00,,,
31,1995-07-21 13:52:22+00:00,,,
32,1996-01-13 13:50:59+00:00,101.55606167535906,,130.63766178489485
33,1996-01-29 13:52:07+00:00,112.12206306150956,106.92628816024484,101.42436547869637
34,1996-03-01 13:54:17+00:00,,,
35,1996-04-02 13:56:20+00:00,,,155.26895123767443
36,1996-05-04 13:58:17+00:00,,,
37,1996-11-28 14:09:15+00:00,,,
