dates,satname,nzd0281-0000,nzd0281-0001,nzd0281-0002,nzd0281-0003,nzd0281-0004,nzd0281-0005,nzd0281-0006,nzd0281-0007,nzd0281-0008,nzd0281-0009,nzd0281-0010,nzd0281-0011,nzd0281-0012,nzd0281-0013,nzd0281-0014,nzd0281-0015,nzd0281-0016,nzd0281-0017,nzd0281-0018,nzd0281-0019,nzd0281-0020,nzd0281-0021,nzd0281-0022,nzd0281-0023,nzd0281-0024,nzd0281-0025,nzd0281-0026,nzd0281-0027,nzd0281-0028,nzd0281-0029,nzd0281-0030,nzd0281-0031,nzd0281-0032,nzd0281-0033,nzd0281-0034,nzd0281-0035,nzd0281-0036,nzd0281-0037,nzd0281-0038,nzd0281-0039,nzd0281-0040,nzd0281-0041,nzd0281-0042,nzd0281-0043,nzd0281-0044,nzd0281-0045,nzd0281-0046,nzd0281-0047,nzd0281-0048,nzd0281-0049,nzd0281-0050,nzd0281-0051,nzd0281-0052,nzd0281-0053,nzd0281-0054,nzd0281-0055,nzd0281-0056,nzd0281-0057,nzd0281-0058,nzd0281-0059,nzd0281-0060,nzd0281-0061,nzd0281-0062,nzd0281-0063,nzd0281-0064,nzd0281-0065,nzd0281-0066,nzd0281-0067,nzd0281-0068,nzd0281-0069,nzd0281-0070,nzd0281-0071,nzd0281-0072,nzd0281-0073,nzd0281-0074,nzd0281-0075,nzd0281-0076,nzd0281-0077,nzd0281-0078,nzd0281-0079,nzd0281-0080,nzd0281-0081,nzd0281-0082,nzd0281-0083,nzd0281-0084,nzd0281-0085,nzd0281-0086,nzd0281-0087,nzd0281-0088,nzd0281-0089,nzd0281-0090,nzd0281-0091,nzd0281-0092,nzd0281-0093,nzd0281-0094,nzd0281-0095,nzd0281-0096,nzd0281-0097,nzd0281-0098,nzd0281-0099,nzd0281-0100,nzd0281-0101,nzd0281-0102,nzd0281-0103,nzd0281-0104,nzd0281-0105,nzd0281-0106,nzd0281-0107,nzd0281-0108,nzd0281-0109,nzd0281-0110,nzd0281-0111,nzd0281-0112,nzd0281-0113,nzd0281-0114,nzd0281-0115,nzd0281-0116,nzd0281-0117,nzd0281-0118,nzd0281-0119,nzd0281-0120,nzd0281-0121,nzd0281-0122,nzd0281-0123,nzd0281-0124,nzd0281-0125,nzd0281-0126,nzd0281-0127,nzd0281-0128,nzd0281-0129,nzd0281-0130,nzd0281-0131,nzd0281-0132,nzd0281-0133,nzd0281-0134,nzd0281-0135,nzd0281-0136,nzd0281-0137,nzd0281-0138,nzd0281-0139,nzd0281-0140,nzd0281-0141,nzd0281-0142,nzd0281-0143,nzd0281-0144,nzd0281-0145,nzd0281-0146,nzd0281-0147,nzd0281-0148,nzd0281-0149,nzd0281-0150,nzd0281-0151,nzd0281-0152,nzd0281-0153,nzd0281-0154,nzd0281-0155,nzd0281-0156,nzd0281-0157,nzd0281-0158,nzd0281-0159,nzd0281-0160,nzd0281-0161,nzd0281-0162,nzd0281-0163,nzd0281-0164,nzd0281-0165,nzd0281-0166,nzd0281-0167,nzd0281-0168
1999-08-21 21:46:56+00:00,L7,352.12,342.34,342.80,338.79,339.40,347.58,339.98,344.54,353.23,352.54,360.27,364.59,372.77,373.55,375.40,377.90,376.82,378.77,383.21,386.20,397.07,400.76,407.53,410.03,416.12,418.01,404.64,415.32,409.82,403.95,403.44,402.11,400.22,397.19,393.98,388.51,391.80,380.58,377.39,371.98,360.41,361.53,354.21,357.26,345.03,354.90,346.65,353.71,343.46,344.79,342.08,336.39,342.26,342.99,323.82,354.31,338.31,332.66,334.21,329.34,330.11,328.84,333.51,331.51,331.69,334.85,337.68,338.68,341.20,335.79,338.07,333.42,326.95,331.54,336.13,327.00,333.52,334.65,335.66,334.68,338.68,342.78,347.70,342.95,342.88,342.00,343.72,335.62,340.72,339.53,343.20,338.20,342.64,341.99,349.53,343.85,341.73,337.58,340.66,339.11,338.77,337.30,340.06,341.55,343.29,340.21,343.09,344.95,340.95,344.51,347.16,350.02,351.36,346.83,353.20,354.61,357.09,356.38,354.55,354.48,344.69,355.67,352.66,353.37,350.83,353.73,356.93,355.73,349.71,354.12,354.01,355.31,357.70,360.74,356.39,342.58,346.70,343.11,343.72,345.79,346.12,344.76,334.73,338.14,337.48,341.24,334.17,340.05,341.97,341.32,343.46,343.36,344.34,345.80,335.99,337.72,340.48,,341.15,345.17,343.51,347.21,347.94,346.57,343.90,352.31,360.81,360.87,364.97
1999-09-22 21:47:00+00:00,L7,364.34,356.93,354.76,350.33,351.51,359.37,356.00,356.45,363.37,357.10,369.11,369.54,377.39,374.87,389.66,391.40,390.84,394.72,397.87,403.43,407.88,411.61,421.10,416.83,427.67,423.25,422.36,421.83,422.46,421.70,420.25,422.81,417.06,403.10,409.17,404.13,389.73,391.13,390.62,380.05,378.21,369.09,367.59,363.04,367.83,358.01,351.14,354.56,351.47,360.23,364.22,356.35,364.84,356.81,347.51,340.34,342.25,334.19,334.48,333.54,332.90,331.31,338.11,344.80,342.90,344.15,350.15,347.75,348.34,342.18,346.35,346.87,345.56,345.59,345.57,350.91,344.59,346.81,347.06,352.99,352.33,356.19,353.85,354.01,349.33,352.21,352.05,353.10,356.82,356.55,355.13,358.70,351.88,352.84,357.91,358.16,355.95,356.67,358.84,355.53,352.97,357.68,352.21,354.43,357.67,360.97,354.83,354.60,357.00,361.99,356.77,361.69,359.55,362.66,363.50,369.60,373.11,372.42,374.21,365.07,373.08,367.60,365.04,365.95,373.38,362.26,361.65,363.57,360.15,361.74,362.15,362.53,362.00,369.00,361.38,356.60,355.75,350.05,350.64,355.25,355.06,355.49,352.95,353.91,353.44,341.58,347.28,347.08,349.62,361.05,359.25,357.69,351.39,352.19,356.26,358.27,359.76,,361.00,366.88,352.78,360.84,354.33,355.61,362.68,362.57,363.91,368.33,373.96
1999-10-24 21:46:56+00:00,L7,359.53,345.65,348.11,348.77,344.09,341.37,353.64,352.64,355.05,358.64,365.80,368.09,375.64,377.70,386.82,383.74,385.65,387.42,395.32,397.84,407.80,406.31,414.43,415.74,418.71,417.00,422.72,420.08,417.81,412.64,408.08,405.70,407.74,400.15,392.12,389.76,382.94,376.07,380.10,370.72,361.33,360.19,363.75,354.19,342.98,350.91,336.24,350.82,338.74,351.30,365.53,345.27,339.58,340.12,338.62,327.49,320.38,318.57,327.81,328.90,322.46,333.19,327.09,333.43,329.32,331.22,329.53,333.18,334.08,340.68,342.17,340.05,340.31,341.71,341.15,343.79,343.11,344.35,340.70,346.05,342.30,337.94,342.74,346.12,343.74,338.29,341.91,346.19,348.23,339.73,343.97,346.73,341.19,345.36,341.96,345.50,346.02,347.77,343.24,343.06,339.23,343.10,341.08,346.21,347.43,344.31,344.15,349.28,352.80,355.98,352.04,353.32,353.38,355.06,357.17,362.50,365.79,367.19,366.06,368.37,363.76,362.22,359.85,362.74,358.79,355.20,357.57,358.28,353.01,346.33,349.76,351.89,350.75,354.71,348.28,345.21,344.50,345.82,344.85,346.86,347.32,348.02,352.10,351.23,338.64,337.60,340.31,342.42,346.01,346.55,349.01,350.67,347.99,341.13,349.33,339.58,336.98,,341.79,342.99,342.95,344.49,349.23,351.84,353.32,355.15,358.20,359.69,363.17
2000-02-13 21:46:48+00:00,L7,373.30,357.29,354.52,353.51,347.96,343.54,346.34,348.10,349.96,358.53,368.22,374.00,383.13,385.87,392.37,392.49,391.17,393.51,395.67,391.88,396.64,405.77,408.66,415.33,417.39,417.66,415.75,419.37,421.66,421.70,415.62,408.96,411.38,405.34,398.16,394.96,387.79,382.31,378.78,379.32,371.58,365.30,372.14,366.19,366.11,352.14,354.57,349.60,346.65,360.25,360.98,353.94,347.86,341.21,344.74,340.72,340.42,335.27,335.41,327.15,327.63,326.94,336.12,330.35,331.24,331.15,332.56,335.37,332.93,334.82,333.64,332.68,337.78,338.08,342.78,339.25,345.53,344.51,345.99,350.77,349.85,347.87,346.66,342.70,348.52,340.43,339.28,337.24,339.63,343.27,348.96,341.31,344.66,345.57,344.98,345.77,349.09,344.01,344.69,349.12,349.99,344.43,342.92,347.38,346.28,348.00,349.87,354.66,356.89,349.93,353.81,355.38,354.83,352.71,351.70,352.65,359.18,356.72,358.44,358.18,357.15,354.10,351.37,354.70,356.11,359.63,356.23,357.50,353.03,351.67,353.75,354.18,356.86,,,,350.88,352.98,351.94,351.81,348.57,352.09,348.13,349.85,343.95,342.49,343.96,343.38,347.05,343.48,343.55,339.60,338.33,343.28,339.88,340.60,344.72,,344.78,347.66,350.15,352.01,346.84,346.51,348.85,349.55,357.68,359.83,360.86
2000-05-19 21:46:07+00:00,L7,245.71,219.00,224.49,223.06,249.12,269.49,273.09,348.92,351.51,357.74,357.28,363.79,374.02,372.72,371.07,368.14,371.54,375.32,386.64,385.88,399.41,401.15,402.52,405.84,405.90,406.70,406.81,404.65,404.37,401.45,400.10,398.66,397.35,397.98,396.40,397.88,385.11,381.09,381.84,376.70,370.86,368.62,359.06,359.15,357.49,357.63,356.39,349.08,344.71,354.92,346.47,336.34,337.56,334.52,333.40,323.80,327.11,321.99,327.49,326.53,329.57,328.52,329.74,322.86,326.97,323.52,329.92,324.60,329.19,325.16,328.51,326.68,327.78,329.33,331.99,331.43,332.98,341.98,339.08,336.05,341.50,342.31,332.80,336.15,340.85,333.97,341.28,335.77,337.13,334.53,337.47,338.50,336.04,340.03,342.22,343.08,345.13,339.32,343.20,343.92,333.67,334.95,342.24,336.76,344.99,348.72,349.85,354.49,351.78,348.54,350.00,358.00,353.53,358.23,362.68,367.17,366.61,365.12,356.35,359.79,358.97,353.20,356.33,357.38,357.25,359.78,354.98,346.34,346.52,351.42,351.52,357.53,,,,,346.72,347.68,344.10,349.34,341.69,346.31,341.34,342.85,342.96,341.25,345.67,344.86,349.75,351.72,354.35,348.84,346.28,347.11,343.12,338.92,343.80,347.11,348.09,343.48,343.18,348.91,349.53,352.65,353.13,353.15,355.38,353.96,360.27
2000-08-07 21:45:08+00:00,L7,248.83,218.66,239.85,223.05,246.83,273.29,276.43,329.38,338.74,347.20,347.63,343.03,357.44,361.93,360.70,352.31,357.72,360.54,357.99,364.18,374.91,375.60,385.31,377.46,389.72,387.90,392.83,388.45,388.24,392.65,391.19,391.42,385.74,380.24,382.00,374.43,379.47,369.82,362.17,357.05,358.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.16,312.16,308.11,310.91,305.83,312.47,310.60,315.11,316.30,319.13,320.23,326.27,331.42,327.70,330.55,332.79,323.19,326.19,324.25,,,,,,,,,,,,,,,,329.21,324.54,320.66,327.94,324.55,326.42,323.31,328.76,331.17,332.23,330.29,331.47,335.29,341.20,339.52,334.51,331.14,330.37,328.09,324.86,324.72,323.95,327.34,327.59,323.75,332.39,,,,,,,,,,,,,,,,,,315.65,320.37,318.97,319.64,322.00,322.40,319.34,321.15,320.32,319.54,313.02,,327.43,332.72,325.70,331.66,325.11,329.21,327.89,334.48,334.76,336.75,339.44
2000-10-26 21:44:22+00:00,L7,356.07,350.78,342.32,351.20,346.27,346.85,351.03,351.00,354.76,358.09,366.16,368.16,371.12,379.60,385.50,380.58,386.96,385.01,386.13,384.46,391.30,394.97,401.92,385.33,355.23,404.24,413.97,413.14,409.92,402.95,406.35,403.75,396.24,403.05,389.19,398.65,388.58,387.69,379.69,375.80,368.87,369.18,361.15,357.94,358.44,351.81,344.17,346.41,348.76,351.38,340.77,342.42,332.38,321.12,327.04,315.99,312.88,324.25,328.53,310.65,303.29,312.70,320.19,305.07,304.11,305.90,316.62,307.22,317.54,319.74,313.52,313.69,314.15,325.17,333.72,330.59,332.20,341.50,339.73,343.62,345.25,340.08,346.72,337.66,335.42,344.39,338.42,342.49,351.55,343.48,337.44,346.07,347.52,344.54,352.01,341.86,345.92,345.85,346.38,341.82,346.14,341.11,342.49,347.75,344.42,347.32,346.67,349.54,349.15,342.38,348.73,349.51,345.49,354.24,355.08,357.47,359.98,355.76,352.79,350.31,344.94,343.40,350.26,352.63,349.15,351.90,347.39,346.27,339.14,341.46,340.61,348.87,,,,,338.49,337.12,338.85,340.92,342.69,338.30,332.71,333.79,335.10,338.70,337.01,339.43,336.88,340.34,341.02,346.50,333.61,332.36,334.66,341.06,340.65,,343.07,345.59,346.16,347.98,349.25,349.37,349.63,350.12,358.23,360.87,364.35
2000-11-27 21:44:26+00:00,L7,360.99,351.10,349.40,356.76,344.56,346.20,345.03,351.20,362.79,364.67,370.60,370.28,369.52,371.79,376.55,376.51,381.60,,,,,,,,,,409.34,405.71,402.79,406.28,403.50,394.97,392.62,388.88,386.04,382.37,383.18,380.82,391.64,385.66,378.92,359.99,364.65,360.19,354.99,360.58,355.74,350.28,345.15,345.70,329.01,352.31,343.31,340.27,336.74,,,,339.32,332.69,331.31,330.60,330.93,329.31,328.81,333.04,324.29,324.49,329.83,337.49,333.09,336.70,326.71,325.80,331.34,335.05,342.34,345.12,339.82,345.94,345.33,345.79,345.85,339.82,341.24,340.32,344.95,337.92,339.30,342.54,344.09,344.29,,,345.93,343.72,345.59,343.66,340.20,345.68,344.55,336.56,326.13,342.75,350.96,346.62,343.04,351.47,352.43,356.55,354.35,353.11,351.01,353.74,357.10,357.22,360.80,362.02,356.34,351.86,344.79,344.07,349.90,355.12,348.83,348.48,352.91,350.12,353.13,352.27,345.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.75
2000-12-13 21:44:28+00:00,L7,363.39,352.54,355.98,356.82,353.53,350.53,355.35,353.76,365.83,363.36,372.85,373.11,381.10,381.15,388.75,386.44,389.03,388.03,393.03,396.09,402.59,406.78,411.15,410.38,414.29,408.24,410.14,408.49,411.29,409.05,409.66,403.32,405.73,399.83,394.66,394.65,395.18,394.01,394.47,383.53,382.93,365.44,367.22,360.29,359.07,358.67,355.78,346.48,348.75,345.20,333.79,343.29,340.63,338.60,342.01,337.87,339.19,337.05,338.39,338.30,338.15,340.92,339.87,339.59,336.76,336.68,336.70,336.44,336.06,338.30,337.81,336.91,339.88,336.91,340.13,337.83,340.55,339.61,340.79,346.59,350.84,348.53,351.72,345.05,348.64,343.08,342.40,344.24,347.54,346.63,346.22,343.72,345.97,345.71,351.93,346.15,345.79,343.62,346.64,347.14,348.22,342.33,345.05,352.12,353.66,348.15,349.09,349.56,354.31,349.92,351.01,353.82,356.55,357.13,358.09,363.80,367.31,360.03,360.30,360.12,359.56,355.53,352.33,352.86,353.60,352.90,356.01,346.80,345.81,347.01,348.21,353.72,356.34,,,356.77,343.13,336.36,344.50,345.66,347.24,344.33,343.41,340.77,339.33,336.91,341.42,337.86,342.39,343.79,343.14,343.53,344.75,338.61,337.48,342.78,346.36,,348.02,351.07,349.67,349.67,352.11,352.07,354.65,357.53,363.67,364.12,368.78
2001-01-14 21:44:33+00:00,L7,341.67,328.56,328.75,328.44,318.68,321.61,323.70,330.17,332.28,331.54,332.45,334.13,347.02,346.16,354.84,350.69,350.01,354.69,354.43,360.18,364.88,371.20,375.79,380.22,384.08,382.39,384.66,388.48,385.92,382.35,380.70,374.93,368.26,363.23,359.06,366.20,363.04,362.18,354.67,344.87,334.19,337.02,331.98,326.74,333.72,326.59,310.79,311.38,313.76,317.02,,304.73,313.23,321.03,314.87,311.05,303.13,307.41,303.91,304.11,300.49,298.74,299.44,302.90,298.28,303.40,306.69,306.70,311.09,303.91,313.10,307.16,310.64,313.81,311.22,312.10,311.27,313.68,312.81,320.97,318.27,318.85,319.78,319.70,316.38,315.01,322.39,319.55,318.07,321.72,316.15,321.68,313.46,315.75,322.59,316.82,317.00,318.19,315.66,316.66,314.64,317.93,311.88,317.43,322.77,323.60,315.75,316.85,316.89,320.45,322.79,324.90,327.25,331.65,324.94,331.19,,,,,,,,,,,,,,,,,,,,,,,,,,315.85,314.35,316.06,306.92,309.63,311.47,309.35,304.33,313.32,319.25,315.34,318.40,315.79,310.73,314.74,309.64,317.74,314.25,322.43,319.76,319.38,321.43,323.63,326.67,329.20,331.34,337.23,341.13
