dates,nzd0458-0000,nzd0458-0001,nzd0458-0002,nzd0458-0003,nzd0458-0004,nzd0458-0005,nzd0458-0006,nzd0458-0007,nzd0458-0008,nzd0458-0009,nzd0458-0010,nzd0458-0011,nzd0458-0012,nzd0458-0013,nzd0458-0014,nzd0458-0015,nzd0458-0016,nzd0458-0017,nzd0458-0018,nzd0458-0019,nzd0458-0020,nzd0458-0021,nzd0458-0022,nzd0458-0023,nzd0458-0024,nzd0458-0025,nzd0458-0026,nzd0458-0027,nzd0458-0028,nzd0458-0029,nzd0458-0030,nzd0458-0031,nzd0458-0032,nzd0458-0033,nzd0458-0034,nzd0458-0035,nzd0458-0036,nzd0458-0037,nzd0458-0038,nzd0458-0039,nzd0458-0040,nzd0458-0041,nzd0458-0042,nzd0458-0043,nzd0458-0044,nzd0458-0045,nzd0458-0046,nzd0458-0047,nzd0458-0048,nzd0458-0049,nzd0458-0050,nzd0458-0051,nzd0458-0052,nzd0458-0053,nzd0458-0054,nzd0458-0055,nzd0458-0056,nzd0458-0057,nzd0458-0058,nzd0458-0059,nzd0458-0060,nzd0458-0061,nzd0458-0062,nzd0458-0063,nzd0458-0064,nzd0458-0065,nzd0458-0066,nzd0458-0067,nzd0458-0068,nzd0458-0069,nzd0458-0070,nzd0458-0071,nzd0458-0072,nzd0458-0073,satname
1999-09-25 22:19:33+00:00,357.67,351.76,349.62,348.21,358.38,368.98,372.16,361.89,370.03,377.81,377.66,377.58,377.53,378.68,379.73,380.59,383.55,381.32,381.72,388.94,381.33,378.17,368.42,368.05,362.91,364.27,365.08,366.03,368.43,364.32,362.45,360.02,363.58,362.19,359.35,360.34,361.79,365.40,362.68,366.74,365.37,369.30,369.31,373.61,373.62,375.29,375.37,381.95,377.52,372.51,367.06,360.54,351.42,358.44,360.28,361.33,367.69,357.67,363.27,351.51,352.78,350.89,361.40,371.62,,381.61,381.72,395.51,383.29,373.22,323.58,263.12,,330.51,L7
1999-11-12 22:19:27+00:00,,,,,350.45,362.44,371.37,382.35,392.96,386.73,379.79,377.54,375.32,374.01,375.65,375.80,377.77,378.75,383.25,388.99,381.13,376.55,370.27,367.99,368.44,362.73,364.94,366.06,362.42,358.63,361.62,354.14,355.44,354.95,355.66,357.66,356.94,361.42,365.25,367.93,365.52,368.67,367.63,370.01,372.79,369.46,369.65,373.17,371.75,364.73,359.43,353.86,353.52,364.88,363.93,368.42,371.32,370.84,367.47,355.24,352.83,351.53,344.77,345.20,339.75,344.82,354.70,364.58,369.26,362.26,327.34,291.47,320.13,344.74,L7
2000-01-31 22:19:21+00:00,,,,,,,,,,,,394.92,371.83,370.73,368.33,368.93,373.16,371.82,377.26,386.98,381.67,376.91,371.33,367.81,367.26,366.31,362.55,358.86,358.57,357.60,354.57,357.69,356.12,360.02,360.58,361.35,364.62,365.05,365.69,366.25,365.34,365.33,368.46,369.73,369.49,370.16,367.10,376.36,375.42,368.25,363.68,357.54,361.14,360.75,364.06,364.44,370.86,368.81,368.55,362.33,358.72,353.79,360.08,366.19,373.80,364.85,373.86,381.85,382.32,378.11,356.83,,,,L7
2000-02-16 22:19:16+00:00,353.54,353.11,354.97,354.16,362.41,368.78,373.70,383.45,386.59,355.58,375.76,376.86,376.53,375.86,376.41,379.69,379.03,383.60,382.81,389.11,381.74,380.68,371.22,370.01,368.60,363.67,366.59,368.25,365.73,364.55,361.44,362.45,363.21,362.88,364.44,365.04,362.63,368.10,367.00,366.21,364.04,369.91,373.70,377.87,376.72,375.28,377.24,380.18,375.93,372.35,361.77,354.35,356.31,360.18,358.97,363.20,365.99,358.14,359.74,353.99,355.08,354.60,359.87,366.94,385.08,368.70,378.23,390.40,389.31,378.82,331.03,,,324.55,L7
2000-04-20 22:18:51+00:00,359.72,349.32,355.63,358.47,364.49,370.22,374.57,391.25,396.73,383.22,382.25,381.82,394.04,374.50,373.22,379.49,381.22,381.06,384.79,391.02,384.54,379.77,375.10,365.83,367.21,364.56,359.28,357.96,356.76,359.20,357.10,355.45,358.10,360.72,360.03,357.10,355.52,360.61,362.20,365.69,367.01,364.45,367.83,369.57,373.03,365.70,373.69,373.56,372.83,366.28,361.20,356.14,353.05,352.18,349.53,348.82,353.22,342.09,342.14,333.50,334.24,327.67,327.44,328.95,326.99,330.75,340.63,360.26,357.64,361.42,333.84,,,,L7
2000-05-22 22:18:33+00:00,361.02,350.09,351.08,354.80,357.51,367.89,379.19,381.10,403.22,391.34,,386.72,378.72,379.75,379.22,379.24,378.04,379.41,382.39,387.05,383.92,377.03,372.53,369.43,368.86,371.02,365.20,362.19,363.27,364.50,363.26,366.07,361.82,361.19,362.93,365.34,362.81,364.42,364.29,366.93,364.56,375.88,368.45,374.14,378.19,375.80,375.51,374.14,373.06,364.80,369.68,361.10,361.48,350.42,359.85,354.05,366.30,346.74,348.11,344.24,342.26,337.03,333.14,326.81,315.23,320.59,323.41,338.01,342.31,326.40,,,,,L7
2000-06-07 22:18:24+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,374.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.01,,,331.81,325.10,377.54,379.26,361.05,,,,,,L7
2000-09-27 22:17:00+00:00,,,,,,,,,,,,,,,382.62,387.28,387.33,386.32,384.84,389.98,386.04,385.37,377.14,366.46,349.31,351.74,347.93,351.14,359.56,361.43,361.75,361.83,,,,,,,,,,371.79,373.56,382.25,383.49,380.22,380.28,377.78,376.27,375.18,368.86,364.31,370.50,,,,,,,,,,,,,,,,,,,,,,L7
2000-11-14 22:16:54+00:00,,,,,,355.14,365.33,371.45,375.04,377.06,372.66,384.57,388.58,380.87,377.82,377.39,376.29,379.33,387.95,393.51,392.03,382.41,377.98,375.04,368.79,365.53,362.15,362.94,363.36,357.79,355.56,357.94,360.18,361.35,366.04,364.73,366.52,370.13,369.22,370.57,369.72,369.37,372.82,374.97,372.91,374.21,373.81,371.55,371.34,370.07,363.16,360.96,361.00,362.65,363.61,367.04,372.62,365.37,356.84,353.08,350.51,347.44,345.81,339.67,335.90,336.60,340.45,352.66,362.54,358.26,324.98,281.60,289.23,324.20,L7
2000-12-16 22:16:59+00:00,361.98,355.35,355.50,359.23,358.00,360.83,367.67,374.84,382.21,386.89,381.62,380.82,410.60,396.41,388.58,386.83,390.40,400.32,403.57,403.25,400.28,392.78,393.27,381.73,381.21,375.14,376.31,375.58,377.24,374.94,374.06,377.14,378.22,378.63,380.83,380.20,384.03,380.76,380.28,384.99,378.74,388.22,390.78,391.35,391.34,391.58,388.35,391.05,386.25,381.21,378.17,374.13,377.17,380.30,389.71,389.48,401.57,408.02,407.84,405.52,392.19,388.31,370.87,362.90,334.37,357.46,371.16,352.12,,,,,,,L7
