,dates,chi0057-0000,chi0057-0001
0,1984-07-15 14:11:33+00:00,208.55352298213447,214.0098007278626
1,1985-03-28 14:13:13+00:00,204.4054150354313,211.6591181981416
2,1985-08-03 14:12:36+00:00,204.94851006820767,215.22692559692734
3,1986-07-21 14:04:59+00:00,206.9735954081545,215.47823875543722
4,1986-08-06 14:04:48+00:00,201.73547083932988,205.55845590120651
5,1986-09-07 14:03:37+00:00,198.60943699045086,209.0114491729966
6,1986-09-23 14:03:08+00:00,198.85290257420465,205.44368294997128
7,1986-10-09 14:02:13+00:00,200.10200171783805,208.49568136054222
8,1986-10-25 14:01:41+00:00,206.19411268709135,212.83398341707127
9,1986-11-26 14:01:05+00:00,202.11840229256254,210.8778437579583
10,1986-12-28 14:01:38+00:00,202.1236052057351,214.91077738371874
11,1987-01-13 14:02:29+00:00,198.7546934136629,207.79151405167025
12,1987-01-29 14:02:34+00:00,199.4666532219805,209.8574517058266
13,1987-03-18 14:04:49+00:00,205.3002557031625,218.00124885416355
14,1987-11-13 14:10:29+00:00,202.7192123454719,212.03679347156591
15,1987-11-29 14:10:45+00:00,199.2284435718166,205.9326545094101
16,1987-12-15 14:11:23+00:00,197.46907197254055,205.32048568105733
17,1988-02-01 14:11:50+00:00,201.05185543036964,213.8806487880232
18,1988-02-17 14:12:29+00:00,207.02400296841597,223.10476610043278
19,1988-03-04 14:12:15+00:00,200.24825043762016,213.46030735688316
20,1988-04-21 14:12:59+00:00,197.40475396905683,210.2669720359742
21,1988-06-08 14:12:58+00:00,200.61649435945708,212.44886337895542
22,1988-10-14 14:13:00+00:00,202.09375063163105,210.64734583034272
23,1988-10-30 14:13:02+00:00,204.04939588590864,208.0180490800107
24,1988-11-15 14:13:25+00:00,201.12067825055829,208.25310117111346
25,1988-12-01 14:13:00+00:00,188.49936972779338,197.17506275278458
26,1988-12-17 14:13:10+00:00,207.86825911433328,218.39191236691727
27,1989-03-07 14:12:26+00:00,196.32769716841105,209.4479682008261
28,1989-03-23 14:11:21+00:00,204.30376986676734,214.97624814675538
29,1989-04-24 14:11:18+00:00,205.38904636469667,217.28786266906917
30,1989-05-10 14:11:05+00:00,206.6263904087178,216.32253112575796
31,1989-07-13 14:10:14+00:00,,214.88828228869636
32,1989-09-15 14:08:15+00:00,212.90845288789555,217.47098798361316
33,1989-12-04 14:06:13+00:00,202.77420092893024,209.02278576355297
34,1989-12-20 14:06:09+00:00,208.31084130942196,209.82101925184435
35,1990-01-21 14:04:45+00:00,208.75922951090018,219.52647507010576
36,1990-02-22 14:04:06+00:00,207.07858793997138,220.49503576271727
37,1990-03-10 14:03:08+00:00,213.3792553756122,218.7790362997903
38,1990-04-20 13:56:53+00:00,205.9139795062502,205.29270684764995
39,1990-04-27 14:02:36+00:00,209.19613251652763,225.47092694253593
40,1990-05-22 13:56:52+00:00,,
41,1990-06-14 14:02:59+00:00,201.81319855517592,210.04680519058508
42,1990-07-09 13:56:47+00:00,,
43,1990-09-02 14:02:17+00:00,206.33713752931632,216.38542891402324
44,1990-09-18 14:02:38+00:00,196.69448821076065,213.04591786873755
45,1990-10-29 13:56:07+00:00,,
46,1990-11-05 14:02:17+00:00,195.43672923973136,206.70495241559803
47,1990-11-14 13:56:09+00:00,198.78240528771224,207.96562802422494
48,1990-11-21 14:01:51+00:00,,
49,1991-01-01 13:56:31+00:00,201.49069791418094,219.72879847822284
50,1991-01-08 14:02:52+00:00,200.4870814745067,217.0234610233614
51,1991-01-24 14:03:20+00:00,200.60109344748406,211.67506939611474
52,1991-02-02 13:57:12+00:00,198.5879432443248,208.57479833763247
53,1991-02-09 14:03:30+00:00,202.68512069837635,218.67902014717393
54,1991-03-29 14:04:24+00:00,203.97177123166256,216.23972026919486
55,1991-04-07 13:58:25+00:00,,
56,1991-04-14 14:04:45+00:00,202.2019273941023,213.88420399923228
57,1991-04-30 14:05:01+00:00,202.98683093787182,212.02824031617928
58,1991-05-16 14:05:15+00:00,196.76756071025537,201.4646610597315
59,1991-05-25 13:59:16+00:00,202.51583529535532,210.48482282606702
60,1991-06-01 14:05:33+00:00,200.72876956549317,210.63311924101723
61,1991-06-26 13:59:43+00:00,203.51829611942412,212.0710332393058
62,1991-07-03 14:06:01+00:00,203.81604952892314,214.30337406334735
63,1991-07-12 13:59:52+00:00,207.88557795955737,216.78800725361083
64,1991-07-19 14:05:49+00:00,207.12494457456563,218.09213482496438
65,1991-08-29 14:00:19+00:00,,
66,1991-09-14 14:00:33+00:00,196.12344297666877,203.77469100481855
67,1991-09-30 14:00:37+00:00,201.55053346124146,209.48173413057617
68,1991-10-23 14:06:58+00:00,201.17598507707802,210.5432365703569
69,1991-11-01 14:00:47+00:00,209.088744792884,215.30292296972505
70,1991-11-08 14:06:37+00:00,,202.15253320945786
71,1991-12-10 14:06:55+00:00,202.7125394833418,214.88021885688985
72,1991-12-26 14:06:46+00:00,207.17764072397566,220.53623392070418
73,1992-01-20 14:00:55+00:00,,
74,1992-01-27 14:06:46+00:00,214.759560501134,222.79593816396684
75,1992-02-05 14:00:52+00:00,,
76,1992-02-12 14:06:58+00:00,205.44429824032508,218.98182848506548
77,1992-02-28 14:06:37+00:00,209.3292546162173,218.5810977298679
78,1992-03-15 14:07:01+00:00,213.11155633370936,223.40062359039462
