,dates,per0234-0000,per0234-0001,per0234-0002,per0234-0003,per0234-0004
0,1987-02-21 14:08:52+00:00,199.73523202762948,,225.41057930657445,230.99391024828344,216.35627426203212
1,1988-02-24 14:17:33+00:00,,,226.64034197215528,226.44894186469855,226.84908506086964
2,1988-03-27 14:17:51+00:00,,163.25437723002307,169.66826195659218,168.37854806566446,161.7254485167772
3,1988-11-06 14:18:26+00:00,165.9988185706219,184.82870441778545,207.12654397884253,197.77678263087427,170.9782756916221
4,1989-03-14 14:17:09+00:00,,,,,
5,1989-12-11 14:11:24+00:00,179.22859874508168,198.2912470045903,,,
6,1990-02-13 14:09:22+00:00,174.70957295314184,190.82628563747417,196.6313433712341,210.88894941586005,200.6433048466624
7,1990-03-01 14:08:49+00:00,179.38607056677367,200.55783301289796,210.67600318585943,207.2779029177302,203.3130655491757
8,1990-04-18 14:08:03+00:00,176.39116578930953,191.87748685978505,217.58225347644074,217.13878467232655,201.54014002418307
9,1990-05-04 14:07:57+00:00,179.96586812097433,206.27525478230262,230.0762573463685,226.68278407993643,219.6511407548375
10,1991-01-31 14:08:23+00:00,173.08220614840502,186.4836092173463,206.15620587286077,203.92416123358382,199.37694383203913
11,1991-03-04 14:08:58+00:00,173.2031291967003,191.08685892564557,202.49135309989106,208.03928499176038,202.7414357161101
12,1991-04-05 14:09:31+00:00,,,,,
13,1993-01-20 14:09:31+00:00,158.21101821612058,187.65746307045208,218.57557317424187,202.19563923895748,192.89508591729037
14,1994-03-12 14:08:28+00:00,,,,,
15,1994-12-25 14:01:08+00:00,192.76157585647616,212.81483620126653,241.9832070092503,240.38463729625698,216.0738389884583
16,1995-03-31 13:57:23+00:00,220.96954944798765,233.56646649824165,244.77746866532948,255.9861091432759,252.82384900221035
17,1996-01-13 13:50:59+00:00,,,,,
18,1996-01-29 13:52:07+00:00,,,,,
19,1996-04-02 13:56:20+00:00,199.17684216944497,208.6536375544323,244.77830840443647,243.94151208551608,224.83032284404862
20,1996-04-18 13:57:20+00:00,,,,,219.8377948132375
21,1996-05-04 13:58:17+00:00,,184.31849297588838,188.06290025801184,,188.00784174706087
22,1997-03-04 14:13:35+00:00,,,203.2097008958811,,241.86828025040126
