dates,nzd0220-0000,nzd0220-0001,nzd0220-0002,nzd0220-0003,nzd0220-0004,nzd0220-0005,nzd0220-0006,nzd0220-0007,nzd0220-0008,nzd0220-0009,nzd0220-0010,nzd0220-0011,nzd0220-0012,nzd0220-0013,nzd0220-0014,nzd0220-0015,satname
1999-09-29 21:52:52+00:00,381.58,375.19,374.20,374.85,372.08,379.14,387.34,386.03,368.45,363.66,370.71,370.83,361.24,372.09,373.88,400.03,L7
1999-10-15 21:52:49+00:00,369.85,359.17,359.92,369.43,360.94,367.76,379.19,375.44,360.24,355.23,357.65,357.32,355.02,362.24,367.10,373.70,L7
2000-02-04 21:52:37+00:00,363.13,356.83,354.72,362.97,364.54,365.57,372.05,367.90,354.75,351.38,351.86,350.32,347.84,353.22,357.67,386.30,L7
2000-02-20 21:52:29+00:00,365.85,359.59,354.47,356.83,358.85,366.23,372.36,370.11,357.81,347.39,345.97,351.15,355.61,360.16,357.64,365.37,L7
2000-05-26 21:51:48+00:00,373.19,369.32,371.64,380.88,368.94,368.86,389.43,379.58,,363.77,364.96,366.92,367.91,362.08,362.82,383.33,L7
2000-08-14 21:50:56+00:00,367.06,364.44,369.89,372.50,376.58,380.42,392.23,382.71,371.80,372.41,371.00,361.96,358.51,368.13,379.88,396.97,L7
2000-10-17 21:50:01+00:00,377.66,362.97,362.66,369.09,370.46,372.12,377.02,378.03,366.62,362.84,365.37,365.11,367.58,368.63,368.05,401.29,L7
2000-11-02 21:50:13+00:00,359.91,347.83,344.88,353.80,358.75,363.36,371.39,367.80,352.93,342.35,343.59,344.93,349.59,351.77,351.05,371.32,L7
2000-12-04 21:50:10+00:00,365.33,358.28,358.21,362.28,369.35,365.35,376.67,370.83,357.09,355.63,353.46,355.90,358.04,359.74,362.32,362.03,L7
2000-12-20 21:50:16+00:00,362.18,355.89,349.57,357.61,358.18,359.91,376.79,369.42,357.70,349.27,338.09,347.67,349.98,362.24,355.85,364.86,L7
2001-01-05 21:50:16+00:00,365.74,362.42,367.26,365.04,365.83,364.46,385.43,374.92,361.55,357.64,351.25,355.17,360.88,362.80,363.71,363.37,L7
2001-03-10 21:50:10+00:00,369.81,366.83,365.23,371.79,366.09,369.25,376.38,373.56,364.56,355.21,355.95,360.72,364.31,370.03,362.68,375.03,L7
2001-03-26 21:50:01+00:00,383.14,377.67,374.94,378.47,375.74,376.11,386.05,384.71,373.17,370.51,366.20,365.97,372.84,375.01,368.30,373.28,L7
2001-06-30 21:49:12+00:00,386.49,378.88,375.76,382.57,375.39,373.23,400.71,379.58,372.22,367.20,370.73,371.19,372.05,385.50,374.66,376.19,L7
2001-09-02 21:48:29+00:00,361.36,353.62,351.82,352.11,358.24,363.93,373.89,367.71,354.57,352.32,344.24,353.45,356.41,364.69,363.66,370.60,L7
2001-09-18 21:48:17+00:00,376.56,364.47,361.88,367.84,366.42,369.42,378.57,377.52,363.46,361.43,359.42,364.81,375.56,373.18,368.98,386.28,L7
2001-10-20 21:48:09+00:00,366.85,358.38,354.20,360.70,361.85,365.33,375.52,373.47,358.25,352.04,352.79,350.72,358.94,361.61,359.88,380.57,L7
2002-01-24 21:48:42+00:00,372.97,376.37,381.36,382.44,376.86,373.55,382.94,376.26,376.47,372.77,377.07,380.29,382.91,384.24,384.45,388.87,L7
2002-02-25 21:48:47+00:00,370.30,369.96,370.31,370.00,370.08,370.38,385.03,383.14,376.87,362.11,366.33,372.14,372.82,381.64,373.61,384.60,L7
2002-03-13 21:48:44+00:00,367.56,362.67,365.40,365.79,363.25,361.62,370.81,373.83,365.07,353.42,353.85,358.02,363.00,366.00,361.61,362.95,L7
2002-04-14 21:48:38+00:00,381.65,378.31,376.38,378.35,374.66,371.07,385.43,388.77,377.49,367.55,369.15,374.27,376.13,384.89,377.25,376.55,L7
2002-06-01 21:48:28+00:00,378.16,375.88,376.93,381.02,379.08,379.62,380.00,380.26,,368.56,369.19,370.72,375.98,378.26,377.44,384.99,L7
2002-08-20 21:47:58+00:00,381.54,382.38,376.83,378.13,377.44,378.63,390.17,389.11,369.43,367.02,371.51,372.40,368.53,371.53,381.07,396.38,L7
2002-10-23 21:47:39+00:00,370.50,363.45,364.25,369.55,373.93,373.75,377.77,372.77,353.77,355.10,355.86,358.22,364.55,369.89,372.32,395.20,L7
2002-11-08 21:47:44+00:00,378.70,371.18,375.10,382.78,383.75,381.49,384.84,387.20,,,,373.93,372.10,,,,L7
2002-11-24 21:48:02+00:00,374.83,358.78,356.05,366.24,368.88,370.47,377.35,373.94,358.08,350.18,349.59,354.11,359.06,361.92,367.52,387.57,L7
2002-12-26 21:48:11+00:00,370.91,366.34,362.01,365.54,362.93,365.93,380.20,380.04,366.01,359.05,354.70,356.02,375.97,370.65,368.54,384.93,L7
2003-01-11 21:48:14+00:00,368.00,363.47,365.37,360.33,359.84,364.62,377.04,373.79,367.65,354.09,345.79,346.75,354.58,359.44,363.10,371.12,L7
2003-01-27 21:48:21+00:00,358.77,361.48,365.50,360.43,357.48,358.25,379.13,374.92,356.46,349.68,349.22,349.80,353.64,363.31,,,L7
2003-03-16 21:48:34+00:00,369.63,365.03,364.80,367.72,364.36,368.91,383.76,375.19,365.12,359.61,350.50,349.98,357.96,367.37,364.41,364.94,L7
2003-04-01 21:48:34+00:00,373.21,369.95,370.15,370.95,370.06,370.67,383.75,377.39,366.20,361.85,355.52,353.11,365.60,368.83,366.20,373.38,L7
2003-04-17 21:48:36+00:00,376.35,368.18,365.76,368.26,357.27,360.31,369.84,364.38,,353.73,345.34,346.11,362.01,369.19,369.95,378.60,L7
2003-05-03 21:48:37+00:00,378.44,369.14,366.02,370.83,364.56,374.40,388.51,380.16,366.10,365.72,361.86,353.38,359.73,368.98,373.71,379.28,L7
2003-08-15 21:36:48+00:00,367.25,359.61,358.46,365.02,368.62,373.17,391.31,387.64,378.99,370.46,366.90,371.15,366.89,371.56,369.90,376.06,L5
2003-08-23 21:48:14+00:00,370.36,368.44,360.79,368.62,373.83,376.39,386.71,377.85,372.53,365.10,367.42,349.77,347.35,,,,L7
2003-08-31 21:37:06+00:00,366.34,358.52,352.68,365.21,365.06,372.72,382.48,380.53,366.31,363.10,357.07,347.51,356.37,,,,L5
2003-10-26 21:48:14+00:00,,363.63,363.45,363.87,365.98,371.61,378.66,379.38,372.41,364.26,362.05,364.54,364.50,371.08,374.43,384.10,L7
2003-11-19 21:38:14+00:00,374.55,372.57,374.70,372.27,373.41,372.32,394.19,382.02,371.30,357.61,358.49,358.77,359.93,361.33,368.22,375.67,L5
2003-12-05 21:38:22+00:00,364.28,359.33,364.29,365.01,364.59,365.89,378.19,370.01,374.32,368.85,371.07,371.65,367.69,367.10,365.12,375.95,L5
2004-01-22 21:38:40+00:00,357.81,352.10,350.19,353.59,361.45,366.70,379.49,377.46,371.77,364.40,361.56,359.28,364.25,,,,L5
2004-03-18 21:49:07+00:00,361.32,354.06,360.85,,,,379.94,369.36,361.79,358.46,354.91,359.69,361.68,367.56,376.08,376.86,L7
2004-04-03 21:49:06+00:00,367.85,366.60,371.86,369.55,369.61,376.07,390.20,384.14,377.98,372.93,374.97,,,,379.26,383.95,L7
2004-06-06 21:48:56+00:00,379.87,370.69,371.93,379.30,380.46,385.35,,,392.52,381.03,372.26,373.20,385.58,375.83,375.51,381.78,L7
2004-06-22 21:48:52+00:00,381.00,369.33,,377.50,375.64,385.50,393.38,387.25,380.95,381.10,378.20,376.96,379.90,381.82,,,L7
2004-06-30 21:41:46+00:00,347.26,348.56,365.63,371.48,372.39,376.85,388.27,379.99,370.84,367.21,370.26,361.22,360.03,363.70,366.69,369.40,L5
2004-07-24 21:48:45+00:00,375.42,367.51,370.81,,,394.38,393.12,383.74,373.04,373.63,374.44,372.66,379.71,378.74,373.15,377.65,L7
2004-08-09 21:48:39+00:00,361.26,359.96,363.71,371.30,374.15,374.89,384.91,375.82,,,,379.95,371.53,367.50,360.46,373.06,L7
2004-08-25 21:48:37+00:00,362.38,357.66,365.37,371.43,373.39,374.42,394.04,379.73,374.29,370.02,370.93,373.30,375.65,377.92,373.90,,L7
2004-09-02 21:43:21+00:00,367.03,354.58,362.20,371.89,370.98,376.41,384.91,384.95,371.24,370.54,376.63,372.91,370.44,367.49,366.11,370.97,L5
2004-10-20 21:44:28+00:00,361.31,351.72,357.68,359.31,363.44,367.45,385.24,375.26,364.65,369.82,369.33,369.39,371.24,376.69,367.99,382.66,L5
2004-12-07 21:45:24+00:00,,,340.74,359.44,371.16,370.01,394.33,382.63,370.58,363.99,363.20,368.62,371.41,373.39,371.86,373.20,L5
2005-02-09 21:46:19+00:00,349.81,342.42,340.08,344.68,357.76,362.39,374.05,372.55,360.75,360.11,350.63,358.04,367.81,347.59,352.97,352.75,L5
2005-02-17 21:49:28+00:00,356.94,356.52,357.03,359.74,361.98,363.55,378.23,370.93,364.62,361.33,361.30,362.57,366.06,366.28,368.76,,L7
2005-03-05 21:49:32+00:00,361.17,355.82,352.47,357.15,361.58,367.47,383.62,375.13,369.82,360.05,355.74,366.02,,,,369.97,L7
2005-03-13 21:46:47+00:00,371.85,361.37,354.35,360.49,357.61,369.16,379.39,373.59,367.57,362.09,356.82,358.24,363.33,365.57,370.04,375.97,L5
2005-03-21 21:49:32+00:00,,,,,,,,,364.72,361.10,,,,,,,L7
2005-03-29 21:46:54+00:00,360.34,349.30,347.99,354.51,356.62,367.09,382.16,381.59,368.98,364.39,362.45,362.30,363.56,365.37,363.17,369.42,L5
2005-05-08 21:49:28+00:00,361.08,358.22,354.26,362.32,362.95,370.21,384.03,385.89,,,368.91,367.61,365.24,375.58,374.96,379.32,L7
2005-05-24 21:49:26+00:00,365.35,,,373.90,363.88,372.91,387.03,386.07,,366.94,366.18,361.93,370.08,379.00,375.10,385.47,L7
2005-06-01 21:47:18+00:00,365.84,352.85,355.39,368.66,381.91,383.31,399.57,384.31,382.46,374.38,370.79,373.70,378.13,380.93,373.25,377.56,L5
2005-06-09 21:49:20+00:00,381.29,373.99,372.99,382.73,383.30,389.48,,,,384.17,378.62,379.73,385.03,387.43,385.31,388.15,L7
2005-06-25 21:49:15+00:00,376.96,359.91,,372.35,373.97,383.03,389.63,392.26,379.66,375.26,372.83,,,,384.73,398.77,L7
2005-07-19 21:47:39+00:00,354.73,353.96,355.15,372.92,373.68,375.30,393.22,379.26,366.35,366.79,360.42,368.13,365.32,365.35,375.14,372.59,L5
2005-08-12 21:49:11+00:00,371.29,374.38,374.77,374.80,377.67,384.45,392.06,,,374.60,369.52,370.70,373.26,378.30,381.72,384.53,L7
2005-08-28 21:49:05+00:00,367.54,368.04,365.44,367.67,370.96,379.49,395.17,386.72,378.63,365.87,360.14,368.01,378.82,,,,L7
2005-11-08 21:48:04+00:00,375.22,367.74,366.67,369.37,368.66,370.84,380.77,376.29,369.36,379.34,373.37,377.78,386.14,382.29,380.90,377.69,L5
2005-11-24 21:48:28+00:00,359.66,364.68,369.59,371.87,378.00,379.44,383.73,380.63,380.88,377.24,374.92,375.39,375.97,378.65,378.55,372.51,L5
2006-01-27 21:49:58+00:00,363.84,359.78,354.74,352.25,352.85,364.28,376.15,368.98,363.78,357.74,357.64,359.62,363.21,368.36,366.46,368.72,L5
2006-02-04 21:49:52+00:00,,,,370.11,358.20,362.29,371.25,371.15,360.46,356.05,353.03,359.52,367.83,363.36,354.21,354.07,L7
2006-02-20 21:49:55+00:00,,,,,352.31,349.66,,,356.00,358.10,361.33,364.61,368.13,369.44,365.98,367.12,L7
2006-02-28 21:50:40+00:00,374.02,370.01,369.38,371.80,368.23,370.00,378.47,374.77,364.97,360.75,362.79,368.59,375.51,376.20,367.97,373.40,L5
2006-03-08 21:49:57+00:00,361.91,,,,,,,,353.78,359.60,,,369.90,342.84,353.61,370.36,L7
2006-04-25 21:49:52+00:00,,,361.29,362.16,362.57,363.71,369.86,361.84,356.71,353.14,357.66,363.63,367.39,371.85,364.63,360.08,L7
2006-05-27 21:49:54+00:00,369.86,,,381.93,373.99,378.80,385.37,375.00,,364.96,369.92,374.10,376.39,368.50,370.59,381.77,L7
2006-07-06 21:52:45+00:00,372.90,363.74,367.75,372.03,381.76,391.20,400.92,388.24,380.43,367.98,375.30,380.97,387.12,383.23,379.59,380.98,L5
2006-08-15 21:49:31+00:00,374.34,370.93,371.94,374.78,375.16,385.09,388.17,390.57,378.96,373.90,373.04,377.88,379.75,388.01,,,L7
2006-08-23 21:53:23+00:00,367.93,370.86,369.51,375.31,380.07,383.05,384.55,397.38,382.80,375.76,377.93,375.56,375.25,386.82,381.57,375.36,L5
2006-08-31 21:49:28+00:00,373.37,372.83,373.31,,,,396.75,387.87,376.00,374.62,375.97,370.55,380.86,391.25,386.01,385.83,L7
2006-09-16 21:49:22+00:00,,,,329.61,351.37,383.61,394.53,392.86,378.71,375.46,379.34,373.18,401.69,397.36,,,L7
2006-10-02 21:49:15+00:00,358.00,357.97,359.89,362.51,366.28,370.14,376.51,372.10,362.78,359.93,361.08,,,,373.06,371.25,L7
2006-10-10 21:53:56+00:00,382.87,382.75,373.70,379.52,380.48,383.30,391.68,393.76,378.18,374.20,375.95,377.67,385.13,390.30,384.79,389.41,L5
2006-11-03 21:49:38+00:00,370.63,361.30,360.78,370.40,376.97,371.76,388.37,372.21,364.55,359.33,364.30,364.29,384.30,,,381.73,L7
2006-11-27 21:54:23+00:00,,,,,,,,,347.33,343.35,339.67,334.69,355.84,355.63,337.73,,L5
