,dates,chi0461-0000,chi0461-0001,chi0461-0002,chi0461-0003,chi0461-0004,chi0461-0005,chi0461-0006,chi0461-0007,chi0461-0008,chi0461-0009,chi0461-0010,chi0461-0011,chi0461-0012,chi0461-0013,chi0461-0014,chi0461-0015,chi0461-0016,chi0461-0017,chi0461-0018,chi0461-0019,chi0461-0020,chi0461-0021,chi0461-0022
0,1986-08-15 14:03:05+00:00,177.32603124771313,127.23381118384965,100.13587509193073,101.05900960986119,,,,,,,,,,,,143.9471229012008,,,,172.84072551400354,186.39220689876765,,
1,1986-12-21 14:00:25+00:00,156.26706011156253,117.27892537611861,110.40565774180388,122.11823905677124,119.00737813152443,127.48510013366236,141.704042700496,149.13317853913756,144.09613359127468,152.0894658613252,147.89578826929878,139.67131418380666,135.79575660962612,138.7972098994904,136.5279779071966,134.96554486370428,136.12910672176616,150.7680904299074,176.8989791930697,188.63448015564364,190.18015799301432,174.28557414784885,181.37382061245398
2,1987-01-06 14:00:54+00:00,152.49317252299207,121.43594199611442,107.60728278687165,114.41208023973826,115.5191665494887,124.68083246726773,129.88361018595583,144.94078522332393,143.7439614882373,135.86489864357452,133.73542193142285,133.18852628615127,134.8320582783802,130.90252392896133,135.51011531620702,134.06376186879535,133.01715520478274,150.44846855306844,176.7534231165924,180.3513395202968,183.01114775039701,173.865574207522,180.39323562645532
3,1987-01-22 14:01:21+00:00,154.1710766365336,120.08184765941402,108.030682504014,117.54988999151284,126.7050275907713,136.63589422386934,144.92108955982954,139.20875491598548,151.35215573014446,145.6121163397923,130.258956100739,141.18076833124132,140.89502170526842,142.67767304304851,146.59853227207907,139.23563388699836,143.3815262365231,158.99684857045168,183.08279787025077,188.7080020710581,191.31661663979014,182.38914798935502,187.14323747405555
4,1987-02-07 14:01:56+00:00,159.85684980437753,128.07761358790702,122.5284744124375,138.08648295801174,142.95458891067778,157.4022326268754,164.31335725952204,172.60374299352944,167.2778442077989,161.42474185620185,163.09184095830787,161.27093296714992,168.48881587207885,166.30269202533833,158.50613254437948,150.07388080856566,163.64072856546915,169.75636347088835,184.02317495548306,187.0650217129485,192.59281583382565,191.93597330425104,205.53940562618348
5,1987-03-27 14:03:45+00:00,152.8308265199081,99.19754066180816,,,,,,,,108.58411958537987,90.81580186445933,115.36932681342728,,,126.41677931962964,131.64577312920187,,,153.09644271853915,160.9455454023307,173.13203834231464,149.50080107208504,150.16439741524502
6,1998-03-09 14:17:57+00:00,166.4424034397917,131.10804023052978,121.56176912522717,120.71957089562926,131.35699352885538,150.6202258348617,,,,,,,,,,118.86903183055288,144.86208334572484,173.0238256245429,180.70695835090518,192.90972118346627,,,
7,1998-03-25 14:18:11+00:00,168.11852704285025,149.29627073382122,146.05847350342154,138.2589973793562,137.58224047680963,149.11932700335512,145.53167394340423,147.84090239139869,144.1422353064558,139.02621222595297,109.32011942154357,146.66626925821737,145.04120618133675,157.04960528994548,149.86307040470345,145.7308596501784,154.21660852306687,152.32791372836047,176.78868130297903,182.91250781091819,193.1523896959667,183.54341143709547,179.2271384626414
8,1998-09-17 14:20:13+00:00,165.66828115766842,111.2812173634947,107.49026340982253,119.16003395372059,117.71932264392993,124.83748251205913,129.47239536584195,132.74515050567763,123.36368136228985,126.14938967993668,112.68126978810447,127.63472134848283,128.60122826572066,137.82160577021094,138.07830663992263,137.18444390783014,134.74007074279146,139.50214680630611,169.70306093204263,178.95340925287636,187.9151712869713,170.75495240240346,173.72373901069338
9,1998-12-06 14:20:24+00:00,152.94193579834115,103.2487012607024,81.84672680707584,,,,,,,109.82763841635155,128.71819638928065,,,,,,,103.20637644536731,179.03981129693915,186.04322902166734,188.85667890606126,173.99993185592237,160.38791928972202
10,1998-12-22 14:20:29+00:00,161.340339565275,115.81214553660797,97.81142859215015,96.31281408698287,94.22843865580815,109.88738492360717,111.13336233196452,113.31685824132323,125.627711097614,130.0943955704005,135.0973585000752,136.4990403044736,136.6979477556115,147.76954753391888,145.79836020023626,148.8067094480499,143.8710759482592,156.20524643536334,186.03301300492237,195.0704484075631,197.59761281365735,183.27527575824075,186.56027234876976
11,1999-01-23 14:20:28+00:00,163.70864239736935,99.75913337862379,85.99514945332596,92.43100138021099,94.48701266772773,100.96330935646584,111.6367856986377,117.74257208666855,113.95655628510164,111.00770919470105,124.08412096035885,116.27641149199148,125.99980857144826,124.1584425022944,139.43244865635322,135.41228215668647,138.12424518112053,148.26510244518755,166.26699811094105,178.92190472769732,180.1797501602785,176.17219486424182,179.9709635622393
12,1999-02-08 14:20:37+00:00,164.46027765845525,109.04464839938859,95.83086432671476,96.64891594911398,101.15066347124248,109.10026936733189,116.59112842826674,116.35075891004765,124.61294744066235,129.56741988824425,133.02970864640096,131.53011431428678,138.61192668213351,147.48993989504032,149.00836125366908,137.54967765895213,145.48647723825033,152.6874850555087,172.374756311933,187.96942978538576,192.42220703550078,183.93521138881226,187.474946971573
13,1999-04-13 14:19:47+00:00,,,,,,,,,,,,,,,,,,,,,,,
14,1999-07-18 14:19:11+00:00,,,,,,,,,,,,,,,,,,,,,,,202.2195923425696
