dates,nzd0092-0000,nzd0092-0001,nzd0092-0002,nzd0092-0003,nzd0092-0004,nzd0092-0005,nzd0092-0006,nzd0092-0007,nzd0092-0008,nzd0092-0009,nzd0092-0010,nzd0092-0011,nzd0092-0012,nzd0092-0013,nzd0092-0014,nzd0092-0015,nzd0092-0016,nzd0092-0017,nzd0092-0018,nzd0092-0019,nzd0092-0020,nzd0092-0021,nzd0092-0022,nzd0092-0023,nzd0092-0024,nzd0092-0025,nzd0092-0026,nzd0092-0027,nzd0092-0028,nzd0092-0029,nzd0092-0030,nzd0092-0031,nzd0092-0032,nzd0092-0033,satname
1999-08-26 22:04:44+00:00,,,,,,,,,,,,,,,,269.30,,309.57,348.17,344.30,337.23,354.92,377.16,381.86,389.54,386.12,383.41,381.18,371.74,365.87,359.31,355.89,373.50,375.08,L7
1999-10-04 22:11:02+00:00,,,,,,,,,326.51,333.97,334.52,334.28,324.48,324.42,313.85,278.06,,308.24,351.01,344.17,336.10,354.45,375.38,380.61,387.88,383.85,385.25,383.41,371.38,364.60,359.46,352.17,369.53,366.08,L7
1999-11-14 22:04:42+00:00,349.60,345.31,338.43,346.68,338.02,329.65,339.05,343.14,336.36,342.70,344.22,344.52,340.31,340.57,328.17,293.05,293.51,322.33,359.33,349.94,343.99,358.51,378.55,382.39,388.48,385.32,387.25,384.83,374.50,367.96,361.45,354.65,369.13,367.90,L7
1999-12-07 22:10:53+00:00,349.31,345.31,342.76,343.52,339.75,334.67,338.53,344.05,339.29,343.62,341.84,343.69,341.38,339.58,328.64,295.30,293.51,326.56,358.97,350.93,345.13,359.19,379.53,383.56,389.86,388.86,389.17,386.81,376.26,369.32,362.07,355.79,370.04,369.96,L7
2000-03-28 22:10:31+00:00,343.92,340.65,339.15,344.51,338.15,334.50,338.73,340.24,334.93,337.72,338.64,341.25,338.07,332.82,322.67,301.38,274.99,326.68,358.70,350.16,345.71,360.66,378.12,382.52,388.12,387.96,389.91,387.56,378.44,370.80,364.56,358.40,369.60,370.26,L7
2000-04-29 22:10:17+00:00,340.51,337.07,337.62,340.83,335.35,331.82,335.45,337.69,334.71,334.14,334.58,337.23,336.63,331.40,324.86,308.62,262.86,328.94,357.48,350.21,344.63,357.15,376.39,380.94,386.43,387.40,389.62,387.70,381.67,374.65,366.51,361.31,369.82,373.23,L7
2000-05-15 22:10:06+00:00,337.49,334.33,337.34,338.88,334.46,332.54,334.26,335.87,330.88,328.38,328.13,331.38,330.12,322.97,315.75,297.29,242.33,317.15,349.10,346.79,340.05,352.82,371.96,378.27,384.49,385.83,388.90,389.69,383.92,377.78,369.04,364.40,372.83,377.67,L7
2000-05-31 22:09:54+00:00,337.49,334.33,337.34,338.88,334.46,330.18,334.26,335.87,330.88,328.38,328.13,331.38,330.12,324.02,313.52,296.62,242.24,319.14,348.25,342.89,337.45,352.82,371.96,378.27,380.96,382.75,388.66,389.42,383.92,377.78,369.04,361.78,371.73,374.08,L7
2000-06-09 22:03:40+00:00,331.12,331.01,329.53,328.66,326.64,325.02,326.99,331.32,323.74,319.73,317.03,318.58,322.96,320.33,313.17,300.48,242.24,313.24,345.28,340.39,336.33,352.27,372.88,376.68,379.34,379.80,390.27,390.11,386.52,381.37,374.36,364.11,371.39,382.12,L7
2000-07-11 22:03:17+00:00,331.12,331.01,329.53,328.66,326.64,325.02,326.99,331.32,323.74,319.73,317.03,318.58,319.68,322.07,317.60,308.44,242.24,313.24,345.28,340.39,336.33,352.27,372.88,376.68,379.34,379.80,390.27,390.11,386.52,381.37,374.36,364.11,371.39,382.12,L7
2000-08-03 22:09:08+00:00,331.12,331.01,329.53,328.66,326.64,325.02,330.09,334.70,329.04,324.01,319.79,321.38,322.87,324.24,320.13,307.98,245.14,314.61,347.16,343.00,337.50,354.13,373.44,378.44,381.23,381.39,389.93,390.11,385.97,381.37,374.36,365.60,373.02,382.68,L7
2000-10-06 22:08:23+00:00,331.67,333.80,331.91,325.79,327.41,325.02,324.39,324.32,327.26,326.74,319.26,318.37,320.51,322.32,317.94,304.96,241.34,314.52,347.16,342.62,335.64,350.54,371.16,377.83,381.72,381.55,389.26,389.09,385.48,382.30,370.88,363.77,371.94,379.25,L7
2000-11-23 22:08:18+00:00,329.26,333.02,329.40,320.74,324.19,323.14,323.08,320.18,328.26,328.58,318.81,318.25,319.94,320.20,315.36,297.46,245.40,314.33,347.75,341.57,333.03,350.30,372.48,378.61,380.11,379.76,387.26,385.43,382.65,379.41,366.87,362.45,370.18,375.79,L7
