dates,nzd0263-0000,nzd0263-0001,nzd0263-0002,nzd0263-0003,nzd0263-0004,nzd0263-0005,nzd0263-0006,nzd0263-0007,nzd0263-0008,nzd0263-0009,nzd0263-0010,nzd0263-0011,nzd0263-0012,nzd0263-0013,nzd0263-0014,nzd0263-0015,nzd0263-0016,nzd0263-0017,nzd0263-0018,nzd0263-0019,nzd0263-0020,nzd0263-0021,nzd0263-0022,nzd0263-0023,nzd0263-0024,nzd0263-0025,nzd0263-0026,nzd0263-0027,satname
1999-07-20 21:46:51+00:00,270.70,266.92,278.00,273.51,290.58,306.07,296.86,289.03,290.56,306.83,295.29,292.28,295.97,291.38,284.55,298.85,317.31,297.66,293.54,297.31,299.89,304.60,293.48,299.65,317.07,,,,L7
1999-08-21 21:46:56+00:00,272.77,272.65,278.96,277.37,289.04,306.39,297.72,291.98,284.98,301.41,295.53,293.37,299.55,290.52,285.50,296.04,312.38,295.37,290.28,292.69,293.25,296.62,287.11,292.78,314.12,341.08,345.92,347.19,L7
1999-09-06 21:46:59+00:00,275.82,272.55,278.02,279.19,290.28,304.94,295.82,288.97,284.93,301.43,296.70,294.17,297.67,288.79,283.69,293.61,311.84,293.66,287.50,288.27,290.84,292.47,284.99,295.82,314.53,341.32,350.79,357.24,L7
1999-09-22 21:47:00+00:00,278.18,273.44,279.45,283.23,293.87,306.32,298.14,286.65,289.14,300.87,299.42,297.20,297.88,288.74,281.91,295.35,311.19,294.35,287.18,289.37,294.11,294.63,288.76,299.16,317.12,346.25,357.85,363.54,L7
1999-10-24 21:46:56+00:00,275.93,273.10,277.95,282.91,293.53,305.54,295.51,286.97,289.23,300.10,298.07,297.27,297.35,287.26,281.45,294.89,309.96,292.39,286.68,288.28,293.17,295.20,290.88,299.86,317.81,345.10,356.54,362.53,L7
2000-01-12 21:46:54+00:00,277.03,274.88,279.08,283.04,293.69,305.80,296.27,286.77,291.78,298.85,297.40,296.87,296.85,287.63,283.34,295.76,311.55,293.99,288.82,289.71,294.62,296.54,292.25,301.19,319.69,347.03,359.12,364.46,L7
2000-02-13 21:46:48+00:00,275.69,273.77,276.13,281.77,289.88,301.53,292.47,283.13,289.54,292.21,293.91,293.47,291.24,283.28,280.52,292.36,307.72,291.06,285.94,286.19,291.56,292.72,290.47,300.00,318.44,346.25,358.20,362.85,L7
2000-04-01 21:46:34+00:00,273.08,272.36,273.01,278.46,288.00,300.37,289.19,282.95,291.00,289.27,289.34,287.77,285.58,281.35,281.98,292.09,308.79,288.85,285.79,285.45,290.75,291.29,290.50,297.98,317.28,343.73,354.96,358.77,L7
2000-05-19 21:46:07+00:00,275.42,274.97,274.30,279.15,289.15,302.65,293.20,286.38,294.08,290.37,290.09,288.77,285.94,284.34,284.30,293.92,310.53,291.51,286.94,286.69,292.54,290.71,288.98,297.37,315.89,344.30,356.22,359.02,L7
2000-08-07 21:45:08+00:00,275.12,274.50,273.22,280.28,290.35,304.15,295.26,289.20,292.73,294.44,292.60,289.00,286.24,285.23,284.73,294.97,309.00,288.09,285.89,282.99,290.78,288.75,287.56,295.00,310.50,336.12,349.52,350.23,L7
2000-12-13 21:44:28+00:00,282.89,281.25,283.45,289.59,297.50,315.47,305.19,294.73,298.21,306.15,302.80,295.79,295.54,293.03,294.50,304.34,313.39,288.28,295.35,282.07,294.86,295.42,293.42,298.35,307.51,322.06,342.62,336.97,L7
2001-04-04 21:44:06+00:00,282.35,280.15,287.20,290.42,300.26,319.29,302.49,296.89,298.96,304.23,299.69,301.35,297.68,302.60,297.21,305.33,320.81,299.28,295.79,292.76,303.20,302.16,292.93,306.66,322.35,339.01,345.30,345.99,L7
2001-04-20 21:44:10+00:00,284.34,282.08,289.01,292.02,300.83,318.48,303.28,295.99,297.57,304.12,300.80,296.69,299.69,300.31,296.46,305.54,323.49,302.74,294.06,294.15,302.48,302.62,289.95,305.57,320.52,339.44,344.64,347.01,L7
2001-05-22 21:43:54+00:00,282.72,280.93,286.70,290.77,300.88,317.94,302.74,295.31,297.56,302.43,298.96,295.22,296.49,298.64,295.98,302.52,320.53,300.06,294.38,293.83,299.68,300.66,290.71,304.34,315.99,338.44,342.40,342.67,L7
2001-07-25 21:43:18+00:00,280.33,280.09,284.06,287.88,300.05,316.70,302.96,294.29,296.38,299.62,296.10,292.91,294.21,295.55,294.63,302.32,318.55,299.33,291.84,291.15,299.90,300.33,292.56,305.41,317.31,340.74,344.21,344.97,L7
2001-08-10 21:43:00+00:00,282.58,280.91,283.64,288.17,300.37,319.40,304.50,294.97,296.30,300.09,296.07,292.57,293.35,293.61,295.25,302.30,317.83,298.64,290.37,289.82,299.45,299.02,292.69,304.17,317.09,340.43,344.66,345.22,L7
2001-09-11 21:42:38+00:00,285.19,282.40,283.35,289.58,301.90,320.75,307.10,295.33,294.69,300.42,297.31,293.98,295.19,293.75,295.70,302.68,318.65,299.35,291.54,290.46,300.05,298.21,293.01,303.10,316.38,341.38,346.60,346.62,L7
