dates,satname,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014
2005-06-07 22:04:06+00:00,L7,349.25,342.32,336.09,322.83,322.23,324.92,329.03,324.46,297.04,283.58,288.89,352.95,337.58,342.27,345.52
2005-06-14 22:10:13+00:00,L7,530.11,519.73,,,,,,,,,,626.26,586.94,,
2005-06-15 22:02:10+00:00,L5,380.13,343.27,,325.45,308.51,298.06,327.54,283.95,278.11,268.99,260.17,327.24,311.02,313.34,
2005-06-22 22:08:22+00:00,L5,331.03,372.68,411.47,443.75,451.10,464.49,,,,,,,,,
2005-06-30 22:10:11+00:00,L7,,,,,,,,,,,,,,,
2005-07-08 22:08:27+00:00,L5,377.75,351.72,327.31,324.56,337.36,347.38,353.24,314.53,315.49,,300.76,345.17,353.72,361.45,357.21
2005-07-09 22:04:02+00:00,L7,369.88,327.70,322.03,316.98,329.45,347.01,343.29,322.72,,,277.33,348.53,345.77,353.12,346.99
2005-08-26 22:03:51+00:00,L7,373.66,325.72,322.60,330.33,322.46,316.95,318.48,314.75,312.68,310.28,316.92,319.38,292.69,296.69,304.79
2005-09-18 22:09:51+00:00,L7,,,,,,,,,,,268.59,248.80,,,
2005-09-27 22:03:40+00:00,L7,348.65,314.12,320.48,308.48,304.11,298.10,301.71,309.86,294.76,298.13,303.33,300.12,,265.39,
2005-10-05 22:02:41+00:00,L5,378.30,354.06,344.31,351.57,346.80,337.49,341.23,346.35,342.33,345.25,349.62,357.24,362.29,360.30,342.80
2006-01-01 22:04:22+00:00,L7,,,337.61,338.21,338.59,336.12,334.18,332.43,331.06,333.48,342.13,346.71,345.09,361.97,
2006-02-18 22:04:40+00:00,L7,,,,,,,,,,,,,,,
2006-03-14 22:05:42+00:00,L5,390.72,373.83,360.50,354.58,343.37,339.04,334.76,346.28,361.98,367.92,357.83,359.33,365.96,377.50,379.34
2006-04-07 22:04:39+00:00,L7,380.04,349.37,333.15,333.56,332.28,310.12,307.76,315.83,347.71,342.66,345.27,333.87,336.03,330.44,341.35
2006-04-14 22:10:48+00:00,L7,,,,,,,,,,,,,,,
2006-04-15 22:06:18+00:00,L5,384.68,377.31,365.67,357.50,350.17,328.75,319.72,338.68,364.30,372.19,369.01,366.32,365.50,387.66,391.26
2006-06-02 22:07:00+00:00,L5,,,,,,320.26,316.81,300.19,321.04,298.33,321.14,341.05,337.99,333.02,327.47
2006-06-25 22:13:31+00:00,L5,,419.82,449.08,479.27,485.87,498.86,517.45,516.74,517.08,514.71,509.38,514.72,500.18,505.74,501.30
2006-06-26 22:04:32+00:00,L7,336.82,,,,,143.38,138.89,141.65,127.86,,,,,,
2006-07-27 22:13:58+00:00,L5,254.65,283.29,318.18,354.99,374.79,399.25,399.23,407.59,,,,,,,
2006-08-04 22:10:28+00:00,L7,,,,,,,,,,,,,,,
2006-08-12 22:14:11+00:00,L5,399.55,,,,,,,,,,,,,,
2006-08-28 22:14:23+00:00,L5,,,,,,,,,,,,,,,
2006-09-13 22:14:35+00:00,L5,,,,,,,,,,,,,,,
2006-09-14 22:04:09+00:00,L7,358.70,308.14,303.82,308.65,305.73,299.72,296.33,296.41,288.62,242.11,124.28,165.25,172.72,246.99,288.39
2006-10-16 22:04:06+00:00,L7,405.21,316.18,309.81,305.47,299.36,294.20,274.06,302.34,295.42,298.62,282.83,,244.87,247.88,
2006-12-11 22:09:16+00:00,L5,395.89,350.32,347.78,340.89,336.56,326.79,320.91,312.37,306.11,313.76,326.99,330.35,319.19,322.42,326.50
2007-05-12 22:04:59+00:00,L7,371.11,319.18,312.06,322.03,328.14,324.53,327.70,318.60,304.63,288.81,299.81,320.56,319.83,315.79,312.84
2007-07-06 22:11:01+00:00,L7,,,,,294.76,301.46,281.49,278.80,271.13,272.94,274.06,313.92,310.46,319.76,310.15
2007-07-15 22:04:48+00:00,L7,378.69,313.01,292.24,311.70,307.50,307.88,310.83,286.22,308.47,276.01,349.94,349.98,318.34,336.72,357.76
2007-08-07 22:10:52+00:00,L7,,,,,,,,,,,,,,,
2007-08-23 22:10:46+00:00,L7,265.58,310.40,291.59,311.99,462.30,473.50,298.08,278.22,300.55,293.84,302.19,306.44,275.99,286.60,290.97
2007-09-01 22:04:31+00:00,L7,371.15,316.09,308.85,316.92,312.25,307.96,308.09,307.16,315.02,319.86,315.74,315.20,303.97,308.58,308.62
2007-09-16 22:13:52+00:00,L5,381.70,332.14,319.34,314.34,313.66,314.46,317.19,330.31,333.69,337.36,339.24,332.14,319.58,327.33,325.45
2007-11-20 22:04:46+00:00,L7,,,,,,,,,,,,,,,
2008-03-18 22:10:55+00:00,L7,,,325.94,327.17,328.38,325.20,336.90,337.60,326.25,334.65,346.52,354.82,343.74,333.04,333.91
2008-04-12 22:04:44+00:00,L7,,,,,321.95,311.51,325.43,320.16,324.45,325.22,332.47,337.26,332.33,317.21,312.82
2008-04-19 22:10:54+00:00,L7,,,,,121.25,192.12,,,,,,,,,
2008-05-05 22:10:50+00:00,L7,,,330.15,336.71,339.29,355.54,370.24,377.49,358.47,341.96,362.85,392.07,389.80,368.78,365.35
2008-07-08 22:10:15+00:00,L7,,,293.09,302.87,296.12,303.96,295.74,287.50,280.57,275.62,285.55,294.56,307.11,317.40,316.63
2008-08-09 22:09:59+00:00,L7,,,,,,289.58,287.89,278.90,282.15,263.05,286.41,286.88,257.86,,
2009-03-14 22:04:45+00:00,L7,368.46,337.86,333.33,341.10,336.10,337.07,345.61,347.27,351.52,342.16,349.38,361.08,352.11,362.82,350.11
2009-03-30 22:04:52+00:00,L7,351.34,311.11,306.25,312.97,312.23,309.47,314.06,315.78,314.53,303.99,311.22,316.56,307.94,306.97,314.30
2009-04-06 22:11:05+00:00,L7,,,,,,,,,,,,,,,
2009-05-01 22:05:01+00:00,L7,,,,335.79,328.84,325.06,327.74,295.13,314.35,329.83,340.95,339.08,334.44,330.26,330.65
2009-06-25 22:11:11+00:00,L7,,,,,,,,,,,,,602.31,547.82,
2009-08-05 22:04:48+00:00,L7,388.18,334.25,331.25,329.91,344.09,336.99,339.11,311.54,325.62,328.06,346.27,354.69,343.99,350.65,342.63
2009-08-12 22:10:57+00:00,L7,314.34,310.81,300.49,308.39,322.09,305.46,308.63,,,289.26,311.89,314.98,302.00,302.16,308.20
2009-08-28 22:10:57+00:00,L7,,,294.36,306.11,308.16,306.07,310.42,301.82,298.46,291.18,301.63,294.11,278.03,284.08,289.23
2009-10-24 22:04:54+00:00,L7,369.73,323.54,320.50,327.25,330.43,323.91,324.05,343.08,340.41,338.95,335.02,326.43,290.53,323.11,326.20
2010-03-01 22:06:39+00:00,L7,407.52,329.23,317.03,329.41,330.73,329.87,328.38,341.64,339.15,352.56,358.31,341.24,345.19,348.59,352.87
2010-05-04 22:06:46+00:00,L7,380.89,317.52,305.00,325.12,319.04,313.87,315.38,301.36,322.69,319.52,327.53,328.71,331.66,322.73,323.16
2010-07-23 22:06:50+00:00,L7,268.40,322.03,332.74,356.04,344.73,322.81,305.06,290.57,341.35,355.05,354.48,358.72,355.00,353.51,344.10
2010-08-08 22:06:48+00:00,L7,333.54,342.16,340.35,347.00,332.87,314.12,321.72,323.05,356.96,366.54,357.68,358.79,348.50,354.79,346.44
2010-08-31 22:13:03+00:00,L7,355.93,333.31,321.88,327.79,309.66,305.76,293.52,292.11,324.95,335.18,341.37,330.71,327.02,315.43,315.66
2010-09-25 22:06:53+00:00,L7,368.32,318.97,311.71,309.45,304.79,296.38,300.70,307.11,301.85,301.60,305.55,308.41,294.12,275.95,
2010-12-13 22:10:37+00:00,L5,395.74,332.43,332.31,330.36,329.76,320.74,318.93,339.55,334.56,338.60,329.72,326.82,329.18,330.96,339.21
2010-12-21 22:13:51+00:00,L7,,,,,,,,,,,344.28,340.21,346.97,362.55,365.95
2011-03-12 22:04:31+00:00,L5,,,,,,,,,,,,,,,
2011-04-12 22:14:24+00:00,L7,,,,,,,,,,,,,,,
2011-05-14 22:14:21+00:00,L7,,,,,,,,,,,,,,,
2011-06-08 22:08:12+00:00,L7,367.70,319.14,304.44,313.40,310.90,317.67,321.42,286.80,265.37,284.13,288.36,311.58,320.39,324.23,323.10
2011-06-15 22:14:22+00:00,L7,377.93,316.46,294.40,,,,,,,,,,,,
2011-07-01 22:14:18+00:00,L7,,,,,,,,,,,,,,,
2011-07-10 22:08:07+00:00,L7,,,,301.62,297.58,303.91,298.87,284.26,274.48,281.81,286.59,287.12,269.19,277.99,288.49
2011-07-26 22:08:05+00:00,L7,,,,,299.95,299.17,292.90,282.38,281.21,276.05,284.71,284.75,277.43,287.50,284.60
2011-08-27 22:07:59+00:00,L7,387.83,333.21,333.60,337.07,336.62,330.32,331.50,338.34,338.42,336.32,335.04,336.16,323.88,335.43,332.57
2011-11-06 22:14:15+00:00,L7,,,,,,,,,,,,,,,
2011-11-15 22:08:10+00:00,L7,389.45,335.29,325.45,333.77,329.47,331.71,345.91,348.29,346.37,351.69,366.24,349.71,322.18,323.67,326.79
2012-02-10 22:14:54+00:00,L7,,,,335.44,347.03,356.69,355.95,356.94,356.55,351.96,356.60,360.86,359.29,358.97,
2012-02-26 22:14:55+00:00,L7,,,,,338.24,327.06,328.50,344.52,344.08,332.49,336.10,329.90,323.41,257.90,276.93
2012-04-07 22:08:40+00:00,L7,,341.77,315.45,317.91,340.72,350.63,359.00,361.13,351.42,344.54,344.17,357.29,371.53,387.75,390.12
2012-07-19 22:15:37+00:00,L7,,,,,,,,,,,,,,,
2012-08-29 22:09:52+00:00,L7,386.48,,313.37,312.73,338.53,345.19,355.95,344.30,326.04,314.07,331.47,357.70,385.06,,
