dates,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014,satname
1999-08-26 22:07:32+00:00,382.70,,,,,,,349.38,,,,357.34,353.72,349.13,341.04,L7
2000-02-25 22:13:25+00:00,,,,313.06,312.24,316.25,313.24,,315.29,,,,,,,L7
2000-05-08 22:06:44+00:00,369.61,339.11,326.42,326.04,326.61,323.00,321.00,321.52,321.70,292.01,315.35,330.33,321.55,319.46,329.76,L7
2000-05-15 22:12:54+00:00,369.61,339.11,326.42,326.04,326.61,323.00,321.00,321.52,321.70,292.01,315.35,330.33,328.89,329.82,331.59,L7
2000-05-31 22:12:42+00:00,369.61,343.05,337.34,331.57,324.65,325.77,325.86,325.03,323.34,296.74,307.12,332.46,334.43,336.28,334.30,L7
2000-08-03 22:11:55+00:00,373.71,341.98,333.91,332.65,328.51,327.52,326.37,322.80,322.88,304.94,313.86,332.04,334.08,336.55,332.31,L7
2000-09-20 22:11:14+00:00,373.45,335.51,329.32,336.69,330.89,328.06,327.88,323.57,325.56,309.22,316.82,329.28,334.08,329.57,330.76,L7
2001-01-03 22:05:00+00:00,387.86,331.25,326.62,337.29,336.24,329.73,331.69,332.14,335.00,330.92,335.19,331.70,335.06,319.50,336.24,L7
2001-06-28 22:03:56+00:00,394.92,325.83,332.90,346.01,346.84,337.99,347.87,338.74,338.96,326.81,333.95,327.28,325.59,299.24,337.81,L7
2001-07-14 22:03:57+00:00,377.02,313.86,328.56,345.25,325.18,325.91,316.85,310.94,311.56,298.60,308.70,316.16,315.98,297.97,311.08,L7
2001-08-15 22:03:26+00:00,380.50,328.24,339.84,350.42,334.39,327.98,323.36,313.54,310.20,304.42,316.50,323.53,319.69,315.23,326.13,L7
2001-11-03 22:02:58+00:00,378.26,337.04,343.93,352.51,343.18,335.98,331.62,321.56,310.20,314.19,323.64,329.66,327.44,326.26,332.87,L7
2002-04-12 22:03:25+00:00,374.23,357.68,356.60,362.04,364.62,358.56,352.91,352.81,,348.22,349.63,351.60,355.54,359.93,350.24,L7
2002-06-15 22:03:07+00:00,361.80,333.26,331.24,344.34,341.81,343.81,331.25,360.02,288.09,352.96,354.19,329.46,338.53,335.56,330.33,L7
2002-08-18 22:02:45+00:00,365.85,329.31,325.20,338.47,337.15,339.09,330.39,360.02,302.35,337.48,344.88,329.60,326.79,327.19,325.49,L7
2003-03-14 22:03:20+00:00,370.31,334.67,333.92,335.08,327.59,312.84,307.74,320.17,329.22,328.23,322.64,332.86,335.12,325.65,318.51,L7
2003-08-05 22:02:59+00:00,397.66,334.67,333.92,335.08,327.59,297.13,307.74,320.17,329.22,328.23,322.64,332.86,335.12,325.65,318.51,L7
2003-08-13 21:51:32+00:00,397.66,331.31,313.34,335.08,327.59,297.13,289.43,320.17,329.22,334.48,330.92,336.21,338.99,342.79,330.26,L5
2003-08-29 21:51:49+00:00,397.66,331.31,313.34,320.39,330.55,309.38,300.44,324.34,334.61,337.16,332.03,337.59,343.16,344.24,331.14,L5
2003-10-24 22:02:58+00:00,406.72,326.61,309.28,322.56,338.39,319.42,308.82,337.19,347.06,343.10,333.81,336.92,346.65,346.80,337.46,L7
2003-11-09 22:03:06+00:00,411.96,326.91,314.81,328.77,343.40,326.29,316.34,341.45,350.67,346.72,335.95,337.88,349.94,354.04,344.09,L7
2003-11-17 21:52:57+00:00,411.96,326.00,318.01,330.72,342.80,326.77,317.62,339.01,346.11,344.31,335.55,339.26,348.02,351.31,343.99,L5
2004-04-25 21:54:35+00:00,422.46,325.38,326.75,342.05,338.49,337.79,316.36,324.97,342.31,349.21,341.72,346.65,348.99,357.65,353.01,L5
2004-06-12 21:55:59+00:00,,355.28,330.18,340.73,317.52,319.23,300.01,294.94,313.29,355.38,322.72,349.50,348.25,354.59,363.25,L5
2004-07-22 22:03:32+00:00,,355.28,330.18,340.73,317.52,319.23,307.72,298.41,317.27,341.16,322.45,341.82,348.25,354.59,363.25,L7
2004-08-15 21:57:37+00:00,369.57,344.69,332.80,338.92,323.37,318.80,310.62,299.76,320.70,338.31,326.51,340.76,345.66,346.05,350.05,L5
2004-09-08 22:03:17+00:00,379.44,344.62,335.89,337.56,323.37,318.80,310.62,299.76,320.70,338.31,326.51,340.76,345.66,346.05,350.05,L7
2004-09-24 22:03:12+00:00,383.18,344.80,337.16,336.93,325.52,322.60,314.12,304.74,322.97,337.19,330.18,342.74,344.87,342.71,350.37,L7
2004-10-10 22:03:07+00:00,384.41,344.45,336.51,337.49,327.76,324.30,316.31,308.25,324.29,337.60,330.74,342.17,344.24,340.14,348.51,L7
2004-10-18 21:59:11+00:00,390.68,344.78,337.41,339.11,330.44,327.20,318.33,310.89,325.90,339.35,332.81,343.34,344.89,340.25,347.09,L5
2004-11-03 21:59:30+00:00,395.08,345.15,338.16,339.24,333.96,328.57,323.48,313.83,324.11,336.14,330.14,341.49,344.51,336.94,344.91,L5
2004-11-19 21:59:42+00:00,395.08,341.02,335.02,338.37,332.44,329.47,330.18,322.37,324.11,336.14,330.14,341.49,344.51,336.94,344.91,L5
2005-01-13 22:06:52+00:00,398.09,339.09,336.86,340.06,336.29,331.91,334.20,328.51,331.62,336.30,336.55,340.72,342.30,334.08,337.99,L5
2005-02-14 22:07:21+00:00,404.85,340.50,339.21,342.19,336.49,334.17,339.39,338.08,333.37,339.56,339.68,345.08,342.75,335.36,341.57,L5
2005-04-04 22:04:14+00:00,410.79,339.03,338.44,344.94,337.39,332.90,339.43,338.58,334.41,336.73,333.29,343.22,342.84,336.25,338.31,L7
