,dates,usa_CA_0204-0000,usa_CA_0204-0001,usa_CA_0204-0002,usa_CA_0204-0003,usa_CA_0204-0004,usa_CA_0204-0005,usa_CA_0204-0006,usa_CA_0204-0007,usa_CA_0204-0008,usa_CA_0204-0009,usa_CA_0204-0010,usa_CA_0204-0011,usa_CA_0204-0012,usa_CA_0204-0013,usa_CA_0204-0014,usa_CA_0204-0015
0,1984-05-02 18:13:15+00:00,239.6701510729893,246.40932919771768,252.96143779938893,235.75642358579418,234.58750363653365,220.94086235548656,245.73875025583587,276.06367472681774,264.7539352437142,240.61925851128595,247.31885928068502,245.95702938027534,247.724848960127,223.5895324774662,189.90109270113842,180.48384358864493
1,1984-09-07 18:16:09+00:00,280.2516992722544,268.91742397959734,274.2375655544018,265.1703913280423,269.5805846318165,262.66533751730583,281.39130523733843,307.61222306814295,296.8982189368884,268.6322940698116,281.2917626606283,275.003243745738,278.8882023133435,253.03234541789416,217.30023295659015,187.83512398738378
2,1984-09-23 18:16:11+00:00,255.97073172023346,263.16869545724205,265.4575567733974,257.57768933995794,261.734911505474,241.9951401564305,267.0692462665461,298.7165815859375,270.43373326520856,257.0710848086449,272.2768593702443,266.02629909981266,263.7648021697658,234.41447859416132,201.76953492552573,184.6651961784078
3,1984-10-25 18:16:05+00:00,264.1008178164835,279.2816518787014,280.67988946310135,268.38629580376903,274.43496447288805,255.83449720297907,269.6156712592422,278.2182347098656,277.08512385647475,267.6288937627917,270.1660877437723,265.80018423697766,264.0068141977563,230.553983483007,202.0328143664419,210.6049339827786
4,1985-10-12 18:15:03+00:00,281.58304207389244,276.5524767820081,279.0700815374992,277.89630472538255,286.66059885810245,278.1390023691392,,,307.096681280125,303.6580984832981,,,,,,191.4675960314135
5,1985-10-28 18:14:51+00:00,279.6309861218376,289.3281320803812,281.59385343312726,274.2267230190979,287.11864418040136,274.93152929058374,297.12472208767997,,305.924701072219,292.8020293751316,295.3398508201723,291.1010001623532,297.0061579308256,,229.42877070766448,195.41067957923562
6,1986-02-01 18:13:04+00:00,,,,,,,,,,,,,,144.71806224618885,155.50783473990188,152.97939383125828
7,1986-03-21 18:12:01+00:00,238.13373162295738,234.97321447201753,230.06549539617995,229.1863174541971,235.26551216401378,244.3591010261834,290.27704424867204,315.1382950705761,295.9106474646011,272.0508119654789,266.4367492725153,238.54118866517658,221.50411968727502,192.3870917968141,178.98557675452784,185.57154852100712
8,1986-05-08 18:10:55+00:00,,243.92684806820907,255.12038836414618,249.2374600214894,259.55886232230296,263.25458338059195,298.00159618587963,315.03310217878675,292.3158205399128,275.81687653415906,277.3343226080543,265.94139824500036,255.08159721050114,213.18841481765475,178.85033055879182,184.24594642110034
9,1986-06-09 18:10:00+00:00,248.86666929587722,247.68218412476435,258.2792100951033,254.44892728057414,256.570363719616,259.06482216894614,277.63755743458415,286.4150121396559,259.26785344265335,272.2624518167664,274.17316531656553,267.80410942559445,255.772638665006,231.66225054258118,175.38117575786475,176.82182836390874
