,dates,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0015,nzd0302-0016,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0028,nzd0302-0029,nzd0302-0030,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041
0,1999-08-05 21:47:23+00:00,,,226.00227427002008,,,189.79523630997605,212.8664047818783,212.75997807437932,217.30633296652968,186.9081439809735,170.0050677334209,,,172.77713037928294,,,,,,,,,,207.489184988816,199.20935080517353,206.64951646208905,223.2523729055964,229.34413050070393,,,,,228.5183895011259,215.6043090680281,208.5306944975146,,230.09808474873802,213.56646834540163,,211.6763452793707,220.92628386524387,
1,1999-08-12 21:53:32+00:00,225.30795851751296,234.95202131453763,243.51392002772363,235.14190716528523,231.02502020204338,214.25937483108115,218.02843723710998,211.51892399481443,206.45871510129152,166.38411850372617,151.89199162818537,,214.4128604018729,188.35746961823227,194.71975830505875,195.84895184066605,196.6766110435465,185.78743397131623,176.01761606863062,203.64073033484374,229.07129935305443,247.27404357014194,241.4073401928413,225.30746862640348,226.09848223379208,230.62120941243364,234.91778990776783,239.9271043432288,256.6066757574267,251.11934302527678,235.7843994300974,231.19665427425358,231.95594089905003,229.50572553964682,232.09285402383352,233.76514603885707,252.01540606667473,236.1809782376254,225.12457178298394,235.38611754891792,237.94856440252087,
2,1999-08-21 21:47:20+00:00,229.4415345255626,249.07453642538832,256.00258494881894,246.32590232728776,243.57317059386045,237.37393786806885,232.0165400765808,240.85553183614837,232.99512588527682,195.64901120120473,184.44465396499712,,211.80559934526684,192.78168821309,189.6140743244895,190.20896140040128,188.6783990630656,188.32471365357054,181.01058154827592,206.65055442435067,233.69989104827903,242.44078402419038,236.31759007474332,217.5583370047004,216.4267488914336,220.54298986593378,228.792644691183,231.4632750010301,248.2935836621627,238.54157203611106,224.81347139732003,220.34514652272497,230.1472793084648,228.51198196431127,218.98087179857094,227.7011396936863,241.18847249520323,235.19268451542519,218.52502124973773,229.01432987972774,234.6510008919732,
3,1999-08-28 21:53:35+00:00,220.32623125971097,238.30482243541132,249.053657309077,239.47144984853588,241.7355448265098,240.2310015873092,250.04970149747646,,,,,,,,179.6999107925467,169.18111578551702,165.30687792196278,168.8937943594897,185.47838555357143,208.5421322751982,236.60633053977224,250.67699127086914,234.97803144482927,218.4435947444818,209.7189256104061,225.05799443961357,221.4218243637184,226.41417136390444,237.05613387960045,224.02055916370915,204.49470053606413,202.68679170979388,216.51984675937427,213.29907993521738,204.44269346645117,212.55890298521317,235.53475112058018,221.25591476277916,,219.54865550903446,229.88339959309752,
4,1999-09-22 21:47:24+00:00,,,,,,,,,,,,,,,184.68186960239143,,180.70865658724892,,198.03679450754882,232.659509077736,259.5052555139347,,253.09421690213713,227.46326749692565,216.99540918613474,236.45062785495253,,240.06988147258858,249.1034857572246,,,,,,,,,,239.98939074505427,,,257.2223347957705
5,1999-09-29 21:53:40+00:00,245.77780520680517,256.12400584470254,283.068403600957,261.4177745161979,255.74971743996463,244.25300905765545,242.1842565795713,254.09062502165267,242.9631085736468,205.88947103409123,196.76782207498184,,227.23484795304606,203.0132318074497,,183.85143895175509,,188.02289393314635,,,,,,,,,231.75938400066144,,,245.6932065761698,228.56477328067717,231.3170500352541,246.6961815297933,240.3841763090786,226.083082621679,238.9873562540884,261.394231508799,241.82475604845496,,233.27053602431965,263.2686193768507,
6,1999-10-24 21:47:20+00:00,,,,,,,243.12962077198375,,,,,,,,192.67521173706558,,196.21282234083714,,205.52406057414464,227.35688859225723,248.0345934032204,269.6111752877094,239.41389181289566,222.9659502112254,216.52056163393664,235.01784985356485,232.33325713012894,236.09252681596118,248.167178420857,241.02535531559107,222.84080923316733,225.93828589880957,238.66791204820464,235.5322848176666,241.63664322549948,,,254.37523927780836,247.6938601537838,,,227.84909684313567
7,1999-11-16 21:53:32+00:00,231.40807848995132,249.51298859780994,264.69208213275886,258.523516149395,255.11042076836495,248.9038073389055,249.85879867055374,261.35619211601625,245.8337913287673,206.1564848665453,197.90988154429513,,226.55142416767782,212.4113933050917,194.2863589088794,185.0705966058112,,182.3214988917561,204.10100887912387,,243.3438356567658,,245.02831581800797,225.95138312630573,220.6752409684212,231.14603070768948,226.11608370018376,243.48609960469017,246.6369640207743,239.57550050310374,228.0527762194389,232.6118930577327,247.2410375568854,247.31895584782907,237.04339012141702,253.90357470102182,268.09029260708184,248.13817735185245,,228.00876906030177,242.877388301982,
8,2000-01-19 21:53:25+00:00,,,,,,,246.04928499917656,,,215.36457959418473,207.25967045647317,,,,189.96148197563068,,206.89387137862258,201.71770099192202,200.95447819906133,225.37880814384624,247.30410823965252,273.59140831937043,233.75552813386042,210.5822097041451,209.94640295248752,230.11469305574565,229.56157399658537,228.2509861931503,239.718947786451,239.95185263948434,215.11395945295283,222.0295082528333,236.29721421176413,237.94047479956936,230.57658356321002,246.02328076705214,255.63754780940405,245.96825881278784,253.3947226686469,,,229.7398233795929
9,2000-02-20 21:53:17+00:00,230.18546788297655,246.31142663209735,255.3582481245417,253.70846922185763,258.6070103560671,254.54450253348566,250.7649227023948,269.1954443850134,244.4648817051368,206.38699704087904,200.75349783752756,208.54100721430953,218.17269325702222,194.8779395539758,186.5027815629137,184.5690763780039,185.09229426146078,191.77818161325283,211.8918117435799,221.37193797609063,237.50617317489528,250.65640501542495,240.86251085052288,223.94528751748842,217.61543270109155,224.81077361513175,231.2235598631957,233.89087438184012,243.0469433722542,234.84940439367747,220.19390212664112,227.6381900447313,239.1211329460689,242.5561117720931,235.24437961512427,244.91755424565892,252.07410102824207,240.34888551171997,229.47732686121066,234.14813485484024,240.64752570659908,
