,dates,per0156-0000,per0156-0001,per0156-0002,per0156-0003,per0156-0004,per0156-0005,per0156-0006,per0156-0007,per0156-0008,per0156-0009,per0156-0010,per0156-0011,per0156-0012,per0156-0013,per0156-0014,per0156-0015,per0156-0016,per0156-0017,per0156-0018,per0156-0019,per0156-0020,per0156-0021,per0156-0022,per0156-0023,per0156-0024,per0156-0025,per0156-0026,per0156-0027,per0156-0028,per0156-0029,per0156-0030,per0156-0031,per0156-0032,per0156-0033,per0156-0034,per0156-0035,per0156-0036,per0156-0037,per0156-0038,per0156-0039,per0156-0040,per0156-0041,per0156-0042,per0156-0043,per0156-0044,per0156-0045,per0156-0046,per0156-0047,per0156-0048,per0156-0049,per0156-0050,per0156-0051,per0156-0052,per0156-0053,per0156-0054,per0156-0055,per0156-0056,per0156-0057,per0156-0058,per0156-0059,per0156-0060,per0156-0061,per0156-0062,per0156-0063,per0156-0064,per0156-0065,per0156-0066,per0156-0067,per0156-0068,per0156-0069,per0156-0070,per0156-0071,per0156-0072,per0156-0073,per0156-0074,per0156-0075,per0156-0076,per0156-0077,per0156-0078,per0156-0079,per0156-0080,per0156-0081,per0156-0082,per0156-0083,per0156-0084,per0156-0085,per0156-0086,per0156-0087,per0156-0088,per0156-0089,per0156-0090,per0156-0091,per0156-0092,per0156-0093,per0156-0094,per0156-0095,per0156-0096,per0156-0097,per0156-0098,per0156-0099,per0156-0100,per0156-0101,per0156-0102,per0156-0103,per0156-0104,per0156-0105,per0156-0106,per0156-0107,per0156-0108,per0156-0109
0,1984-12-25 14:41:08+00:00,,,,,,,,,,,,,,162.00913387275241,,,199.13730771789326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.59844368175408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985-01-26 14:41:44+00:00,85.78548340953256,79.56929742201757,73.95190095500837,104.34482014963938,103.32275363902966,108.47570642681394,98.53348228089857,121.39542596657446,126.69215005509383,129.98828345091255,140.23975811023922,149.2902584260729,134.45007989705636,151.64742098212452,143.68527585846124,157.75689862953988,161.16736696900182,157.87545289196015,166.98818336045204,168.44924364565856,169.07813504999046,157.2609191539493,169.01631071048124,168.1387091579703,162.15128779307003,150.18516642772443,152.7295397888787,149.0414996423495,146.06239391388652,137.58799633444485,141.79333109360493,139.58936631638994,126.8793457613381,135.96703130409583,138.4460831953147,137.68372369496723,134.41049460277515,137.05306490041198,140.16100076034616,138.0215388386795,142.58715602224026,138.73253260784873,143.9499290997293,152.32352449233406,149.92360690683515,160.20691366556264,162.68628304328325,163.8630328781007,168.13223568449467,169.31480183355552,165.5770005512493,166.1233279503465,172.96670677810982,178.59000673037295,173.3793949488977,179.10593613912852,169.24349394008794,173.76565236435843,171.84325106821572,176.41777264428492,174.20347766172293,170.48029747238843,176.34191328399027,165.99043677471704,177.21835692067498,168.79691275808264,172.71215882316721,168.8048298888014,174.13091081512118,175.20021100792826,179.1062049713706,183.57362552221178,181.2134624769426,184.78510473615162,183.18795071201276,184.57831578811565,183.0351509414717,189.09309744974405,190.1484932296691,184.1470739683789,189.3864342426159,187.14595436149415,191.03077762853843,183.40872182023912,191.6635116653378,193.73109799347085,197.87797007568184,193.2464681509402,193.40315200186626,196.54009678226785,200.55366250967342,199.67865722933885,198.6659565562791,201.22707057389283,200.90184200239878,203.0076712530763,201.14879949462346,205.51192689509884,202.71368982963605,204.1599840687278,206.53711420509202,203.11685100091393,208.5098729752058,200.88240438124114,200.05457218648502,194.14940285709315,196.0885102019143,183.29616933439684,181.26090283946303,175.63945197868387
2,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-05-05 14:36:17+00:00,75.51089172558251,73.34989813333159,77.38123845180642,79.72992483127496,86.54117715695008,95.48800910641974,100.23930547770061,106.76159734076975,113.78812878523769,119.05786666799804,131.91271559819697,135.1276278156402,141.2994221662543,140.4581468000822,144.82308492589357,142.94061558284457,142.5874328050199,145.073191029516,145.7778769328197,149.11993317827242,155.18143182065006,160.884364624277,156.5422573921394,155.93502473417826,149.37248569500235,143.75449530659188,145.76251077471747,145.7551933929637,142.7334900189437,141.689315465511,136.77730713359637,134.4407439797218,127.66580066639315,125.78087405573999,119.30562611030756,120.12475053206859,119.54771564779365,120.23422016925205,129.4566909503512,131.87355452121787,135.91910683119625,141.7325932010512,143.91980245409275,145.8596287718599,155.9485075443304,154.58079358986555,157.99739161510053,159.30518495188173,159.2755646496902,164.20238117841828,161.8419481399457,161.02366513805202,157.88306242139868,156.7738711402921,162.9421625539071,166.383032854795,167.71332892310477,164.44607779080198,166.3180364885728,164.0577521103972,163.87851105943636,164.0188711932495,165.75821674966866,170.01483854337778,171.42209545129728,170.4664614794146,172.29968106156394,173.65851376342482,173.93928153486027,174.33443130026436,170.13239097020892,174.22191459343276,171.01513912813974,171.0872694258116,169.75153220591267,172.32761969307052,174.69398517169367,173.414884539002,179.79470434180945,178.58710173508683,178.80715757984785,184.89239987702112,190.92503340587712,193.15541700725151,190.3003676151382,189.36834886210636,188.22680826528918,191.5715012273136,192.80425420486975,190.59233060334617,192.31609413883393,187.6439219979611,186.22739644346765,187.71816002477257,187.3063904756598,185.1985604219664,185.87991391099325,184.45269590453148,186.3900553488284,186.143784689805,193.24450328949052,195.84881528905504,193.78648186259304,185.93344693162425,185.1324640402757,180.33452354040912,179.0470462057209,170.12428099352695,159.7736948376783,153.3395665170585
4,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-10-28 14:30:05+00:00,38.62404089026811,65.12277784767264,66.78765546582834,79.3128025656122,93.20873700083672,79.24267815419586,86.95530304529515,100.74361110065763,95.2028532388311,112.9868819239048,109.61017239718565,121.41470969022504,122.52650507104266,124.46603182559889,140.4361866937187,116.314405300672,126.62024821288199,150.77957063623,133.88405399840158,134.09543746346236,151.08472666599744,145.25253196960222,167.0980784596264,144.6321196054967,135.79251094658142,125.91044719229276,146.31568087368993,132.7072059937077,122.2798461829984,119.04737760827474,104.30835585157459,121.88874050935748,126.24743246680498,105.57259002044032,123.57427966504599,126.1256545390424,103.68404373462475,123.86688771564332,109.83542003486761,127.83290639855942,126.10302678430796,126.7202546733379,133.89864664888043,133.33182156672896,130.16987670551038,139.6534374407257,153.2655770413037,153.47185737892534,156.91092362208062,139.2166623632532,132.5965165196011,148.98245483099427,156.0512164302445,155.05793305966915,152.31231773956634,142.50005637319538,151.20995244206543,169.14073058014355,142.4246474605003,162.21903949100457,150.62932952228294,160.07552732793056,145.5562544915564,151.80550686455513,157.82781090176542,150.1768065966563,148.78505334640502,151.30699329797815,160.5281424943148,155.60476465995643,167.84877516951002,167.98686041597466,168.96843622756046,164.35238778199738,171.7105018545307,167.17912635072565,165.35836109661733,169.65190009774548,170.87019620703757,167.60014460944626,167.5944861705688,171.5680013886267,176.26837788658122,173.91131474321907,170.27441421884123,177.92640150724205,182.6893010549259,176.87891522014456,178.34567960298097,183.65708525884244,176.19040193140592,172.93771985099588,175.58295602729407,175.69713628070724,178.08547107475317,177.425659078185,182.02267603978459,182.69590204738415,183.52121705191905,176.79030615311885,178.68784763020068,178.20201603379124,177.94513961468328,173.43096810739033,167.333010674708,,,,,
