,dates,usa_CA_0074-0000,usa_CA_0074-0001,usa_CA_0074-0002,usa_CA_0074-0003,usa_CA_0074-0004,usa_CA_0074-0005,usa_CA_0074-0006,usa_CA_0074-0007,usa_CA_0074-0008,usa_CA_0074-0009,usa_CA_0074-0010,usa_CA_0074-0011,usa_CA_0074-0012,usa_CA_0074-0013,usa_CA_0074-0014,usa_CA_0074-0015,usa_CA_0074-0016,usa_CA_0074-0017,usa_CA_0074-0018,usa_CA_0074-0019,usa_CA_0074-0020
0,1984-04-18 18:01:41+00:00,208.13131167964983,211.87670027718823,214.09375616360737,215.93299982835077,223.80315152166685,234.25494008633757,244.40712860627133,238.81191207479043,238.0330833770168,229.1580502350575,226.70118741044274,223.77138710055198,216.92220059386946,219.59426196827647,223.63310817539713,225.69396091951825,225.12740775312824,230.67968188058728,226.61606096223522,224.4691934120128,220.49403160677622
1,1984-04-27 17:55:28+00:00,192.21234082213323,205.3485943490019,216.37870987125953,222.64637811199563,226.48572875260163,231.6221200665823,239.73699197930023,240.31169742542085,238.00265240432367,235.2994121201705,228.11746708404476,224.22048676616376,221.09984435359058,221.71370685537767,225.17177181176254,224.8358852203285,221.94800730423174,222.56240827473977,232.757925957436,232.56336753742755,227.5047565537888
2,1984-05-04 18:01:45+00:00,203.38721189470766,214.1185614713565,218.4336289240553,224.02312316292605,228.695455905491,228.90485015309014,240.3230641271104,236.6506185413558,235.16984053542734,231.85368996563994,228.1574246729305,226.9109445940669,222.24361266075164,226.42710389278437,218.92033183967638,214.8481820355494,217.415917568248,218.812006022809,223.9539764874505,223.90439322820885,219.65530671053466
3,1984-06-14 17:56:37+00:00,219.32670644282868,221.81286898305288,228.45907750948436,228.4815361934975,232.01993130628617,240.53232718036057,244.82838223853074,251.4673885284376,251.83283269594614,242.28313392280086,238.76558923411307,233.71826870228062,227.99238438318545,231.54578467667167,229.99444333115684,225.00559927290243,224.32128393211167,223.83701875896975,227.70862971447698,233.6446009440835,231.3404104077943
4,1984-10-04 17:58:26+00:00,201.7384857888343,208.6352703864721,217.24863779445545,229.1292729818355,231.55873204662956,242.60221823102145,247.1739434639843,246.3355271676444,247.30033867790254,244.85720208716032,246.7160485171732,241.95568329354066,240.8058693374805,241.04547072870736,236.2444028548017,231.88962748876787,227.41746420503858,232.0543693476332,236.22600911135171,238.78212351342313,242.04982537606188
5,1984-11-21 17:58:12+00:00,195.96185136279763,202.38363567998584,208.74478733988616,219.40378436776103,225.2265994135696,226.8438180627358,230.92235056606845,231.9251661751837,229.69785708510477,227.88230448156042,223.31953028401279,220.68914027527757,219.22441765555413,223.84875423416037,219.18943382984642,219.11944585474322,217.32008934463073,218.20118705716138,220.6161770338726,219.07366114402828,219.22877349708153
6,1984-12-14 18:04:35+00:00,217.0275888652422,221.01529432860266,225.60981664478163,235.73953502403077,240.8486435748095,249.6446997878811,251.42164367023278,254.77379810658775,250.940653695932,251.00594255672286,243.6108750101618,238.81102158380355,248.6070609383745,245.47599042558232,236.16898080509108,239.6892734453944,237.64826575950866,240.17987232306047,242.76788827563365,242.71445222265808,245.8956672236695
7,1984-12-30 18:04:44+00:00,220.84387604658394,225.84569428507004,237.09066179862833,245.40152461306894,249.76409180657103,252.23544012808344,256.35912941280964,254.5459247692959,253.4857871693423,251.27667428598448,245.48414246724622,243.16128642798262,250.28519394608577,246.75992678821007,247.21324938035116,245.92302654782938,245.60687742783293,245.90116285339153,248.47981295963842,240.31683797522098,237.9414353881224
8,1985-01-15 18:04:51+00:00,217.8324278020045,221.80748555052804,226.45141771733745,233.1465322526759,245.17723314330922,246.7354893842998,252.56661594161102,262.36644641676764,257.22991085448695,253.84507502371451,254.300077010606,248.7718879805035,249.6464549779064,248.28976189290142,246.05550874224377,239.00661508396982,240.38191577439557,239.8273459085242,239.52154887029235,240.85450770847302,238.83229785907375
9,1985-01-31 18:04:55+00:00,215.2907618271716,223.84347705038152,230.6791826333436,245.19283642289474,245.7547777599525,254.006319089706,258.0160558925817,252.63730670598443,257.80145408949386,250.81420519742002,251.57256869528482,248.1520490119598,245.6702623205972,248.47440956651846,244.00445864389823,241.88830097105674,238.50454033208874,231.8199529240974,237.23719692917467,235.05874412107073,235.78321979966864
