dates,nzd0177-0000,nzd0177-0001,nzd0177-0002,nzd0177-0003,nzd0177-0004,nzd0177-0005,nzd0177-0006,nzd0177-0007,satname
1999-07-18 21:58:49+00:00,367.42,364.88,369.82,373.51,,,,378.20,L7
1999-09-20 21:58:32+00:00,362.28,357.32,357.71,363.38,366.66,362.65,354.85,366.09,L7
1999-10-22 21:58:52+00:00,360.27,358.26,364.26,369.08,366.00,364.88,359.09,356.82,L7
1999-12-09 21:58:57+00:00,362.25,359.32,360.80,373.03,367.11,369.37,361.37,361.98,L7
2000-01-10 21:58:52+00:00,364.16,363.73,366.57,370.22,368.98,371.39,356.72,361.81,L7
2000-03-14 21:58:11+00:00,362.36,357.35,364.44,367.99,364.19,367.64,364.05,365.56,L7
2000-03-30 21:58:33+00:00,361.77,359.24,364.25,368.57,370.03,370.63,367.24,360.17,L7
2000-05-01 21:58:18+00:00,370.25,364.65,363.96,369.94,374.39,369.68,366.36,367.31,L7
2000-08-05 21:57:08+00:00,359.24,353.17,355.00,363.79,366.64,371.29,365.31,365.22,L7
2001-01-12 21:56:06+00:00,370.61,363.94,357.52,364.51,362.84,374.05,362.71,367.41,L7
2001-03-01 21:56:21+00:00,368.58,365.19,363.43,364.06,369.03,371.65,357.53,365.93,L7
2001-06-05 21:55:40+00:00,377.84,368.26,374.25,376.85,382.57,381.62,375.22,375.08,L7
2001-06-21 21:55:05+00:00,383.97,371.68,374.72,377.42,379.01,381.65,377.96,385.86,L7
2001-08-08 21:54:37+00:00,371.94,366.73,368.00,372.33,371.63,383.01,,,L7
2001-09-09 21:54:36+00:00,369.08,359.48,356.19,365.75,370.15,370.43,364.21,354.93,L7
2001-09-25 21:54:04+00:00,376.37,369.88,365.93,371.30,376.68,374.28,366.01,372.52,L7
2001-10-11 21:53:46+00:00,366.36,366.15,371.03,373.42,373.90,376.30,362.78,367.77,L7
2002-01-15 21:54:47+00:00,,,357.31,359.53,360.49,359.54,351.35,355.67,L7
2002-01-31 21:54:26+00:00,362.64,359.33,357.93,358.17,359.29,362.67,356.93,368.36,L7
2002-03-20 21:54:48+00:00,370.51,365.86,369.76,369.59,369.57,369.10,360.50,363.63,L7
2002-04-05 21:54:49+00:00,,,,,,363.51,353.25,358.53,L7
2002-08-27 21:53:36+00:00,373.35,361.59,361.94,370.50,368.89,373.15,375.84,374.29,L7
2002-10-14 21:53:43+00:00,363.88,353.65,359.82,370.45,371.29,371.44,367.44,359.73,L7
2002-10-30 21:53:49+00:00,,,,367.60,372.10,379.10,369.27,380.27,L7
2003-01-18 21:54:06+00:00,373.58,366.23,369.91,373.84,370.83,379.38,370.02,370.21,L7
2003-03-23 21:54:16+00:00,359.60,356.33,357.11,367.68,365.62,366.99,362.07,359.73,L7
2003-07-21 21:42:09+00:00,369.56,369.11,368.51,380.52,377.32,387.17,383.45,386.07,L5
