,dates,mex0575-0000,mex0575-0001,mex0575-0002,mex0575-0003,mex0575-0004,mex0575-0005,mex0575-0006,mex0575-0007,mex0575-0008,mex0575-0009,mex0575-0010,mex0575-0011,mex0575-0012,mex0575-0013,mex0575-0014,mex0575-0015,mex0575-0016,mex0575-0017,mex0575-0018,mex0575-0019,mex0575-0020,mex0575-0021
0,1984-10-22 17:47:12+00:00,227.4150571539463,208.86988872279431,220.74628575460991,226.4115700333225,221.98830080107675,211.31604819912104,203.31142786083586,200.478629601021,211.0013063286721,217.25493013699264,197.90807256855348,201.09329836028567,203.13376449167592,210.34753985640768,210.9670594410818,202.97847328769828,210.2256528148424,208.96817792473735,207.7976101381055,211.36089659786265,212.11997195446008,211.94764953163235
1,1984-11-23 17:47:03+00:00,221.3477443028931,205.72395271444344,208.4433372215301,211.9713195328541,212.7952215011862,202.15719108506767,193.80407123438803,188.52298076670058,188.43024127741407,189.2193507738364,189.59660874949765,190.49162487879707,193.6516759902309,201.09091738130513,201.59972534085722,201.1777724680373,194.08803027651285,193.1150765202562,195.5400769619291,193.92492963819564,198.3448732363431,204.927201216679
2,1986-04-03 17:42:51+00:00,233.3961247875947,205.56626931044076,202.73718351245358,197.46134992959188,220.54052267602162,215.2780065680627,209.064787483051,206.42302253336507,198.71597348492614,207.87261932778077,209.10122458040811,209.20235277413414,204.3699199601624,213.24995888692172,209.91316467983637,214.8517979744611,207.75813780092884,212.2013065052098,206.25371560942867,208.1523665347532,218.33437341035656,221.89176705016905
3,1986-04-19 17:42:29+00:00,238.448045348986,206.46372087713323,210.99986117972222,209.03469063209306,222.28078992857715,223.92119818781944,218.40839760794194,209.87895528188437,202.32476768290303,213.72073173018455,216.3289690338344,217.76307327219527,214.58426262585576,220.99493030808614,218.19913170240082,216.88277046995927,213.36207217197133,216.57284498625032,219.67153774156245,223.46590525417247,225.5600023468144,226.5853850373811
4,1986-05-05 17:42:06+00:00,231.1112562503398,208.85936308904232,208.29828463999175,208.00910465055347,208.20562917454492,209.22093996909962,206.7413920762333,196.2210757545392,193.47556329577608,205.8504280735765,200.17337320211206,205.96164990455497,201.5630652462019,213.0091455079493,211.1575030618148,209.85280597854876,205.31500739801834,210.3272861430292,211.1954228536592,219.3967180978123,218.6783924846362,222.27861671973636
5,1986-05-21 17:41:39+00:00,225.73376136388669,201.01408639917742,210.92590523373826,209.18085090500645,209.69243788360535,206.1691652331808,204.0533816098005,202.887841783759,204.05188246122765,214.84878368119402,205.74924928468587,210.51831860876825,204.38924516622347,216.25065978147677,214.31923267065153,211.25142035062893,210.17399023338598,210.99065210462743,212.7464774502687,216.43077959234856,222.36645901031693,225.91144984928022
6,1986-09-10 17:37:51+00:00,227.77855260040587,199.57878744140908,215.45480887992463,220.74038181459957,228.7821941567961,216.47283413764063,206.86323519099872,199.50899238278853,207.92551865992496,227.5012179629503,225.40814215904695,228.12155182996256,224.59856290173778,219.67890308797894,215.24324033541623,212.06567206395061,212.95095308988147,214.54362383307674,217.37661324332518,220.3400316631843,219.48375312889857,227.5013346335134
7,1987-02-17 17:38:03+00:00,219.92812668182034,200.8153334080638,202.8974392965257,205.03514822862056,206.72490403820564,203.73377632261816,201.5435074813552,196.07947959765926,190.19878616739885,193.9343358680185,198.00059576041423,207.325650233309,200.65786988364889,207.8706063654636,204.41267027510506,207.46744147590584,201.0603119125131,199.81763428186392,203.56752110392,203.6918190047953,209.1755936586355,207.15639247473896
8,1987-04-06 17:39:49+00:00,230.08480539302573,206.69661209305866,205.82366460344087,207.0934368549873,214.5382389567366,219.56194684274402,210.96321031783418,205.50143983982935,204.3182922126377,201.64631493667005,204.36300010910367,208.12763507157658,200.99076481162749,209.11159771828378,204.95920382502848,207.1296880212147,206.5487598648915,207.88865377650288,204.26625878398943,205.63336090216848,206.81004735222007,212.31167351904148
9,1987-04-22 17:40:20+00:00,229.54471117618337,213.02092045795592,208.53582497254857,210.35069007796346,213.98265933170396,219.67220764844524,211.6827927693138,206.28260709344158,202.06417434014566,203.06987737512952,206.05841538878448,209.43720472679792,203.61214462847724,216.40455476324377,210.57939846524687,215.08057023569202,205.55862389273562,207.28145015832212,202.08331280397226,205.65147804085598,213.44653796209212,216.64678483188834
