,dates,mex0489-0000,mex0489-0001
0,1986-04-21 17:30:52+00:00,201.16696318485,213.7855356397126
1,1987-06-27 17:30:26+00:00,206.8424323594324,217.12111565534025
2,1987-07-13 17:30:44+00:00,216.2161343386519,224.62042464839263
3,1990-05-02 17:25:42+00:00,214.31469796311472,222.68931494912027
4,1991-04-03 17:27:15+00:00,214.89168578041088,217.4200433367369
5,1992-08-27 17:27:58+00:00,202.6380740319232,210.58679762754218
6,1993-02-03 17:27:27+00:00,201.10564852414439,215.27196464940707
7,1993-03-07 17:27:44+00:00,203.37448620416234,212.3932884155431
8,1993-04-08 17:27:52+00:00,212.45464120290308,223.37410660823537
9,1993-05-10 17:28:04+00:00,198.53667868873237,206.98516147098832
10,1993-05-26 17:28:07+00:00,206.2026772890802,215.91290254663562
11,1993-06-11 17:28:08+00:00,208.52735137783,209.64845301275108
12,1993-06-27 17:28:02+00:00,203.87859983766052,212.307877297784
13,1993-07-29 17:27:58+00:00,205.33141179894434,217.35356666793376
14,1993-08-14 17:28:00+00:00,201.6293273352445,212.70419373359795
15,1993-10-01 17:27:52+00:00,208.78142996831002,209.7413533609851
16,1993-10-17 17:27:46+00:00,206.77418460573935,214.60247755838597
17,1993-11-02 17:27:40+00:00,209.38912699451458,220.9698321756842
18,1994-01-05 17:27:08+00:00,210.36244568987445,222.1516885465474
19,1994-01-21 17:26:53+00:00,215.9715241453184,223.49031338629965
20,1994-02-06 17:26:45+00:00,215.1447474561712,221.88691137972873
21,1994-03-10 17:26:16+00:00,214.83073495596648,223.25251590328597
22,1994-03-26 17:26:02+00:00,215.09402928276924,220.76874387689742
23,1994-04-11 17:25:44+00:00,218.6239575856192,224.26802032229347
24,1994-04-27 17:25:26+00:00,217.32383822616464,220.7796470063273
25,1994-05-13 17:25:08+00:00,208.5527496155322,218.0646106832566
26,1994-05-29 17:24:52+00:00,210.5623021684591,222.83902672598225
27,1994-06-14 17:24:32+00:00,217.64014184288638,228.68546502006836
28,1994-06-30 17:24:09+00:00,215.2705631875255,216.70978062977167
29,1994-07-16 17:23:43+00:00,217.52387532132494,221.16033318082054
30,1994-08-01 17:23:15+00:00,217.07935521369512,221.25824828676093
31,1994-08-17 17:22:51+00:00,203.79865696999215,206.3103877020814
32,1994-09-02 17:22:28+00:00,209.46826945840183,216.6123838682511
33,1994-09-18 17:22:03+00:00,212.9756869895144,219.34372361749118
34,1994-10-04 17:21:36+00:00,205.93418102622638,218.29287909747862
35,1994-10-20 17:21:05+00:00,218.27645872837135,222.37988214504406
36,1994-11-21 17:19:57+00:00,214.4150548129508,217.82497500139334
37,1994-12-07 17:19:29+00:00,213.75963690544808,
38,1995-01-08 17:18:25+00:00,212.19673121634415,216.40987168345714
