dates,nzd0597-0000,nzd0597-0001,nzd0597-0002,nzd0597-0003,nzd0597-0004,nzd0597-0005,nzd0597-0006,nzd0597-0007,nzd0597-0008,nzd0597-0009,nzd0597-0010,nzd0597-0011,nzd0597-0012,nzd0597-0013,nzd0597-0014,nzd0597-0015,nzd0597-0016,satname
1999-11-12 22:19:51+00:00,178.30,172.14,165.93,165.60,166.03,166.39,157.21,162.34,179.88,186.78,191.10,200.76,201.95,195.87,189.66,180.47,184.54,L7
1999-12-30 22:19:45+00:00,195.20,183.31,177.65,174.91,169.58,169.82,170.04,175.64,184.64,183.45,192.90,200.36,199.69,191.92,196.87,194.23,199.44,L7
2000-04-04 22:19:24+00:00,,,,,,,114.03,,,140.38,,,146.50,139.96,,,,L7
2000-04-20 22:19:15+00:00,179.62,178.11,172.19,165.86,159.78,163.71,145.04,161.60,175.39,171.94,,150.73,165.16,151.46,160.34,165.10,179.93,L7
2000-06-07 22:18:48+00:00,,,,,,,,,,,,132.62,146.17,132.08,141.21,158.83,168.11,L7
2000-09-27 22:17:24+00:00,174.98,166.75,163.02,165.50,163.06,158.71,146.68,148.90,155.07,157.51,168.74,163.69,165.44,163.19,161.70,167.41,179.25,L7
2000-10-29 22:17:19+00:00,170.82,154.90,147.88,145.19,149.99,147.06,148.81,150.60,151.07,168.43,175.95,178.85,176.87,176.28,173.62,171.92,183.82,L7
2001-02-18 22:17:22+00:00,171.17,164.78,165.73,163.86,158.17,156.22,147.12,145.71,150.96,156.96,160.57,180.33,173.76,178.52,177.38,174.21,194.06,L7
2001-03-22 22:17:09+00:00,163.72,155.42,159.67,164.16,153.40,148.84,145.79,144.12,147.10,151.18,159.93,172.72,167.34,166.72,170.76,175.67,188.68,L7
2001-04-07 22:17:01+00:00,130.74,135.28,131.27,132.52,142.67,137.87,131.58,138.80,141.90,148.32,155.90,175.26,168.99,170.60,167.35,176.14,185.91,L7
2001-11-01 22:15:17+00:00,,,,,,,,,,,,171.08,,,,,,L7
2001-12-19 22:15:37+00:00,194.02,188.33,,176.41,175.69,179.52,,,186.02,,,196.27,205.09,199.23,205.37,210.72,206.79,L7
2002-03-25 22:15:47+00:00,166.60,159.61,154.08,151.33,147.07,146.69,142.34,144.92,149.35,154.59,158.86,171.65,168.41,171.82,171.91,179.48,183.77,L7
2002-05-12 22:15:43+00:00,,,,,,121.22,,,,150.88,155.03,,,,,207.67,,L7
2002-05-28 22:15:34+00:00,,,,,,,,,,115.27,145.54,157.41,,177.49,,,,L7
2002-07-31 22:15:11+00:00,153.18,142.17,,,,120.89,94.54,113.21,110.97,129.20,134.31,142.35,150.84,141.04,,,,L7
2002-09-17 22:14:43+00:00,,,88.29,,,,,,,,,,,,,,,L7
2002-12-06 22:15:13+00:00,134.54,119.18,115.80,114.61,116.79,121.26,130.78,125.94,135.03,150.08,161.27,167.74,179.80,179.49,172.60,183.05,183.08,L7
2003-02-24 22:15:37+00:00,155.65,153.85,153.04,150.47,151.67,143.92,148.06,145.36,151.86,160.62,168.77,169.32,177.85,178.46,163.28,176.75,190.76,L7
2003-04-13 22:15:43+00:00,156.78,159.09,151.53,150.53,152.19,143.77,137.06,143.94,148.90,155.90,159.67,171.79,170.05,173.37,170.32,177.53,187.13,L7
2003-05-15 22:15:40+00:00,136.65,136.04,139.27,153.54,179.72,147.09,162.78,154.09,,,,,169.54,161.17,156.35,167.88,169.72,L7
2003-08-03 22:15:22+00:00,,,,,,,,103.07,106.87,124.24,131.97,137.45,143.39,136.89,143.09,153.46,163.51,L7
2003-08-11 22:03:51+00:00,178.23,174.79,176.62,163.94,168.49,158.10,126.18,132.49,135.45,144.75,152.26,162.42,166.98,170.11,165.77,177.92,184.03,L5
2003-10-14 22:04:51+00:00,179.62,169.09,159.75,153.60,152.80,149.95,143.29,138.28,140.79,169.95,174.12,185.92,187.91,176.25,185.35,202.40,204.97,L5
2003-12-09 22:15:42+00:00,174.90,171.75,168.11,160.92,162.04,157.03,152.49,155.59,170.48,174.40,177.25,173.41,172.76,183.70,187.13,183.74,187.37,L7
2004-02-03 22:05:50+00:00,160.07,159.10,147.20,141.92,140.29,133.07,130.14,132.51,153.71,160.16,168.54,173.01,171.99,181.05,171.73,174.13,181.20,L5
2004-02-19 22:05:55+00:00,127.61,128.25,120.12,117.79,118.38,118.35,121.18,125.19,135.14,147.77,155.04,162.51,162.83,162.63,165.89,163.64,168.51,L5
2004-04-23 22:06:53+00:00,170.98,161.80,155.42,156.15,153.75,134.68,99.79,116.29,154.15,138.86,,161.61,163.67,161.68,163.06,175.32,188.56,L5
2004-05-17 22:16:09+00:00,171.38,171.69,168.64,150.31,156.89,147.60,131.79,140.73,153.71,166.18,177.67,,,193.59,182.11,192.76,202.03,L7
2004-06-10 22:08:17+00:00,182.36,176.89,,,,141.29,110.11,123.63,127.03,144.81,146.37,153.31,152.48,160.59,164.92,169.01,182.66,L5
2004-07-12 22:09:13+00:00,,,,,,131.15,108.11,135.01,125.44,146.48,146.71,157.27,149.18,148.95,151.15,163.06,168.56,L5
2004-08-29 22:10:22+00:00,178.13,181.30,167.70,159.31,163.43,147.49,125.12,129.25,137.52,150.15,163.24,165.06,166.71,169.11,168.43,173.59,185.44,L5
2004-09-06 22:15:40+00:00,157.06,,,,,111.47,96.25,104.64,108.95,115.00,134.16,134.88,137.47,134.56,139.49,147.07,167.28,L7
2004-09-30 22:11:09+00:00,164.49,155.07,152.65,144.07,143.40,141.05,152.92,150.77,136.22,135.21,126.85,141.88,156.23,159.47,151.32,164.26,175.06,L5
2004-10-16 22:11:30+00:00,183.10,172.71,164.18,158.56,159.33,159.86,154.65,148.92,153.06,167.34,170.89,182.62,187.62,200.23,189.90,174.87,182.78,L5
2004-10-24 22:15:44+00:00,182.29,178.82,173.75,173.80,171.13,160.42,153.34,152.16,156.97,165.21,174.92,175.62,172.75,176.92,178.54,177.43,188.87,L7
2005-01-28 22:16:23+00:00,187.35,181.03,176.57,175.12,173.54,172.46,165.13,172.61,177.65,190.44,196.19,205.26,211.72,204.45,212.46,214.76,218.08,L7
2005-04-02 22:16:37+00:00,160.22,152.36,147.42,141.98,143.55,137.10,135.43,136.90,130.35,143.02,150.54,154.43,156.73,154.00,157.59,166.35,187.56,L7
2005-05-12 22:14:14+00:00,168.96,166.94,144.43,136.08,138.08,130.81,98.02,115.20,124.76,132.99,138.79,147.66,154.26,147.64,149.59,158.97,162.06,L5
2005-06-05 22:16:29+00:00,119.43,,121.95,126.77,127.99,142.56,124.26,137.72,144.71,154.03,157.45,158.84,161.83,157.44,163.51,173.00,181.52,L7
2005-07-15 22:14:43+00:00,95.77,,90.32,98.72,106.84,116.93,104.20,122.02,121.27,132.55,136.27,150.37,163.77,161.37,159.70,171.08,174.78,L5
2005-07-23 22:16:23+00:00,78.86,,71.77,79.07,90.30,106.34,107.49,124.04,124.14,133.64,136.75,155.81,156.40,155.88,155.19,167.79,170.98,L7
2005-08-16 22:15:00+00:00,135.72,139.64,133.59,132.74,136.92,134.40,125.44,131.72,140.65,148.02,153.56,161.24,163.75,166.62,164.95,168.80,171.88,L5
2005-09-01 22:15:05+00:00,149.14,139.20,137.97,135.28,140.12,136.47,129.00,138.39,148.39,152.88,159.28,166.61,166.08,169.26,166.77,172.79,174.13,L5
2005-09-09 22:16:04+00:00,178.24,179.33,174.77,167.17,171.89,172.71,155.24,161.17,143.77,185.17,192.12,175.59,176.23,175.52,,,194.71,L7
2005-09-25 22:16:02+00:00,155.28,147.25,141.07,141.31,141.09,,117.83,,116.92,,,148.57,152.45,150.20,151.26,157.94,167.22,L7
2005-12-30 22:16:43+00:00,,,,,,,,,,,,133.84,138.21,133.22,136.47,,,L7
2006-01-23 22:16:59+00:00,203.39,192.96,188.57,181.99,177.78,173.56,165.62,168.57,168.90,176.75,200.90,,,,,,,L5
2006-02-08 22:17:21+00:00,176.22,172.08,167.64,167.70,160.18,146.82,144.33,152.03,152.60,152.88,161.95,178.07,170.63,162.40,162.48,172.49,184.78,L5
2006-03-04 22:17:04+00:00,136.72,141.34,133.89,135.22,128.21,136.70,135.32,125.36,164.79,172.62,169.84,,,,,195.08,196.00,L7
2006-04-13 22:18:38+00:00,176.14,170.39,165.62,159.82,142.36,137.47,132.62,147.14,148.96,156.51,170.83,165.55,171.73,172.17,171.20,173.09,180.85,L5
2006-05-23 22:17:02+00:00,174.78,159.34,,127.40,157.30,144.68,130.93,138.62,140.79,146.52,151.46,158.72,165.65,166.03,167.78,177.31,184.63,L7
2006-05-31 22:19:19+00:00,176.82,180.06,172.88,,180.32,170.18,87.40,109.83,110.24,117.91,127.82,142.06,150.86,145.58,148.81,164.44,,L5
2006-06-16 22:19:34+00:00,,,,,,,,,,,,,,,,147.10,,L5
2006-06-24 22:16:54+00:00,187.08,,,114.46,131.17,,109.62,122.11,132.35,143.05,148.07,158.02,158.20,156.73,158.31,170.00,164.73,L7
2006-08-03 22:20:15+00:00,174.99,171.32,165.95,,158.85,161.90,131.99,142.20,146.34,150.36,161.96,172.65,,,191.73,195.29,199.09,L5
2006-08-19 22:20:27+00:00,147.91,,124.80,119.43,124.73,123.27,111.42,131.10,144.18,151.47,155.13,165.43,165.64,161.07,159.99,165.70,166.83,L5
2006-09-28 22:16:24+00:00,173.58,167.63,162.75,159.84,156.71,159.34,147.96,156.13,170.97,182.82,186.68,191.97,201.71,183.12,189.08,186.33,198.99,L7
2006-12-09 22:21:36+00:00,172.61,164.32,159.43,159.61,152.39,153.39,164.54,174.74,181.19,182.70,195.00,199.62,195.52,188.84,188.20,188.38,192.27,L5
2007-01-02 22:17:11+00:00,198.96,192.19,194.49,188.01,187.68,174.70,164.49,170.20,178.51,185.02,191.67,197.86,197.27,196.96,187.79,193.32,207.54,L7
2007-01-26 22:21:54+00:00,186.82,178.30,169.86,166.20,169.82,158.29,152.54,165.32,168.50,178.08,191.96,201.38,206.18,196.51,197.49,197.53,205.39,L5
2007-02-03 22:17:19+00:00,190.35,180.34,172.98,171.59,164.14,165.43,162.57,166.06,176.02,180.66,188.09,195.11,198.44,197.60,193.34,187.00,201.77,L7
2007-02-19 22:17:25+00:00,195.40,189.65,188.31,189.89,185.02,182.24,173.75,179.51,191.99,196.99,195.36,205.12,209.15,210.34,198.45,188.16,206.96,L7
2007-02-27 22:21:56+00:00,171.64,166.29,163.83,155.78,158.21,156.21,151.41,154.65,160.84,166.89,177.50,169.55,168.24,168.56,173.46,172.39,186.14,L5
2007-03-23 22:17:30+00:00,161.41,160.30,163.82,165.99,160.71,162.62,161.58,177.75,183.18,182.67,190.47,201.29,202.81,195.14,196.34,200.16,209.02,L7
2007-06-11 22:17:14+00:00,153.54,,,144.78,,147.39,150.26,156.87,,159.79,,187.84,173.37,,153.53,170.63,,L7
2007-09-23 22:19:59+00:00,174.57,171.64,167.01,162.00,163.34,145.86,138.77,141.17,151.42,158.06,166.52,176.29,176.34,177.49,174.16,180.15,192.33,L5
2007-10-17 22:16:47+00:00,188.24,175.06,171.94,162.96,154.90,158.16,165.98,171.79,183.78,193.79,196.51,197.58,204.42,201.64,211.13,216.96,207.90,L7
2007-11-18 22:17:07+00:00,174.29,160.04,151.08,147.86,148.53,146.40,144.59,158.79,170.59,181.98,185.25,194.99,204.11,195.96,196.03,201.61,208.01,L7
2008-01-05 22:17:19+00:00,173.46,170.55,166.75,168.06,168.12,154.12,155.19,158.43,171.72,180.23,189.34,197.47,196.84,199.18,197.98,194.44,200.59,L7
2008-03-25 22:17:07+00:00,175.00,164.28,154.97,156.44,158.78,155.55,155.52,174.71,184.97,191.22,193.22,203.53,195.26,201.36,207.89,192.61,197.13,L7
2008-06-29 22:16:33+00:00,,,115.83,,122.91,129.93,,,,,,,,153.31,153.39,170.41,,L7
2008-09-01 22:15:59+00:00,191.34,179.50,178.39,178.95,174.39,162.98,,,186.97,194.74,198.81,,203.48,181.31,189.98,182.69,208.42,L7
2008-10-19 22:15:43+00:00,180.10,175.77,172.44,169.83,167.18,165.03,175.47,178.44,183.59,190.57,192.51,198.01,201.04,201.24,197.77,193.64,196.80,L7
2008-10-27 22:10:37+00:00,169.98,162.32,147.78,149.55,153.88,138.68,135.92,142.95,151.91,158.54,170.77,176.81,181.08,183.16,177.67,173.25,182.88,L5
2008-11-28 22:10:42+00:00,172.27,163.07,157.93,164.51,164.50,161.66,150.86,158.96,164.99,180.02,191.26,186.18,182.86,,,,,L5
2008-12-22 22:16:31+00:00,186.53,181.29,181.51,174.22,176.86,167.41,160.33,167.94,176.81,182.08,194.51,201.80,200.76,199.33,178.87,180.78,205.81,L7
2009-01-23 22:16:42+00:00,192.50,189.21,180.51,176.12,171.70,161.27,149.29,155.81,169.75,177.28,188.34,189.65,177.98,177.59,177.55,180.13,206.36,L7
2009-02-24 22:16:58+00:00,215.21,209.68,202.46,200.55,196.64,191.59,186.93,190.95,199.38,207.34,210.35,215.27,217.68,217.44,213.94,212.92,219.44,L7
2009-07-02 22:17:20+00:00,183.24,180.00,178.87,,,145.15,114.11,135.61,127.47,146.55,150.10,161.40,162.47,161.63,161.14,170.35,164.48,L7
2009-07-18 22:17:16+00:00,,140.16,,,,126.88,116.37,134.39,132.33,145.64,159.61,172.66,,,,,,L7
2009-09-04 22:17:08+00:00,184.40,176.57,172.96,172.51,170.21,157.99,150.60,156.73,167.92,170.55,176.70,169.73,165.44,169.91,166.05,174.87,191.58,L7
