,dates,mex0514-0000,mex0514-0001,mex0514-0002,mex0514-0003,mex0514-0004,mex0514-0005,mex0514-0006,mex0514-0007,mex0514-0008,mex0514-0009,mex0514-0010,mex0514-0011,mex0514-0012,mex0514-0013,mex0514-0014,mex0514-0015,mex0514-0016,mex0514-0017,mex0514-0018,mex0514-0019,mex0514-0020,mex0514-0021,mex0514-0022,mex0514-0023,mex0514-0024,mex0514-0025,mex0514-0026,mex0514-0027,mex0514-0028,mex0514-0029,mex0514-0030,mex0514-0031,mex0514-0032,mex0514-0033,mex0514-0034,mex0514-0035,mex0514-0036,mex0514-0037,mex0514-0038,mex0514-0039,mex0514-0040,mex0514-0041,mex0514-0042,mex0514-0043,mex0514-0044,mex0514-0045
0,1986-05-07 17:30:05+00:00,212.1752358421881,194.07719667158372,190.33847276262244,197.2914548426517,,,,195.02335213844643,201.18276231878212,204.2538891091354,191.97162526980512,143.97003595041804,129.9492114458539,119.70256198375745,123.01810830107938,119.5629553411505,199.31439027333693,209.56530322539237,218.6070061513752,216.58789382979512,150.1092043224416,,,210.99773537380185,210.82375644892022,212.18404793210786,207.69280707659271,202.34563912006135,211.58858504646656,218.3482802890829,217.98709746537207,214.9035878333778,212.7336159860776,198.39743181776845,201.09339450737096,203.05784313489005,198.50330353448408,195.70284867475772,203.04150255960195,209.39313374055246,215.80412720264042,222.86296714025406,228.06984479540026,220.2014532324329,213.24325916068227,214.6761626755952
1,1986-05-14 17:36:04+00:00,195.37038852711393,168.49806272242662,,,,,,171.58401941942876,176.97770074791978,183.97853327307013,154.2340745917836,128.0647836047572,114.96062945310749,111.99396479892225,111.31338684335319,110.74515445182571,185.97441901202558,199.2611924905776,201.89442085987747,191.4877423877811,133.84975606423498,,,203.78332567446526,205.0526816153818,204.17101313570546,200.64977522545627,197.15433092725812,195.33583992917548,203.87095135587828,203.3285681603635,200.260778002039,198.47444425155575,196.08364306629596,194.78519169878763,197.23290765858732,198.98307279411551,194.5161477694568,201.1620550310658,209.38111345411303,219.93635933441078,230.31657347344554,228.37186369801617,219.4757800535831,214.53340279774224,213.20495004363033
2,1986-09-12 17:25:50+00:00,211.80885367690172,195.76804271156956,208.6686006040077,209.66934655068803,215.3271151248252,216.5563094805238,216.29106824931836,195.05341285685813,201.11399270888805,198.8121845937364,195.1411910109629,146.58951070352657,139.2563620716558,139.02331697118916,,221.1890150169021,220.41554521423564,212.82609209515817,216.570921927452,217.4005496115384,,214.41271800815832,223.01659203768853,227.2479217511896,226.52910240130592,226.78561165709047,222.8280708656348,210.51524972063706,208.7228483260431,211.3203666101522,210.7238828733294,211.970731015359,220.25090088597273,218.86385917976173,220.013579419645,220.08635867876643,219.2911095290732,213.22856959164,214.00214091795095,218.78732790976744,222.7330296447341,234.51224611230464,245.33240078134205,239.6527780097365,232.82705979416463,226.2450974529811
3,1987-06-11 17:29:41+00:00,202.7064887506934,184.70866396262306,166.3960958431467,,181.36135673458617,185.97164245951484,,187.7580718482194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1987-07-20 17:36:38+00:00,201.91937037284384,174.2643249063254,161.07623743535328,165.93357788767443,183.40006996447204,193.05938890751446,194.2542281867436,184.9123082207455,181.0592752770711,183.85948347453103,170.34555185894675,135.21286495630068,121.76668933631234,116.99256244199003,128.39337644406896,203.8119940042553,203.37622922431015,205.47928229434027,202.79981856819114,198.83665682859117,137.4486558113608,191.02055282055412,205.0904055569223,209.16374265031519,212.69049393478858,211.70894775926638,203.53307714865264,203.70896101150674,196.9319786201083,203.91132921159857,208.9817719651678,209.43752565140935,207.92521732965977,204.9188069176075,212.1107574540127,212.28167561660308,209.86954929292983,211.24356928705754,216.4708112934714,215.73033078006478,224.81561728702323,234.46236829843133,234.48781843298235,225.5846004065343,222.33413889006755,224.1032173157199
5,1987-09-22 17:38:24+00:00,200.95816499190533,187.49372232387702,178.67281755876857,178.1874709718519,192.42293441745704,189.23492391722885,185.38220278609924,184.6902684489312,180.96999149996708,184.66739253727354,161.4495535837137,135.06518061047788,121.6413322547002,116.57281546488635,167.1340925763089,203.0086294420246,198.9974011090148,201.95818736674573,201.07515426673697,197.6702437318023,140.47701473255307,194.27660368043908,200.58082187351448,205.17067964488615,205.34014085505612,208.81188746461683,200.3163733622551,198.42328769724418,196.94668500189857,201.4283661101067,201.00729566041895,205.45127582544148,203.11275750598492,199.51837015850668,197.48034043299302,201.40838194437106,195.54428161711775,195.2851653336244,195.62328323769873,201.4170548397559,206.4346436278201,218.11601997378966,223.67110843248977,217.1472489518252,210.02574182453446,211.4706980265276
6,1989-09-11 17:37:23+00:00,217.03269492093386,224.80296988083177,180.81036110653073,171.22004537846195,186.4971248009221,188.36840694711606,187.254355072685,189.10766032503486,189.50540676854285,185.35966519894595,189.7082693274021,150.31017005985439,143.65369990527338,143.53340124464862,204.1073662803013,207.69777228405158,205.1337904287159,207.7196511350518,205.32739648929405,200.71483171217446,188.22389249430944,193.71201485365577,200.60911955875218,208.69402844564416,207.38221570160596,209.1517533261426,202.07675090247463,203.11970549722912,199.784378037628,205.1020173426383,201.37163503210917,205.99456290962462,199.76887374930266,200.45444961980226,206.69216363521272,211.77938669344394,206.30496410637699,214.61624072644778,220.31317463355583,222.5521152536634,226.85463448001968,237.65726475524443,238.64335668549117,229.26683100090946,222.9033720204002,217.58484344374483
7,1990-03-31 17:25:16+00:00,221.3103519855557,211.33913495495875,215.77104870841794,,209.5111642001446,218.69698937069086,214.9900832852851,214.04766050075452,213.82880552377577,213.07562237398798,,136.61151516325256,123.76332950302995,118.60484835851676,124.02020491527352,218.19413552689298,224.2835283932235,224.60381781276325,225.63465050011905,223.78804636734708,210.62499086452394,220.21830350849018,,220.64914883616817,222.86144889209294,224.71291248265302,220.33302524843,218.20493024576643,218.83864198003934,217.06038448043694,220.5955066677468,218.22491960660238,213.9746692013301,209.46610651783544,214.79124145169538,217.61339900869407,214.89423018136108,216.51198041700948,224.6464768324244,227.14390358812074,239.10954686665144,254.48670488840094,253.86112712750196,242.88082448412314,232.52136473789898,225.5349659740188
8,1990-05-09 17:31:36+00:00,203.51368060572477,170.92339663494363,165.6627546010365,169.57672105070102,170.05589395383123,180.91348534905947,190.47488999416962,190.28673410571577,190.93399400900796,187.16273451414602,174.64182916207736,129.89465832905745,118.67466925713252,112.95865431187043,122.0992467468405,195.59581391205847,202.4231515177603,205.08077059530785,205.87940602690963,203.86992565104384,192.4994104168533,190.62767100110221,196.8224243845922,201.88350522643688,201.72548556728472,201.90651227582515,202.86169764567302,201.42085291475178,200.78149865481265,200.8944281469648,201.863585998204,197.93795604964347,195.9095898359781,191.58661093015772,199.02069871577066,191.90153315599724,191.44576599863575,196.18137081642195,202.87109947251142,210.34839364043947,214.95756211466136,225.27545153334069,227.11487690923784,220.85470919878605,207.30832135378398,211.09601836652217
9,1991-03-18 17:26:40+00:00,202.09322714376964,190.63457473289273,197.4285672117961,197.7839245597416,199.73742243845172,202.51638482274484,195.88071691056604,208.91551062344908,201.80613925149908,203.08488387279493,198.77826161227355,,,135.4983830508617,134.67437240248535,209.31296695263254,213.97074568763156,213.33719477930688,209.94238447443053,210.15826014601924,,204.95548499111274,209.7355266072207,210.0231080470008,210.94067550988342,211.4998725873466,206.700037938465,203.78995668255232,201.22224673033787,205.3067546852695,204.70751377881552,201.56834505808217,204.02117266312854,203.95166216143303,204.81240241813936,204.02385731522554,194.92149411118058,192.07831015872742,191.4722481057994,195.5079934515494,199.63467132801347,207.55785923904304,212.79245699395983,202.22026701790986,204.74991866737838,206.1809153797841
