,dates,chi0311-0000,chi0311-0001,chi0311-0002,chi0311-0003,chi0311-0004,chi0311-0005,chi0311-0006,chi0311-0007,chi0311-0008,chi0311-0009,chi0311-0010,chi0311-0011,chi0311-0012,chi0311-0013,chi0311-0014,chi0311-0015,chi0311-0016,chi0311-0017,chi0311-0018,chi0311-0019,chi0311-0020,chi0311-0021,chi0311-0022,chi0311-0023,chi0311-0024,chi0311-0025,chi0311-0026
0,1985-01-25 14:04:03+00:00,,,,,,,,,223.67214685512081,228.1655776291744,221.9162260236878,212.8618374029852,214.02546049750936,,204.80585017434748,204.8877291669234,206.31138274369806,216.45714325230537,206.17456532681456,,184.95876559347388,182.5223454767294,182.218187324018,171.2405091796005,159.10737130320604,160.4960219679747,167.76773838569235
1,1986-01-28 14:00:46+00:00,211.40637340682082,188.28862497782816,134.28546005551155,159.6022907824753,179.97596125272932,190.637125981846,190.220658615005,184.7566643703226,196.45016146788285,196.1900267091631,194.37751369785119,189.69038148884246,199.7773049728594,,174.17102792919636,190.42898095900932,193.77460771361578,186.74188711819832,187.23177676309456,,171.04425188993054,176.2690046444079,165.98362623866444,167.46557558686538,168.97265131862417,166.96061687401888,168.72141990909995
2,1986-03-01 14:00:01+00:00,230.39711140976343,199.00903123315058,128.4546901968688,195.1560056335616,191.8978882612491,209.74075540955596,198.6970828529197,204.47021091331604,198.99547139094105,202.95631112964602,209.96972733805228,207.10496192368748,203.1700435755743,211.3635745095879,210.74170599500405,211.92399875843805,211.65997249791286,215.53753874413667,202.2369643302202,198.28486387391035,195.1909212378999,186.9968902491242,186.2794753783659,197.88654054064062,187.0507267902461,179.6427474644678,177.91710012809338
3,1986-04-02 13:59:23+00:00,245.74886059160744,213.07248821521515,,201.63349331599528,191.2227107059731,207.99985176119776,195.00672410655346,198.5104222461213,202.55653351215463,189.6188492026394,220.69738942410683,229.0149278643748,228.00797390168196,210.3129943491859,209.72975595101707,211.3768490674577,210.7145649906645,202.93387838758957,211.49224616249808,211.08837968891612,195.91528435110098,190.61525045757446,207.34357687835842,191.02525573480267,174.59474275671212,178.7487081305043,159.28285157936142
4,1986-05-04 13:58:38+00:00,206.88009000180773,,129.46992351646642,153.05635407621656,162.82349955780404,167.54694198585125,157.98103580296302,153.72594966450774,,,,,186.25872478868672,,163.2583237734707,,162.9092125543393,164.56473647438236,153.51215535578223,160.44566400641688,153.13124907260865,157.615956134845,150.9602565298718,143.4104879234863,132.69274482288358,124.33246329153413,122.37969006955966
5,1986-06-05 13:57:43+00:00,212.25823197821734,,131.44150952441655,171.53144300133442,175.7755282912654,162.84683860039917,142.2876498295657,,,,,,186.067615113656,,156.81041204634053,,153.8544301312124,159.51429756084195,,,,153.7093919713766,147.93943861134727,145.95736432602922,115.30873128536346,,
6,1986-08-31 14:00:53+00:00,213.04851732377188,191.32121761821503,147.52280519156577,174.7972756254461,164.57158414691688,170.66372814087694,170.17527853238911,176.50274409825377,173.0837386235799,,,,,,,,183.90887613247736,182.0016801572762,171.58624728338245,178.24137456667933,171.66882365902822,162.4164127312884,157.38651567797973,152.42386231635675,,,
7,1986-09-16 14:00:22+00:00,,,129.99977312649236,157.9002646799403,,,,,,,,,,,156.17050776026434,180.93667868583938,184.51019669211928,182.98810471007332,176.64643256496942,182.5355681302604,178.4390152156206,159.09353100022932,154.22689766204223,153.307088927592,153.6302381775711,165.23857562399687,164.39157329584202
8,1986-11-03 13:58:46+00:00,228.50134598517846,210.30678864601867,,174.4202961043276,180.29141193841616,196.54338728110454,192.5861715378392,190.44425760990273,201.7900081947321,207.30471800619182,212.00280052689638,203.56879652830483,201.65564256447178,,192.4121153972462,188.5344511684589,202.31346176154688,187.15651113448354,191.13917973136142,182.49346078040284,189.9794894051243,182.0120071891954,173.4080569491939,174.57625535344758,163.95757116298856,173.61046804290524,177.80669924389753
9,1986-11-28 13:51:58+00:00,202.73106806701938,186.15783138284198,108.56560549710424,,,179.33655661990989,177.82638719569695,177.97954182990946,193.4270050543586,202.82197950566726,190.96644595643275,179.09853492273342,185.34784468515346,,164.0906690627356,,177.05768687137098,179.04205424143737,163.28524164380474,170.6222704837591,153.45745347609858,149.43780824685874,157.8737538617359,158.05204101419892,141.97501856539606,163.0951291976035,166.81114583719568
10,1986-12-30 13:52:55+00:00,219.06306797520733,197.25217010645156,159.33463685854753,176.397755591211,183.44686529406138,197.57799484693396,184.84314035182297,192.2814511924999,204.56938826432875,204.8850329265637,202.1227101951568,219.85880839143465,209.33319269215505,192.7630153473447,208.66451267408667,205.31185035605114,188.61224173307286,189.6099494550939,172.8983507785522,192.51852660589765,181.75578124776362,,201.6326385682975,193.5085938573421,179.80752236133256,182.44899109413518,165.8617768874449
