dates,nzd0159-0000,nzd0159-0001,nzd0159-0002,nzd0159-0003,nzd0159-0004,nzd0159-0005,nzd0159-0006,nzd0159-0007,nzd0159-0008,nzd0159-0009,nzd0159-0010,nzd0159-0011,nzd0159-0012,nzd0159-0013,nzd0159-0014,nzd0159-0015,nzd0159-0016,nzd0159-0017,nzd0159-0018,nzd0159-0019,nzd0159-0020,nzd0159-0021,nzd0159-0022,nzd0159-0023,nzd0159-0024,nzd0159-0025,nzd0159-0026,nzd0159-0027,nzd0159-0028,nzd0159-0029,nzd0159-0030,nzd0159-0031,nzd0159-0032,nzd0159-0033,nzd0159-0034,nzd0159-0035,nzd0159-0036,nzd0159-0037,nzd0159-0038,nzd0159-0039,nzd0159-0040,nzd0159-0041,nzd0159-0042,nzd0159-0043,nzd0159-0044,nzd0159-0045,nzd0159-0046,nzd0159-0047,nzd0159-0048,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,352.82,360.50,358.57,358.35,358.21,366.74,,,,,,357.91,362.39,362.17,360.35,370.97,370.82,,,,373.74,,,,,,367.03,373.65,378.48,380.54,374.78,377.62,378.70,378.21,,,,,L7
1999-10-22 21:58:52+00:00,,380.43,361.30,338.33,343.46,,385.16,349.57,337.45,336.70,353.73,365.45,368.45,366.54,367.38,369.64,362.69,374.56,369.13,373.70,379.74,376.51,368.38,369.64,371.52,367.22,375.90,372.29,379.34,392.49,375.52,376.22,386.26,387.09,395.45,393.52,392.26,378.90,384.19,381.09,388.31,384.30,383.65,386.62,390.22,392.00,393.91,389.37,376.47,L7
1999-11-07 21:58:32+00:00,385.22,379.81,357.05,332.66,344.19,367.44,375.90,341.01,332.31,330.89,343.60,360.28,364.33,363.66,364.49,369.48,362.39,367.50,363.57,365.94,371.56,368.19,367.82,367.27,369.26,367.81,371.86,371.78,373.69,383.51,374.40,374.65,379.56,381.66,388.11,384.12,385.14,378.66,382.82,383.20,388.07,385.76,385.31,388.24,389.13,387.23,389.34,383.19,374.00,L7
1999-12-09 21:58:57+00:00,397.30,381.85,355.13,334.71,345.39,372.17,373.24,346.73,334.13,333.78,345.25,358.04,364.24,363.07,365.06,369.79,364.82,369.30,365.85,368.83,368.61,368.64,369.04,367.47,370.84,368.72,372.89,373.95,378.07,383.57,378.16,376.76,379.40,383.63,384.94,382.65,384.40,379.00,386.16,385.38,389.50,388.37,389.55,389.25,387.99,391.06,391.12,384.53,373.03,L7
2000-03-14 21:58:35+00:00,391.15,381.85,355.13,334.71,345.39,376.26,375.13,350.41,339.67,337.23,345.87,357.31,364.60,366.57,369.13,374.12,366.07,371.75,370.64,372.85,373.33,372.50,376.89,373.94,377.53,374.62,377.67,379.94,381.53,386.60,382.13,380.76,384.74,388.36,389.64,388.63,389.13,389.13,394.53,393.94,397.69,397.31,396.58,396.08,395.02,393.49,394.01,387.81,376.64,L7
2000-03-30 21:58:33+00:00,386.81,381.85,355.13,334.71,355.62,378.12,375.58,351.25,342.49,338.95,345.85,357.61,364.63,369.20,371.38,374.47,368.80,373.46,374.17,375.81,377.68,376.45,379.89,376.57,379.06,376.80,380.69,383.92,385.66,389.16,385.42,385.36,388.58,390.93,393.16,391.98,392.52,393.46,397.78,398.07,401.85,401.31,400.53,400.03,399.06,397.63,397.10,390.62,380.45,L7
2000-05-01 21:58:18+00:00,386.81,382.55,352.05,332.90,359.67,370.04,370.50,352.12,344.43,339.54,340.50,349.54,360.45,366.59,371.22,371.48,373.69,375.53,377.72,378.54,378.59,376.92,379.13,377.33,379.77,377.19,381.86,385.27,388.27,390.19,388.66,386.82,388.03,389.07,392.58,391.60,392.59,394.13,398.54,401.66,403.29,403.18,403.24,401.40,398.26,399.04,397.89,390.91,380.28,L7
2000-08-05 21:56:44+00:00,376.32,,,376.03,370.01,363.64,367.26,352.04,350.12,346.18,340.71,349.28,358.31,369.69,373.05,371.39,374.08,376.94,381.94,382.31,384.60,380.86,381.56,380.62,382.02,378.80,385.18,387.37,389.78,392.15,388.16,387.70,390.12,387.07,394.76,396.47,398.14,398.35,399.64,405.92,408.36,407.70,402.00,404.84,402.55,401.64,401.07,394.12,384.39,L7
2000-09-06 21:56:46+00:00,376.32,,,391.46,359.07,358.61,362.15,347.37,351.29,347.97,342.50,349.17,357.14,366.14,369.49,369.17,371.94,375.08,379.31,378.47,379.10,375.66,374.94,375.17,376.74,373.02,379.35,380.13,383.23,383.38,380.50,381.04,384.42,381.32,385.79,388.36,388.00,389.78,392.74,398.71,401.14,398.02,396.36,397.03,394.36,392.96,392.93,387.71,377.26,L7
2001-06-05 21:55:40+00:00,351.41,380.61,,371.64,,364.82,367.44,367.94,369.00,371.25,367.29,382.84,368.67,377.93,371.23,368.78,369.73,380.62,382.16,384.49,380.61,378.92,373.81,372.60,373.94,371.23,371.97,371.57,372.57,373.37,372.82,376.43,374.21,376.49,375.39,369.99,378.00,382.61,386.83,384.84,387.26,388.30,390.27,390.01,384.11,384.97,381.16,376.21,370.25,L7
