dates,satname,nzd0159-0000,nzd0159-0001,nzd0159-0002,nzd0159-0003,nzd0159-0004,nzd0159-0005,nzd0159-0006,nzd0159-0007,nzd0159-0008,nzd0159-0009,nzd0159-0010,nzd0159-0011,nzd0159-0012,nzd0159-0013,nzd0159-0014,nzd0159-0015,nzd0159-0016,nzd0159-0017,nzd0159-0018,nzd0159-0019,nzd0159-0020,nzd0159-0021,nzd0159-0022,nzd0159-0023,nzd0159-0024,nzd0159-0025,nzd0159-0026,nzd0159-0027,nzd0159-0028,nzd0159-0029,nzd0159-0030,nzd0159-0031,nzd0159-0032,nzd0159-0033,nzd0159-0034,nzd0159-0035,nzd0159-0036,nzd0159-0037,nzd0159-0038,nzd0159-0039,nzd0159-0040,nzd0159-0041,nzd0159-0042,nzd0159-0043,nzd0159-0044,nzd0159-0045,nzd0159-0046,nzd0159-0047,nzd0159-0048
1999-07-18 21:58:49+00:00,L7,,,,,,,,529.76,528.55,,,343.37,351.05,349.12,348.90,347.81,358.07,,,,,,349.24,353.72,352.72,350.90,361.52,361.37,,,,363.34,,634.03,,,,359.03,364.98,369.81,373.11,365.33,367.22,370.70,370.78,,,,
1999-10-22 21:58:52+00:00,L7,,408.43,389.30,361.66,366.79,435.00,400.72,363.57,350.18,349.43,366.46,390.82,389.13,387.24,389.13,395.07,370.31,385.33,379.90,387.70,389.74,389.24,390.53,388.56,393.60,386.82,393.57,386.49,393.34,406.49,389.52,392.69,397.03,398.76,407.12,405.19,403.93,401.55,406.41,395.37,406.09,406.55,403.68,405.30,412.23,409.50,409.47,403.37,390.47
1999-11-07 21:58:32+00:00,L7,387.55,382.00,355.59,329.32,347.24,369.19,368.20,333.85,328.45,326.36,334.74,351.21,357.35,359.16,360.00,370.55,362.96,361.53,359.10,359.58,364.38,361.13,367.86,363.69,366.02,370.26,365.05,372.04,369.45,375.93,374.68,372.93,373.94,377.40,381.94,375.88,379.20,379.26,381.24,388.60,388.59,389.95,390.02,392.57,387.94,384.21,386.33,378.41,372.93
1999-12-09 21:58:57+00:00,L7,389.38,361.91,327.30,318.82,327.80,361.90,354.59,346.17,326.85,328.65,337.64,340.41,353.05,350.39,355.83,358.74,362.10,363.66,361.16,362.62,354.14,358.64,362.70,358.08,364.66,360.53,365.08,369.53,374.82,371.68,373.68,371.10,369.84,377.58,368.61,369.72,372.91,370.78,386.19,381.90,385.21,385.28,390.26,383.05,375.99,383.73,381.35,375.21,359.09
2000-03-14 21:58:35+00:00,L7,391.86,332.76,,433.11,403.06,394.18,389.47,369.26,363.38,354.66,354.80,356.98,369.06,379.66,381.73,383.32,378.24,385.10,391.02,392.71,393.06,391.15,395.81,394.76,396.03,391.06,397.17,401.88,399.70,403.49,401.83,397.53,406.75,409.03,410.24,413.07,409.83,413.57,413.64,419.24,418.87,417.62,413.55,412.01,411.92,410.52,411.34,405.46,395.27
2000-03-30 21:58:33+00:00,L7,390.11,,459.27,434.49,402.63,395.98,388.29,364.40,362.66,354.76,354.71,367.74,373.63,388.65,389.29,385.65,387.91,387.86,395.82,397.44,402.06,401.20,400.08,395.29,394.09,394.41,401.65,408.77,412.01,409.19,408.39,413.56,411.49,409.38,415.39,413.57,414.26,418.31,418.92,422.76,425.50,426.23,426.13,423.36,422.20,426.45,420.34,411.66,405.50
2000-05-01 21:58:18+00:00,L7,,,,287.89,299.03,354.70,374.83,367.54,359.51,352.00,339.35,350.08,367.87,373.79,387.97,379.73,394.40,395.34,397.36,400.97,394.00,391.22,386.36,392.00,396.76,388.42,399.08,392.87,405.99,411.27,405.34,399.60,393.96,389.14,,,,,,,,,,,,,,404.39,389.21
2000-08-05 21:56:44+00:00,L7,441.53,450.11,417.12,358.03,335.72,335.21,339.13,327.36,333.47,341.84,332.53,340.84,341.22,355.22,351.75,357.26,352.77,355.13,359.23,358.51,363.83,358.40,361.01,357.42,359.75,359.85,361.34,364.51,361.83,365.06,357.49,360.50,363.96,357.74,364.31,368.45,376.01,368.41,372.02,381.43,385.56,385.42,373.11,384.38,378.39,376.46,379.09,375.36,367.97
2000-09-06 21:56:46+00:00,L7,449.81,445.93,446.20,413.22,343.52,343.25,345.91,332.51,359.44,358.56,353.09,352.22,355.90,355.37,358.72,364.11,366.54,370.60,371.75,366.90,359.82,358.33,351.59,356.57,359.04,353.33,359.51,354.60,360.81,352.09,353.64,358.22,364.56,361.47,362.05,367.20,360.76,366.98,375.21,380.26,382.21,372.43,383.25,376.54,372.48,371.65,372.74,365.86,352.53
2001-06-05 21:55:40+00:00,L7,358.08,388.61,398.73,378.31,,369.82,371.88,371.94,372.64,374.89,370.93,386.48,372.31,381.57,374.87,372.78,373.06,383.70,385.24,388.49,383.47,382.56,377.14,375.93,377.58,374.87,375.61,375.21,376.57,377.37,376.82,380.43,377.29,379.82,378.72,373.32,381.33,385.69,390.16,388.17,390.12,391.94,394.27,393.09,386.97,389.97,385.60,380.21,374.25
2001-06-21 21:55:29+00:00,L7,343.44,368.73,378.44,360.49,355.40,363.73,,,,,359.31,367.80,364.08,359.43,369.62,365.80,366.43,374.40,375.42,381.72,373.38,377.99,370.20,373.06,368.08,371.11,371.21,371.86,372.70,369.88,372.63,368.62,369.34,371.90,363.88,369.67,370.14,378.35,377.89,381.62,386.44,386.53,389.83,377.29,380.84,380.02,377.66,372.26,367.03
2001-09-09 21:54:36+00:00,L7,339.52,378.30,404.58,389.60,380.13,366.83,372.30,360.93,362.00,360.14,357.42,367.57,365.34,368.44,362.70,372.06,371.01,375.55,376.84,368.35,372.53,365.33,369.83,364.29,366.91,369.34,364.66,372.44,364.60,369.00,360.67,364.05,368.48,368.73,371.77,369.62,377.07,371.54,380.26,388.40,386.92,387.54,384.31,388.56,379.47,376.48,376.63,374.52,370.82
2001-09-25 21:54:28+00:00,L7,,458.92,457.93,472.49,424.29,389.66,391.94,382.83,371.91,389.06,390.37,387.46,399.28,397.76,374.70,376.98,383.58,382.87,385.34,382.42,380.53,381.28,374.21,379.65,372.93,378.27,372.99,377.47,374.13,374.06,377.82,369.58,375.31,377.99,379.98,379.87,380.93,385.64,379.48,391.11,390.56,391.21,389.89,393.46,388.30,381.41,384.02,379.58,375.35
