,dates,chi0346-0000,chi0346-0001,chi0346-0002,chi0346-0003,chi0346-0004,chi0346-0005,chi0346-0006,chi0346-0007,chi0346-0008,chi0346-0009,chi0346-0010,chi0346-0011,chi0346-0012,chi0346-0013,chi0346-0014,chi0346-0015,chi0346-0016,chi0346-0017,chi0346-0018,chi0346-0019,chi0346-0020,chi0346-0021,chi0346-0022,chi0346-0023,chi0346-0024,chi0346-0025,chi0346-0026,chi0346-0027,chi0346-0028,chi0346-0029,chi0346-0030,chi0346-0031,chi0346-0032,chi0346-0033,chi0346-0034,chi0346-0035,chi0346-0036,chi0346-0037,chi0346-0038,chi0346-0039,chi0346-0040,chi0346-0041,chi0346-0042,chi0346-0043,chi0346-0044,chi0346-0045,chi0346-0046,chi0346-0047,chi0346-0048,chi0346-0049,chi0346-0050,chi0346-0051,chi0346-0052,chi0346-0053,chi0346-0054,chi0346-0055,chi0346-0056,chi0346-0057,chi0346-0058,chi0346-0059,chi0346-0060,chi0346-0061,chi0346-0062,chi0346-0063,chi0346-0064,chi0346-0065,chi0346-0066,chi0346-0067,chi0346-0068,chi0346-0069,chi0346-0070,chi0346-0071,chi0346-0072,chi0346-0073,chi0346-0074,chi0346-0075,chi0346-0076,chi0346-0077,chi0346-0078,chi0346-0079,chi0346-0080,chi0346-0081
0,1985-01-25 14:04:27+00:00,191.84005148410844,179.5110346747703,185.002045948066,167.46014363219254,184.9245592310287,203.67039180152187,197.94456425762627,236.1795234952362,230.63405492327917,218.9373332407573,192.3631510542182,201.01763695160264,183.44180167412063,182.45456642471427,179.60824797500825,172.23292637391688,187.30255772895495,190.54556005869472,202.07892036819172,207.10661952491083,214.21792487307337,211.83968338181907,198.0801500204124,203.38924784291564,204.63916835184398,211.57557374951818,224.46701754948973,225.15711992176426,230.91709289871642,222.4511292203838,213.45044078072425,231.72262983200534,229.82985848151677,214.870279490551,210.01488413303284,198.98611373573792,204.35967167192894,191.11794788721852,192.59400065270816,210.2661227975667,212.216232462067,194.40679471941058,191.12935180952383,216.6029083131664,180.88582439274563,178.4725339858619,205.18467623066712,206.85780985564722,203.58185890143923,209.69807565965746,215.83947567225383,211.91569164122527,218.13041122979368,226.60270701439006,215.19124642689897,218.1777537293102,208.31705776421975,,186.655744315083,199.4533677955068,207.80689076679369,215.41170138211726,195.52858673457038,203.09150044412806,201.63120446392594,176.3037851448973,198.32588882124773,205.87416615058586,192.2475354143391,197.8867305886829,217.14530479015448,225.45564519081356,217.80491870757868,208.65361661562955,216.0410244264326,212.38521340434818,214.3316482436776,211.25950265803,204.8843856416753,208.05979021220054,214.2983109922308,213.95808022523875
1,1986-01-28 14:01:10+00:00,191.14108448327815,185.6596131833636,195.94426801277228,200.49034504929497,211.89915039069808,217.30145661070316,211.24566233600922,244.0203226829594,211.68870591352157,200.40965146775616,195.5714439870361,212.23004121367964,191.49700303829388,184.19983245905004,182.87273276982503,186.76866295886794,185.31006602365755,198.51077563819476,210.073598621087,211.95911725039207,202.15758378621402,202.16159839933266,195.42321513019743,200.3577844930591,203.07554376326794,214.0364315990024,230.0497892854887,229.36787762340427,236.70401445671436,226.06949355512037,224.609688984675,229.2893176008749,222.99974064680177,223.31251444996084,212.61563515210926,199.7249249599747,217.6848992782737,211.65186923351243,206.4356949156403,216.96790760367384,217.96517209529105,207.7406929758253,194.24922796849444,213.79696553119263,188.20034192861792,199.51617745589397,221.99260497754858,230.81230353179686,222.88688792782077,231.374618169782,232.74820498238904,235.22222227717708,228.36391503689325,223.25876124951236,220.26858110928507,233.88779296041778,224.73745378410524,,218.39560510216162,209.24579422497393,214.55084443905446,214.72320264092318,211.7912298943964,198.44295445641583,194.76811672740988,201.9082998055242,211.5263316296506,215.27152227451487,214.37411366039856,211.9006254512597,221.3609376479338,225.2598262331369,221.81596996589695,209.97183264585664,212.18124096357,214.08864105427259,203.49590185037985,189.1275938997833,185.5063912120381,179.94642839452095,187.12592444296965,212.13716657989866
2,1986-03-17 14:00:06+00:00,208.25486161735844,200.0503058893878,207.9180600089235,210.14459352012696,222.09950303517897,226.97972631281223,220.55643771893958,234.24784574870534,224.09470536974996,213.61893232067828,217.03334364378574,,,175.84811233081763,176.71380312513045,191.97221515428453,197.8342022641417,236.58052506264173,225.9262600723707,223.261091509662,201.72580912101947,207.13683471644956,,,,,238.46977627709973,,,,,231.03943764906975,232.8927404455267,227.1232450711358,213.84337066091834,186.27332425412575,162.82749931198302,,,175.12909995429422,,,,220.65759227107085,201.3210462111829,223.41389495311677,238.17551638363702,242.35542252332922,237.50581734874078,232.93574599191336,,,218.12050121588103,226.30210448462398,221.94646342548205,232.96371796229488,,,,,,,229.48684329886555,206.4703390165823,222.88015679559155,230.48913452110637,,249.76626869480646,249.91331635533479,220.49836260970508,224.8252339659485,,,,,,,,,,,
3,1986-05-04 13:59:02+00:00,203.7672117631872,186.7600221353063,190.40238164058292,192.82343564386474,189.74323619660282,203.5012931586433,211.62719144643825,229.28963977038043,214.487110492702,213.53471448119052,205.27013043924558,210.2556061342785,186.0977055733095,177.1782695282891,178.24734352871687,172.984465773681,169.7378562411537,186.57219363595618,203.32546144579555,212.96121777253867,211.08137631552853,211.38735608495892,202.44749191496027,197.4212256176204,199.90492639097803,201.23797179015392,218.25155473631605,210.37994938080337,214.4021068760041,213.94592161870983,218.44091932409904,226.73833255517388,238.10255934442705,223.28606040961486,211.83372878248798,186.02970784683208,202.28345657120877,197.28351346891012,190.72071607984194,206.68777107629748,207.42798429833346,198.1665855542065,198.77565236036756,227.39022230277914,216.4669732642118,211.60477478831152,218.75293991194934,219.7433698900104,217.31614829823755,219.3739570154843,229.79125982484877,217.4087453679535,228.4392614207626,229.56850659600397,230.674706802749,228.2943578805798,214.87570180836428,,209.2493225663938,213.09571561849864,210.5186170888494,211.45755358657075,210.238158507207,209.00930834194435,,,125.84744599122875,116.65095116593203,,138.0641743076276,224.849967628895,,213.64830629493818,217.7532277054514,221.28642257498575,213.87179051247065,189.23925139533605,177.34213710502758,163.6515839776428,157.50801796044982,159.55058219026742,225.31212044028115
4,1986-07-23 13:56:32+00:00,174.48280130896217,181.57462091242618,184.37832388270567,181.7085883292774,164.24931049501052,,,209.56923976492612,199.35574922063805,186.56100089049028,185.44928201163228,196.6066863690561,176.2718573277297,173.89344832738178,177.0429412856092,176.12870143312512,164.1627735919705,168.77371376799846,177.63354481916716,194.82648271091315,202.737461623048,196.75489848336554,196.6528430990671,197.4925832045233,207.6582367788228,206.42999904360482,219.8417527730402,216.39171820852113,216.16177060683012,205.22726189457018,197.76730308457343,211.6912532194908,222.88237322156277,236.12984875247787,201.50241930186198,,,,187.75890839413128,,,174.08337439232005,189.53416423214483,211.84151135459345,183.3197073806178,181.76948707378787,,,,,,,,,211.5542177140873,209.768560401353,,,213.38052706374629,222.34053309476704,,,,,,,112.99869879406054,94.20793198250875,,102.41914247191941,,,,,,,,,,,,
5,1986-08-15 14:01:29+00:00,196.74375790352676,185.07803193912162,183.20150047779893,195.6388243587112,,205.38642565196247,201.58160167671193,223.4717178363181,205.240487940059,200.33492523220065,197.84898013436666,204.0846786172558,182.09822800115248,187.73759721090556,187.5878438282289,177.62130391655379,182.64750089666816,193.04457951441634,,223.24265094761265,217.8697614938884,213.73156611986326,205.89504021821526,213.76065578039817,220.69651461901685,219.93692502963904,227.25437735365915,227.2923140398352,235.37179730868974,225.5892638910564,232.3184892075207,245.08673179475755,255.3714187966387,253.17313431624024,230.26587457730238,220.63910104541944,230.15389502517087,225.1277672679479,212.31634618168454,224.05730718722543,214.82114961428653,205.16190321930364,197.88541824022792,214.56589932602466,195.98123068622715,206.53210874877843,218.19512995773212,213.2226282640584,215.87437082751998,233.59891302101883,231.0012119807851,231.3238198906358,231.69759293881813,219.25926960020107,217.54488302486212,222.84388388822694,219.98760427855476,,241.22290748424314,241.53075526619548,251.52383832749683,243.38203342485787,234.02702233889946,224.18683534665632,224.31759911436515,116.9510325197318,113.06758237789172,105.40602656642955,,120.55316629475831,247.1075025501747,,233.17082137148972,199.6103012281318,180.8382247315672,,195.354927136601,191.2716944928755,162.17752673740603,153.33721859011266,159.02400920461253,225.7429761838753
6,1986-08-31 14:01:16+00:00,175.16528346776903,176.2691286635956,168.93102545572123,,157.6225965502402,,,,200.58842481871903,182.695198909533,179.42946818560705,186.97960583947423,174.48300445105878,170.68110465409245,177.23544431903798,173.46650961578842,,,160.3997891439083,,,193.76136133813446,189.58378340769534,189.4420254381806,199.3649359416023,202.84573188955477,211.01312571977923,206.88798679145384,215.97810831113586,210.1506918596674,206.19721416790716,225.1562519627262,236.97484084645185,230.05607611022114,202.41313352229153,199.52565601941993,208.595679077054,199.28222744703518,198.33557825064645,,,181.98712209020087,200.87903745518366,221.29446500936743,193.824280248972,182.7001285505114,,,,,,,,197.19198176213212,213.55524269080553,212.25721566103095,207.80879645446987,,226.81724178151072,233.50710065976392,240.3472562037361,226.59396700381893,216.5064854301353,,206.84888665204525,122.02786150409715,120.49675164011698,117.90727207187945,,126.51575478562965,212.6480414689247,,220.47496162708154,194.85549049595397,171.03239637464813,,,,,,,206.58394284890872
7,1986-09-16 14:00:22+00:00,190.83977154211672,188.02294600232932,189.07834063251426,188.70880555361532,196.9228847212161,207.5638767942261,196.1977690796466,229.21225121701556,218.34336939041336,202.63343965905239,200.54185332884796,206.65894667787938,187.21197020084284,185.0817569035868,190.0913355551581,183.47079453328686,185.12992071725193,193.70652228734238,193.03216280381108,204.1546760903087,211.31184600140242,208.26387343699292,199.9438735163778,210.87785485391043,220.6070995181061,220.1560595131865,227.17335664917292,224.3208126018024,231.0559455549549,222.0342740097348,220.12705726014747,233.8482044266634,246.01853833295127,242.6285275692796,216.2568884716396,212.78170301795578,231.80961766691195,217.09136007967666,208.4779319847486,212.65796330704936,212.76293140327311,199.1917056765661,205.9610580434515,232.44951916263014,203.6307625322938,202.81549220183945,230.89801092576215,227.35701841948904,221.32870218358207,232.84623454324733,237.6898539701222,223.32999139018906,238.10573449976377,238.09493201234596,224.6557311372438,225.6811031054346,231.18977660086475,,233.78975808009716,248.33104244942572,248.49841306588075,238.5189411433356,236.8845203102068,232.5849496504413,220.8501921865248,151.39455344690418,,,,,241.71838720736724,240.12974950128967,250.94527174331355,216.78583148745705,206.6739238155544,,181.25375721350233,183.19506418458127,167.57934599554562,154.86789746132374,159.497548201162,211.09062365194933
8,1986-09-25 13:54:18+00:00,,,,,,236.8773444603626,197.9713237676297,224.06229149059146,263.0089376201378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.5274817275104,246.7588719232581,224.43293593914265,229.25194932192943,227.84664486261323,232.44549412547607,257.0858575723418,252.32620290995501,237.87929757443283,220.19584843611,,,,198.2199091066302,185.27631890975778,121.14807616648099,108.28656853480678,101.32517172585764,,111.630146848585,,,,180.03484691974353,166.7428270794067,,,,,,,
9,1986-10-11 13:53:47+00:00,190.26442519810297,180.8159301735334,189.0771852548239,177.78683817062284,210.01458488648993,207.29443500917046,203.38651568660708,233.14211052905645,222.93374649349616,199.4273871839821,190.2233634187378,203.48234550576885,180.53744456548162,182.97718524749806,185.47494844859216,177.971659990977,182.9244634067462,200.86488412293994,205.09052923907112,213.40210132272725,220.79166517955835,213.76454009193782,208.9427550077045,203.50720588484305,217.46510213187372,221.12639044785288,227.29917020137412,226.13295074742777,237.57721137689447,227.86565888877342,228.9415199167379,237.2415455555622,250.06902918680515,243.83282233575704,219.53993023832157,206.50041649507023,224.9324399993173,213.71123324247606,221.17220875442746,219.78626276744427,223.41976925762708,204.04242151452485,203.69476288428416,220.5132900066737,186.22646461339062,188.328410152982,210.09786057366165,213.62870048963072,207.6365753548937,224.9466810510826,232.6307454522055,223.9132874567472,221.6895233754917,228.92384473100464,220.96678923559688,216.4412157247203,212.91368734991892,216.70858119914672,228.0000897963841,235.13505469743149,235.1766357784725,225.15166728798212,221.8566557873434,220.28632175489423,216.77683539648848,219.9481774782852,217.55139446821545,227.63627873846806,221.51122188888513,234.71095647381824,242.4289705976217,243.90303636952623,247.55166577126997,262.729358066591,226.88114706750906,182.5172311117027,153.58573584013135,170.81977440399743,155.57325149825346,155.81530192919027,152.84906281323995,217.2006683703423
