dates,sar1724-0000,sar1724-0001,sar1724-0002,sar1724-0003,sar1724-0004,sar1724-0005,sar1724-0006,sar1724-0007,satname
1984-04-13 09:27:07+00:00,46.59,192.17,186.11,171.5,165.98,207.38,240.62,240.62,L5
1984-05-06 09:33:03+00:00,40.22,190.94,180.73,170.22,159.96,207.18,238.97,241.22,L5
1984-07-18 09:28:46+00:00,52.7,192.41,193.91,179.23,178.11,207.56,247.09,250.7,L5
1984-08-03 09:29:20+00:00,52.2,198.02,192.14,178.28,179.76,221.91,247.02,252.2,L5
1984-08-19 09:29:51+00:00,48.99,192.49,186.07,174.24,166.84,206.8,237.89,240.38,L5
1984-08-26 09:35:45+00:00,48.25,176.32,191.74,177.9,177.55,207.28,237.0,236.56,L5
1984-09-11 09:35:50+00:00,50.18,193.96,185.24,173.03,181.26,221.77,245.52,239.35,L5
1984-10-13 09:35:49+00:00,38.28,182.01,172.02,172.18,176.01,207.44,240.32,243.96,L5
1984-11-07 09:29:53+00:00,,,169.79,169.17,172.06,207.3,234.55,240.4,L5
1984-12-09 09:29:58+00:00,43.76,193.09,190.49,175.2,168.67,221.71,232.5,232.11,L5
1985-01-17 09:36:05+00:00,39.57,190.97,182.79,170.19,174.64,207.17,243.0,250.73,L5
1985-02-02 09:36:09+00:00,43.9,193.26,186.99,172.69,183.65,221.73,239.09,244.59,L5
1985-05-02 09:30:07+00:00,41.66,192.21,187.37,176.18,178.01,207.66,235.13,240.47,L5
1985-05-18 09:30:04+00:00,,,,,,,,242.57,L5
1985-06-03 09:30:04+00:00,43.58,191.9,188.45,175.69,167.73,206.87,239.68,238.3,L5
1985-06-26 09:35:47+00:00,39.86,183.25,177.08,168.45,158.67,176.1,237.53,238.67,L5
1985-07-05 09:29:57+00:00,52.05,196.28,184.09,170.88,179.41,221.74,250.7,250.15,L5
1985-07-12 09:35:41+00:00,41.61,190.9,177.86,167.78,164.76,206.54,244.37,246.39,L5
1985-08-13 09:35:25+00:00,44.66,193.35,187.32,172.93,170.31,206.87,239.42,240.42,L5
1985-08-22 09:29:32+00:00,48.16,195.2,191.31,181.97,182.73,221.8,242.14,250.01,L5
1985-11-10 09:28:33+00:00,51.33,190.74,186.24,174.27,172.8,207.05,240.49,239.92,L5
1986-01-04 09:33:20+00:00,52.19,192.63,190.49,180.3,175.1,206.96,227.97,237.6,L5
1986-01-13 09:27:22+00:00,38.59,191.31,188.53,173.82,167.24,207.3,231.96,240.56,L5
1986-03-25 09:31:37+00:00,38.75,178.73,179.48,177.76,165.72,207.23,241.09,241.28,L5
1986-04-19 09:25:17+00:00,40.33,192.18,181.13,174.02,166.3,206.47,240.96,241.6,L5
1986-05-12 09:30:29+00:00,46.95,193.03,186.76,174.85,172.3,222.03,246.95,246.39,L5
1986-05-21 09:24:27+00:00,,175.03,187.94,177.44,163.71,201.26,240.23,241.71,L5
1986-05-28 09:30:02+00:00,51.94,191.71,176.29,171.38,161.01,191.24,246.96,248.14,L5
1986-07-08 09:22:57+00:00,50.22,192.91,191.03,183.19,167.96,208.08,247.57,244.65,L5
1986-07-24 09:22:23+00:00,30.68,177.34,177.65,171.45,157.35,202.47,240.97,240.34,L5
1986-08-16 09:27:20+00:00,49.53,198.16,192.24,183.17,174.23,222.28,248.97,250.07,L5
1986-09-17 09:26:13+00:00,44.41,183.99,181.89,177.16,163.59,192.9,245.88,241.47,L5
1986-10-12 09:19:38+00:00,48.88,192.14,192.25,179.36,166.82,207.71,242.07,245.66,L5
1987-01-07 09:25:13+00:00,45.33,192.42,186.15,170.05,168.13,206.93,239.22,243.12,L5
1987-01-16 09:19:41+00:00,29.35,176.77,170.56,167.97,151.31,191.37,238.07,237.6,L5
1987-02-17 09:20:35+00:00,48.61,184.49,186.74,180.47,163.44,192.82,235.95,233.87,L5
1987-04-06 09:22:36+00:00,37.19,191.04,185.92,171.5,168.25,207.05,237.3,242.31,L5
1987-04-29 09:29:06+00:00,50.36,193.38,189.19,180.98,173.68,221.58,251.91,251.39,L5
1987-05-08 09:23:35+00:00,51.82,192.39,188.67,177.96,166.28,206.84,242.67,246.88,L5
1987-05-15 09:29:33+00:00,38.8,191.51,181.51,172.78,162.32,206.51,242.86,244.33,L5
1987-06-09 09:24:23+00:00,50.86,195.57,195.23,183.54,173.63,222.11,250.06,249.26,L5
1987-06-16 09:30:19+00:00,45.87,191.04,188.65,177.77,163.57,206.98,239.3,246.37,L5
1987-06-25 09:24:44+00:00,53.88,193.97,195.39,184.47,171.07,222.09,251.74,249.94,L5
1987-07-02 09:30:39+00:00,43.87,184.47,187.71,174.31,164.32,207.21,246.5,249.33,L5
1987-07-11 09:25:03+00:00,44.91,192.53,191.83,181.7,168.11,207.88,241.77,248.03,L5
1987-07-18 09:30:57+00:00,39.32,191.24,183.74,174.52,166.48,206.92,244.6,245.41,L5
1987-07-27 09:25:25+00:00,41.7,191.55,186.87,175.45,165.41,207.51,247.04,251.19,L5
1987-08-03 09:31:25+00:00,49.52,194.01,193.06,180.04,174.61,221.95,249.6,250.51,L5
1987-08-12 09:25:55+00:00,42.86,191.02,186.58,180.68,165.06,206.45,242.53,246.28,L5
1987-08-19 09:31:54+00:00,45.21,191.19,181.52,176.7,163.44,206.71,249.85,243.69,L5
1987-08-28 09:26:22+00:00,41.91,190.91,179.6,172.89,164.32,206.57,244.52,240.44,L5
1987-09-04 09:32:19+00:00,39.3,191.65,174.57,170.25,155.21,207.48,250.74,242.82,L5
1987-09-13 09:26:45+00:00,38.19,182.1,188.03,172.69,165.82,206.98,246.98,246.63,L5
1987-09-20 09:33:05+00:00,50.54,196.83,188.66,171.31,175.86,222.31,254.6,243.86,L5
1987-11-16 09:28:03+00:00,45.92,192.73,191.2,178.95,168.66,221.62,240.84,247.75,L5
1987-12-02 09:28:18+00:00,45.98,192.53,190.86,178.24,164.19,207.54,242.95,239.25,L5
1988-01-10 09:34:42+00:00,48.85,,188.43,,,207.79,247.47,251.67,L5
1988-02-11 09:35:17+00:00,52.29,192.52,185.65,173.19,166.29,207.15,250.88,251.23,L5
1988-02-20 09:29:38+00:00,49.9,195.93,181.65,168.51,173.85,191.49,286.4,254.83,L5
1988-03-14 09:35:39+00:00,46.92,193.03,190.74,180.3,171.04,207.98,245.55,245.8,L5
1988-05-01 09:36:21+00:00,47.89,191.12,186.47,174.74,166.47,207.64,254.02,256.06,L5
1988-05-17 09:36:08+00:00,47.18,191.77,184.8,175.33,166.86,208.08,244.58,245.09,L5
1988-06-02 09:36:14+00:00,54.42,206.9,186.33,170.11,177.9,228.21,261.44,259.88,L5
1988-06-11 09:30:29+00:00,50.62,198.93,188.47,175.92,172.65,222.16,248.64,248.39,L5
1988-06-18 09:36:19+00:00,40.33,182.53,180.45,174.0,165.68,203.21,240.85,236.17,L5
1988-07-04 09:36:24+00:00,43.66,191.65,189.15,176.02,167.31,207.05,244.28,239.04,L5
1988-07-13 09:30:39+00:00,53.3,206.19,194.85,185.27,178.14,221.94,246.74,241.47,L5
1988-07-29 09:30:42+00:00,47.43,192.87,184.85,168.75,166.86,221.72,251.74,245.44,L5
1988-08-05 09:36:28+00:00,37.54,191.72,184.62,176.55,166.31,206.96,249.18,252.1,L5
1988-08-14 09:30:40+00:00,33.87,181.69,188.34,179.68,161.1,206.61,236.76,239.79,L5
1988-08-21 09:36:29+00:00,37.21,181.69,177.71,168.81,158.39,206.82,252.27,252.83,L5
1988-09-06 09:36:31+00:00,44.38,196.03,185.95,174.82,164.22,206.59,241.96,247.45,L5
1988-09-15 09:30:41+00:00,37.04,191.71,180.67,174.51,164.62,207.23,249.48,251.22,L5
1988-09-22 09:36:26+00:00,51.76,193.32,188.89,175.01,170.4,221.77,248.81,251.17,L5
1988-10-08 09:36:21+00:00,45.0,191.0,183.82,179.84,171.68,206.67,245.06,247.19,L5
1988-11-02 09:30:34+00:00,44.01,192.69,188.0,175.08,172.64,221.69,245.73,238.13,L5
1988-12-04 09:30:29+00:00,,,198.39,,,194.93,230.99,242.69,L5
1988-12-11 09:36:09+00:00,55.9,200.17,191.54,177.2,180.83,222.19,251.62,242.1,L5
1988-12-27 09:36:03+00:00,42.83,191.72,189.99,178.9,168.88,207.38,229.76,235.81,L5
1989-01-05 09:30:16+00:00,30.92,191.72,181.96,170.96,,210.62,228.31,243.56,L5
1989-01-12 09:35:56+00:00,39.03,184.65,186.01,176.23,159.9,206.44,232.89,230.44,L5
1989-01-28 09:35:43+00:00,48.77,193.41,196.08,180.16,176.48,221.74,240.35,250.03,L5
1989-02-06 09:29:59+00:00,51.52,193.9,195.86,177.26,172.99,222.4,232.41,242.59,L5
1989-02-13 09:35:45+00:00,50.08,178.63,179.51,172.97,159.41,206.53,238.66,249.95,L5
1989-02-22 09:29:52+00:00,36.67,183.56,175.17,163.03,162.7,206.42,243.42,243.74,L5
1989-03-17 09:34:52+00:00,37.4,182.14,181.72,178.55,166.82,206.79,239.99,242.45,L5
1989-03-26 09:28:53+00:00,52.14,198.69,189.79,176.0,174.53,222.72,252.9,253.33,L5
1989-04-02 09:34:48+00:00,48.97,192.79,191.03,177.4,173.33,222.04,245.57,250.01,L5
1989-05-20 09:34:09+00:00,42.44,192.16,190.59,181.59,172.1,207.51,241.81,243.43,L5
1989-05-29 09:28:17+00:00,49.81,192.15,193.27,183.3,173.74,221.83,250.22,248.72,L5
1989-06-14 09:27:46+00:00,47.93,191.79,178.43,174.9,162.91,206.74,248.2,250.34,L5
1989-06-21 09:33:31+00:00,46.24,187.06,171.94,168.91,163.66,206.46,242.24,235.88,L5
1989-06-30 09:27:39+00:00,49.24,206.71,188.09,171.82,176.98,222.06,257.57,256.68,L5
1989-07-16 09:27:19+00:00,54.24,196.8,194.84,178.46,171.01,222.85,254.81,257.23,L5
1989-07-23 09:32:57+00:00,50.84,190.84,174.63,160.76,162.5,176.61,245.91,242.37,L5
1989-08-01 09:26:59+00:00,34.96,178.71,186.07,173.59,158.51,207.08,241.07,240.24,L5
1989-08-24 09:32:15+00:00,50.02,196.06,190.66,176.65,174.97,221.84,247.19,248.43,L5
1989-09-02 09:26:17+00:00,47.43,192.73,181.93,174.16,170.69,221.65,244.56,243.6,L5
1989-09-18 09:25:44+00:00,47.07,193.44,188.78,180.68,,252.89,242.22,243.68,L5
1989-09-25 09:31:28+00:00,55.15,195.73,190.47,175.39,177.27,221.98,254.65,256.59,L5
1989-10-11 09:31:06+00:00,44.25,191.11,181.0,172.61,162.78,206.92,248.96,254.95,L5
1989-10-20 09:24:51+00:00,,176.83,186.55,181.36,165.4,206.86,237.48,242.01,L5
1989-11-28 09:29:40+00:00,42.02,191.09,177.05,168.72,165.05,206.6,235.45,236.98,L5
1989-12-14 09:29:14+00:00,40.59,192.95,184.96,170.99,174.4,207.4,240.25,246.49,L5
1989-12-23 09:23:10+00:00,27.18,175.85,163.67,172.16,171.31,223.31,239.74,245.58,L5
1990-01-31 09:27:43+00:00,52.67,196.57,184.57,167.82,176.82,222.58,251.36,251.23,L5
1990-02-09 09:21:38+00:00,,,,144.86,138.2,,209.52,217.26,L5
1990-02-16 09:27:12+00:00,37.44,184.46,178.38,167.53,173.37,207.39,248.76,252.05,L5
1990-03-04 09:27:02+00:00,51.94,193.39,191.5,179.89,171.53,221.84,244.28,249.6,L5
1990-04-14 09:20:11+00:00,42.54,192.1,189.07,177.36,170.94,221.72,241.37,240.77,L5
1990-05-16 09:20:13+00:00,54.36,195.15,193.52,182.45,178.82,223.08,248.96,247.6,L5
1990-06-01 09:20:08+00:00,57.6,197.32,196.18,177.75,183.4,222.89,261.17,258.23,L5
1990-06-17 09:20:06+00:00,49.92,193.14,191.28,178.05,176.34,221.88,249.95,246.58,L5
1990-06-24 09:25:54+00:00,32.45,178.43,176.45,167.49,156.25,199.69,237.34,237.39,L5
1990-07-03 09:20:06+00:00,48.44,192.87,187.24,174.7,173.7,222.09,246.64,247.27,L5
1990-07-10 09:25:52+00:00,39.25,176.34,177.29,174.9,160.42,193.59,237.4,237.46,L5
1990-07-19 09:20:01+00:00,55.95,207.77,195.26,179.27,183.92,222.96,252.27,237.73,L5
1990-07-26 09:25:48+00:00,50.98,196.24,190.7,179.43,173.83,207.89,242.37,237.55,L5
1990-08-04 09:19:56+00:00,47.62,193.13,191.62,183.42,173.33,207.39,240.03,237.28,L5
1990-08-11 09:25:43+00:00,48.47,206.73,184.71,173.58,178.07,221.91,250.98,254.72,L5
1990-08-20 09:19:54+00:00,,178.43,189.7,183.49,167.22,193.39,241.56,245.76,L5
1990-09-05 09:19:46+00:00,34.69,177.3,178.97,176.77,164.97,203.08,240.55,242.96,L5
1990-09-12 09:25:35+00:00,39.59,191.12,186.68,174.12,171.26,207.22,247.41,252.07,L5
1990-09-28 09:25:26+00:00,55.61,198.57,188.19,173.12,181.19,222.86,256.44,256.15,L5
1990-10-30 09:25:11+00:00,38.29,178.26,172.06,164.0,174.23,206.95,245.56,242.03,L5
1990-11-15 09:25:13+00:00,35.3,178.15,184.42,187.56,159.76,201.28,227.05,229.64,L5
1991-01-02 09:25:37+00:00,42.02,179.16,178.81,172.74,163.68,202.56,240.64,238.5,L5
1991-01-11 09:20:03+00:00,53.26,196.28,194.69,176.75,175.89,221.69,234.06,238.19,L5
1991-01-27 09:20:30+00:00,42.14,191.14,195.9,180.81,165.49,228.29,226.79,231.33,L5
1991-04-08 09:27:30+00:00,56.64,193.17,194.55,180.48,178.86,223.23,252.98,251.66,L5
1991-05-26 09:28:22+00:00,46.39,192.1,189.32,182.77,174.69,208.07,238.24,237.01,L5
1991-06-04 09:22:42+00:00,,191.3,185.75,174.5,174.5,207.84,240.4,246.66,L5
1991-06-20 09:22:54+00:00,36.24,192.54,190.07,180.41,174.86,207.51,247.09,248.55,L5
1991-06-27 09:28:49+00:00,37.77,190.86,178.79,169.13,165.64,206.79,239.78,241.28,L5
1991-07-06 09:23:10+00:00,48.26,193.33,190.97,179.07,172.52,207.52,246.99,243.99,L5
1991-07-13 09:28:57+00:00,32.13,191.14,178.83,170.1,165.79,206.82,237.29,244.17,L5
1991-07-22 09:23:22+00:00,52.97,197.72,190.33,177.83,180.9,222.01,244.77,245.75,L5
1991-07-29 09:29:13+00:00,36.26,191.66,181.11,175.08,165.56,207.19,243.5,246.82,L5
1991-08-07 09:23:28+00:00,,194.02,195.28,181.65,186.67,208.42,244.66,245.18,L5
1991-08-14 09:29:15+00:00,,200.48,195.33,180.91,193.01,221.6,245.38,244.08,L5
1991-08-23 09:23:34+00:00,47.01,178.48,172.79,172.59,164.39,197.16,243.74,242.57,L5
1991-09-08 09:23:48+00:00,,192.1,192.78,181.42,169.73,207.25,236.07,239.8,L5
1991-09-24 09:23:55+00:00,42.44,191.67,178.95,171.43,165.76,206.77,244.69,245.58,L5
1991-10-17 09:29:54+00:00,42.81,191.62,187.72,175.39,174.51,207.27,239.84,240.04,L5
1991-11-02 09:30:16+00:00,54.57,187.93,189.03,178.02,177.23,221.58,246.17,239.61,L5
1991-11-11 09:24:09+00:00,47.7,192.55,186.66,172.98,177.37,221.54,243.23,240.95,L5
1992-01-05 09:29:59+00:00,49.72,193.54,186.11,169.79,175.01,207.79,235.15,236.08,L5
1992-01-14 09:24:13+00:00,41.84,192.15,180.29,171.67,155.28,197.25,227.85,236.66,L5
1992-01-30 09:24:18+00:00,54.96,180.95,188.77,176.8,167.87,202.77,231.22,238.18,L5
1992-02-06 09:29:56+00:00,54.02,193.48,189.4,174.59,179.76,222.23,234.36,239.65,L5
1992-02-15 09:24:02+00:00,48.88,192.51,187.63,172.45,173.66,221.88,241.29,249.05,L5
1992-04-19 09:23:30+00:00,47.82,192.72,181.09,172.39,170.43,207.7,242.12,246.41,L5
1992-04-26 09:29:58+00:00,40.0,181.37,177.46,170.07,164.81,206.54,237.57,241.08,L5
1992-05-12 09:29:27+00:00,39.41,181.76,179.5,173.29,161.77,203.49,235.28,242.09,L5
1992-05-28 09:29:18+00:00,44.63,182.64,175.72,170.85,159.5,206.66,243.66,242.93,L5
1992-06-06 09:23:26+00:00,40.39,183.61,187.08,174.68,168.05,207.04,242.85,242.57,L5
1992-06-13 09:29:08+00:00,39.31,184.03,176.14,163.61,161.76,203.87,239.79,241.28,L5
