dates,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058,satname
1999-08-26 22:04:44+00:00,375.06,373.52,361.33,357.58,362.17,358.04,351.52,343.02,343.95,351.44,353.98,353.58,356.83,359.20,361.25,373.42,376.77,374.78,370.41,371.07,375.60,375.56,378.03,377.91,377.67,383.83,385.87,381.56,383.01,382.38,383.87,387.16,389.41,395.86,393.36,388.26,387.07,388.17,388.99,389.34,390.84,391.89,384.95,387.47,386.98,385.03,392.00,390.17,389.97,389.36,386.31,382.48,377.20,371.00,374.81,374.61,356.96,350.73,393.21,L7
1999-09-27 22:04:48+00:00,367.73,375.98,364.23,352.77,357.62,347.35,351.21,342.78,330.04,358.15,366.43,361.12,355.25,360.70,360.38,363.83,362.49,358.68,365.54,364.90,354.71,368.67,365.30,376.95,394.80,405.30,396.31,396.05,378.78,377.54,385.80,389.35,384.57,398.83,394.42,388.02,381.00,386.48,385.22,387.92,396.69,402.03,387.87,372.42,369.52,382.26,380.71,375.69,383.51,378.28,374.72,373.69,368.49,361.88,361.22,372.22,364.42,355.19,400.41,L7
1999-10-13 22:04:48+00:00,354.32,364.65,354.05,343.92,353.04,342.73,336.33,334.56,325.81,340.40,349.31,344.75,344.12,348.73,349.34,353.28,357.98,354.80,359.71,354.49,349.78,362.89,358.72,367.30,382.75,393.24,382.03,379.38,369.20,367.49,374.49,379.90,378.01,392.28,384.14,375.03,368.90,377.77,374.36,376.22,384.22,385.16,373.16,366.40,364.32,368.00,373.49,375.37,375.88,374.73,376.23,369.96,364.88,356.07,353.08,359.28,348.18,341.99,389.57,L7
1999-11-14 22:04:42+00:00,354.61,380.05,363.43,354.43,347.00,338.05,337.74,341.13,330.87,337.48,343.28,353.67,354.26,356.81,365.32,363.17,361.07,357.21,359.72,352.24,344.58,357.03,353.83,369.30,374.98,379.70,387.57,385.76,376.24,369.41,372.17,373.27,375.82,380.41,381.91,378.84,372.92,375.33,382.72,379.57,377.42,383.62,380.58,372.89,368.91,374.32,377.36,375.74,373.76,375.36,376.99,369.06,366.12,360.54,360.04,365.46,359.94,350.58,394.44,L7
2000-05-24 22:03:46+00:00,381.92,385.00,379.08,368.44,370.46,357.63,352.24,348.51,341.96,347.27,350.29,347.93,345.54,351.02,355.07,360.10,360.83,356.75,360.18,353.28,353.51,358.80,357.80,370.09,376.71,381.51,383.80,,,,,,,,,,,,,,,371.76,369.36,379.77,376.32,,,362.79,359.67,369.08,,,,,,,,,,L7
2001-01-03 22:02:12+00:00,378.45,369.71,371.96,365.35,357.44,360.82,351.62,342.27,340.55,337.39,335.98,337.49,343.61,348.48,353.46,360.52,357.20,353.56,355.58,356.77,355.23,360.19,366.70,367.45,366.97,367.92,371.70,368.03,374.10,372.07,367.50,365.20,372.20,372.09,375.22,375.81,377.62,381.13,385.64,386.93,381.29,375.99,375.15,378.70,381.86,380.41,379.05,381.09,381.60,383.82,380.24,374.66,371.11,364.30,361.72,359.61,355.48,348.62,366.88,L7
2001-03-24 22:01:59+00:00,361.89,368.13,367.78,361.88,359.87,354.53,352.04,340.07,333.05,336.54,331.35,332.98,338.57,345.66,345.88,349.86,351.22,348.07,351.34,349.94,346.55,351.99,363.70,370.05,364.91,367.42,364.78,368.87,365.47,362.26,362.57,361.31,367.49,374.58,369.79,365.96,369.14,369.85,372.49,373.16,372.61,374.97,371.66,366.84,365.62,368.02,366.95,369.84,372.97,371.07,372.63,370.40,368.87,363.96,359.74,364.90,347.35,338.40,392.51,L7
2001-08-15 22:00:38+00:00,,343.97,343.86,350.90,361.46,366.15,344.54,330.08,348.75,344.40,344.19,346.46,347.31,349.52,371.11,365.70,359.00,362.37,349.93,356.05,371.07,359.23,369.87,366.12,368.76,355.07,373.72,375.34,380.12,379.06,373.56,372.40,380.25,371.79,377.59,381.73,380.39,379.48,374.56,379.43,377.45,368.71,376.47,376.59,380.24,369.22,369.78,379.15,379.23,375.27,375.92,372.77,363.30,365.01,363.10,355.46,356.06,340.56,380.31,L7
2001-10-02 22:00:04+00:00,361.29,353.21,351.60,354.70,354.38,345.08,340.37,341.38,337.13,341.66,340.60,341.10,343.79,347.44,351.22,346.79,351.82,351.01,346.36,350.45,351.33,350.88,360.52,359.18,368.26,376.49,373.41,363.19,357.35,363.50,360.02,356.68,363.46,367.63,363.60,363.88,,,,,,,,,,,,,,,,,,,,,341.77,333.62,375.01,L7
2001-12-05 22:00:18+00:00,356.72,357.66,346.70,353.06,352.17,343.28,342.06,336.29,327.22,342.49,341.31,336.25,334.42,341.97,335.23,336.50,342.68,339.54,347.67,349.33,340.48,352.02,349.75,362.26,371.81,382.22,373.06,372.65,359.91,351.37,353.86,353.97,358.76,373.35,362.73,356.73,356.71,359.25,365.38,368.26,371.49,375.91,372.07,359.86,352.20,361.16,364.80,363.79,362.80,363.98,367.45,358.28,353.19,350.37,347.72,351.32,340.27,338.97,378.51,L7
2002-01-22 22:00:40+00:00,354.29,361.29,363.80,356.90,355.81,355.41,354.83,348.08,354.61,353.13,356.10,359.56,357.59,359.43,366.88,373.13,376.87,368.19,360.37,362.53,362.83,366.07,369.52,372.93,375.26,379.95,384.51,384.01,385.44,386.27,383.52,381.19,385.21,379.71,382.67,382.98,387.45,385.63,387.77,389.50,385.42,382.58,381.05,385.50,384.36,380.98,385.21,383.78,383.99,382.22,382.91,378.21,367.89,366.36,367.06,368.09,364.29,361.19,378.50,L7
2002-03-27 22:00:37+00:00,,,,,,,340.90,335.31,333.94,338.33,343.57,345.27,343.27,345.64,346.45,351.20,357.79,352.74,347.86,347.75,351.65,350.40,356.29,359.95,362.58,366.35,373.31,370.40,372.92,369.16,366.56,365.83,368.55,370.21,368.43,365.70,367.01,368.53,370.88,372.54,365.69,365.99,366.74,367.58,366.12,365.76,366.44,367.95,366.63,371.88,367.43,363.56,361.04,351.64,353.68,356.27,348.29,336.43,360.37,L7
2002-06-15 22:00:19+00:00,,359.83,363.41,361.67,362.12,348.01,347.23,342.73,340.20,346.12,356.44,353.03,350.45,356.32,351.95,350.62,356.13,353.68,355.96,352.97,345.92,353.68,355.23,373.27,383.93,391.55,382.55,374.36,361.19,353.81,355.84,357.59,357.71,340.46,361.05,347.31,343.07,,,360.90,357.16,,,347.64,354.54,,369.70,372.99,371.15,371.31,368.95,361.68,360.73,355.62,354.71,361.71,350.46,343.15,380.15,L7
2002-07-17 22:00:08+00:00,,,,,,,,346.10,347.65,352.04,356.06,361.11,360.74,359.28,362.44,367.21,368.50,368.71,364.90,362.89,365.83,365.96,371.50,374.79,380.77,380.24,387.07,381.19,383.02,380.69,379.40,382.03,386.52,383.65,388.91,385.73,,381.71,388.03,387.36,383.65,377.35,382.98,381.18,381.15,379.91,379.04,381.25,385.63,387.93,380.23,379.70,372.20,366.00,367.31,366.46,365.37,352.54,406.91,L7
2002-09-19 21:59:35+00:00,376.84,358.99,348.00,350.12,350.55,347.47,340.64,336.49,337.40,334.41,332.89,341.39,341.65,340.58,350.70,355.50,360.62,360.41,350.96,352.57,352.72,350.90,357.02,358.22,357.03,356.94,367.32,365.01,369.75,369.30,368.53,367.15,368.44,369.13,369.12,366.63,368.32,366.06,366.62,368.51,363.98,362.88,373.00,375.27,371.88,369.47,367.61,367.20,367.54,372.42,370.10,367.08,359.42,357.30,355.74,356.53,343.11,344.35,356.02,L7
2003-08-05 22:00:11+00:00,,,,,,,,,340.63,343.47,339.83,345.58,349.07,351.57,355.39,366.30,365.55,366.70,363.92,362.22,,,,369.05,368.24,365.90,372.56,371.13,369.90,370.99,374.23,374.65,377.65,381.97,378.05,384.08,,,,387.08,378.78,378.30,383.16,378.49,384.29,377.64,373.73,379.43,378.90,377.32,374.03,371.86,,,,,357.27,348.78,373.70,L7
2003-08-13 21:48:45+00:00,351.47,357.32,360.44,359.17,361.74,349.63,344.43,339.49,324.22,334.87,329.48,330.56,332.05,345.03,343.59,350.08,359.07,356.37,362.65,359.57,350.45,359.63,358.80,359.70,370.47,376.40,368.17,364.05,358.81,363.06,368.11,368.99,367.43,377.59,376.51,370.55,370.91,370.70,373.04,371.32,371.62,379.96,374.21,367.32,363.25,375.48,373.26,373.23,365.27,363.75,365.99,366.50,359.25,356.62,349.91,355.61,341.47,336.34,387.06,L5
2003-09-14 21:49:18+00:00,,,,,,,,,,,,,,,355.02,359.59,369.37,367.04,383.26,382.48,372.72,382.45,375.60,384.27,392.77,405.55,390.25,388.12,379.17,373.02,374.62,379.95,381.96,395.68,393.18,394.20,388.53,383.98,389.23,390.21,388.07,397.84,388.96,380.30,379.28,384.63,381.87,375.55,373.89,384.08,386.83,382.95,377.46,375.38,371.46,376.30,362.33,354.35,407.11,L5
2003-11-17 21:50:09+00:00,,,,,361.48,357.04,352.30,342.05,345.00,358.88,360.04,362.07,367.15,365.33,369.20,380.46,363.47,365.32,367.29,362.44,358.55,359.64,366.21,379.71,382.12,381.10,381.25,383.25,383.67,383.68,382.93,373.74,381.38,382.51,385.82,381.05,382.28,377.88,385.01,395.99,394.20,391.95,392.40,394.99,389.42,384.90,386.26,374.11,374.75,373.66,371.87,368.68,363.97,359.10,360.76,382.23,375.30,373.44,380.80,L5
