dates,satname,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058
1999-08-26 22:04:44+00:00,L7,375.23,373.74,361.50,357.72,362.39,358.15,351.67,343.22,344.01,351.62,354.18,353.71,356.96,359.35,361.30,373.47,376.84,374.83,370.59,371.21,375.66,375.70,378.08,378.06,377.92,384.16,386.05,381.74,383.06,382.43,383.95,387.27,389.46,396.04,393.46,388.33,387.14,388.24,389.10,389.45,390.99,392.14,385.10,387.54,387.03,385.17,392.13,390.28,390.06,389.45,386.45,382.60,377.33,371.12,374.93,374.79,357.11,350.90,393.31
1999-09-27 22:04:48+00:00,L7,351.56,354.42,348.06,338.91,336.06,337.14,336.29,323.38,323.98,340.51,347.03,349.00,343.13,345.78,355.53,358.98,355.80,353.83,347.90,351.04,349.17,354.81,360.45,362.03,370.55,372.97,378.67,378.41,373.93,372.69,377.72,379.14,379.72,381.19,384.72,381.33,373.81,379.55,374.44,377.71,381.77,377.78,372.95,365.23,364.67,368.40,367.78,365.48,375.08,369.85,360.86,362.28,356.36,350.47,349.81,354.58,349.50,339.02,390.71
1999-10-13 22:04:48+00:00,L7,339.82,345.32,339.55,331.49,333.71,333.57,322.95,317.16,320.37,324.58,331.91,333.87,333.25,335.35,344.99,348.93,351.98,350.45,343.89,342.06,344.81,350.46,354.37,353.92,361.00,364.24,366.21,363.56,364.85,363.14,367.24,370.74,373.66,376.46,375.44,369.03,362.46,371.56,364.69,367.06,370.84,363.41,359.78,359.96,359.97,355.57,361.89,366.21,368.31,367.16,363.80,359.72,354.00,345.83,342.84,343.46,334.80,327.49,380.87
1999-11-14 22:04:42+00:00,L7,347.11,370.05,355.93,348.00,337.00,333.31,330.82,332.13,328.06,329.30,334.28,348.04,348.64,349.89,363.07,360.92,357.97,354.96,351.54,345.81,342.01,350.60,351.58,362.38,363.73,364.70,379.39,377.58,373.99,367.16,368.42,368.53,373.57,372.23,377.41,375.74,369.59,372.12,377.72,374.83,370.50,372.37,373.66,369.56,366.66,367.89,371.36,371.00,369.85,371.45,370.56,363.77,360.49,355.25,354.75,357.28,353.02,343.08,389.94
2000-05-24 22:03:46+00:00,L7,377.59,379.22,374.75,364.73,364.68,354.89,348.24,343.31,340.34,342.54,345.09,344.68,342.29,347.02,353.77,358.80,359.04,355.45,355.45,349.57,352.02,355.09,356.50,366.09,370.21,372.84,379.07,102.03,,,,,,,,,,,,,,365.26,365.36,377.84,375.02,,,360.05,357.41,366.82,,,,,,,,,323.05
2001-01-03 22:02:12+00:00,L7,381.45,373.71,374.96,367.92,361.44,362.71,354.39,345.87,341.67,340.66,339.58,339.74,345.86,351.25,354.36,361.42,358.44,354.46,358.85,359.34,356.26,362.76,367.60,370.22,371.47,373.92,374.97,371.30,375.00,372.97,369.00,367.09,373.10,375.36,377.02,377.05,378.95,382.42,387.64,388.82,384.06,380.49,377.92,380.03,382.76,382.98,381.45,382.98,383.17,385.39,382.81,376.78,373.36,366.42,363.84,362.88,358.25,351.62,368.68
2001-03-24 22:01:59+00:00,L7,356.72,361.24,362.61,357.45,352.98,351.27,347.27,333.87,331.11,330.90,325.15,329.10,334.70,340.89,344.33,348.31,349.08,346.52,345.70,345.51,344.78,347.56,362.15,365.28,357.16,357.09,359.14,363.23,363.92,360.71,359.99,358.05,365.94,368.94,366.69,363.82,366.84,367.64,369.05,369.90,367.84,367.22,366.89,364.54,364.07,363.59,362.82,366.58,370.27,368.37,368.20,366.75,364.99,360.31,356.09,359.26,342.58,333.23,389.41
2001-08-15 22:00:38+00:00,L7,,364.64,359.36,364.19,382.13,375.94,358.85,348.68,354.56,361.31,362.79,358.09,358.94,363.83,375.76,370.35,365.41,367.02,366.84,369.34,376.38,372.52,374.52,380.43,392.01,386.07,390.63,392.25,384.77,383.71,381.31,382.19,384.90,388.70,386.89,388.14,387.28,386.12,384.89,389.22,391.76,391.96,390.78,383.48,384.89,382.51,382.18,388.94,387.32,383.36,389.21,383.71,374.92,375.95,374.04,372.37,370.37,356.06,389.61
2001-10-02 22:00:04+00:00,L7,357.29,347.88,347.60,351.27,349.05,342.55,336.68,336.58,335.63,337.30,335.80,338.10,340.79,343.75,350.02,345.59,350.16,349.81,342.00,347.02,349.96,347.45,359.32,355.49,362.26,368.49,369.05,358.83,356.15,362.30,358.02,354.15,362.26,363.27,361.20,362.22,,,,,,,,,,,,,,,,235.27,250.67,,276.56,179.38,338.08,329.62,372.61
2001-12-05 22:00:18+00:00,L7,341.55,337.44,331.53,340.06,331.95,333.70,328.06,318.09,321.53,325.94,323.11,324.88,323.04,327.97,330.68,331.95,336.40,334.99,331.12,336.33,335.28,339.02,345.20,348.26,349.06,351.89,356.51,356.10,355.36,346.82,346.28,344.39,354.21,356.80,353.63,350.45,349.97,352.75,355.27,358.68,357.49,353.16,358.07,353.12,347.65,348.16,352.67,354.21,354.89,356.07,354.45,347.57,341.81,339.66,337.01,334.77,326.27,323.80,369.41
2002-01-22 22:00:40+00:00,L7,357.62,365.73,367.13,359.76,360.25,357.52,357.91,352.08,355.86,356.77,360.10,362.06,360.09,362.51,367.88,374.13,378.25,369.19,364.01,365.39,363.97,368.93,370.52,376.01,380.26,386.62,388.15,387.65,386.44,387.27,385.19,383.30,386.21,383.35,384.67,384.36,388.93,387.06,389.99,391.61,388.50,387.58,384.13,386.98,385.36,383.84,387.88,385.89,385.73,383.96,385.77,380.56,370.39,368.71,369.41,371.73,367.37,364.52,380.50
2002-03-27 22:00:37+00:00,L7,,,,,,233.67,343.67,338.91,335.07,341.60,347.17,347.52,345.52,348.41,347.35,352.10,359.03,353.64,351.13,350.32,352.68,352.97,357.19,362.72,367.08,372.35,376.58,373.67,373.82,370.06,368.06,367.72,369.45,373.48,370.23,366.94,368.34,369.82,372.88,374.43,368.46,370.49,369.51,368.91,367.02,368.33,368.84,369.84,368.20,373.45,370.00,365.68,363.29,353.76,355.80,359.54,351.06,339.43,362.17
2002-06-15 22:00:19+00:00,L7,,345.16,352.41,352.24,347.45,341.06,337.08,329.53,336.08,334.12,343.24,344.78,342.20,346.17,348.65,347.32,351.58,350.38,343.96,343.54,342.15,344.25,351.93,363.12,367.43,369.55,370.55,362.36,357.89,350.51,350.34,350.64,354.41,328.46,354.45,342.76,338.18,323.09,,353.95,347.01,251.79,308.50,342.75,351.24,,360.90,366.04,365.41,365.57,359.52,353.92,352.48,347.86,346.95,349.71,340.31,332.15,373.55
2002-07-17 22:00:08+00:00,L7,,,,,,,227.38,352.50,349.65,357.86,362.46,365.11,364.74,364.20,364.04,368.81,370.71,370.31,370.72,367.46,367.66,370.53,373.10,379.71,388.77,390.91,392.89,387.01,384.62,382.29,382.07,385.40,388.12,389.47,392.11,387.94,387.08,384.00,391.59,390.73,388.57,385.35,387.90,383.55,382.75,384.48,383.31,384.62,388.41,390.71,384.80,383.46,376.20,369.76,371.07,372.28,370.29,357.87,410.11
2002-09-19 21:59:35+00:00,L7,383.17,367.43,354.33,355.55,358.99,351.47,346.49,344.09,339.78,341.32,340.49,346.14,346.40,346.43,352.60,357.40,363.24,362.31,357.87,358.00,354.89,356.33,358.92,364.07,366.53,369.61,374.23,371.92,371.65,371.20,371.70,371.15,370.34,376.04,372.92,369.25,371.13,368.77,370.84,372.51,369.83,372.38,378.85,378.08,373.78,374.90,372.68,371.20,370.84,375.72,375.53,371.55,364.17,361.77,360.21,363.44,348.96,350.68,359.82
2003-08-05 22:00:11+00:00,L7,,,,,,,,224.51,341.94,347.29,344.03,348.21,351.70,354.80,356.44,367.35,367.00,367.75,367.74,365.22,,108.79,103.69,372.28,373.49,372.90,376.38,374.95,370.95,372.04,375.98,376.86,378.70,385.79,380.15,385.53,103.78,120.91,137.48,389.29,382.01,383.55,386.39,380.05,385.34,380.64,376.53,381.64,380.73,379.15,377.03,374.33,,,,,360.50,352.28,375.80
2003-08-13 21:48:45+00:00,L5,340.97,343.32,349.94,350.17,347.74,343.00,334.74,326.89,320.28,323.42,316.88,322.68,324.17,335.34,340.44,346.93,354.73,353.22,351.20,350.57,346.85,350.63,355.65,350.01,354.72,355.40,356.72,352.60,355.66,359.91,362.86,362.36,364.28,366.14,370.21,366.21,366.24,366.20,366.04,364.69,361.93,364.21,364.52,362.65,360.10,366.48,364.86,366.60,359.79,358.27,356.99,359.09,351.38,349.21,342.50,344.16,331.78,325.84,380.76
2003-09-14 21:49:18+00:00,L5,,,,,,,,,,,,,,,350.87,355.44,363.65,362.89,368.17,370.62,367.98,370.59,371.45,371.50,372.02,377.88,375.16,373.03,375.02,368.87,367.70,371.21,377.81,380.59,384.88,388.48,382.38,378.05,380.01,381.47,375.30,377.09,376.19,374.15,375.13,372.77,370.80,366.81,366.67,376.86,374.97,373.19,367.09,365.62,361.70,361.21,349.56,340.52,398.81
2003-11-17 21:50:09+00:00,L5,,,,,365.48,358.93,355.07,345.65,346.13,362.15,363.64,364.32,369.40,368.10,370.10,381.36,364.71,366.22,370.56,365.01,359.58,362.21,367.11,382.48,386.62,387.10,384.52,386.52,384.57,384.58,384.43,375.63,382.28,385.78,387.62,382.29,383.61,379.17,387.01,397.88,396.97,396.45,395.17,396.32,390.32,387.47,388.66,376.00,376.32,375.23,374.44,370.80,366.22,361.22,362.88,385.50,378.07,376.44,382.60
2003-12-19 21:50:27+00:00,L5,374.02,377.06,362.95,372.73,366.64,364.91,356.41,348.31,346.68,362.98,368.36,367.43,368.09,370.96,375.82,378.49,385.66,369.83,367.63,368.15,365.15,368.00,368.88,371.23,389.17,392.09,392.47,389.17,388.82,387.14,387.23,384.66,380.35,384.01,384.18,382.71,382.13,382.28,380.68,391.60,399.30,401.82,398.24,397.68,395.59,396.70,392.92,395.07,381.21,380.56,382.06,376.83,370.15,364.26,366.75,376.37,380.82,377.02,385.03
