dates,sar1727-0000,sar1727-0001,sar1727-0002,sar1727-0003,sar1727-0004,sar1727-0005,sar1727-0006,sar1727-0007,satname
1984-04-13 09:27:07+00:00,234.05,238.19,226.88,230.24,253.54,233.0,248.65,243.19,L5
1984-05-06 09:33:27+00:00,245.87,242.97,230.96,220.41,245.31,227.4,245.73,245.99,L5
1984-07-02 09:28:28+00:00,229.92,232.71,217.62,215.31,239.31,218.49,238.53,242.78,L5
1984-07-18 09:28:46+00:00,239.21,238.66,230.52,234.18,250.36,234.95,257.66,246.65,L5
1984-08-03 09:29:20+00:00,243.63,244.31,239.44,227.22,253.08,229.32,253.07,254.24,L5
1984-08-19 09:29:51+00:00,247.32,245.29,230.53,233.09,250.39,237.87,255.49,258.58,L5
1984-08-26 09:36:09+00:00,239.05,244.28,221.17,219.6,237.33,222.27,239.8,234.61,L5
1984-09-11 09:35:50+00:00,244.43,250.65,233.23,232.97,246.22,236.42,255.11,249.28,L5
1984-10-13 09:36:13+00:00,249.88,247.18,240.23,234.39,259.19,241.4,247.42,247.28,L5
1985-01-17 09:36:05+00:00,237.37,225.32,218.91,210.56,,,,248.73,L5
1985-02-02 09:36:32+00:00,238.64,240.11,234.41,234.71,252.76,240.99,248.06,255.92,L5
1985-02-11 09:30:23+00:00,233.96,230.28,230.54,231.78,249.22,232.97,244.19,243.44,L5
1985-03-31 09:30:19+00:00,232.68,238.31,228.2,226.0,243.69,229.9,244.75,241.46,L5
1985-04-23 09:35:59+00:00,225.93,226.81,211.84,200.23,231.8,227.75,244.96,249.86,L5
1985-05-02 09:30:07+00:00,238.96,236.46,226.75,218.74,247.4,230.38,247.47,244.09,L5
1985-06-03 09:30:04+00:00,235.48,238.52,230.54,232.43,250.97,233.79,253.17,242.23,L5
1985-06-10 09:35:50+00:00,236.35,240.06,222.64,219.59,239.82,223.27,244.41,244.61,L5
1985-06-26 09:35:47+00:00,229.68,231.1,223.45,217.82,240.86,218.64,244.64,235.3,L5
1985-07-05 09:29:57+00:00,239.94,240.19,233.21,226.82,252.4,229.76,250.58,249.36,L5
1985-07-12 09:35:41+00:00,237.99,240.67,231.63,225.22,250.72,228.56,249.89,246.55,L5
1985-08-13 09:35:25+00:00,232.9,238.12,232.55,218.8,244.1,216.32,242.06,243.17,L5
1985-08-22 09:29:32+00:00,247.46,248.32,236.63,237.2,251.64,239.66,260.51,246.79,L5
1985-11-10 09:28:33+00:00,237.01,239.31,226.89,225.41,244.06,234.67,243.74,241.29,L5
1985-12-03 09:34:19+00:00,234.72,244.55,226.12,223.27,248.53,226.08,245.09,248.29,L5
1986-01-04 09:33:44+00:00,236.98,241.62,223.22,218.07,241.38,220.75,242.75,247.13,L5
1986-01-13 09:27:22+00:00,247.57,248.52,237.38,233.57,259.84,240.59,254.1,254.85,L5
1986-03-25 09:31:37+00:00,238.88,238.04,229.97,226.15,249.93,231.82,252.72,246.05,L5
1986-04-19 09:25:17+00:00,247.48,242.35,215.56,220.22,235.21,210.79,227.42,,L5
1986-05-12 09:30:29+00:00,242.2,246.9,235.43,226.8,251.12,230.41,257.83,255.48,L5
1986-05-28 09:30:02+00:00,245.01,240.39,235.43,231.31,242.21,230.72,256.59,248.91,L5
1986-07-08 09:22:57+00:00,239.23,238.1,230.75,231.55,249.74,237.06,254.93,246.47,L5
1986-07-24 09:22:23+00:00,233.99,231.02,229.6,222.49,239.72,225.2,246.11,245.88,L5
