dates,nzd0450-0000,nzd0450-0001,nzd0450-0002,nzd0450-0003,nzd0450-0004,nzd0450-0005,nzd0450-0006,nzd0450-0007,nzd0450-0008,nzd0450-0009,nzd0450-0010,nzd0450-0011,nzd0450-0012,nzd0450-0013,nzd0450-0014,nzd0450-0015,nzd0450-0016,nzd0450-0017,nzd0450-0018,nzd0450-0019,nzd0450-0020,nzd0450-0021,nzd0450-0022,nzd0450-0023,nzd0450-0024,nzd0450-0025,nzd0450-0026,nzd0450-0027,nzd0450-0028,nzd0450-0029,nzd0450-0030,nzd0450-0031,nzd0450-0032,nzd0450-0033,nzd0450-0034,nzd0450-0035,nzd0450-0036,nzd0450-0037,nzd0450-0038,nzd0450-0039,nzd0450-0040,nzd0450-0041,nzd0450-0042,nzd0450-0043,nzd0450-0044,nzd0450-0045,nzd0450-0046,nzd0450-0047,nzd0450-0048,nzd0450-0049,nzd0450-0050,nzd0450-0051,nzd0450-0052,nzd0450-0053,nzd0450-0054,nzd0450-0055,nzd0450-0056,nzd0450-0057,nzd0450-0058,nzd0450-0059,nzd0450-0060,nzd0450-0061,nzd0450-0062,nzd0450-0063,nzd0450-0064,nzd0450-0065,nzd0450-0066,nzd0450-0067,nzd0450-0068,nzd0450-0069,nzd0450-0070,nzd0450-0071,nzd0450-0072,nzd0450-0073,nzd0450-0074,nzd0450-0075,nzd0450-0076,nzd0450-0077,nzd0450-0078,nzd0450-0079,nzd0450-0080,nzd0450-0081,nzd0450-0082,nzd0450-0083,nzd0450-0084,nzd0450-0085,nzd0450-0086,nzd0450-0087,nzd0450-0088,nzd0450-0089,nzd0450-0090,nzd0450-0091,nzd0450-0092,nzd0450-0093,nzd0450-0094,nzd0450-0095,nzd0450-0096,nzd0450-0097,nzd0450-0098,nzd0450-0099,nzd0450-0100,nzd0450-0101,nzd0450-0102,nzd0450-0103,nzd0450-0104,nzd0450-0105,nzd0450-0106,nzd0450-0107,nzd0450-0108,nzd0450-0109,nzd0450-0110,nzd0450-0111,nzd0450-0112,nzd0450-0113,nzd0450-0114,nzd0450-0115,nzd0450-0116,nzd0450-0117,nzd0450-0118,nzd0450-0119,nzd0450-0120,nzd0450-0121,nzd0450-0122,nzd0450-0123,nzd0450-0124,nzd0450-0125,nzd0450-0126,nzd0450-0127,nzd0450-0128,nzd0450-0129,nzd0450-0130,nzd0450-0131,nzd0450-0132,nzd0450-0133,nzd0450-0134,nzd0450-0135,nzd0450-0136,nzd0450-0137,nzd0450-0138,nzd0450-0139,nzd0450-0140,nzd0450-0141,nzd0450-0142,nzd0450-0143,nzd0450-0144,nzd0450-0145,nzd0450-0146,nzd0450-0147,nzd0450-0148,nzd0450-0149,nzd0450-0150,nzd0450-0151,nzd0450-0152,nzd0450-0153,satname
1999-11-12 22:19:27+00:00,410.20,420.83,420.34,418.62,418.93,414.95,441.50,,,,,,,377.50,,291.06,273.41,268.55,270.92,272.44,266.82,267.92,275.98,277.75,278.13,276.35,277.18,280.05,277.90,279.67,287.26,290.44,296.94,298.51,308.39,312.84,310.70,304.64,297.09,292.05,293.80,293.65,291.80,290.77,300.33,303.21,304.15,307.75,304.83,,,,331.48,334.98,331.52,337.93,340.38,337.41,335.88,339.95,337.05,336.19,332.35,330.11,335.37,337.09,336.34,341.90,339.67,347.27,351.77,352.74,360.07,367.54,377.79,372.61,369.32,367.67,358.49,355.44,349.07,346.82,,,340.48,,339.09,337.18,334.35,332.37,333.30,334.92,331.51,324.40,,,,,328.40,296.01,283.94,291.03,294.52,307.75,320.61,,,,,,,,,,,,,,,,,369.81,,,,,393.91,,394.96,,393.68,,404.46,406.03,407.33,410.24,410.74,410.03,407.70,408.68,407.59,409.98,413.11,414.48,416.62,,420.56,419.71,418.80,413.45,410.67,,420.39,422.42,L7
1999-11-21 22:13:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.72,320.65,321.58,324.26,321.61,325.10,334.09,339.09,341.22,,,,363.96,370.37,364.22,364.82,365.12,367.20,368.75,359.81,362.19,359.43,361.42,367.66,366.39,367.15,366.39,371.69,377.53,378.88,384.40,388.17,397.06,404.19,404.33,404.95,399.24,395.37,393.24,390.27,384.97,384.29,,,379.43,,372.74,371.47,367.83,363.62,366.10,364.63,361.82,355.57,359.63,351.37,344.19,351.93,367.99,327.50,323.56,330.25,325.26,340.74,355.07,,,,,,,,402.62,,,,410.84,406.32,,,,401.54,,,,,433.71,,429.45,,433.46,,442.55,445.62,442.55,443.50,441.96,443.48,442.94,441.63,442.68,444.00,444.57,450.67,455.65,454.67,452.79,448.93,447.95,444.06,447.96,449.23,,,L7
1999-11-28 22:18:56+00:00,412.44,412.92,411.37,421.76,419.30,416.66,431.87,429.81,427.89,422.28,419.96,418.44,374.89,377.01,353.72,302.79,289.55,277.30,265.90,266.95,262.41,260.67,266.82,263.23,271.59,268.74,264.12,270.34,271.49,276.09,283.74,289.80,296.44,301.37,305.12,308.91,304.62,297.82,293.24,289.95,283.61,281.62,280.30,280.09,280.13,286.40,295.73,297.89,303.20,303.02,310.89,317.45,322.98,324.15,328.48,332.49,333.39,329.76,325.63,334.41,334.34,333.63,330.40,329.73,331.95,332.57,333.75,330.03,332.93,338.48,342.00,342.63,351.50,356.63,361.65,358.39,363.77,362.31,356.16,350.94,344.89,341.94,341.35,340.17,335.32,336.44,331.53,335.04,336.18,333.42,331.77,334.08,334.73,329.07,325.97,318.91,315.99,313.74,317.40,295.41,281.84,279.28,292.12,304.35,322.90,325.07,332.80,338.44,340.50,349.15,354.80,359.86,362.66,363.31,363.14,370.03,373.28,368.26,357.32,345.03,339.50,356.90,373.78,380.19,387.34,394.23,394.93,393.27,392.19,384.07,382.17,385.63,390.09,396.55,401.93,401.46,403.61,400.66,408.84,407.84,408.34,413.85,412.83,415.10,418.38,420.48,422.64,419.90,421.04,417.28,416.02,422.12,420.81,434.46,L7
1999-12-07 22:13:17+00:00,,,,,,,,,,,,,385.90,365.74,336.12,310.04,297.76,281.07,273.82,272.37,275.58,270.88,275.01,277.59,278.45,281.10,285.91,279.23,279.44,280.69,286.08,288.80,294.27,301.16,,,,,,,,,,,,,,,,,,,,,,,,,,338.84,336.01,338.25,336.41,341.65,336.84,336.09,339.29,342.83,345.59,350.92,354.36,362.63,365.73,370.52,377.39,375.34,377.59,372.10,368.48,365.48,357.58,354.04,356.06,356.94,354.35,348.06,344.01,343.48,338.25,335.99,329.16,330.27,333.26,336.43,329.29,326.54,319.89,323.69,345.40,300.63,290.03,289.31,291.20,302.15,321.99,333.43,334.20,342.17,343.81,354.32,360.45,368.65,370.37,368.39,380.31,379.81,381.42,382.62,377.34,367.93,358.23,369.44,382.26,392.64,405.01,409.40,406.29,409.01,405.07,407.94,406.32,411.91,417.67,420.20,421.07,416.54,416.69,416.85,416.93,414.42,419.25,418.68,425.01,428.58,425.08,426.11,427.14,427.06,423.62,429.05,,,,,L7
1999-12-14 22:19:31+00:00,413.63,425.69,427.00,429.25,427.37,419.47,427.32,428.56,416.99,405.46,395.31,394.74,387.99,355.10,333.13,310.04,297.13,287.67,277.71,270.75,262.46,263.31,271.23,270.98,266.65,271.17,269.65,269.42,273.49,276.24,279.96,286.41,295.19,300.01,305.83,306.15,305.58,298.32,294.63,290.53,283.03,284.00,285.06,279.31,289.12,293.58,293.45,296.88,301.44,307.10,313.10,313.46,322.17,321.35,327.19,329.58,330.07,332.80,323.52,324.16,321.09,322.97,324.46,324.63,325.11,321.17,322.85,322.53,328.17,337.38,342.26,349.13,348.07,355.51,361.52,361.53,362.56,365.98,358.45,351.14,348.35,341.74,338.07,339.88,338.09,332.57,335.30,330.62,330.41,338.69,338.04,337.05,334.49,336.64,329.53,323.27,317.21,314.99,320.01,299.98,284.97,282.32,292.89,303.98,319.15,324.93,333.27,338.40,342.87,351.23,351.02,352.23,361.41,359.78,356.97,366.78,369.01,371.12,361.93,352.80,348.00,359.27,365.35,378.67,386.52,395.34,399.90,392.99,389.35,384.10,383.55,389.04,392.78,396.20,398.55,405.11,403.31,405.79,405.44,409.65,410.83,413.24,412.23,415.98,416.36,422.65,416.52,420.00,422.77,422.86,421.29,424.28,422.68,411.07,L7
2000-04-13 22:12:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.93,437.70,441.95,446.88,445.22,449.31,451.40,439.80,441.36,439.36,441.36,439.47,443.82,441.59,442.25,L7
2000-05-15 22:12:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.86,305.53,301.88,309.27,335.66,344.08,348.97,351.01,354.25,361.19,362.95,366.41,367.63,377.63,384.33,386.27,390.44,394.67,394.29,389.72,379.95,389.59,397.59,406.72,413.40,420.34,420.97,425.94,424.20,422.13,418.71,417.79,416.94,418.18,407.96,408.36,418.51,425.37,422.81,423.15,426.70,425.12,427.47,428.27,437.18,434.83,436.99,431.45,431.04,433.89,432.87,436.06,430.33,429.98,L7
2000-06-07 22:18:24+00:00,448.16,450.80,449.59,449.15,449.68,442.47,435.76,424.77,411.36,396.10,386.93,380.82,371.51,360.35,349.74,346.40,336.34,327.45,320.82,314.19,301.59,295.90,293.30,295.39,292.05,287.49,291.16,293.89,292.50,294.96,299.75,304.90,312.94,317.32,322.66,326.14,321.89,319.55,309.68,311.81,303.78,306.83,305.64,309.23,305.78,313.44,315.42,316.47,323.45,327.29,329.92,339.41,342.72,341.76,348.76,351.45,350.53,351.80,341.00,344.46,342.19,339.41,341.29,341.20,345.38,341.24,352.13,351.64,352.14,360.07,367.36,373.00,375.62,378.87,393.40,390.98,388.30,383.55,378.60,382.37,376.16,369.22,365.94,363.71,372.25,364.84,360.24,358.88,355.27,352.65,350.20,349.44,353.91,347.25,338.92,330.96,328.68,330.06,,329.28,308.10,302.17,313.43,315.72,328.61,325.82,329.81,340.67,345.49,346.07,353.88,368.82,379.39,387.15,387.32,394.07,399.00,400.10,393.43,387.83,375.10,387.58,395.65,406.34,409.44,415.86,421.30,417.28,416.15,411.99,406.20,409.28,411.58,413.10,,,,,,,,,,,,,,,,,,,,,L7
2000-08-19 22:11:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.68,358.44,353.92,,,,334.63,323.03,320.37,314.59,336.24,,309.69,308.50,315.22,317.16,331.16,344.42,343.84,346.77,349.60,357.75,357.25,364.74,369.27,371.39,386.86,395.40,395.30,392.58,387.92,389.31,394.73,389.73,399.01,401.01,407.03,413.24,417.84,416.56,417.82,410.40,412.87,415.97,417.56,423.08,427.57,427.23,421.82,421.84,427.39,424.83,432.59,430.04,433.56,433.77,434.42,435.92,430.10,435.08,438.38,442.02,447.05,449.89,452.17,451.79,L7
2000-09-04 22:11:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378.15,376.64,374.10,383.29,385.87,385.15,391.92,395.19,397.79,393.45,393.81,392.95,387.74,396.17,407.22,408.34,409.55,413.48,412.77,416.11,413.24,418.52,422.52,414.53,416.73,414.91,416.73,418.32,415.99,412.26,411.13,415.88,413.67,423.99,426.67,424.36,L7
