dates,nzd0570-0000,nzd0570-0001,nzd0570-0002,nzd0570-0003,nzd0570-0004,nzd0570-0005,nzd0570-0006,nzd0570-0007,nzd0570-0008,nzd0570-0009,nzd0570-0010,nzd0570-0011,nzd0570-0012,nzd0570-0013,nzd0570-0014,nzd0570-0015,nzd0570-0016,nzd0570-0017,nzd0570-0018,nzd0570-0019,nzd0570-0020,nzd0570-0021,nzd0570-0022,nzd0570-0023,nzd0570-0024,nzd0570-0025,nzd0570-0026,nzd0570-0027,nzd0570-0028,nzd0570-0029,nzd0570-0030,nzd0570-0031,nzd0570-0032,satname
1999-07-02 21:59:57+00:00,231.83,231.50,230.10,232.90,225.32,227.03,226.39,222.83,222.86,220.96,,,,223.77,226.70,210.12,218.32,227.26,233.73,229.96,222.97,224.27,220.63,226.45,226.04,228.64,,225.97,220.34,221.80,220.26,,,L7
1999-08-26 22:06:20+00:00,232.91,234.38,233.73,236.07,228.97,233.52,232.38,227.67,227.50,224.76,228.04,232.55,233.12,232.69,234.03,223.96,233.38,243.74,243.19,234.55,228.36,231.09,236.43,235.54,239.62,243.66,268.38,238.14,230.69,236.86,239.06,263.65,274.86,L7
1999-09-20 22:00:08+00:00,229.48,230.53,230.11,232.81,227.63,230.33,229.50,225.25,226.68,222.30,224.07,227.71,226.45,228.11,230.57,221.27,228.71,246.56,240.78,230.42,224.57,227.12,236.43,235.54,237.33,239.87,263.07,235.88,227.72,237.36,235.64,245.25,269.65,L7
1999-09-27 22:06:24+00:00,231.29,232.85,231.52,233.49,228.35,231.91,230.97,226.14,227.06,222.52,224.83,228.97,227.60,229.13,234.74,225.97,234.42,248.92,243.44,231.22,226.31,228.65,240.49,238.08,241.12,244.53,265.40,240.41,232.40,240.87,241.73,251.28,270.10,L7
1999-11-14 22:06:18+00:00,228.95,229.33,228.39,230.07,224.88,228.17,227.46,223.19,224.19,220.92,221.76,225.15,223.61,225.96,230.53,222.61,231.41,245.70,238.42,226.45,222.22,224.18,240.49,238.31,237.64,241.50,262.68,237.60,229.32,238.66,238.79,244.91,267.43,L7
1999-12-09 22:00:09+00:00,228.51,229.71,228.88,229.88,225.10,229.05,228.31,223.74,224.77,220.98,221.15,224.84,223.60,225.69,230.90,224.53,233.26,246.70,239.68,227.65,223.36,224.95,242.71,237.88,238.48,242.77,261.72,238.64,230.79,239.76,241.31,247.97,266.85,L7
1999-12-16 22:06:21+00:00,231.49,233.01,232.51,233.07,226.42,231.99,230.72,225.24,226.06,222.38,223.08,224.84,225.67,225.69,230.90,224.53,239.94,251.62,246.21,232.99,223.36,228.11,242.71,237.88,242.39,246.53,266.26,242.70,235.47,245.05,247.65,254.14,270.48,L7
1999-12-25 22:00:04+00:00,231.00,232.56,232.23,232.82,226.08,231.29,230.19,225.09,226.00,222.39,222.98,224.77,225.19,225.91,231.22,224.99,239.94,251.62,246.21,232.64,223.69,227.73,241.87,236.79,241.35,245.62,266.26,241.95,234.61,245.05,247.65,253.11,267.87,L7
2000-01-17 22:06:11+00:00,229.95,231.14,230.97,231.26,224.78,230.14,228.80,224.25,225.62,221.86,222.24,223.71,224.21,225.46,230.91,225.51,243.55,255.68,248.29,231.35,222.78,226.11,241.24,235.74,240.84,244.35,266.26,240.63,233.55,248.92,252.22,249.31,263.22,L7
2000-01-26 22:00:02+00:00,230.66,231.91,232.37,231.81,225.57,232.12,229.85,225.53,226.38,222.58,222.99,224.71,224.64,226.61,233.42,225.51,248.26,259.37,248.29,232.08,223.25,227.25,241.24,235.74,243.11,247.60,269.03,243.31,236.91,252.25,256.87,253.31,266.77,L7
2000-02-11 21:59:57+00:00,232.59,234.49,234.50,234.29,226.80,234.39,231.67,226.58,227.25,223.18,223.86,226.89,225.68,229.92,239.80,225.51,252.51,263.46,254.14,235.49,226.82,229.72,241.24,235.74,245.51,250.50,272.19,246.01,239.62,255.32,261.46,257.49,270.11,L7
2000-02-18 22:06:05+00:00,232.45,234.92,234.78,234.71,227.22,235.07,232.30,227.01,227.76,223.38,223.98,227.23,226.07,230.19,239.97,227.77,252.84,263.51,254.20,235.80,227.57,230.30,244.12,236.96,246.24,251.48,272.36,246.88,240.45,255.99,262.42,259.20,271.39,L7
2000-02-27 21:59:52+00:00,232.33,235.19,234.76,234.45,226.94,234.74,232.02,227.12,227.44,223.05,223.67,226.65,225.38,228.55,239.63,229.59,255.47,264.89,256.12,234.55,226.10,229.54,242.49,235.68,245.97,251.58,273.06,247.30,241.42,257.02,264.80,260.53,272.66,L7
2000-03-05 22:06:00+00:00,232.56,235.54,235.39,234.83,227.40,235.20,232.68,227.78,227.97,223.37,224.19,227.44,226.09,229.00,239.84,231.58,255.62,264.97,256.19,235.05,226.99,230.09,244.70,236.74,246.65,252.37,273.35,247.86,242.05,257.02,265.10,261.24,273.57,L7
2000-03-21 22:06:01+00:00,233.76,236.99,237.11,236.04,228.38,236.80,233.80,228.69,228.62,224.24,224.80,228.35,227.18,230.67,241.93,234.75,259.15,266.46,258.53,236.12,228.43,231.24,245.54,237.31,248.23,254.72,275.22,249.95,244.35,258.95,269.12,264.99,274.64,L7
2000-03-30 21:59:45+00:00,232.87,236.18,236.25,235.46,227.84,235.77,232.84,228.55,227.97,223.78,223.92,227.01,226.18,229.66,239.81,231.79,255.93,263.45,255.27,235.38,227.13,230.03,241.28,234.82,245.53,251.26,270.52,246.75,241.26,256.06,264.86,261.48,272.06,L7
2000-05-01 21:59:30+00:00,233.46,236.36,236.52,235.91,228.39,235.78,233.19,228.84,228.43,224.54,224.28,227.50,226.74,230.21,239.74,231.84,254.23,261.99,254.69,235.84,227.52,230.14,241.65,235.18,245.66,250.85,269.09,246.22,240.57,254.12,262.92,260.33,270.92,L7
2000-05-08 22:05:33+00:00,233.61,236.44,236.62,235.88,228.63,235.71,233.42,229.01,228.73,224.74,224.79,227.80,226.84,229.97,239.05,230.85,252.68,261.94,254.69,235.23,227.57,229.91,241.38,235.18,245.00,250.34,268.58,246.04,240.01,253.39,260.85,258.39,271.22,L7
2000-05-24 22:05:22+00:00,234.87,238.34,238.22,237.25,230.49,237.70,235.69,231.14,230.54,226.24,226.38,229.50,228.18,231.47,240.97,233.12,256.54,265.57,260.54,237.38,229.43,231.55,242.30,234.70,247.08,252.35,269.86,247.55,241.78,255.53,263.92,260.89,272.13,L7
2000-06-18 21:59:03+00:00,235.27,238.80,238.24,237.81,231.70,237.51,235.53,231.60,231.20,227.11,227.17,230.43,228.74,232.69,242.11,232.85,254.73,264.73,259.41,236.40,230.18,230.93,241.61,235.65,246.41,251.80,268.38,246.37,239.93,253.12,261.66,258.34,270.33,L7
2000-07-04 21:58:50+00:00,236.53,240.47,239.36,238.92,232.87,238.76,236.40,232.74,232.26,228.50,227.56,231.92,230.23,233.61,243.02,233.68,253.12,263.53,258.48,237.27,231.31,231.37,241.72,236.70,246.97,252.77,266.22,246.63,240.16,251.13,259.71,257.71,271.97,L7
