,dates,nzd0504-0000,nzd0504-0001,nzd0504-0002,nzd0504-0003,nzd0504-0004,nzd0504-0005,nzd0504-0006,nzd0504-0007
0,1999-08-26 22:07:32+00:00,152.5969167148846,157.69857514990184,164.28452242924484,170.0478262552449,168.00837793721138,172.0158804088133,172.60523184533574,201.36007554187955
1,2000-03-21 22:07:12+00:00,164.48621338919875,165.07203354526698,176.04968367485682,175.29052498668494,172.41377589338586,172.32020756778033,181.19404928748446,197.65344943146377
2,2000-05-08 22:06:44+00:00,164.6232072457339,163.94562398646042,169.66890731395156,171.34231518688566,169.33446046007927,168.11070608680978,168.75213570583088,167.2093542061881
3,2000-06-25 22:06:19+00:00,138.70150144463418,143.0578917179139,144.12242495661195,152.13444604834805,151.12156664559106,156.30751989362713,153.67585326030996,
4,2000-07-11 22:06:05+00:00,131.53581572871695,139.27352920454317,142.09781406630074,144.80753910012646,144.2041564733496,147.60693421614843,140.33474614650927,
5,2000-12-18 22:05:01+00:00,135.23922291783765,139.23508264457018,144.2117936048499,149.8954505375952,146.5096388431274,151.99097759000045,151.8120723061079,156.9550800840686
6,2001-04-09 22:04:41+00:00,158.55366295628227,154.52771037873228,167.4641668565577,168.02202341841428,163.3572929169508,166.20549137019844,169.21496753419297,177.57554182070376
7,2001-06-28 22:03:56+00:00,140.1293104414274,143.2344181634482,149.25868400173374,157.50423949427136,157.2249334437187,152.8083787634101,,
8,2001-07-14 22:03:57+00:00,137.63378003026037,145.82939149087002,152.25370934019628,155.21287633707092,154.85109641187807,152.50349971412678,157.3410010162135,163.43795665270616
9,2001-08-15 22:03:26+00:00,125.50021180769944,134.79566507094415,142.3486572865337,148.08152921709174,148.64540346714455,150.6839736689039,152.3259138782547,162.74827726999365
10,2001-11-03 22:02:58+00:00,150.40206009672374,148.92447923672478,155.136453516032,168.84368643809313,164.51773007810402,170.23038082815876,178.87103205213697,191.1443717455525
11,2001-11-19 22:03:08+00:00,144.13108787470384,145.1230119325472,150.16084146855542,159.99477945200337,162.37969223217107,167.71801407101486,170.14436383976488,178.16338183526108
12,2002-04-12 22:03:25+00:00,153.40430133956366,157.10075529046821,168.59018368692853,167.6147468802552,169.93814998660986,174.41862379199728,182.7981678330235,192.80881069387434
13,2002-05-30 22:03:13+00:00,138.64030974905359,146.44751005407852,149.13048302047926,160.00350489580515,161.11317101937934,163.76747302099056,165.7412445297202,
14,2002-06-15 22:03:07+00:00,137.63684012317415,144.2701969791668,151.40904541582273,157.90138599592134,157.26970347014583,155.3998238761122,152.5116667381878,
15,2002-08-18 22:02:45+00:00,117.26558907626962,121.8941125234769,129.00134799853984,128.6775022097916,129.71762696847813,130.10306995824556,122.57600174048497,126.61889281328155
16,2002-12-08 22:02:51+00:00,124.94086310583972,124.56914629673912,127.33259304665415,129.97467802985247,129.1948751710119,130.65953173878816,134.92600286510284,136.656082171973
17,2002-12-24 22:02:57+00:00,129.7129723405008,131.5831519072413,133.49561839377557,133.78061419223874,131.50701820842295,134.58169668157777,137.84750206419295,140.23068598715003
18,2003-03-14 22:03:20+00:00,122.21292563680495,134.6681756337067,145.96117400303035,139.88687568316715,134.13113064782306,137.91828933546844,139.31992714730458,139.53590577046882
19,2003-08-05 22:02:59+00:00,,,,,121.14502634165622,115.80429552107037,100.68076916027042,
20,2003-10-24 22:02:58+00:00,145.00213181983628,146.85735902668785,148.31904646215443,153.999553152223,155.7996427537465,158.35801239280022,162.4834657311681,170.29737862821645
21,2003-11-17 21:52:57+00:00,133.1018736899269,130.7298585937993,134.9541840242149,137.1236677906419,141.72673817816684,141.48410902641103,137.63819281943813,148.05238243061763
22,2004-01-12 22:03:31+00:00,148.72263347747736,150.42964348815872,151.27877283786148,154.7689966142632,154.60900048045073,159.0640815714301,163.28248545501236,160.80995242365566
23,2004-04-25 21:54:35+00:00,148.76648105546008,126.3537813055155,128.00541706359215,179.603184197774,,,,
24,2004-05-03 22:03:47+00:00,155.24861595728137,160.39806734314996,,,174.03952897396823,163.05383840507136,169.3442036755619,173.80320784326454
25,2004-06-12 21:55:59+00:00,151.98433675342972,151.7438440319936,160.42757968478813,167.1491219440947,165.66940156171614,157.20829427945066,153.10447614504136,
26,2004-07-14 21:56:54+00:00,139.6721973851453,145.89666573125618,148.50568406441755,146.27366300078825,141.49291259803968,142.4638572882541,138.0659858145035,141.53477014332367
27,2004-07-30 21:57:15+00:00,153.4361081993699,155.75871571541438,160.66704436617576,163.1924083960518,163.37411301558507,162.7546704480136,168.8316077903691,173.39423468918105
28,2004-08-15 21:57:37+00:00,157.0101907720208,150.65146162027287,155.7999826980064,159.60163603286657,159.676246273037,167.0134228619506,168.03483163945637,174.99285718930173
29,2004-09-24 22:03:12+00:00,129.69281519482195,136.81742456892812,140.833182101802,144.94375499954276,142.6878812529908,143.59328859631339,144.54514784137356,145.65852000648704
