dates,sar2117-0000,sar2117-0001,sar2117-0002,satname
2011-04-07 09:59:45+00:00,221.39,220.92,235.11,L7
2011-08-13 09:59:32+00:00,222.52,164.83,214.94,L7
2011-08-29 09:59:30+00:00,210.29,203.73,220.58,L7
2011-09-14 09:59:24+00:00,223.92,206.78,226.97,L7
2011-10-16 09:59:25+00:00,213.85,203.04,215.34,L7
2011-12-03 09:59:53+00:00,206.54,208.93,215.65,L7
2012-02-21 10:00:16+00:00,226.57,,227.05,L7
2012-04-09 10:00:11+00:00,217.20,194.74,214.19,L7
2012-04-25 10:00:26+00:00,213.49,207.23,206.30,L7
2012-05-11 10:00:49+00:00,247.61,208.20,222.88,L7
2012-05-27 10:00:40+00:00,208.94,208.10,219.84,L7
2012-08-15 10:01:16+00:00,221.79,204.60,227.90,L7
2012-10-02 10:01:45+00:00,225.70,201.16,213.49,L7
2013-01-22 10:02:19+00:00,209.82,202.78,217.08,L7
2013-04-12 10:02:09+00:00,213.61,194.58,216.67,L7
2013-06-15 10:01:47+00:00,214.55,205.97,213.25,L7
2013-08-02 10:01:23+00:00,214.48,204.02,218.00,L7
2013-08-18 10:01:27+00:00,224.03,214.70,222.32,L7
2013-09-03 10:01:39+00:00,217.53,194.72,215.62,L7
2013-09-11 10:08:08+00:00,252.54,227.63,227.94,L8
2013-09-19 10:01:49+00:00,217.17,205.10,211.14,L7
2013-11-06 10:02:16+00:00,213.69,200.36,212.26,L7
2014-01-25 10:02:54+00:00,220.08,206.15,224.58,L7
2014-05-17 10:03:28+00:00,208.73,205.01,215.73,L7
2014-06-18 10:03:32+00:00,221.38,202.57,214.74,L7
2014-08-21 10:03:46+00:00,,200.55,217.80,L7
2014-09-06 10:03:47+00:00,225.10,204.77,214.08,L7
2014-10-08 10:04:04+00:00,209.14,205.61,215.99,L7
2014-10-24 10:04:13+00:00,202.77,202.16,210.45,L7
2014-12-03 10:06:19+00:00,163.90,206.74,,L8
