dates,satname,sar0469-0000,sar0469-0001,sar0469-0002,sar0469-0003,sar0469-0004,sar0469-0005,sar0469-0006,sar0469-0007
1984-06-07 09:34:18+00:00,L5,222.55,198.65,194.81,207.44,192.97,202.20,185.47,208.38
1984-09-11 09:36:14+00:00,L5,202.28,190.51,189.01,195.99,182.36,187.48,182.80,196.63
1984-10-13 09:36:13+00:00,L5,211.19,187.11,,193.78,,,,
1985-05-25 09:36:15+00:00,L5,219.37,251.65,204.83,207.93,194.21,209.38,199.26,217.65
1985-07-12 09:36:05+00:00,L5,218.44,251.56,198.26,218.23,197.26,197.55,184.31,215.77
1985-07-28 09:35:58+00:00,L5,216.80,251.76,,217.22,199.62,197.80,192.82,221.12
1985-08-13 09:35:48+00:00,L5,216.04,266.75,194.86,219.45,204.96,209.57,193.08,221.10
1985-08-29 09:35:38+00:00,L5,219.16,251.38,,208.12,196.85,212.91,199.01,221.95
1985-12-03 09:34:19+00:00,L5,225.75,251.16,194.73,208.03,198.70,210.19,194.97,230.49
1986-01-04 09:33:44+00:00,L5,197.97,161.44,163.76,187.68,197.30,,,
1986-01-20 09:33:24+00:00,L5,199.97,165.40,149.49,,,,,
1986-05-12 09:30:53+00:00,L5,224.66,266.43,,206.86,198.06,209.68,204.67,227.73
1986-05-28 09:30:26+00:00,L5,225.37,251.56,,199.35,195.83,200.05,195.60,221.62
1986-07-15 09:28:53+00:00,L5,216.28,236.54,195.70,208.41,196.71,195.16,199.13,222.25
1986-07-31 09:28:19+00:00,L5,217.33,251.54,193.09,219.31,201.64,201.61,204.02,232.55
1986-09-17 09:26:37+00:00,L5,227.63,251.38,,220.98,206.30,210.67,204.12,223.52
1986-12-22 09:25:09+00:00,L5,,,,,,,,
1987-01-23 09:26:04+00:00,L5,223.81,197.94,194.39,199.02,187.32,208.52,219.29,238.45
1987-03-28 09:28:28+00:00,L5,216.38,201.40,,202.27,186.96,206.67,204.25,235.48
1987-05-15 09:29:57+00:00,L5,,,,,185.26,184.95,182.77,223.60
1987-05-31 09:30:21+00:00,L5,213.36,190.04,,198.29,192.99,190.59,185.19,223.64
1987-06-16 09:30:43+00:00,L5,203.60,202.68,192.65,205.50,191.11,192.52,189.27,237.46
1987-07-02 09:31:03+00:00,L5,224.42,197.44,,205.65,192.40,191.76,193.22,238.44
1987-07-18 09:31:20+00:00,L5,224.32,266.65,,208.11,196.48,193.34,197.55,238.54
