dates,nzd0396-0000,nzd0396-0001,nzd0396-0002,nzd0396-0003,nzd0396-0004,nzd0396-0005,nzd0396-0006,nzd0396-0007,nzd0396-0008,nzd0396-0009,nzd0396-0010,nzd0396-0011,satname
1999-07-18 22:00:01+00:00,322.46999999999997,,,329.94,328.32384615384615,320.53857142857146,339.66,338.14,336.89,,,,L7
1999-09-04 22:00:33+00:00,340.98,329.58,326.46538461538466,338.26,337.7053846153846,338.2557142857143,345.57454545454544,337.4745454545454,333.04,338.13,332.38,333.91,L7
1999-10-22 22:00:28+00:00,336.06,324.82,326.7407692307692,331.97,336.58076923076925,339.40714285714284,332.80636363636364,333.5263636363636,330.72999999999996,324.735,328.71,324.3,L7
1999-12-09 22:00:09+00:00,343.40000000000003,325.4766666666667,326.3376923076923,331.4166666666667,328.8776923076923,331.86857142857144,330.07,326.08,326.12333333333333,325.495,317.2866666666667,323.48,L7
1999-12-25 22:00:04+00:00,,,327.89230769230767,,,325.1657142857143,328.82727272727277,323.1972727272728,318.7133333333333,316.545,321.1466666666667,323.48999999999995,L7
2000-01-26 22:00:02+00:00,340.95,325.99666666666667,331.4938461538461,333.0866666666667,337.1138461538461,336.49571428571426,335.87363636363636,336.93363636363637,329.83333333333337,329.285,335.3366666666667,338.75,L7
2000-02-11 22:00:21+00:00,346.9,335.4266666666667,330.04923076923075,328.4866666666667,336.20923076923077,329.14,331.0072727272727,334.9472727272728,325.5733333333333,327.65,326.31666666666666,330.67,L7
2000-02-27 21:59:52+00:00,339.40000000000003,326.57,328.0769230769231,333.19,336.5169230769231,338.1142857142857,340.98,336.86,328.66999999999996,333.705,330.2,333.69,L7
2000-03-30 21:59:45+00:00,342.13,329.27,331.3607692307692,332.3,335.8007692307692,341.15857142857146,338.39727272727276,336.78727272727275,338.46000000000004,333.16,334.59,330.25,L7
2000-04-15 21:59:31+00:00,326.46,315.3333333333333,320.2838461538461,321.0833333333333,328.3038461538461,328.7571428571428,330.2836363636364,335.50363636363636,336.8066666666666,330.93,322.1733333333333,327.81,L7
2000-05-01 21:59:30+00:00,333.71000000000004,324.7766666666667,325.73153846153843,327.2866666666667,333.95153846153846,340.3828571428572,335.54727272727274,338.3872727272728,336.96333333333337,335.88,337.2666666666667,332.79,L7
2000-06-18 21:59:27+00:00,334.63,,321.9469230769231,329.2633333333333,331.7969230769231,329.7857142857143,339.54545454545456,338.38545454545454,342.40666666666664,334.445,327.7733333333333,332.44,L7
2000-08-05 21:58:20+00:00,332.78000000000003,323.6166666666667,322.65076923076924,332.8266666666667,341.52076923076925,346.30857142857144,354.5627272727273,349.0627272727273,345.72333333333336,339.855,342.7066666666667,343.57000000000005,L7
2000-09-06 21:58:22+00:00,326.20000000000005,315.6633333333333,320.5861538461539,324.2233333333333,330.2061538461539,334.08857142857147,338.07909090909095,336.87909090909096,328.57666666666665,332.16,334.2133333333333,337.79,L7
2000-10-08 21:58:00+00:00,329.31,320.47,321.06538461538463,330.89,333.0753846153846,336.2942857142857,335.0436363636364,333.70363636363635,331.99,330.055,327.06,331.28,L7
2000-11-25 21:57:34+00:00,324.44,309.5966666666667,313.2630769230769,313.0266666666667,319.2830769230769,324.6714285714286,321.1227272727273,320.35272727272724,318.3233333333333,319.455,311.8566666666667,315.02,L7
2000-12-11 21:58:00+00:00,333.56,315.58,316.87615384615384,317.71,323.60615384615386,326.00142857142856,324.08,318.48,318.76,318.39,317.85,319.21000000000004,L7
2001-02-13 21:57:39+00:00,338.57,321.9633333333333,323.3676923076923,325.4533333333333,332.04769230769233,333.33857142857147,335.06545454545454,338.42545454545456,327.1666666666667,329.19,332.55333333333334,339.11,L7
2001-05-20 21:57:28+00:00,325.03999999999996,316.3466666666667,322.9830769230769,322.5866666666667,330.3430769230769,331.90142857142854,332.34272727272725,331.73272727272723,330.36333333333334,331.175,336.3366666666667,328.82,L7
2001-06-05 21:57:16+00:00,324.28,311.9566666666667,319.57846153846157,321.1166666666667,329.38846153846157,333.9057142857143,332.4463636363636,331.17636363636365,333.7133333333333,333.58,331.0466666666667,327.84999999999997,L7
2001-07-07 21:56:36+00:00,330.66,,,332.5,338.6223076923077,338.6871428571428,340.67272727272723,337.21272727272725,337.21,334.205,335.57,335.88,L7
2001-09-25 21:55:40+00:00,330.96999999999997,313.2966666666667,318.9223076923077,327.1666666666667,331.7323076923077,331.4157142857143,335.3172727272727,337.3872727272728,328.7033333333333,323.705,327.2366666666667,339.64,L7
2001-12-30 21:56:13+00:00,317.07000000000005,310.22,311.58076923076925,313.94,322.97076923076924,324.82714285714286,325.8963636363636,321.25636363636363,321.53,320.315,323.7,319.31,L7
2002-02-16 21:56:06+00:00,322.56,310.7966666666667,313.1453846153846,320.8366666666667,322.0753846153846,324.3228571428572,326.5281818181818,316.7481818181818,316.9433333333333,318.455,323.9266666666667,332.41,L7
2002-03-20 21:56:24+00:00,342.88,325.56333333333333,326.1907692307692,333.1433333333333,335.9407692307692,332.01428571428573,338.7054545454546,337.24545454545455,328.08666666666664,327.975,330.0233333333333,334.96999999999997,L7
2002-05-07 21:56:27+00:00,330.81,315.59,317.3630769230769,325.79,326.4430769230769,328.48571428571427,332.96,327.97,327.53000000000003,324.675,322.25,325.57,L7
2002-08-11 21:55:48+00:00,323.62,305.41,304.74615384615385,325.88,332.7761538461539,339.2442857142857,323.64181818181817,337.08181818181816,344.48,320.79,313.14,334.97999999999996,L7
2002-09-12 21:55:31+00:00,346.90000000000003,331.69,330.2730769230769,340.7,343.4330769230769,345.67,343.92272727272723,346.41272727272724,336.28,332.16,332.79,340.11,L7
2002-10-14 21:54:55+00:00,339.95,326.4566666666667,328.3792307692308,329.1366666666667,335.6192307692308,334.30857142857144,332.2263636363636,335.2163636363636,328.1433333333333,322.655,323.4266666666667,325.72999999999996,L7
2002-10-30 21:55:01+00:00,342.25,329.0733333333333,328.7476923076923,335.24333333333334,339.02769230769235,336.6371428571428,338.52454545454543,335.68454545454546,321.58666666666664,322.395,320.7033333333333,328.4,L7
2003-02-19 21:56:18+00:00,332.19,320.7366666666667,335.1046153846154,335.31666666666666,336.84461538461534,337.70285714285717,344.37,336.7,328.98333333333335,318.97,313.56666666666666,319.27,L7
2003-03-23 21:56:16+00:00,325.92,316.50666666666666,316.5707692307692,327.0566666666667,332.22076923076924,331.91857142857145,332.1827272727273,332.23272727272723,316.1333333333333,310.365,323.06666666666666,329.03000000000003,L7
2003-04-08 21:56:23+00:00,324.41,315.6566666666667,313.9138461538461,320.1066666666667,322.06384615384616,318.8542857142857,322.22272727272724,327.66272727272724,321.24333333333334,315.7,314.31666666666666,318.75,L7
2003-04-24 21:56:22+00:00,323.74,314.2666666666667,315.35153846153844,323.0266666666667,328.22153846153844,331.04571428571427,331.28909090909093,329.4990909090909,324.75333333333333,327.35,326.9166666666667,326.0,L7
2003-05-10 21:56:22+00:00,337.26,327.6366666666667,330.5230769230769,336.4066666666667,338.4530769230769,339.39428571428573,344.68454545454546,338.1045454545454,334.9533333333334,331.925,332.3966666666667,335.13,L7
2003-07-21 21:44:09+00:00,331.53999999999996,329.4266666666667,330.0192307692308,328.24666666666667,328.7392307692308,326.5785714285714,334.2163636363636,329.5263636363636,322.8333333333333,314.375,319.0766666666667,328.45,L5
