dates,nzd0396-0000,nzd0396-0001,nzd0396-0002,nzd0396-0003,nzd0396-0004,nzd0396-0005,nzd0396-0006,nzd0396-0007,nzd0396-0008,nzd0396-0009,nzd0396-0010,nzd0396-0011,satname
1999-07-18 22:00:01+00:00,322.47,,,326.70,325.93,318.87,335.91,334.39,336.89,,,,L7
1999-09-04 22:00:33+00:00,331.73,328.58,325.85,331.75,331.27,328.19,339.89,335.08,334.97,338.13,331.38,331.24,L7
1999-10-22 22:00:28+00:00,333.17,327.65,326.88,332.75,333.73,332.40,338.61,335.64,333.55,331.44,331.00,330.31,L7
1999-12-09 22:00:09+00:00,335.73,327.05,326.77,332.55,332.62,332.34,336.63,333.40,331.69,329.46,326.55,328.36,L7
1999-12-25 22:00:04+00:00,335.73,327.05,326.86,332.55,332.62,330.72,334.65,330.94,329.10,326.23,324.89,326.32,L7
2000-01-26 22:00:02+00:00,340.35,326.12,327.46,333.18,334.70,333.84,333.74,330.55,327.69,326.84,326.45,327.40,L7
2000-02-11 22:00:21+00:00,341.66,327.52,327.66,331.56,334.49,332.77,332.62,330.62,327.33,326.98,326.04,326.91,L7
2000-02-27 21:59:52+00:00,341.28,327.18,327.62,331.56,334.63,333.41,333.55,331.25,327.52,327.94,326.48,327.46,L7
2000-03-30 21:59:45+00:00,341.47,327.39,328.46,330.96,334.60,334.00,332.92,331.54,328.30,327.23,327.02,327.55,L7
2000-04-15 21:59:31+00:00,339.33,325.97,327.60,329.99,334.03,333.54,333.04,332.49,329.36,327.69,326.68,328.29,L7
2000-05-01 21:59:30+00:00,338.99,325.99,327.49,329.36,333.69,333.68,333.42,333.13,330.14,329.08,327.77,329.41,L7
2000-06-18 21:59:27+00:00,337.74,326.02,326.96,329.11,334.14,333.45,334.66,334.73,332.18,330.20,329.12,330.62,L7
2000-08-05 21:58:20+00:00,336.57,325.65,325.69,329.11,334.80,336.19,338.51,338.46,336.37,333.66,331.51,332.87,L7
