dates,nzd0175-0000,nzd0175-0001,nzd0175-0002,nzd0175-0003,nzd0175-0004,nzd0175-0005,nzd0175-0006,nzd0175-0007,nzd0175-0008,nzd0175-0009,nzd0175-0010,nzd0175-0011,nzd0175-0012,nzd0175-0013,nzd0175-0014,nzd0175-0015,nzd0175-0016,nzd0175-0017,nzd0175-0018,satname
1999-07-18 21:58:49+00:00,313.59285714285716,319.0366666666667,316.16285714285715,320.46190476190475,302.89,291.9166666666667,300.6828571428572,312.0566666666667,324.85285714285715,331.4223529411765,337.50666666666666,349.1128571428572,362.94142857142856,367.6554545454546,375.9811627906977,375.06190476190477,,,,L7
1999-10-22 21:58:28+00:00,315.12142857142857,302.40999999999997,300.9814285714286,314.2442857142857,297.26,287.09,293.3614285714286,302.86,311.3514285714285,318.8552941176471,323.78999999999996,340.32142857142856,356.54571428571427,358.31,368.06046511627903,362.6642857142857,371.3708695652174,374.12,358.4930769230769,L7
1999-12-09 21:58:33+00:00,310.0342857142857,304.95,307.39428571428573,317.48285714285714,299.01,291.93,296.2342857142857,301.52,314.69428571428574,317.8429411764706,327.57,343.1142857142857,358.52714285714285,365.6690909090909,369.55325581395346,369.78285714285715,371.58565217391305,369.87,360.0338461538461,L7
2000-02-27 21:58:16+00:00,318.66857142857145,313.77666666666664,312.72857142857146,324.57904761904757,302.76000000000005,297.94666666666666,297.40857142857146,306.32666666666665,315.1485714285715,320.66941176470584,329.34666666666664,337.12857142857143,355.64428571428573,363.0763636363636,372.1879069767442,368.6690476190476,373.7221739130435,376.3233333333333,368.40230769230766,L7
2000-03-14 21:58:11+00:00,306.7428571428572,306.97666666666663,302.78285714285715,316.72190476190474,298.26000000000005,285.0466666666666,288.9328571428572,297.87666666666667,305.1228571428572,309.76,321.51666666666665,337.2528571428572,355.13142857142856,358.78909090909093,366.45720930232557,366.4219047619048,372.2834782608696,374.66333333333336,359.62461538461537,L7
2000-03-30 21:58:09+00:00,310.3342857142857,311.92333333333335,305.01428571428573,317.9595238095238,297.42,287.9133333333333,295.75428571428574,297.3933333333333,306.0842857142857,313.9435294117647,327.7633333333333,330.18428571428575,356.6271428571428,360.75,367.54697674418605,370.5495238095238,375.90391304347827,371.84666666666664,355.0753846153846,L7
2000-05-01 21:57:54+00:00,294.78714285714284,301.44666666666666,294.82714285714286,315.4947619047619,300.6,286.28666666666663,290.0071428571428,302.77666666666664,306.1971428571428,314.79058823529414,321.76666666666665,334.07714285714286,354.68857142857144,358.4718181818182,365.68651162790695,364.33476190476193,366.55478260869563,372.41333333333336,358.0769230769231,L7
2000-08-05 21:56:44+00:00,305.9485714285714,299.8233333333333,304.85857142857145,317.932380952381,299.13,285.78333333333336,284.30857142857144,291.56333333333333,297.50857142857143,301.6276470588235,310.86333333333334,329.97857142857146,333.0442857142857,340.47727272727275,344.92720930232554,344.992380952381,356.2317391304348,352.75666666666666,333.74,L7
2001-03-01 21:55:57+00:00,299.77142857142854,294.7966666666667,295.87142857142857,305.65761904761905,283.51,279.68666666666667,282.13142857142856,287.2966666666667,294.9214285714286,295.57529411764705,305.77666666666664,312.62142857142857,328.6357142857143,337.1181818181818,341.69023255813954,343.03761904761905,350.15869565217395,345.96333333333337,338.7469230769231,L7
2001-06-05 21:55:16+00:00,288.5628571428572,282.4533333333333,283.5728571428572,307.80523809523805,294.36,277.0733333333333,283.95285714285717,287.56333333333333,301.4328571428572,305.3470588235294,315.5933333333333,326.21285714285716,351.24142857142857,346.2418181818182,358.99953488372097,360.30523809523805,366.0008695652174,365.9766666666667,354.38153846153847,L7
