,dates,mex0296-0000,mex0296-0001,mex0296-0002,mex0296-0003,mex0296-0004,mex0296-0005,mex0296-0006,mex0296-0007
0,1985-09-24 16:53:30+00:00,177.89578577600403,176.9598661656381,182.57959212893513,170.15092522155652,156.37974418974176,149.02036376574094,162.27834661804303,157.77153161452011
1,1986-03-19 16:50:19+00:00,191.6570746615402,196.19393877759953,196.256456643309,188.6405639456809,176.30922137282934,156.8689867008532,147.3419107576651,145.52059851593128
2,1986-04-20 16:49:38+00:00,199.67878619850467,208.5918712334758,212.90289976057412,192.33748817012307,168.1264809589044,157.43985638852234,163.67762095378097,154.12694901994257
3,1987-09-14 16:51:10+00:00,172.73790623721743,174.55789587337955,181.2984167550367,166.83029148223804,154.13691388012106,151.04032226775988,149.99947552794416,154.91835615951243
4,1990-02-10 16:45:58+00:00,188.13543879860035,195.4331459772025,196.55862926732576,178.97601394117524,166.80010247315732,168.71982058419636,162.1252472685529,162.7943175351867
5,1990-03-14 16:44:54+00:00,177.25377414604623,188.3437912578145,187.91722843015114,186.49710221606924,169.07253692290377,166.88590099463454,162.90648910000087,161.8398032296981
6,1990-04-15 16:44:33+00:00,201.36837038415482,201.75461492793548,201.91544026767087,186.09345323799664,164.389752027474,165.4099124033901,162.27092845310898,167.73112364054145
7,1992-06-07 16:48:12+00:00,,,,,,,,
8,1993-01-17 16:45:59+00:00,182.93544190263103,196.31058645287024,205.45038268466158,192.6741269267717,177.30317394287368,176.8594583084643,164.49287728697053,165.86044482549394
9,1993-02-02 16:46:10+00:00,185.0136033802413,199.1381515321571,204.74991055448874,186.67866043334465,178.1202141528227,175.06660065430108,163.8975917389872,165.75878190384864
10,1993-02-18 16:46:17+00:00,193.65076420966565,200.29072622624597,201.3231389188987,178.27845335746233,165.05381922119292,160.8978069674718,152.3242395975062,151.9863117285077
11,1993-03-06 16:46:27+00:00,177.53578888558195,188.91274102286087,184.818231399689,172.82850047137873,155.3204611126539,151.6302857637498,144.72732260156465,144.3261178108122
12,1993-03-22 16:46:29+00:00,185.45751816220576,191.36074682001552,191.11904818595883,179.068627378285,164.53041959442442,155.82433618993113,148.85309531017728,139.0251911624584
13,1993-04-23 16:46:44+00:00,189.3467633738027,193.44079673214907,189.7585579491876,176.03022945907006,160.65750133356104,161.2202863999889,154.87589054663778,157.02773964051374
14,1993-05-09 16:46:47+00:00,198.8962930590679,195.08088369217606,198.64511583244624,181.79672678370375,160.564603763547,160.50501380390745,157.271000924233,154.93872796866984
15,1993-05-25 16:46:51+00:00,188.82791865945757,194.63777613038076,192.3861302987313,177.5711474382243,156.09050609275232,156.16182168682585,152.1342560196563,148.379965030975
16,1993-06-26 16:46:46+00:00,186.09087235294325,186.39413485973637,189.60603593076655,171.99858061003914,159.29942343306223,158.9662195240283,161.17475651317625,160.37921468680878
17,1993-08-13 16:46:43+00:00,184.98208688035538,189.37340641823113,194.326823249817,174.2839504564826,159.71143794349055,165.51003162063705,161.1762027986555,152.69193583725595
18,1993-08-29 16:46:42+00:00,175.7261719142433,179.85998196569517,189.82729798016973,171.1089490498129,154.1528016392485,166.07932211348356,160.13124525980817,160.9726122675851
19,1993-10-16 16:46:30+00:00,,,,,,,151.44092796512467,160.45288457115166
20,1993-11-01 16:46:25+00:00,180.2568666497032,184.77350905981805,186.56063168033322,175.39492432961302,164.3602252868452,169.58414043866065,167.71795757605904,165.20718285483542
21,1993-11-17 16:46:38+00:00,190.17053660860233,194.10149594730544,193.62660381360382,188.0928732288376,168.32803070278598,172.79143527669157,170.2401325522453,168.21240013980864
22,1993-12-03 16:46:13+00:00,180.79441869605068,185.81924313413944,190.53859112943204,179.18417398410023,166.8857295362024,163.52613404949065,171.55930435485737,170.40457602798804
23,1993-12-19 16:46:29+00:00,181.84362159149325,190.44999296812298,193.71839565341358,175.09374113080545,162.6332148026269,157.50048282110473,157.0119406914817,156.6874424334394
