dates,satname,nzd0163-0000,nzd0163-0001,nzd0163-0002,nzd0163-0003,nzd0163-0004,nzd0163-0005,nzd0163-0006,nzd0163-0007,nzd0163-0008
1999-11-07 21:58:32+00:00,L7,360.95,369.48,375.86,367.68,375.85,374.65,374.59,370.87,382.36
2000-01-10 21:58:52+00:00,L7,,372.82,388.36,376.28,377.68,374.00,369.65,374.41,373.17
2000-02-11 21:58:22+00:00,L7,361.17,359.63,374.22,371.49,379.45,378.32,376.23,376.50,384.47
2000-03-30 21:58:09+00:00,L7,374.53,377.26,386.52,378.91,388.42,389.25,388.75,381.25,390.66
2000-05-17 21:58:07+00:00,L7,355.02,374.85,374.66,370.76,380.42,378.99,377.60,376.92,389.37
2000-07-04 21:57:14+00:00,L7,,,586.37,,,645.25,,,
2000-08-21 21:57:02+00:00,L7,354.62,367.84,373.52,362.88,370.93,369.59,370.70,369.36,380.83
2000-11-25 21:56:23+00:00,L7,,,,,,379.43,378.60,378.26,382.49
2001-03-01 21:55:57+00:00,L7,364.25,359.58,372.92,368.00,375.45,372.10,368.56,374.01,
2001-03-17 21:56:16+00:00,L7,362.90,375.15,386.03,375.34,385.71,382.67,379.37,380.15,386.22
2001-06-05 21:55:16+00:00,L7,357.93,370.87,389.83,374.15,383.03,382.68,381.73,379.24,387.75
2001-06-21 21:55:05+00:00,L7,356.86,376.10,375.23,370.17,379.52,376.81,377.35,380.22,387.76
2001-08-24 21:54:48+00:00,L7,352.32,361.33,366.52,355.46,369.83,366.01,364.76,363.46,371.31
2001-09-09 21:54:12+00:00,L7,355.94,359.60,374.65,367.77,382.03,377.32,374.02,376.89,380.68
2001-09-25 21:54:04+00:00,L7,363.55,375.39,376.98,388.60,394.04,386.28,380.60,379.32,382.31
2001-10-11 21:53:46+00:00,L7,366.77,374.75,383.33,381.96,393.54,385.25,381.29,377.40,383.80
2002-01-15 21:54:23+00:00,L7,,359.60,368.73,368.58,367.87,368.64,367.69,366.88,371.80
2002-02-16 21:54:54+00:00,L7,351.13,348.07,361.97,354.02,356.37,359.83,361.00,362.66,375.36
2002-06-24 21:54:28+00:00,L7,353.06,362.89,375.07,372.53,380.33,377.55,380.51,375.64,
2002-08-27 21:53:36+00:00,L7,363.04,370.68,372.52,369.10,380.59,376.35,376.44,377.07,380.43
2002-10-14 21:53:43+00:00,L7,366.26,376.17,381.88,377.80,385.35,389.39,387.61,380.71,388.98
2003-01-02 21:54:22+00:00,L7,361.51,359.03,373.10,369.56,379.24,376.57,377.59,376.77,380.48
2003-03-23 21:54:40+00:00,L7,359.87,357.53,370.43,365.82,373.60,372.86,373.51,368.60,381.97
2003-04-08 21:54:23+00:00,L7,358.28,368.71,373.75,372.01,378.69,377.26,378.25,374.18,382.44
2003-04-24 21:54:46+00:00,L7,367.95,375.38,391.02,382.07,392.75,392.02,389.37,380.25,383.15
2003-05-10 21:54:46+00:00,L7,371.15,378.68,388.72,380.57,393.84,389.13,381.51,380.98,388.26
2003-07-21 21:42:33+00:00,L5,367.72,380.33,387.33,378.00,392.07,388.65,391.00,384.84,
2003-08-06 21:42:51+00:00,L5,377.87,385.04,389.63,381.47,392.98,390.75,387.10,385.51,
2003-08-22 21:42:44+00:00,L5,,320.90,358.59,341.92,371.81,,504.41,,441.86
2003-08-30 21:54:22+00:00,L7,350.49,357.51,370.18,,,,368.78,375.09,379.31
2003-10-25 21:44:04+00:00,L5,,368.24,365.96,359.74,375.10,373.36,371.17,370.69,376.41
2003-11-18 21:54:15+00:00,L7,377.75,375.59,385.13,379.27,388.30,389.73,388.16,382.12,392.18
2003-12-04 21:54:19+00:00,L7,381.29,379.16,389.95,384.85,392.92,391.27,389.85,385.07,390.70
2004-01-21 21:55:02+00:00,L7,,357.59,,,,368.89,368.75,366.36,380.86
2004-02-22 21:55:07+00:00,L7,351.36,350.81,,,354.71,364.06,365.02,360.66,369.43
2004-03-01 21:44:38+00:00,L5,358.34,368.90,378.65,370.99,380.71,381.94,378.52,375.84,389.33
2004-03-09 21:55:15+00:00,L7,,353.43,367.93,356.82,356.50,361.97,366.76,367.24,382.40
2004-03-17 21:44:44+00:00,L5,373.12,377.92,390.71,382.81,390.85,389.68,387.10,386.05,391.55
2004-04-02 21:44:54+00:00,L5,367.56,376.51,379.19,380.08,389.43,390.95,393.54,390.86,396.33
2004-04-18 21:45:49+00:00,L5,359.58,379.84,388.01,375.25,383.84,384.12,380.74,378.97,385.70
2004-05-04 21:45:52+00:00,L5,358.48,368.21,379.58,366.51,379.29,376.80,373.66,374.25,385.37
2004-05-20 21:46:44+00:00,L5,359.58,373.59,384.87,367.15,369.23,373.56,376.65,377.03,383.91
2004-05-28 21:54:47+00:00,L7,,366.89,375.00,371.21,387.22,384.78,381.57,379.38,388.14
2004-06-05 21:46:48+00:00,L5,346.88,357.16,374.38,359.42,359.52,367.93,378.38,378.38,378.19
2004-06-21 21:47:40+00:00,L5,357.01,357.32,360.65,,359.98,372.94,366.84,373.94,376.22
2004-07-07 21:48:09+00:00,L5,344.83,366.13,372.10,354.34,375.84,382.52,381.23,378.74,387.44
2004-07-23 21:48:09+00:00,L5,364.62,370.94,382.57,373.98,387.55,388.14,385.16,382.81,390.58
2004-08-08 21:48:26+00:00,L5,363.83,379.28,378.45,374.53,384.96,387.75,386.16,378.83,385.02
2004-08-16 21:54:50+00:00,L7,359.94,357.82,371.20,368.59,378.02,376.89,378.74,372.16,382.13
2004-08-24 21:49:18+00:00,L5,373.05,376.70,382.16,383.10,390.79,393.55,391.58,388.39,394.96
2004-09-09 21:49:19+00:00,L5,372.77,377.29,384.35,379.08,388.18,391.36,388.27,387.01,394.86
2004-09-25 21:50:07+00:00,L5,373.61,377.29,384.57,378.05,387.46,388.21,385.81,385.87,392.01
2004-11-04 21:54:55+00:00,L7,364.92,367.77,376.20,371.07,383.01,383.72,,,
2005-01-07 21:55:01+00:00,L7,,,,,,387.45,385.34,386.88,392.59
