,dates,jap0336-0000,jap0336-0001,jap0336-0002,jap0336-0003,jap0336-0004,jap0336-0005
0,1984-07-27 01:10:28+00:00,116.49409937044503,118.7855213705081,119.06194546466484,133.62368405309894,136.06337715807308,138.39815038762717
1,1984-10-31 01:11:19+00:00,151.04892357974128,141.98544032792196,140.0445294953517,158.30165748269928,152.0274459363438,151.03057122560526
2,1985-04-25 01:11:34+00:00,129.97845071306273,128.4856885403029,,,141.9176917213095,147.92465862724507
3,1985-10-02 01:10:27+00:00,153.81590668313518,144.262647886009,140.83047385895432,151.3380646667047,151.94557006340145,157.89492414004712
4,1986-01-22 01:08:35+00:00,153.86260089829483,149.0855353376772,146.2774194869434,157.85258402047168,157.31192577168147,162.53675106304686
5,1986-02-07 01:08:13+00:00,,,146.7449714206071,160.15486262764907,160.6991784903256,163.89088467363183
6,1986-04-12 01:06:50+00:00,135.80998509197073,137.89297495454724,,152.6149998602632,153.0746008050651,156.72421648567507
7,1986-07-01 01:04:35+00:00,106.7170552445663,110.03343061172022,124.4853823174459,134.06048981694838,124.56846774310573,128.96267654636773
8,1986-08-02 01:03:28+00:00,132.43355467503224,130.15027905004337,140.74530397405601,147.5319904856339,144.33190192642175,149.30819349587762
9,1986-09-03 01:02:16+00:00,131.81354968215507,128.0799218651522,129.56379865957348,144.85857289165156,143.89378040389772,143.62740610128162
10,1986-11-06 01:00:09+00:00,157.36633188122062,150.36937818098093,149.15872442641106,158.792396180004,158.06900337865017,154.91933437715244
11,1986-11-22 00:59:28+00:00,149.31349513691842,139.163727933244,140.51239225677244,151.3737989252905,151.6698379357559,150.00564227639282
12,1986-12-08 00:59:53+00:00,154.45345182997485,147.57910090564386,147.56960774646458,154.81692399891838,158.96685137881775,159.46347380946
13,1986-12-24 01:00:24+00:00,152.69065443849675,147.1128526692583,151.90694060107293,170.19948986001262,156.24595178541972,162.4713817086979
14,1987-02-10 01:01:56+00:00,149.48468703430171,149.1835931753744,156.52481154519177,157.56452454970128,157.28305074481597,152.5730080098837
15,1987-05-01 01:04:45+00:00,130.51564141292607,127.96350846337134,,,126.77437298466863,128.94428442785633
