,dates,chi0529-0000,chi0529-0001,chi0529-0002,chi0529-0003,chi0529-0004,chi0529-0005,chi0529-0006,chi0529-0007,chi0529-0008,chi0529-0009,chi0529-0010,chi0529-0011,chi0529-0012,chi0529-0013,chi0529-0014,chi0529-0015,chi0529-0016,chi0529-0017
0,1986-09-09 13:59:11+00:00,173.81071185671846,154.58943631420914,160.32910537642567,149.72622928116854,144.63664949455003,145.1774547081323,144.01577680176604,147.9834265327324,146.60944306144756,150.95336717121444,154.04804609429294,146.57541784793523,142.84582958418602,143.25957120236328,143.2699920569692,147.00255755150707,162.11828579922383,172.8897723562515
1,1986-09-18 13:52:44+00:00,177.1422207994146,156.46310833866374,157.51180623524277,153.20951099467692,153.98708375621254,152.27749182455779,150.48164864569833,156.8410020555035,156.29608546636734,161.11139384815613,159.02524149651182,151.6255677404253,148.86127400952628,145.78956106323267,146.9544032656512,160.3015316900956,156.05918617269336,168.42660897168133
2,1986-10-04 13:52:14+00:00,174.8108457203538,159.96463614461123,164.3716225603284,150.9050420900727,148.16242366654734,148.2537839806502,146.98951080607605,153.4108000984376,151.98634055987344,156.64232725536692,149.23195092003942,149.1606481309384,146.3539351092765,146.5190173322689,146.99964817487222,153.77340022978854,161.41711923262892,158.76704537472085
3,1987-01-08 13:51:47+00:00,153.61321496064093,132.33078566495752,124.8520594193994,116.9873151616811,113.11592347255936,111.31710877340107,109.36420888325027,,,124.39832008871625,135.06168660272388,121.20212558143814,117.12163028350876,118.959871739996,119.28982868647239,129.0925926751551,138.8940946817154,149.54809346744634
4,1997-02-04 13:56:53+00:00,179.87200976994652,168.79266831417968,158.18082831299273,154.98704625047353,155.56266607056247,152.96939307607624,149.4476817511615,152.38690924288215,154.51709179231668,154.94529784961563,153.24371736995602,149.59675227842968,144.38897148207332,144.9373531242431,148.15206085335987,165.90012600250628,,
5,1998-02-14 14:14:34+00:00,169.08216368811492,159.2117925552998,155.51527806607965,152.92051954303238,150.81878975818177,151.71276685737095,151.37277825346263,156.48737881105973,154.91685421296793,162.47529781127943,157.39480518014514,156.0973410415315,153.57817066443297,155.0440486362982,155.7654996962959,158.35979390875283,,
6,1998-04-28 14:09:26+00:00,,,,,,,,,,,,,,,,,,
7,1998-06-22 14:16:24+00:00,,,,,,,,,,,,,,,,,,
8,1998-09-10 14:17:10+00:00,174.71860174000443,152.3038431410241,150.14227633872895,142.56545506478383,138.6932545956105,138.2321869331497,130.53374170358407,121.7905479562215,137.2130197217512,154.10648800168298,150.89630458676305,142.01871500547327,132.7660616990915,146.02704320480376,133.08605871328322,134.2718914358834,,
9,1999-07-12 14:25:04+00:00,,,,,,,,,,,,,,,,,,
