dates,satname,nzd0087-0000,nzd0087-0001,nzd0087-0002,nzd0087-0003,nzd0087-0004,nzd0087-0005
1999-09-27 22:04:48+00:00,L7,240.76,247.18,257.69,274.18,260.67,325.71
1999-11-14 22:04:42+00:00,L7,252.03,250.26,267.25,278.96,269.31,325.42
2000-02-18 22:04:29+00:00,L7,262.88,261.28,276.48,285.67,276.50,337.40
2000-07-11 22:03:17+00:00,L7,260.78,262.62,281.41,286.11,273.40,341.25
2000-10-15 22:01:56+00:00,L7,240.88,238.23,246.22,256.99,224.76,325.83
2001-01-03 22:02:12+00:00,L7,258.54,257.82,264.46,271.67,275.31,311.21
2001-03-24 22:01:59+00:00,L7,225.45,237.56,230.37,257.77,243.95,319.97
2001-05-11 22:01:45+00:00,L7,,,,,,
2001-06-12 22:01:24+00:00,L7,234.42,237.84,,258.39,242.29,246.33
2001-06-28 22:01:09+00:00,L7,259.67,262.92,266.11,242.48,,326.62
2001-08-15 22:00:38+00:00,L7,255.43,270.34,285.27,289.72,271.68,337.37
2001-12-05 22:00:18+00:00,L7,,,,256.80,248.12,317.91
2002-01-22 22:00:40+00:00,L7,268.48,267.78,279.52,295.91,288.38,314.87
2002-02-23 22:00:43+00:00,L7,267.99,298.17,285.13,294.68,301.22,289.99
2002-03-27 22:00:37+00:00,L7,252.81,250.88,260.64,272.95,266.99,327.01
2002-07-01 22:00:15+00:00,L7,251.91,253.21,261.75,272.72,256.97,340.46
2002-07-17 22:00:08+00:00,L7,256.25,263.54,276.69,281.80,284.54,328.64
2002-08-18 21:59:57+00:00,L7,271.60,262.91,271.34,278.52,277.25,332.29
2002-10-21 21:59:36+00:00,L7,247.89,242.85,251.46,266.23,249.68,324.96
2003-02-26 22:00:28+00:00,L7,263.25,274.12,321.33,340.11,,247.87
2003-07-28 21:48:28+00:00,L5,252.43,256.20,252.19,267.38,250.10,337.61
2003-08-05 22:00:11+00:00,L7,237.66,237.85,243.69,256.25,252.44,325.29
2003-09-14 21:49:18+00:00,L5,233.42,244.57,250.32,264.08,241.01,336.73
2003-11-09 22:00:18+00:00,L7,,,252.96,263.80,251.65,323.16
2003-12-19 21:50:27+00:00,L5,253.68,249.95,264.81,269.70,281.88,331.52
2004-04-01 22:01:04+00:00,L7,,259.69,276.72,288.29,278.81,313.01
2004-05-03 22:00:59+00:00,L7,248.10,252.77,,269.72,263.25,325.29
2004-06-20 22:00:50+00:00,L7,228.90,237.75,,262.94,246.41,327.81
2004-07-06 22:00:48+00:00,L7,238.92,240.22,247.50,265.60,254.15,337.86
2004-07-22 22:00:44+00:00,L7,233.05,238.04,247.64,267.66,251.57,328.21
2004-07-30 21:54:28+00:00,L5,249.41,269.83,281.01,283.81,265.28,339.13
2004-09-16 21:55:41+00:00,L5,251.30,249.89,256.30,282.29,273.40,339.31
2004-10-18 21:56:23+00:00,L5,265.31,254.25,269.10,280.43,267.27,333.69
2004-11-03 21:56:42+00:00,L5,275.28,258.61,268.32,276.46,260.07,326.87
2004-11-11 22:00:45+00:00,L7,253.30,,,279.52,265.97,323.65
2004-11-19 21:56:55+00:00,L5,292.54,291.85,301.83,307.53,286.13,324.67
2004-12-13 22:01:00+00:00,L7,253.27,247.63,261.14,271.42,253.52,321.31
2005-02-23 21:58:31+00:00,L5,253.77,252.63,256.46,275.93,260.26,331.49
2005-03-03 22:01:30+00:00,L7,264.66,258.30,274.31,,,
2005-03-11 21:58:44+00:00,L5,249.06,242.49,254.48,266.70,256.85,336.51
2005-04-12 21:58:55+00:00,L5,245.65,245.86,252.34,273.04,246.72,327.11
2005-04-20 22:01:20+00:00,L7,265.58,268.05,277.57,294.94,281.50,337.39
2005-05-30 21:59:15+00:00,L5,280.13,284.27,298.82,301.87,289.63,326.59
2005-06-07 22:01:19+00:00,L7,254.99,257.40,267.92,,266.49,335.77
2005-07-09 22:01:14+00:00,L7,243.60,250.70,253.22,264.64,247.70,339.05
2005-07-17 21:59:35+00:00,L5,254.48,275.52,287.77,296.46,280.45,322.86
2005-07-25 22:01:13+00:00,L7,247.93,252.87,255.87,275.13,254.65,340.73
2005-08-10 22:01:10+00:00,L7,239.32,237.85,248.09,270.43,251.74,327.32
2005-11-22 22:00:23+00:00,L5,253.18,247.99,279.55,285.06,272.44,327.68
2005-11-30 22:01:24+00:00,L7,238.69,237.98,256.22,271.32,,
2006-01-17 22:01:43+00:00,L7,249.15,245.49,274.12,280.84,269.77,320.88
2006-02-18 22:01:53+00:00,L7,229.68,234.29,242.91,261.89,251.18,322.97
2006-04-15 22:03:30+00:00,L5,238.64,247.70,255.44,276.87,260.00,340.10
2006-05-17 22:03:57+00:00,L5,245.44,244.36,255.85,274.32,265.52,338.97
2006-06-10 22:01:49+00:00,L7,253.03,259.20,272.92,276.61,274.44,337.70
2006-06-26 22:01:44+00:00,L7,248.08,245.78,255.31,277.62,257.84,342.73
2006-07-28 22:01:30+00:00,L7,232.37,237.85,247.58,266.70,247.57,338.70
2006-09-22 22:05:43+00:00,L5,,,270.43,280.51,262.41,331.39
2006-11-25 22:06:19+00:00,L5,198.84,193.56,211.68,238.60,255.14,322.56
2006-12-11 22:06:28+00:00,L5,139.79,141.45,165.74,186.83,263.77,394.26
2007-01-04 22:02:01+00:00,L7,263.26,259.22,275.68,283.49,,
2007-05-12 22:02:11+00:00,L7,279.22,295.81,,292.83,299.95,334.92
2007-05-28 22:02:04+00:00,L7,268.63,279.91,279.71,295.70,304.89,331.41
2007-11-20 22:01:58+00:00,L7,268.36,273.11,277.25,290.71,288.00,325.17
2008-03-27 22:01:57+00:00,L7,230.27,237.84,,260.90,242.52,321.30
2008-04-28 22:01:53+00:00,L7,261.61,259.04,279.41,290.53,287.91,339.87
2008-05-30 22:01:41+00:00,L7,,293.21,303.72,315.03,346.65,337.59
2008-08-02 22:01:03+00:00,L7,236.17,238.03,244.26,260.51,244.66,325.86
2008-08-18 22:00:56+00:00,L7,261.98,259.52,261.36,270.98,,
2008-09-19 22:00:40+00:00,L7,238.05,236.84,241.25,255.36,,317.26
2008-10-29 21:55:24+00:00,L5,259.27,248.73,253.61,270.53,250.35,332.64
2009-01-25 22:01:34+00:00,L7,239.13,238.06,247.91,,,350.86
2009-02-02 21:57:22+00:00,L5,252.15,250.10,267.41,277.35,270.74,331.83
2009-06-02 22:02:15+00:00,L7,252.38,282.27,277.34,287.66,322.38,335.04
2009-06-18 22:02:13+00:00,L7,260.13,282.99,284.61,302.57,305.73,342.24
2009-07-04 22:02:11+00:00,L7,254.95,257.57,276.74,298.12,280.44,337.51
2009-07-20 22:02:06+00:00,L7,258.89,,,297.07,282.46,340.59
2009-08-05 22:02:01+00:00,L7,250.06,252.98,264.66,271.92,255.16,339.51
2009-09-06 22:01:59+00:00,L7,226.48,240.89,238.17,260.92,236.17,327.70
2009-11-25 22:02:33+00:00,L7,253.82,255.53,276.31,280.19,266.29,315.89
2009-12-27 22:03:02+00:00,L7,,,288.52,297.46,304.19,321.75
2010-01-12 22:03:17+00:00,L7,263.25,272.11,285.88,295.35,288.05,318.18
2010-01-20 22:02:37+00:00,L5,238.55,243.38,252.65,271.33,262.83,330.28
2010-03-17 22:03:57+00:00,L7,228.28,237.66,238.02,258.87,,
2010-05-04 22:03:59+00:00,L7,239.39,249.42,257.80,274.28,261.49,338.34
2010-06-21 22:03:58+00:00,L7,277.66,304.32,289.66,291.89,,344.80
2010-07-07 22:04:01+00:00,L7,251.94,,283.81,294.35,281.57,326.18
2010-07-23 22:04:02+00:00,L7,247.28,273.59,276.63,,,341.80
2010-12-06 22:01:36+00:00,L5,236.46,245.95,257.65,274.75,257.91,334.26
2011-01-07 22:01:44+00:00,L5,246.88,246.57,267.10,276.95,266.90,336.43
2011-01-15 22:05:06+00:00,L7,252.97,269.00,280.17,,281.48,315.91
2011-02-16 22:05:15+00:00,L7,243.31,247.52,262.15,274.73,274.05,170.73
2011-03-12 22:01:43+00:00,L5,249.16,244.61,268.05,280.35,266.51,330.22
2011-04-05 22:05:26+00:00,L7,244.23,242.86,246.75,271.49,250.00,327.45
2011-05-23 22:05:23+00:00,L7,,256.25,255.47,275.03,266.68,340.83
2011-07-10 22:05:20+00:00,L7,281.96,300.39,291.28,285.33,297.19,88.58
2011-07-26 22:05:18+00:00,L7,304.12,306.80,305.41,282.95,303.58,337.35
2011-08-11 22:05:13+00:00,L7,247.65,252.39,245.35,257.39,258.92,323.04
2011-08-27 22:05:11+00:00,L7,273.65,275.64,282.54,300.84,299.07,339.63
2011-09-04 22:00:27+00:00,L5,258.96,260.30,276.04,282.58,276.92,326.48
2011-09-12 22:05:05+00:00,L7,253.13,251.04,262.48,268.56,252.23,325.36
2011-11-15 22:05:23+00:00,L7,243.77,237.71,250.12,263.63,246.13,323.49
2012-01-18 22:05:49+00:00,L7,268.11,297.50,288.43,282.31,295.53,324.19
2012-04-07 22:05:52+00:00,L7,,,,,329.63,344.48
2012-06-26 22:06:18+00:00,L7,246.81,254.90,264.90,273.87,265.35,326.65
2012-07-12 22:06:34+00:00,L7,255.98,273.44,278.21,280.74,301.08,324.23
2012-10-16 22:07:34+00:00,L7,239.29,238.25,254.36,269.09,,
2012-11-17 22:07:47+00:00,L7,228.29,227.79,245.16,258.92,,
2013-01-04 22:07:58+00:00,L7,262.69,254.19,272.87,279.85,266.92,321.24
2013-04-26 22:07:43+00:00,L7,249.28,,,280.54,265.07,338.39
2013-05-12 22:07:41+00:00,L7,238.20,245.51,257.72,273.81,251.66,337.44
2013-05-20 22:13:50+00:00,L8,298.82,307.28,304.18,310.53,301.76,327.74
2013-05-28 22:07:35+00:00,L7,247.17,249.44,260.22,274.30,256.66,346.61
2013-06-05 22:13:51+00:00,L8,257.83,261.22,277.39,285.46,273.48,339.47
2013-06-21 22:13:43+00:00,L8,272.17,297.89,300.46,308.93,309.96,324.24
2013-07-07 22:13:48+00:00,L8,258.84,259.75,275.16,286.45,278.51,339.04
2013-07-15 22:07:11+00:00,L7,252.23,252.61,273.80,279.79,271.98,337.51
2013-08-16 22:07:07+00:00,L7,277.40,281.69,285.26,296.30,294.33,314.67
2013-09-17 22:07:29+00:00,L7,240.88,,,262.57,263.11,319.13
2013-09-25 22:13:41+00:00,L8,236.98,244.03,250.98,268.74,255.27,337.72
2013-10-19 22:07:51+00:00,L7,243.46,244.17,254.43,275.19,260.50,326.11
2013-11-28 22:13:25+00:00,L8,271.83,281.05,289.22,298.13,303.53,330.62
2013-12-14 22:13:21+00:00,L8,265.55,276.48,277.97,298.13,296.85,323.27
2013-12-30 22:13:13+00:00,L8,258.81,281.32,296.91,312.61,308.85,323.08
2014-01-15 22:12:57+00:00,L8,259.42,257.26,279.40,280.22,276.46,331.08
2014-01-31 22:12:52+00:00,L8,223.98,239.51,239.70,,,
2014-02-08 22:08:40+00:00,L7,,,285.90,292.38,290.80,314.20
2014-03-04 22:12:23+00:00,L8,227.69,237.58,246.62,266.31,248.36,338.29
2014-03-12 22:08:38+00:00,L7,253.39,267.21,274.77,281.34,274.18,306.00
2014-03-28 22:08:46+00:00,L7,267.42,278.31,278.55,283.24,277.31,337.42
2014-04-05 22:11:58+00:00,L8,229.94,242.37,244.90,269.11,241.48,328.00
2014-04-21 22:11:42+00:00,L8,254.05,257.42,263.28,275.34,264.45,341.99
2014-04-29 22:09:01+00:00,L7,245.74,251.11,267.87,275.27,260.30,338.76
2014-05-15 22:09:08+00:00,L7,255.61,257.49,276.93,283.27,266.30,338.54
2014-05-23 22:11:18+00:00,L8,278.67,301.18,285.99,302.69,310.95,333.71
2014-05-31 22:09:12+00:00,L7,227.58,237.83,243.27,261.42,,89.69
2014-06-16 22:09:12+00:00,L7,235.91,244.16,,268.25,246.35,340.99
2014-07-02 22:09:19+00:00,L7,,259.51,267.78,275.67,263.34,342.26
2014-08-11 22:11:51+00:00,L8,256.06,254.47,265.14,272.08,256.10,340.29
2014-09-20 22:09:32+00:00,L7,284.20,287.54,293.84,292.84,284.15,314.66
2014-10-06 22:09:44+00:00,L7,254.33,268.22,267.75,,265.51,313.56
2014-10-14 22:12:02+00:00,L8,249.10,253.13,256.02,265.68,,
2014-12-09 22:10:12+00:00,L7,237.29,238.26,251.08,262.40,243.37,326.32
2015-01-02 22:11:50+00:00,L8,,,,278.52,284.38,317.60
2015-01-10 22:10:23+00:00,L7,237.65,233.45,,,,
2015-02-27 22:10:40+00:00,L7,254.84,260.53,274.30,286.16,286.40,316.36
2015-03-07 22:11:30+00:00,L8,238.65,251.01,253.24,271.72,258.11,338.39
2015-03-31 22:10:52+00:00,L7,268.57,281.31,281.76,291.81,288.73,316.07
2015-04-24 22:11:08+00:00,L8,253.05,251.45,247.36,269.17,255.45,329.02
2015-05-02 22:11:08+00:00,L7,251.15,247.63,261.79,277.73,268.50,328.12
2015-05-10 22:10:52+00:00,L8,254.60,254.04,260.13,277.08,261.89,330.22
2015-05-18 22:11:16+00:00,L7,245.51,245.95,,274.75,254.64,329.10
2015-06-03 22:11:21+00:00,L7,238.53,237.63,,279.82,259.25,328.29
2015-06-11 22:11:04+00:00,L8,308.77,309.58,304.87,314.96,327.77,348.24
2015-06-27 22:11:10+00:00,L8,287.32,297.82,300.43,311.09,316.23,334.41
2015-07-21 22:11:34+00:00,L7,249.35,249.23,263.76,273.74,,105.23
2015-07-29 22:11:25+00:00,L8,283.32,307.19,296.30,305.66,297.91,337.46
2015-08-06 22:11:37+00:00,L7,241.91,,257.88,274.96,259.51,325.74
2015-08-14 22:11:31+00:00,L8,256.06,254.04,271.38,280.27,270.09,338.07
2015-08-22 22:11:39+00:00,L7,,254.93,271.16,284.43,266.37,324.72
2015-10-25 22:12:11+00:00,L7,267.69,308.61,302.55,312.93,275.00,331.73
2015-11-10 22:12:26+00:00,L7,265.15,267.62,285.54,293.14,279.13,312.14
2015-12-20 22:11:57+00:00,L8,297.56,300.40,301.77,309.49,308.96,323.86
2016-02-22 22:11:42+00:00,L8,257.99,253.59,266.89,275.71,256.23,326.93
2016-03-09 22:11:40+00:00,L8,259.21,255.28,267.51,274.70,258.44,328.54
2016-04-02 22:13:58+00:00,L7,271.73,284.25,282.33,289.61,272.24,312.67
2016-04-26 22:11:21+00:00,L8,261.41,253.92,271.88,273.81,257.09,338.22
2016-05-12 22:11:20+00:00,L8,266.66,262.58,277.49,277.83,267.27,338.40
2016-05-20 22:14:14+00:00,L7,259.46,261.11,272.48,270.60,255.55,326.21
2016-05-28 22:11:27+00:00,L8,278.01,267.32,281.13,281.88,267.14,339.20
2016-06-13 22:11:30+00:00,L8,294.57,303.22,300.81,303.90,306.27,324.61
2016-07-15 22:11:46+00:00,L8,267.38,274.63,278.24,280.56,260.73,339.05
2016-08-16 22:11:53+00:00,L8,261.11,263.72,277.63,280.17,259.35,337.32
2016-09-09 22:14:31+00:00,L7,,246.85,258.81,269.21,256.02,321.18
2016-09-25 22:14:33+00:00,L7,247.49,264.46,274.56,,276.92,325.35
2016-11-04 22:12:09+00:00,L8,247.35,238.66,275.58,285.78,256.38,308.93
2016-11-20 22:12:09+00:00,L8,256.38,258.92,279.27,280.46,267.68,328.20
2016-12-22 22:12:03+00:00,L8,263.81,261.65,279.01,281.30,269.92,315.61
