,dates,chi0073-0000,chi0073-0001,chi0073-0002,chi0073-0003,chi0073-0004,chi0073-0005,chi0073-0006,chi0073-0007,chi0073-0008,chi0073-0009,chi0073-0010,chi0073-0011,chi0073-0012,chi0073-0013,chi0073-0014,chi0073-0015,chi0073-0016,chi0073-0017,chi0073-0018,chi0073-0019,chi0073-0020,chi0073-0021,chi0073-0022,chi0073-0023,chi0073-0024
0,1985-03-05 14:07:05+00:00,204.14562121667876,203.7309489136136,208.45057847263067,223.91930907898745,213.6139157334982,198.38566649143755,198.33917045101342,201.43200985358973,204.43571151977545,207.24571692703287,209.40277869437259,196.53302373248601,216.1169796882302,208.83392979709396,189.87269061521485,200.4823222685551,207.30642326917064,194.2729372850327,201.09904542566045,206.10858920745292,207.36816591824473,233.50033502868362,224.10159798629928,235.23429134968,218.80302875274103
1,1985-03-28 14:13:13+00:00,204.8172274143117,198.8979394726976,204.83497147123137,214.8513377125309,205.83176580299818,188.8171493150578,186.7661863997789,205.70607332746744,207.77643171709838,206.0099725546666,213.26220705531264,192.30601067961135,205.6972568444778,202.84662920432055,191.927319949451,198.86927678811728,210.36878122408194,203.78488694957477,207.46693269552966,203.60106334615432,204.4828177398856,231.04569249264347,219.65909633496636,230.8833819105144,221.36767246429113
2,1985-08-03 14:12:36+00:00,,,,,211.56214743069427,187.50867124536745,,,,,,,,,,192.7161341153528,211.93361879209908,199.731732646491,201.4765846241238,202.2864966843635,205.07142921751154,225.3655154821869,221.49945257343165,220.48603656543142,214.0239962769071
3,1986-02-04 14:03:35+00:00,208.29912689322376,205.91840620807534,203.61626040402788,216.2401533306345,215.08435125825153,194.7036705095516,193.02110371892076,206.8872708177554,210.89018102873,210.697482298467,207.3936850605843,195.07234907397293,207.12834483240232,201.5041208463653,192.5469147906596,206.06227453384378,214.54327378338198,209.8865801623905,211.04066258885385,205.23897633083882,205.59066030062695,236.16786205481128,211.69761343397832,218.35085351618477,209.54401953372994
4,1986-04-09 14:02:13+00:00,193.58039266170516,200.53731861627688,202.95984799692732,219.1287202956587,228.6229824132579,190.8065997529148,179.04345168200138,203.0743447261569,212.90726669388397,195.8330774305338,203.0244291774196,198.54934679401063,210.26383693696002,206.79032042340123,199.92279274981905,214.53949993053305,216.015715190736,,,,,222.53182588680244,220.7556321831532,233.89129001478994,225.46853381142083
5,1986-07-21 14:05:23+00:00,206.55714930616088,213.20716143793652,209.62765427151203,228.86688898615893,224.74263455404318,207.35638524691126,205.54775446908474,206.70461660049997,209.58866817154677,207.36821095881626,209.97086778631166,204.10408460148145,212.1976705940414,211.32549888470533,197.20454326805208,209.60915366720462,215.83612690346376,203.97362329082438,204.97632266469435,210.8199716696473,207.46005178834474,240.7595495032072,228.670893170074,238.79751106170755,229.30006903382295
6,1986-09-07 14:03:37+00:00,191.53035063105264,194.99513830165816,200.46734540366472,211.93945752715558,210.86726661156325,190.17541324307135,195.9295498489251,202.72036429361694,203.38716347595576,196.69652573699156,204.98663391593982,188.92239029027843,204.20931894287935,201.6202328035057,187.15418218765765,202.85350592826026,213.77716310505397,202.98700529576942,199.18311261058943,200.2269434721119,202.64487377944238,232.81376017851514,222.2483172677258,235.14277340923724,217.94049114644375
7,1986-09-23 14:03:08+00:00,185.37397018240327,193.4324706973798,197.84045056034017,205.56678411567194,211.67492199438283,192.28690309234105,188.25558155016256,190.50587942766686,182.97858991300342,182.16053864481592,200.62455289089297,191.9805799184529,207.2120212564232,,,,,,,,,,,,
8,1986-10-18 13:56:08+00:00,191.7334048828047,191.72661029542593,189.4629816772238,201.0589148806652,199.01339103196943,188.40707678182602,192.05662637748867,197.09295292059372,202.00392778163896,198.07168258150625,198.05337505721153,185.64512978879776,193.98280026467384,193.557148194347,177.25543758814277,195.16843998193832,209.82266634590985,201.74761158410703,199.5461389118564,195.54087330422453,192.5621424488163,220.90775523234734,206.4686368313849,223.02381752134534,212.43004036552264
9,1986-11-03 13:55:34+00:00,200.67591048786278,197.22123714019648,203.36840491184344,218.79414854628087,218.57543533723526,202.90518714219857,201.3309275174345,208.04321046450335,198.37852494188917,196.16956840624223,200.03184184496502,191.64193692520575,201.6872543973233,204.55642361433527,193.4339235868632,207.67891812830936,218.32466287017283,205.5756133332405,201.6633442247838,197.01032349280203,206.00798625843538,226.46858561530405,221.28328011814662,238.5345781967291,231.30922099444714
10,1986-11-10 14:01:28+00:00,188.7394698440108,190.51935953468302,197.71605285840775,209.50218941686376,205.52340196749873,190.51951037211666,184.1452889058797,194.49741242697107,192.6896358269495,186.90604301611856,193.42771157894907,189.87112040736113,203.75259289205923,194.89858083556132,189.41672183488785,203.43056039310994,206.60646294308845,197.03442079907757,195.78447522181378,197.3578142344353,193.94893519941786,222.92458876340362,212.78217040514943,219.5141573391028,211.38763274841187
11,1986-11-26 14:01:05+00:00,,204.77910263061764,212.7690665422862,222.9063848830153,226.5043415609794,208.0448064211255,187.0302386231604,208.02751353064664,214.330050948534,213.78145722432004,210.42853681697378,205.53043130466057,211.63090808307712,209.77592603501054,204.69551285787517,220.94159938541281,221.41290092804923,209.28344634114967,210.27095205951193,208.92474842831942,209.90213653821,235.90998314988698,225.52221521188073,232.4512316162236,224.1757793106098
12,1986-12-21 13:55:38+00:00,203.4882950962726,196.457597696451,192.91706987743845,197.73695590485215,183.4755397223619,165.10485013059886,169.50078670447235,172.93979389286363,181.38473891252292,183.6700049016718,178.15820147700055,,,181.98561704930145,175.403630946174,192.95300797538533,205.2902363395251,193.81246683849972,187.82326091695967,180.96153736443182,187.84608995554822,217.52747544825593,214.86322648864848,228.712291297253,215.77136444428413
