dates,satname,nzd0155-0000,nzd0155-0001,nzd0155-0002,nzd0155-0003,nzd0155-0004,nzd0155-0005,nzd0155-0006,nzd0155-0007,nzd0155-0008
1999-07-18 21:58:25+00:00,L7,,,,,,308.27,302.72,,
1999-08-26 22:04:44+00:00,L7,350.47,356.95,361.52,370.29,359.70,356.61,354.81,338.84,338.02
1999-09-11 22:04:40+00:00,L7,323.54,313.58,308.53,322.38,324.55,306.60,301.79,291.07,270.05
1999-09-27 22:04:48+00:00,L7,314.07,318.15,319.30,339.90,340.00,331.58,321.12,305.65,272.15
1999-12-25 21:58:52+00:00,L7,309.12,301.73,309.10,324.63,313.33,314.65,,,
2000-01-10 21:58:28+00:00,L7,314.18,314.01,325.49,338.83,324.03,320.45,308.80,,267.74
2000-02-11 21:58:22+00:00,L7,331.56,335.32,341.16,343.62,342.78,332.39,329.81,311.90,303.37
2000-02-18 22:04:29+00:00,L7,351.60,350.03,352.51,357.83,349.55,336.44,334.20,333.36,330.27
2000-07-11 22:03:17+00:00,L7,378.61,369.43,373.81,372.88,369.86,366.33,368.68,375.37,378.93
2000-07-20 21:56:59+00:00,L7,305.37,311.62,316.69,330.14,318.44,316.56,318.38,306.33,293.14
2000-08-21 21:56:38+00:00,L7,315.69,327.31,331.17,341.74,336.48,329.99,327.18,311.94,300.39
2000-09-13 22:02:26+00:00,L7,332.21,332.78,,,,,,,
2000-10-15 22:01:56+00:00,L7,307.09,305.39,305.00,319.51,314.62,311.06,309.62,299.64,281.49
2000-12-27 21:56:05+00:00,L7,,,324.18,335.01,317.96,320.65,313.89,302.17,285.40
2001-01-03 22:02:12+00:00,L7,350.23,347.39,358.46,362.28,359.53,359.04,354.31,343.48,352.87
2001-01-12 21:56:06+00:00,L7,307.41,306.14,307.66,320.39,313.21,307.07,310.29,294.75,266.86
2001-01-28 21:56:08+00:00,L7,323.41,324.74,328.43,341.40,339.60,329.69,324.57,309.00,295.42
2001-02-13 21:56:27+00:00,L7,325.65,322.41,328.23,339.46,332.69,328.38,322.67,307.91,294.31
2001-03-17 21:55:52+00:00,L7,353.26,345.27,358.58,361.52,354.07,349.22,347.69,339.47,348.38
2001-03-24 22:01:59+00:00,L7,332.51,330.96,334.39,344.60,343.63,336.00,335.59,318.97,314.24
2001-06-21 21:55:05+00:00,L7,,316.29,333.14,345.20,343.30,336.93,333.01,325.47,310.97
2001-06-28 22:01:09+00:00,L7,,,,,377.84,360.86,362.11,358.24,359.08
2001-08-08 21:55:01+00:00,L7,324.18,323.25,324.99,338.58,336.99,328.51,325.22,306.29,291.21
2001-08-15 22:00:38+00:00,L7,391.18,384.73,390.45,398.84,395.25,386.46,387.35,388.73,397.57
2001-09-09 21:54:12+00:00,L7,341.49,338.58,342.38,346.56,344.50,334.65,332.63,318.31,317.93
2001-09-25 21:54:04+00:00,L7,370.22,366.49,378.50,381.89,372.54,361.31,360.57,360.34,359.43
2001-10-02 22:00:04+00:00,L7,338.72,335.76,336.25,347.40,341.46,336.64,336.16,318.68,315.19
2001-10-11 21:54:09+00:00,L7,374.16,370.55,384.40,383.95,377.59,369.90,376.69,369.93,371.33
2001-10-18 22:00:06+00:00,L7,310.26,306.15,310.55,321.80,322.34,321.21,319.21,,277.35
2001-12-05 22:00:18+00:00,L7,304.52,300.12,301.69,315.46,315.25,312.20,312.15,275.50,264.01
2002-01-22 22:00:40+00:00,L7,351.72,351.52,359.03,368.32,355.37,350.31,354.28,349.14,353.16
2002-02-16 21:54:54+00:00,L7,312.58,319.90,322.05,333.93,320.81,312.31,307.07,282.37,258.48
2002-02-23 22:00:43+00:00,L7,,344.96,358.11,361.64,351.26,350.48,366.60,364.42,370.72
2002-03-27 22:00:37+00:00,L7,,,,,,387.38,354.27,352.63,348.17
2002-04-28 22:00:38+00:00,L7,325.25,323.49,324.14,329.86,333.19,325.69,317.47,287.70,267.62
2002-05-23 21:54:18+00:00,L7,353.94,370.61,362.98,378.86,374.85,373.63,385.53,386.15,388.93
2002-05-30 22:00:25+00:00,L7,318.26,332.80,328.59,336.42,337.95,327.16,324.36,304.52,282.71
2002-07-01 22:00:15+00:00,L7,339.18,339.29,350.47,353.31,345.64,340.15,343.50,330.00,340.82
2002-08-27 21:54:00+00:00,L7,324.10,322.78,327.45,338.25,335.18,325.30,322.86,298.53,283.08
2002-10-14 21:53:19+00:00,L7,365.57,361.93,366.45,375.89,374.38,373.50,375.38,375.71,377.47
2002-10-21 21:59:36+00:00,L7,332.62,330.67,335.69,340.42,333.60,326.99,,,
2002-10-30 21:53:49+00:00,L7,365.03,362.89,370.21,377.40,380.82,381.82,386.74,395.55,388.10
2002-11-22 21:59:57+00:00,L7,323.16,326.52,324.96,340.91,336.40,330.97,323.80,,
2003-01-18 21:54:30+00:00,L7,333.02,332.37,338.69,344.22,339.80,331.25,323.25,301.81,282.84
2003-01-25 22:00:18+00:00,L7,348.73,346.75,357.20,362.45,361.10,355.81,352.22,346.34,348.30
2003-02-26 22:00:28+00:00,L7,,163.64,125.52,138.47,,,,409.70,399.81
2003-05-10 21:54:22+00:00,L7,360.25,360.39,365.91,371.44,370.01,365.72,377.27,375.13,379.87
2003-07-21 21:42:33+00:00,L5,367.80,366.79,372.67,382.01,371.45,369.10,380.35,379.24,378.73
2003-08-05 22:00:11+00:00,L7,354.00,355.40,361.07,370.80,365.01,360.65,363.04,365.71,
2003-08-06 21:42:27+00:00,L5,363.84,359.33,372.23,374.74,370.43,382.22,384.66,390.30,394.21
2003-08-13 21:48:45+00:00,L5,324.41,318.77,325.46,344.73,341.69,339.64,330.03,308.99,275.46
2003-08-22 21:42:44+00:00,L5,346.69,348.42,354.23,364.64,358.92,353.61,365.28,381.55,381.28
2003-09-30 21:49:30+00:00,L5,324.11,323.77,329.06,337.30,330.81,331.26,324.20,299.62,270.08
2003-10-25 21:44:04+00:00,L5,333.76,339.00,342.07,347.07,340.14,338.24,338.54,313.73,307.89
2003-11-17 21:50:09+00:00,L5,366.60,362.08,376.51,376.05,368.03,350.13,354.86,356.33,352.46
