dates,satname,nzd0052-0000,nzd0052-0001,nzd0052-0002
1999-08-17 22:10:26+00:00,L7,378.02,377.79,388.81
1999-08-26 22:04:21+00:00,L7,378.47,388.43,384.22
1999-09-27 22:04:25+00:00,L7,373.53,372.00,382.59
1999-10-04 22:10:38+00:00,L7,,,391.23
1999-11-14 22:04:18+00:00,L7,380.37,383.51,392.37
2000-02-09 22:10:19+00:00,L7,372.85,377.98,376.40
2000-04-13 22:09:54+00:00,L7,380.65,385.60,392.03
2000-05-15 22:09:42+00:00,L7,380.92,385.72,393.42
2000-05-24 22:03:22+00:00,L7,376.61,389.55,391.26
2000-08-03 22:08:44+00:00,L7,368.95,377.37,378.35
2000-08-12 22:02:30+00:00,L7,380.62,395.45,397.43
2000-08-19 22:08:38+00:00,L7,364.58,364.83,373.06
2000-09-04 22:08:22+00:00,L7,372.52,368.71,378.30
2000-09-13 22:02:02+00:00,L7,377.43,382.96,385.11
2000-11-07 22:07:53+00:00,L7,374.06,376.43,
2001-01-03 22:01:48+00:00,L7,377.10,381.50,383.23
2001-01-26 22:08:07+00:00,L7,374.35,375.66,384.60
2001-02-27 22:07:54+00:00,L7,366.56,365.06,376.96
2001-03-08 22:01:45+00:00,L7,369.41,373.64,372.17
2001-03-24 22:01:35+00:00,L7,370.36,373.27,379.27
2001-06-03 22:07:16+00:00,L7,383.99,396.42,398.83
2001-06-19 22:07:05+00:00,L7,376.35,383.21,396.21
2001-08-15 22:00:14+00:00,L7,385.58,385.67,392.26
2001-08-31 22:00:05+00:00,L7,379.32,382.27,390.43
2001-09-07 22:06:11+00:00,L7,366.59,376.86,385.92
2001-11-19 21:59:56+00:00,L7,373.22,379.36,390.29
2001-12-05 21:59:55+00:00,L7,368.26,365.79,378.93
2001-12-21 22:00:05+00:00,L7,369.67,366.97,368.49
2002-01-22 22:00:16+00:00,L7,380.25,382.41,383.34
2002-02-23 22:00:19+00:00,L7,378.45,387.09,398.81
2002-03-27 22:00:13+00:00,L7,367.64,369.75,383.67
2002-04-28 22:00:14+00:00,L7,,365.36,370.52
2002-06-15 21:59:55+00:00,L7,297.24,359.43,375.79
2002-07-01 21:59:51+00:00,L7,381.03,374.46,390.61
2002-07-08 22:06:00+00:00,L7,383.38,385.84,394.71
2002-07-17 21:59:44+00:00,L7,378.62,376.36,384.32
2002-10-12 22:05:14+00:00,L7,380.51,390.44,386.93
2002-10-28 22:05:22+00:00,L7,381.71,387.31,388.35
2003-01-09 21:59:45+00:00,L7,,,383.33
2003-02-01 22:06:10+00:00,L7,353.58,360.65,360.41
