,dates,mex0347-0000,mex0347-0001,mex0347-0002,mex0347-0003,mex0347-0004,mex0347-0005,mex0347-0006,mex0347-0007,mex0347-0008,mex0347-0009,mex0347-0010,mex0347-0011,mex0347-0012,mex0347-0013,mex0347-0014,mex0347-0015,mex0347-0016,mex0347-0017,mex0347-0018,mex0347-0019,mex0347-0020
0,1986-03-19 16:50:19+00:00,217.79178312267157,188.41819294508042,186.48550785591124,178.88653548897065,178.9539931982415,187.53028052000766,192.0298888210342,188.34028936558647,188.35155418470907,183.9283721474826,185.363409699971,173.05470488438462,173.3599209649925,183.5690229595097,190.51800079980882,198.16168295140523,193.3290777725408,185.38826764108876,176.4086621706905,168.35539465922975,174.8031807823324
1,1986-04-20 16:49:14+00:00,220.89005370925696,193.2271329556511,198.41335119342213,185.72082261246453,193.53464266671824,198.49675127796274,197.99970396431527,195.93948099940326,195.84229381380132,188.86668202497285,188.998372467684,187.41606924386065,186.04437871071812,194.2062362464584,208.0417598720435,212.00955450745892,211.24425566920672,197.56201321779525,189.92327068920872,182.4771221054882,186.99745624934144
2,1987-09-14 16:50:46+00:00,188.4570602461677,176.30632245094048,178.5409954386069,163.25239128252906,159.70647005882927,174.53263459830617,161.32045736638372,168.8704216802611,163.51388583673864,170.8438933984081,173.65557877792895,154.80512955246417,171.24374057872183,178.8720661794178,183.85052086920066,182.59461054409024,174.7626854865425,175.40728972863252,169.6603266760051,167.1828689972475,189.7581099314158
3,1990-02-10 16:45:58+00:00,206.9281063397309,177.7761808091465,178.50335057271002,165.0556881342141,172.3758845098518,179.14637199228457,171.12164190144142,163.70568527592962,166.926170650919,167.32109126456788,165.95740613406605,163.63402121076606,158.928919625066,165.6790171418006,178.81270873123805,178.89350861338687,162.45547319480147,150.36749587715337,161.4115198089112,150.30124106962882,142.7468394544848
4,1990-04-15 16:44:33+00:00,233.12733191541204,213.06540148285538,210.6519769525861,205.30687827921616,201.7370983973495,209.64381886006757,200.02279075469613,192.94838202015296,197.4200452161468,195.47660120557165,190.89731376176803,189.512895716267,184.25903566788836,193.51405297581178,197.11663763205775,197.96299381553058,193.49795580288165,183.0155979305662,174.0091685961014,167.97547088424648,181.12663694778212
5,1990-05-01 16:44:01+00:00,224.01172988603355,213.06238095642598,215.66124689443072,203.20483902019083,204.21307062162538,211.5291413937561,209.0297423254703,203.4840848509285,198.02527761361384,197.1642662280456,193.44019622294303,194.68877510893438,197.4986902799778,202.4885733867534,205.4390858078375,210.86654525956968,212.78606563760115,196.66892794505512,176.2703146483058,179.50237815204565,193.37767234992566
6,1992-06-07 16:47:24+00:00,215.64219596609047,200.35133625401681,199.94350216972543,197.51637620468554,189.2260242710108,203.03051882009834,196.58379599683698,190.88690380571688,187.60395333593843,186.85405695426888,189.09520647724136,184.3759547381737,180.82466552954097,188.2778898844233,191.66564057735133,205.02305731737638,196.64423003597182,185.97315899845177,171.78935244157043,176.4154641676766,187.54235012406895
7,1993-01-17 16:45:36+00:00,221.61758390475015,202.7294532508263,204.04477362370582,196.88447283368097,203.6022850741693,206.46417111080922,201.63838847789407,193.89520646815183,196.90172531870536,191.1534598301816,188.71257760960415,191.7200384739681,194.4284827662654,200.93153318304445,208.58403093972657,204.6994303158992,211.66936157722486,185.43090582590204,175.2687653802638,163.67634814096297,148.10845389456185
8,1993-02-02 16:45:46+00:00,224.1299506253107,197.66302872600434,200.65973598640025,201.2134350023427,199.8471146440737,204.7147195255937,197.6461927893227,190.61125874048201,192.2225147850044,186.00430141062418,186.65602025254378,184.36244796053938,190.9405576307573,195.25127525526256,199.51293724787905,205.89382875774015,196.38540944160712,186.92394094316774,169.53774319536927,156.71908466166207,148.3137214454245
9,1993-02-18 16:45:53+00:00,222.6448172392208,199.925625463529,197.3421528808344,193.87316810059176,201.09140244226063,203.841028963082,197.37171810503844,197.92209088375392,197.49234306553626,193.48958909796448,192.894723944965,192.3182414358789,190.13255390036647,189.52872961812005,191.46873799340668,198.10778763076618,187.97354410280894,187.4908009956971,171.49256210785734,156.76183416050435,160.23747036415807
10,1993-04-07 16:46:11+00:00,219.32471851713137,197.77330533986427,195.78778726919126,189.8540626430713,195.02204059085352,194.23677234268922,190.50151705315017,188.5092214892158,190.51349979513463,188.82918271342987,188.2780770169913,183.17423187793787,178.118303626436,179.3389354687058,189.91897763558856,198.0297286519254,181.4107535872766,171.99702486049378,173.55945214889297,166.1312036736917,170.16718150794756
11,1993-04-23 16:46:20+00:00,211.52133318082963,198.22874985960848,194.59796890348684,186.49301400936827,185.14080549747723,191.06032108236985,185.11155892428548,180.16645764657807,180.93992923929,185.1563637277299,181.88639440490562,186.96355617201414,186.47228400420528,184.95935813925595,185.63678917550806,190.00438411513178,177.54193588638424,169.89365349547694,171.4934233766442,170.32936864723507,176.18672059353102
12,1993-05-09 16:46:23+00:00,228.14360873199888,202.40306419693923,202.133500662492,188.4371755296558,194.16748877245203,195.72697695778214,196.82130255695066,195.20823671450535,191.2108137063323,188.87467856827664,187.85638979053238,198.11574308915087,190.1776645200244,190.8443643040889,195.5204316866696,201.0728227352438,189.85624085260525,183.07355426171273,174.03101860637196,169.2179281867145,184.67911967034553
13,1993-06-10 16:46:28+00:00,212.58199865331846,191.5848844271727,189.94562544483887,189.86591754884512,193.1932541353865,198.7178099259885,193.91648150934805,194.6262795605981,190.3978946071984,191.51859418071646,197.25827031353126,196.9673559078607,196.4129676492366,198.23320751443703,206.19038770210568,207.2363455701561,207.5429765593873,198.80430415060044,189.0120413340067,191.8106741871961,211.02724703143105
14,1993-08-13 16:46:20+00:00,,191.06526483692397,187.86126780927918,175.8569753004793,183.43965219978156,182.84194833863287,176.47573665432571,183.21924984651082,184.46018978433347,184.42264875843387,188.07156785634527,187.6944726770401,184.94325908257187,191.96450856968193,194.1591089818507,199.83132043947774,197.71012392696733,185.094749412281,185.7846694288117,200.40168039894473,226.31081265998876
15,1993-09-30 16:46:12+00:00,202.71358748090375,183.8537932470482,182.93392157505394,182.81039833374632,187.44294390876422,198.46827973646606,194.90699770063503,200.71576479581273,200.72658047824712,198.72213475123817,200.16166524016603,188.7730531861677,197.73123133592156,185.56052649122725,218.40751993339052,233.9793533227577,231.2565322565397,221.92524053825886,214.49059145607535,237.29178053322244,249.88985674890063
16,1993-10-16 16:46:07+00:00,185.82627008952778,170.32735862975244,172.25488561337914,159.77649718016664,156.40085442458113,171.4549142833601,162.22793545536555,166.98991598250979,166.55382141827764,168.09700468052836,172.37967682541526,,,,190.29564614133446,193.23629403137397,177.24979813999477,170.49079670076546,174.12898748852749,170.11696973343635,196.35460567880276
17,1993-11-01 16:46:25+00:00,204.97469552792936,177.68843949486856,173.86249430112872,165.48787311929513,164.65134580483675,180.44265154531624,177.94861946080547,184.1585501722098,178.1153694870422,180.1420301533659,178.71885304991963,181.39853894745534,168.17308135426163,191.19825112108578,200.49365798333022,213.16119100407235,210.54503822128254,203.4798498189423,190.49225380965072,203.88902328894102,227.21214235829774
18,1993-11-17 16:46:14+00:00,192.42979356119793,172.23627011811288,167.34184114810833,159.66776629978597,164.09741538423592,179.86122014866962,173.2270131661939,178.76050126041218,169.64456158651666,172.15124341797988,175.1505425956545,173.36267664239907,172.29095677978455,190.70538850826972,198.021805214003,204.6086702925333,207.31492287182186,193.1312411535348,177.7729429174685,188.65355353743183,220.0688971531251
19,1993-12-03 16:45:49+00:00,162.90697924270935,,,,,,,,178.6814173281541,180.7144449838582,187.40548146876586,177.00270579363828,190.7003106728689,,,200.71101509920726,198.38863604024868,,,,
20,1993-12-19 16:46:05+00:00,197.93171878420995,166.33281313966765,161.7572188096049,154.34076335184977,162.1985738707388,179.71509247402372,171.82896908546104,170.40609781453543,169.67608729790192,167.3907193997714,166.6195393552075,161.84478085023923,174.1495191321676,181.92940073776,190.028727649681,188.75017732641484,182.4147750695742,175.06203540189256,162.90868175106195,154.30543514656085,136.8348166388232
21,1994-01-04 16:45:29+00:00,212.77201619491922,173.94759606951754,176.84072704938418,171.05541662480994,186.1039640874204,196.1424476446021,193.00524823648576,185.26748406406654,180.93693545833423,185.9271142802516,185.28486895925613,187.2562465475602,186.43848070737374,191.75228712073636,198.56531460608556,207.04951167590457,205.03358606675764,188.41108495669872,173.59944201301622,159.61420709280276,144.42026744186023
22,1994-02-05 16:45:29+00:00,224.28810619407585,194.59982250488622,187.49281990954893,186.3290092813287,188.81221269551327,202.64422598033582,193.32082161875456,189.90651691611745,184.46409945286393,182.74876718578304,181.07344180489474,180.8924840206716,180.34484090446958,188.53113870829674,194.2975976366589,201.34113134630758,197.10697020339884,183.97218620040027,170.50196533986076,153.3089276012211,142.0916379965266
