dates,satname,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0013,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030
1999-12-25 21:59:16+00:00,L7,330.64,329.51,332.85,332.74,341.47,342.34,335.74,337.84,338.39,342.13,349.47,332.57,320.98,316.10,317.62,315.27,321.79,328.44,333.16,336.82,339.40,335.67,340.54,346.19,344.28,338.36,344.47,344.50,326.26,340.22,338.77
2000-01-10 21:59:16+00:00,L7,344.84,338.60,338.67,336.85,346.06,350.15,349.36,353.51,354.82,355.83,358.05,352.52,344.66,346.00,348.21,353.51,346.72,347.34,352.55,362.27,360.52,349.94,355.43,364.22,363.51,357.54,360.88,361.13,343.44,344.62,352.31
2000-01-26 21:59:14+00:00,L7,350.43,351.84,350.55,354.98,364.31,366.81,365.34,367.83,373.51,374.01,367.69,364.65,352.66,362.19,388.07,364.15,367.09,380.06,388.78,393.16,385.64,369.06,373.05,369.14,363.82,359.37,377.97,382.40,357.08,369.41,384.34
2000-03-14 21:58:59+00:00,L7,348.74,337.84,340.10,346.21,350.40,354.65,354.62,356.27,362.98,378.30,371.95,362.76,365.97,374.43,382.02,379.03,370.27,375.44,384.37,375.78,376.77,365.23,374.90,377.87,396.51,364.56,376.67,393.32,350.85,358.22,359.46
2000-03-30 21:58:57+00:00,L7,346.14,339.86,344.65,343.87,352.62,358.80,354.47,352.81,347.17,355.98,354.21,360.80,356.89,352.06,362.80,357.52,362.05,358.37,353.04,369.50,365.29,354.16,353.67,359.92,358.42,351.55,347.26,354.69,339.47,347.00,353.77
2000-07-04 21:58:02+00:00,L7,351.47,336.30,335.07,329.31,338.58,341.11,350.42,334.82,344.14,333.89,341.82,351.03,344.57,340.30,339.84,327.60,332.76,344.93,347.10,340.91,352.19,355.81,352.77,353.50,301.95,338.55,318.74,338.92,330.70,145.23,206.66
2000-08-05 21:57:32+00:00,L7,583.25,603.35,,346.57,346.52,350.84,350.04,363.66,365.74,371.52,371.96,358.17,357.60,354.15,356.44,358.20,356.77,363.01,352.93,365.65,370.27,376.40,364.29,355.53,377.11,367.36,366.18,372.84,358.86,374.16,326.39
2000-08-21 21:57:26+00:00,L7,373.35,344.20,345.24,343.00,357.02,359.13,361.27,364.34,368.04,375.16,356.90,358.00,352.93,346.73,349.89,328.09,329.84,339.73,339.84,356.70,358.22,323.20,338.15,355.79,354.70,366.34,357.29,375.04,355.46,371.15,375.67
2000-09-22 21:56:53+00:00,L7,297.25,275.25,241.01,,359.00,355.56,359.78,363.65,369.73,367.87,361.97,358.17,355.53,342.32,411.37,424.28,415.84,370.32,358.80,361.90,373.82,365.26,375.03,375.80,383.44,364.63,362.14,382.51,357.55,374.17,367.82
2000-11-09 21:56:45+00:00,L7,346.96,346.26,334.66,345.64,341.86,348.32,342.36,342.49,347.08,344.62,356.58,341.20,327.62,330.19,330.80,327.64,329.77,333.73,338.25,348.00,343.79,345.54,348.46,347.35,345.76,345.57,353.81,350.66,346.53,342.86,349.62
