dates,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0013,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030,satname
1999-12-25 21:59:16+00:00,353.97,345.07,345.58,344.41,364.80,362.34,344.49,349.51,350.06,353.80,355.07,341.90,331.75,326.10,327.62,329.27,337.35,344.00,345.89,347.59,346.07,347.34,353.27,356.96,359.84,341.95,349.30,357.23,340.26,355.78,349.54,L7
2000-01-10 21:59:16+00:00,355.90,346.17,345.67,343.88,361.93,361.81,349.37,354.76,355.69,358.06,358.12,349.81,341.21,338.84,340.70,345.29,346.37,350.00,352.76,357.93,355.15,351.89,357.89,363.59,366.01,350.75,356.44,362.73,345.75,354.53,353.93,L7
2000-01-26 21:59:14+00:00,346.97,343.32,343.42,344.02,355.61,357.38,352.02,355.56,358.07,359.82,359.60,351.91,341.74,343.57,353.44,347.31,348.54,355.28,360.89,366.39,363.28,354.06,359.07,362.16,360.54,352.53,362.14,365.40,345.26,354.75,360.78,L7
2000-03-14 21:58:59+00:00,341.58,338.06,339.40,341.65,348.48,351.70,350.49,352.82,356.38,361.52,361.29,352.29,345.11,348.79,358.09,351.74,350.08,356.43,363.58,366.04,364.99,353.93,359.84,363.39,365.64,354.64,364.57,369.20,343.16,351.73,357.76,L7
2000-03-30 21:58:57+00:00,341.76,337.93,340.05,341.73,348.57,352.49,351.01,352.45,354.17,360.05,359.70,353.70,347.12,349.13,358.72,352.46,351.99,356.33,361.07,366.40,364.84,353.61,358.21,362.36,363.71,353.91,360.95,365.90,341.98,350.30,356.62,L7
2000-07-04 21:58:02+00:00,345.46,338.98,340.24,340.81,347.53,351.85,353.77,351.61,355.09,358.17,358.06,357.21,351.63,353.77,362.96,354.64,353.87,359.32,363.60,367.00,367.26,357.41,360.40,363.61,364.68,353.87,355.71,364.53,342.59,348.93,358.39,L7
2000-08-05 21:57:32+00:00,346.78,336.67,338.85,337.62,339.28,344.71,349.49,348.01,351.13,356.05,358.12,355.09,352.68,351.92,356.96,350.94,350.29,355.27,355.13,359.38,363.92,359.02,357.18,358.13,365.79,354.31,350.61,360.71,340.32,348.24,338.54,L7
2000-08-21 21:57:26+00:00,347.43,334.55,337.17,336.29,338.03,343.48,350.04,348.88,352.11,357.47,356.73,353.75,350.51,348.82,353.48,343.49,343.00,348.96,349.45,356.63,361.40,349.46,350.75,355.44,359.02,355.98,350.95,360.96,340.47,349.97,345.05,L7
2000-09-22 21:56:53+00:00,354.76,338.64,340.44,336.73,338.61,342.69,350.65,349.79,352.90,354.82,354.46,352.38,347.90,341.91,348.85,338.10,340.08,347.18,343.72,353.33,360.49,348.90,350.16,354.51,354.81,355.82,347.81,358.18,341.13,353.01,346.49,L7
2000-11-09 21:56:45+00:00,365.04,347.44,342.56,340.92,342.46,345.73,350.48,350.73,355.88,355.55,356.37,350.86,344.82,340.11,344.06,335.13,337.01,346.26,344.04,351.80,357.90,350.18,352.39,354.76,356.64,355.55,350.36,360.65,346.14,356.98,348.91,L7
