,dates,per0211-0000,per0211-0001,per0211-0002,per0211-0003,per0211-0004,per0211-0005,per0211-0006,per0211-0007,per0211-0008,per0211-0009,per0211-0010,per0211-0011,per0211-0012,per0211-0013,per0211-0014,per0211-0015,per0211-0016,per0211-0017,per0211-0018,per0211-0019,per0211-0020,per0211-0021,per0211-0022,per0211-0023,per0211-0024,per0211-0025,per0211-0026,per0211-0027,per0211-0028,per0211-0029,per0211-0030,per0211-0031,per0211-0032,per0211-0033,per0211-0034,per0211-0035,per0211-0036,per0211-0037,per0211-0038,per0211-0039,per0211-0040,per0211-0041,per0211-0042,per0211-0043,per0211-0044,per0211-0045,per0211-0046,per0211-0047,per0211-0048,per0211-0049,per0211-0050,per0211-0051,per0211-0052,per0211-0053,per0211-0054,per0211-0055,per0211-0056,per0211-0057,per0211-0058,per0211-0059,per0211-0060,per0211-0061,per0211-0062,per0211-0063,per0211-0064,per0211-0065,per0211-0066,per0211-0067,per0211-0068,per0211-0069,per0211-0070,per0211-0071,per0211-0072,per0211-0073,per0211-0074,per0211-0075,per0211-0076,per0211-0077,per0211-0078,per0211-0079,per0211-0080,per0211-0081,per0211-0082,per0211-0083,per0211-0084,per0211-0085,per0211-0086,per0211-0087,per0211-0088,per0211-0089,per0211-0090,per0211-0091,per0211-0092,per0211-0093,per0211-0094,per0211-0095,per0211-0096,per0211-0097,per0211-0098,per0211-0099,per0211-0100,per0211-0101,per0211-0102,per0211-0103,per0211-0104,per0211-0105,per0211-0106,per0211-0107,per0211-0108,per0211-0109,per0211-0110,per0211-0111,per0211-0112,per0211-0113,per0211-0114,per0211-0115,per0211-0116,per0211-0117,per0211-0118,per0211-0119,per0211-0120,per0211-0121,per0211-0122,per0211-0123,per0211-0124,per0211-0125,per0211-0126,per0211-0127,per0211-0128,per0211-0129,per0211-0130,per0211-0131,per0211-0132,per0211-0133
0,1984-05-08 14:33:21+00:00,150.14589155608058,150.16260079021438,155.44372287717772,148.2241659610832,142.03872292946738,149.78897287783695,164.88367484097466,158.55789828355685,153.24778851960977,157.60782108408787,165.92789030454367,183.96924863511236,182.42956768122048,189.69112019696635,197.75543110079758,190.2875707405886,168.53725180036398,171.44097711621106,177.9618668748207,182.6311563262192,192.6832796985864,187.14605910681246,184.24491760996523,188.68789378751254,192.68509403792183,192.79063806105341,177.42217810153898,188.41946469590505,186.0114073813233,192.84055517771995,198.16614366715407,190.35720606793296,179.39955736197757,169.23005671627604,160.85053853160065,165.43487607110347,168.33330395871346,180.80154994767693,183.51914432277363,185.64447117742924,184.25044938111967,176.2902933945254,172.77948703780277,178.94149762000762,193.37402172264973,198.54984137286743,200.9006088731899,197.99497253373778,186.10208710161322,178.59942798241786,180.4729774299904,187.01981956866607,188.48443817303715,195.49706211344827,196.4131580564968,196.70959026856656,185.95938627119133,181.02945588640978,191.2738280433474,186.413012380251,189.2084796209265,189.51704916523923,200.58746731101664,201.1374791155312,197.878710074206,199.77785067553376,201.12503115093676,194.13613056539427,188.5886673693875,192.26274224617333,199.0326513715201,202.91629295166132,195.91643460300287,196.1306641253943,200.10091631957238,208.64212556503557,197.37499227028616,204.12024092084903,210.79078804664624,212.5270479011657,216.73233306121517,219.49122830683632,196.80386592464643,191.72565865605674,206.2067359639703,205.77424904790206,202.3447688718735,187.8123910781251,,,212.5551295954166,211.84039824653667,201.14173795559032,194.22921007260163,218.13255188783484,233.9448427833895,226.42948155617262,196.86550593350086,,197.16697180519583,242.4480938491509,244.61473075738485,214.81028611717898,,200.763667062379,193.75821481302305,,209.69180567910183,221.54320537128348,190.3723612622938,,207.75313169388005,218.03975607909842,205.4098661828806,,218.17060366322238,,197.15253222123178,216.84146001008347,205.90414444859772,216.6937354531742,188.8949600428214,,213.90348067897764,209.23624857679556,200.60999857621835,187.303779281684,199.7782702814302,177.4971147771918,183.70593831972093,197.75387168551146,199.8283656421496,193.9668386768987,205.83872564069685
1,1984-12-02 14:35:54+00:00,136.28702208967928,141.3512598015405,141.27567170678753,142.59524183439288,148.4907678334668,157.13070639157897,166.94285719951017,168.9541817201095,168.6989009707565,169.58249450995368,167.2514372963473,184.24795649042716,194.6166767390379,202.23801591429122,199.87838204952834,199.85316942500285,192.9964966230013,198.18585966119264,197.2051230255576,195.70447127242946,198.19096461194977,199.52124025881307,215.5561717936471,209.83177540244404,202.42403522142683,205.5274929600326,195.45158003434528,208.89056398493312,209.47859143456304,203.26532458784868,205.73484850083685,207.2756965689586,198.8788966275316,189.03187718244638,191.70715702282132,194.57916964593235,198.49195877885546,208.1853195089198,200.55907285354033,192.4220564081311,194.6245058560442,197.71335839469253,192.30901841507932,193.955179760309,210.89193348165412,214.12827286885945,206.6060904442487,190.20919101025166,187.43890363694754,208.08317529916508,205.61031625305708,196.59017203444495,202.40242539697905,214.5760190562808,220.8308896748054,220.29997843425474,210.5847360100591,207.89082989869235,211.9665737409602,193.52775349162312,195.47597615996435,223.3263454261053,223.0620900641123,225.99556954332544,233.2988564738016,218.1372117057423,222.91020383625235,222.97250296559164,211.69861270936602,205.89831626178668,216.09290048250458,236.3655917452702,213.7868203463697,193.32882734832353,218.65975501728883,225.73795023041578,216.00862624475602,229.91427081156345,237.98612277141308,237.91401691148775,235.79471472666415,234.46000891420277,229.1271091552062,221.3402034496694,235.93845290652936,230.69569956409276,205.70900906497002,211.3920925390986,253.15250425742778,244.3026624199705,213.15693949683083,233.33881026570594,237.9075298650692,230.1621129305566,232.55325162231122,240.19049103875022,241.81644737873643,227.62091338757068,230.94994338261688,234.8246834584445,228.5302411002264,241.26450040780784,252.38891876807614,244.50083518126806,222.30847678548054,221.51271215962834,243.5959668689074,218.17272892353012,191.8516803499943,219.39355420900938,255.43303112143468,241.8308684847438,235.21747003097505,230.63082414114194,243.14044521958013,228.2042517986472,234.36374933745805,231.2623192386256,225.35942283708533,227.30523543481897,216.166241960896,209.0798585191514,229.35415999639883,225.15719154131835,230.17314363571904,218.47634066894162,212.3407579174749,193.40310583861856,195.67451309863375,204.45688802348118,211.666622629566,213.2663772868101,206.4070225756662,208.1504641580663
2,1985-03-01 14:30:13+00:00,148.2791901884608,156.02481945343058,147.47779330629032,132.9005985781981,139.2180021639228,142.01911688605765,153.32698199061605,155.00162962856317,163.93451699235897,161.33239242394262,172.60528560592093,186.67611785245992,192.69868620726274,189.7538847798225,193.19090567728819,192.5571414085619,174.6087031646662,180.0863531588857,178.354751523172,180.37499647535196,199.91441531684904,198.96559077647368,210.27371670465016,209.32182621057427,203.97984493000354,195.02424785787795,192.15609303042575,210.77471447554316,202.89116551500985,195.20519917037296,207.97424030321014,201.6309881234144,190.79358058544392,186.58898895612737,187.40015873780595,179.99602645322568,179.30602673663026,190.02147693892394,180.25317496536232,187.41683631362827,200.41251002546258,205.93383052369336,191.40510717584633,191.6389888436354,181.69773742440864,189.10000079934196,211.70931442352725,216.07479880215016,209.41879023260603,198.96724329048646,195.40118989528148,194.91669093846892,211.06400006543277,211.80251195106865,204.76280171935582,205.2687348277958,203.7046601931002,193.72332168166264,185.42227219611803,190.11924898155974,201.42094295907293,220.07890586327593,216.46660507533448,219.49560145240784,229.02348874693902,224.40636010451607,221.5398192597031,212.63037534949996,203.23817406141524,222.31288787044664,229.0011351575447,225.32952610977816,216.39524594125817,224.37164201129184,224.2239876771975,246.38974621314014,226.3032529812321,233.1530292295295,237.95048455978286,232.46855769810742,227.48175087344086,237.78522364807924,222.66207463270564,216.56988147950176,222.99028255079793,208.9502509145599,213.57758209570864,225.92999003672332,230.58796033742885,225.7710406360256,220.70317281809076,229.78195196959683,235.645032717366,229.1746097686056,244.29768692282377,226.4740000819166,224.89179179469332,234.20249916475223,228.30752141486983,219.78225641634236,225.87253889418548,228.70130525785635,220.68801282131437,242.39752502763238,241.28469604084762,212.68871826321947,213.3752846016466,213.77972325242615,220.31569570956316,221.2559439782629,230.1716496878151,230.89927836730584,217.33514439961453,216.14943712180565,209.01981103339696,234.64026556659192,240.0522688248442,223.91013330551277,224.3501838051547,204.98829930647656,223.83685029082739,218.57419796132527,197.78373659273507,210.31307445483455,206.7670194746718,199.31816448201127,193.66305842436427,200.38585219793617,189.5896456473339,183.3862423024367,195.51179502089195,187.82669957005203,182.09892854430376,180.71655684418633
3,1985-03-24 14:36:22+00:00,138.8600571616891,138.81658866878774,139.50763301896993,138.69130825609403,145.28516427236792,146.37335267837,164.53944435827742,157.8277624901324,153.56280094388538,155.64067879036185,155.73627534864517,179.63266437674258,196.3161964135193,197.8781513192538,199.3783660113387,191.82597181457407,187.5236564130368,188.11508973025383,184.2854748218012,193.27933891277897,195.26913916696327,182.43561804302124,196.2343004897536,201.76666490288187,198.8620085953997,195.00937912698595,186.8954485505861,195.2646243043721,196.51836181523265,197.05759332701655,196.17982424819496,189.60448650011136,182.45479913891683,184.14115764951697,183.1009250052836,189.84728319545277,184.84561350482855,182.1364361253419,178.8572465285385,181.963170881796,179.02125216052156,184.2655947851644,188.0382435453403,194.0172405004513,188.90889017559536,185.163737954383,196.28696498629694,192.49928426167847,206.8866477508642,196.00899125227437,186.63395840343625,193.9635253396324,200.92054244339016,210.80419580203142,211.91180697093867,204.11310807928112,199.5343577179826,200.62869405633182,198.34757167603723,199.5713419454421,191.88193527879127,201.82124373731102,212.91209467840713,214.9091760697915,228.06922922496187,222.01976556174205,219.22568621676595,203.6259799973724,196.66741730715688,204.97766493777505,226.00401757093599,231.71321660413076,207.23009771670246,210.68429674634297,224.6205278993321,238.78071564884073,226.77345133673384,228.01544835992533,232.6031859197317,228.0132619318961,222.56951882580825,234.51607588707452,223.47322319827,218.61595183932815,211.73666376991162,210.57100812209882,221.2158300186964,232.3902237890694,237.68510176252806,223.11017594115972,227.5438173474839,232.930149288635,232.51705719391794,228.08967067084433,230.23997191428748,230.56912179923688,235.42072460668635,236.45139780320886,222.33759702748853,220.8166519994188,227.8667097760257,238.58170255680676,228.10741026229013,229.36763465723723,238.26545552439777,220.4820157544017,205.5566984017169,214.61403410987947,218.3731348090871,219.3689141054814,226.38311540796656,235.79646183827873,218.06444152026762,205.54429705879295,211.45651899286943,234.9128703976882,241.91712282101827,222.59233350894056,215.15890550539922,216.11341920042088,209.73075023416527,224.9846866999412,222.40235603451066,206.39980175296813,203.58142019511558,196.70496946202877,192.09018024620806,197.5734557361483,196.37593119254723,196.26221470346334,197.08967241881535,199.22141546093775,201.34599891168043,196.64782989305797
4,1986-11-15 14:18:13+00:00,146.04094526310405,142.43270693987103,153.03133752887487,141.30142675333565,156.11039078701623,156.2400215240155,166.80409144316724,167.9205791897747,175.199974333829,173.48854901518285,177.23721414898688,193.90515653757535,207.4914449292777,209.0461975350512,215.4301282291062,210.83982793339672,197.23407769764026,200.73765917290265,197.7577639885907,198.14196484979004,211.6448058205545,216.44973900721104,207.6734077648162,203.74653666075514,203.27826725557304,202.81231728245956,197.4628699711596,191.75320923233585,194.1296749956868,206.24240750120518,211.83469417543327,202.59976392245792,192.31310114874404,195.59252334405954,189.49011093492706,196.66089379128857,195.43885044752523,209.43836762807777,206.2226000550623,205.23497528984416,207.1563457428926,193.58276727634467,188.85844709059072,201.35056155420705,214.23948259954398,218.80526250989863,209.74208344659806,208.06873929093283,210.4438484614143,209.8489744976314,210.58099190682006,211.97605161889504,211.9429732098626,214.08798994698884,221.0400210012995,226.44431259739557,218.56045801588104,222.1551838977565,220.91591834126004,222.18569022283293,216.63379170191462,223.60627879133025,228.8991558934747,233.89532127109973,231.67829918664967,224.41083206325987,229.5206584734251,229.8227149377868,216.32138144180215,216.63715029299559,223.06319817203564,225.13058479760895,229.0958381221895,221.06587868556733,224.328508938089,224.57744202293418,232.46814345767845,224.72730420921363,231.78082131430216,241.81628779337885,235.1851136321656,232.0030729153819,223.80462920826187,224.46763743229468,227.23681980891922,230.60555631761378,228.0538086355691,240.37246884602064,256.66945500487833,249.14126382190994,236.25884159711237,240.66335513996358,242.73257998258148,244.0979142112443,244.24409166619648,246.2809777680223,246.28006836833953,233.70901645123942,226.7611765090938,227.44157841767588,238.7274398143964,252.60292635868606,244.40791650909517,240.25289692255953,238.39995086813337,233.0695046881553,233.02827819668718,223.82606031340896,215.2350790249466,218.76299821574213,223.8091428479231,222.72301900481318,226.32965095755134,212.967368508837,230.95882193407076,237.41597913222898,218.3196000455929,220.2344143313771,223.58854552984243,224.8710698008373,226.46166302287958,226.5544951478665,206.1763506989596,214.08771308562876,210.22654306926145,207.05318970132532,205.9358130056928,188.934903631983,182.61919870149168,186.40948485681562,201.55887517975827,197.12002702618457,200.1740846469617,195.07609869352862
5,1987-10-08 14:33:18+00:00,,,,110.78411438278306,116.86872946325894,121.48784568061761,133.6839846550685,,,140.00589920749042,144.60552251791816,161.3461025310488,169.28110354589734,171.95375281549462,,,,161.7868303799122,170.43228744638924,177.14935257481304,178.48078144808036,172.93968430847343,173.57729311353918,173.78244690881243,174.44537265392626,183.6419560671145,182.25651614770874,189.36082874401524,182.5150735589297,180.29141356640497,186.63093218753278,188.26269268723965,171.66377278488204,160.48196581895456,157.65794734526776,164.41808186950954,179.11874324014522,189.85829901706234,181.77791932095516,174.79405153676208,168.1272429867558,170.58695712401848,169.003412293685,179.51766047043668,192.55481778336502,204.35836509361516,198.20306804223875,199.58694857690827,197.32881824374226,190.54232950695192,192.12658046382532,197.91407297173294,199.60490300618937,197.99125653543243,198.53428701845758,,,,,,,,,,208.9758891280098,206.49012274578243,199.52394063434502,198.03464746895872,202.74811425454632,205.5820071013901,213.4797216883981,218.63154066253662,211.37161027771683,203.8013623207084,208.34062695391125,213.1811074634966,209.0064690599533,218.23282563975397,215.62066552118202,221.9903072803864,219.85965130621855,225.93874695799693,,,,,,,,,,212.78679275754092,224.01764823614965,228.46390038814616,224.97913357675645,221.99858038499195,228.20555314937738,213.5773347748326,212.8306134369721,211.61484255838621,232.67951418813556,245.32567484087124,235.24859786251488,219.027047376519,217.59145208615558,215.74174361680502,218.92701770404483,226.68678572319124,229.67365044881217,217.29611070047588,211.43421063844698,223.33479875887724,204.24350824521343,225.33982933493618,214.6263149600451,213.7224706395295,219.88321118655804,217.7418359572958,209.5849183811393,214.1416347970293,198.49342939476054,207.4580305327491,198.54562652984708,199.63425049763956,194.51914423813832,197.19598998381923,188.97633496899292,175.7773823051307,165.94047471918554,170.27118826510366,171.15862553527737,188.4689271382303,190.72869972970506,186.12606736896052
6,1988-01-12 14:34:59+00:00,132.84223253846469,140.83829535270246,154.48394760659625,145.31893114222828,155.6218061429122,164.6524989895048,170.13563816902735,169.88436914591284,181.87935161988705,170.8780127496696,178.07238306087385,211.06594195380399,204.96255382717092,205.90372997205432,225.61651941327455,217.53889812814867,198.6008915279133,206.46242176770363,218.8251249292801,208.0014871935728,208.43199938840127,211.80783768377384,227.42795075811688,219.6737071600781,220.21006818048346,216.5601896320585,217.67139439493872,225.42968123418717,224.16643581774588,213.3171324596188,216.92360373154708,217.4318351836585,197.12780148885622,191.52034735710723,206.32157400949026,227.00144144049855,222.0520878303417,220.39103565121272,225.29514818446256,215.78849768253014,207.18636287888614,222.6053823816614,225.74320297254934,232.22985352553707,232.8105440761334,210.31600604314855,209.11684196912984,230.47140412056308,,235.3221865928437,231.03319248256926,242.21067686576552,248.78866609287206,229.0426472504799,215.4777760075948,219.9421736903223,224.53214574797545,248.5589537684906,254.09961074165156,240.397169976982,229.9599909393344,227.78000561577886,240.61963094452938,258.8055100573297,236.4358481266317,222.43096147214774,250.51670706963046,250.05661012335963,237.23767286741585,243.22023055852878,214.8739504165794,220.0377542144568,253.26023796101322,258.45114154129874,245.41761366710404,242.6641693598221,279.32285639972145,248.95273562397392,231.4813448317112,258.2232922139517,233.79996243333147,254.23890870672943,255.37583199478644,219.63453485425356,230.7522301418626,236.1543208782445,243.68925898300603,270.20691725962314,263.854640649477,249.4896349821546,237.07712752508905,225.90740759899245,220.82977812156105,229.26282360865062,266.623388382915,239.87158382730138,227.65811461628812,250.47288309450892,209.6641925724257,223.18706353418042,233.12811461828585,266.32185190388077,260.2575597050342,265.27198305167485,244.87729413910697,228.91227860709827,227.91786253663383,245.49974781919255,234.87307806171628,209.73416025518796,218.9357843415524,230.35342995863977,230.28357144104734,216.4720575084901,228.48196518374016,240.06232904212112,211.94650750344786,219.49278093354116,226.14957556326476,209.66407786524732,212.7645026115057,225.7918032269332,220.14910594044235,208.97042351050365,199.18954938426035,212.6173903022649,206.66369184837316,197.21308157081432,195.57560878132884,199.5142451362383,181.36533192189606,203.06254294763932,,
7,1988-02-22 14:29:30+00:00,150.06884960715084,153.20722748599167,160.13365702108413,150.64700726698686,154.25502171398043,161.7635078138906,172.23159249918893,168.44854331220603,175.66866590071515,167.05809800918445,179.34110700797373,192.79222511832702,185.22914054397046,203.17940204921615,215.38146944508287,219.90825427876544,196.6034691661833,192.57311216583116,210.09675418202096,210.9570409268816,191.64622550446956,191.5659382829263,217.779350347743,220.89873149662404,208.76270030099747,206.51305709844746,209.60425769856553,203.1813247718645,205.51546226850277,202.04958711991537,209.12470314200326,213.80109588512352,200.6978937353441,190.73147338267918,185.20504614962596,200.00329902712332,214.44089721481635,210.95179064852084,211.0555318964099,199.7148913311459,198.3197906501659,203.22269374476346,205.24904397077182,215.22222555803464,217.7920281001807,221.55559591114434,208.7385344173479,199.04891832884272,222.0002836687354,225.82209429378145,222.55228376469285,218.15657710354958,219.93981044975158,220.38354018109538,206.44807189868754,216.45400464619652,224.38987103538597,229.2763238721052,222.8995709509129,228.84724828452835,207.31460019260754,226.3684542104367,226.3901476437301,247.40709242735332,237.8778796832105,213.82471560421902,228.94568767958555,221.5385460164884,230.16885335055437,223.77426415856212,206.18499155823596,216.80304083466115,245.54939920265485,235.64193713896037,253.0121676421037,234.5059374401248,249.61380747022275,235.21575888351535,220.78461761215357,243.09321684918254,242.44575876188276,243.3652083786069,237.1864622023224,224.26254282840196,213.71476735243883,214.2479297587409,229.59322487604197,242.85464785426467,256.3006745448551,246.19581031088205,217.05842804931882,197.67441674274932,227.278395677458,234.371604485021,238.96825595002542,232.98702383137623,212.13743462085282,225.05244252377446,210.89043145186224,216.2407190596511,226.09044213141584,249.18560444638487,250.14667406913756,247.5294256639479,241.5876249642434,234.54889795396167,212.60974511472716,210.51565812697123,228.04223197351558,201.76080408327255,218.95136072524048,223.45008591551561,230.7363977269055,211.4006356868557,218.6258472716918,219.52925509787417,205.94695889439572,224.11332299134432,208.61863151693893,200.35679824710297,214.7573067584589,211.71456869525838,202.08124400043914,209.8203477430336,182.13864297565146,193.03561800995655,195.44283252522587,192.11400405315516,187.55991341082222,184.23940282878962,181.5480622321116,191.51243835898924,196.71684145621995,188.95183997801252
8,1988-03-25 14:29:47+00:00,162.34961631191993,159.12455092137765,160.1847167236361,151.32600923235367,152.41237272945318,159.09500720339827,173.0725280740322,167.88555501307164,176.37806776555198,172.77928461346747,180.4701890393164,200.72509801138244,203.99548397254782,207.63639927086246,218.54972894548706,220.29965152409454,205.73980413942283,203.075107489115,201.92214213367495,196.74828807934549,211.60581125718832,208.5063230134012,201.30440495579853,211.50229336625551,219.50280904624205,225.09086188567986,215.07533246888693,202.22590975983204,201.45498847079747,216.62620445698684,210.42100383424253,214.51830223821457,205.96395419584272,206.93929106931944,211.38788650796414,213.01471341184504,210.4592038885537,208.00315236415977,219.11295882137574,199.99536464125123,200.84626746670585,210.97948581314543,218.16297224850507,220.05291066531953,224.01455883557873,236.09183643434193,230.1639606588114,215.48409297179177,214.33284172035627,224.8905855146013,221.6449059255935,226.78576081098095,232.09413252312072,219.98763030086448,221.46314306271847,236.16320356850494,231.62077592848604,228.00448257899262,228.8924863730378,229.90449892718357,225.56324254122745,224.80193352460134,238.62359110582622,246.10440000046282,257.11126995852123,239.2377659491255,227.8417002627678,230.41902389860275,231.02389020448788,233.4574306402219,229.25707154627963,227.24527204025162,248.70326543159027,237.50647170752552,240.54948364705098,244.40383685997642,243.8130502924373,231.5104309075489,231.78254252450742,251.15345684001488,236.20268283201415,250.0725579053312,245.5976247803224,240.55916765027533,227.3960712304538,213.88096391465385,222.01980709875653,250.6020465622974,258.2959024242685,236.29547806550522,230.09263729540191,214.34421799263683,229.32246556024577,227.7987472798607,245.72328886645326,233.79113729687126,235.9091884372728,231.61574595422928,222.48173186783245,221.66940473929225,232.77512592250315,255.10952957913491,253.54740397813262,247.1837429241026,219.54490156698057,228.9014492966121,233.94097824536087,206.37704335391476,216.2513410139637,206.46726520277073,226.99924570176165,225.5483134097662,235.14321816337616,232.13596394127572,224.07841066768168,214.73480046584928,213.87053062737354,241.98861644654437,236.41165442677558,209.2003604018711,203.79911085252465,222.77616443769574,210.9140052130257,207.65513404770357,184.9263389742463,191.44425595256376,198.85413154664502,187.48048435537694,189.3103438748524,184.55238073728464,182.34276191756925,189.670675449498,190.84623144342757,185.08804426358589
9,1988-04-10 14:29:52+00:00,157.17158569394786,157.18524075434894,157.82528567499168,151.8359580446447,151.24534829342278,165.45886612318765,173.22112734554835,178.0152893744836,176.97311959400162,176.31520744547936,171.0265858111325,201.67815459008995,205.10594313424718,210.48463547416537,224.17680012984,222.84612930794788,217.80330536599362,211.25297854688796,207.77347164664786,204.86751292288542,218.11129874620232,222.07534319214727,208.01162670621738,214.90224413537555,226.2706851856745,225.48340472997808,219.12230768710896,213.14063124551836,207.31500630776833,214.7347370637001,217.61995202620244,217.36423602577696,206.5799194055058,205.1865340685996,207.48565381667748,210.19048190087165,210.47570829031235,209.34608198152716,215.8264793378643,208.04990138886345,204.28575691679868,210.43857989919675,217.07758020167347,223.51975494256135,226.88902423511644,235.3869289511448,233.19740374560797,219.01078032729905,217.00537679624722,226.97925113354492,223.7227683298658,230.21392177811316,230.27725071262495,227.53493887172303,222.4526123994531,234.09133251972514,240.18795941120086,232.91415223078133,230.87049163102486,234.86306264848469,235.41976264038226,232.4275498173891,247.82872614555913,250.02634097156272,265.3255620295103,251.51832514466412,233.1724009449032,236.7656355593668,234.02267267335208,239.4588762457107,235.69739899123707,225.3919132447003,248.56152707224453,250.94563889824286,244.2937708128995,259.0007805458783,262.8552161351338,250.2433460660479,232.89329901159107,246.93505938552164,241.69783999861968,236.861724666743,253.83680741717365,249.85870680956157,239.23211651687663,229.1167938660869,226.1361552307976,245.5487803814453,260.3251590932107,241.2323182425626,229.0577375670531,229.8479023781311,227.8229015915497,232.14383391078155,238.24850536048376,239.7114131894783,227.67655629120904,231.31156275125844,221.87907297530546,220.54475102893412,223.2975352559468,245.7772498618915,250.91341074664408,257.49475535091995,226.13008030799188,211.9117781807239,231.73235432957176,214.7428225430029,219.11524100798528,204.38635070750837,224.8596809913167,209.06881876823937,235.36287745724695,227.30902409642934,217.7077930986353,212.51294900639977,207.2690024324271,238.29493238922132,230.7978294554382,217.8234509132611,200.13329303415566,210.33552886904715,210.44556900142646,204.9783847906126,193.94131742950287,201.91546942264415,183.81563799965895,188.2740774816453,188.1925449147255,188.92622221345704,179.51072747220434,185.8252766675826,197.5695057432788,189.59778177213948
