dates,nzd0233-0000,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0023,nzd0233-0024,satname
1999-08-05 21:46:35+00:00,387.26,374.04,371.96,373.70,368.03,366.24,360.01,357.80,352.19,350.83,351.16,346.52,347.72,347.05,347.37,339.59,339.78,324.75,316.52,320.83,314.01,317.13,,305.94,,L7
1999-08-21 21:46:33+00:00,405.15,382.21,379.26,383.23,377.40,374.42,368.54,368.47,366.12,360.44,359.27,356.84,357.93,365.29,347.37,352.62,355.23,339.64,328.67,328.54,323.36,324.62,357.72,319.12,303.83,L7
1999-09-22 21:46:36+00:00,398.13,379.84,377.47,380.50,376.58,372.96,367.45,366.18,364.14,358.50,356.31,354.72,355.83,361.12,346.11,348.35,347.86,334.57,325.43,326.04,323.01,326.27,341.62,319.85,305.12,L7
1999-09-29 21:52:52+00:00,396.76,379.55,377.31,378.93,375.47,372.11,367.59,364.87,362.53,358.40,355.41,353.47,353.90,358.48,345.80,346.30,344.31,331.39,323.39,325.06,322.54,324.91,333.53,320.72,311.49,L7
1999-10-24 21:46:32+00:00,393.91,379.06,376.58,378.20,375.19,371.62,367.28,363.89,361.69,357.40,354.49,352.50,352.68,356.20,345.53,344.52,341.83,330.29,322.86,324.36,322.09,325.42,331.85,321.90,313.30,L7
2000-02-04 21:52:37+00:00,392.46,379.00,376.48,377.77,375.18,371.12,367.95,363.61,362.40,357.49,354.18,351.97,351.58,355.27,343.22,343.20,339.16,329.99,323.41,324.44,322.73,327.48,330.27,324.94,312.13,L7
2000-02-20 21:52:29+00:00,383.95,374.97,373.36,372.48,370.48,367.38,363.94,358.75,356.64,352.92,349.83,347.42,346.50,346.66,341.74,336.56,329.92,322.72,317.47,320.53,318.73,324.83,321.03,322.51,314.49,L7
2000-03-16 21:46:15+00:00,383.39,375.58,373.83,372.16,369.93,366.78,363.61,358.99,356.65,352.39,349.28,347.24,346.04,346.13,341.22,336.29,330.66,322.54,317.28,320.74,318.97,325.76,321.82,322.83,311.54,L7
2000-05-03 21:45:55+00:00,380.37,372.87,371.93,368.59,365.41,363.44,359.58,356.17,353.62,349.24,346.51,344.22,342.96,342.20,337.25,333.32,327.88,319.53,314.63,319.62,316.96,326.06,320.39,321.43,296.29,L7
2000-05-26 21:51:48+00:00,380.37,374.56,373.56,370.03,366.73,364.96,361.08,357.66,354.85,350.99,348.11,345.44,344.42,343.10,338.78,334.82,329.46,321.05,315.93,320.93,318.74,326.83,321.23,315.17,296.29,L7
2000-07-13 21:51:19+00:00,380.96,375.63,372.92,370.11,366.98,364.51,359.57,356.56,353.92,350.08,347.77,346.08,344.66,344.00,338.39,332.69,326.94,318.75,315.93,317.86,318.74,323.28,318.51,315.17,296.29,L7
2000-08-07 21:44:45+00:00,382.63,376.50,374.13,370.43,367.66,364.91,359.78,357.51,353.88,350.44,347.81,346.80,345.61,344.73,339.27,334.03,328.46,319.39,316.74,318.31,320.65,323.92,318.87,316.28,283.26,L7
2000-08-14 21:50:56+00:00,384.18,377.09,374.97,371.15,368.36,365.55,361.25,358.19,354.93,351.05,348.17,347.19,345.70,344.95,339.82,335.02,328.98,320.27,317.48,319.12,321.52,325.33,319.21,318.12,283.26,L7
2000-09-15 21:50:25+00:00,386.60,377.39,374.78,371.57,368.72,366.07,361.67,358.16,354.93,352.01,348.75,347.21,346.11,346.22,340.97,336.44,330.24,321.15,319.99,320.68,324.47,327.44,322.00,321.35,260.33,L7
2000-11-02 21:50:13+00:00,383.26,376.97,373.06,370.40,366.16,366.81,362.81,359.15,355.77,352.67,349.64,348.21,346.70,346.98,341.88,337.15,331.05,322.37,322.03,321.35,328.28,327.41,322.34,321.70,255.36,L7
2000-12-04 21:50:10+00:00,381.87,374.57,370.85,368.96,364.93,365.30,361.37,358.09,355.00,351.16,348.35,347.69,345.08,346.11,341.34,336.91,331.45,322.67,322.46,320.76,327.66,328.70,323.38,334.20,299.83,L7
2000-12-20 21:50:16+00:00,381.16,373.73,369.67,367.97,364.37,364.08,361.18,356.80,353.49,349.02,346.58,345.89,342.77,343.94,339.43,335.86,330.42,321.00,320.25,320.51,325.34,329.20,324.07,334.58,302.10,L7
2001-01-05 21:50:16+00:00,380.54,373.02,369.35,367.85,364.83,363.78,361.27,357.07,353.20,349.29,346.70,346.44,343.41,343.46,339.73,336.21,330.75,321.92,320.78,321.30,325.75,329.10,324.29,335.31,312.86,L7
2001-03-03 21:44:00+00:00,376.94,368.98,364.86,364.35,360.92,361.90,359.68,354.21,349.53,347.25,343.82,343.88,340.41,340.29,338.75,337.79,333.90,323.60,320.32,324.12,325.73,334.12,329.46,339.29,327.14,L7
2001-03-10 21:50:10+00:00,378.46,370.07,365.96,365.15,361.79,362.83,360.67,355.43,350.87,348.19,344.60,345.10,341.55,342.07,339.73,338.95,335.04,324.29,321.26,325.14,326.40,335.33,330.35,339.93,326.70,L7
2001-04-04 21:43:43+00:00,377.88,370.51,365.96,365.42,362.04,362.09,360.45,355.68,351.24,347.49,343.96,344.93,341.63,341.70,339.88,338.48,334.90,325.00,322.14,325.25,327.40,336.39,332.07,339.25,324.79,L7
2001-04-20 21:43:46+00:00,377.67,370.56,366.05,364.95,361.66,361.50,359.46,355.05,350.72,346.53,343.04,343.76,341.08,341.03,339.50,337.66,333.75,324.15,320.72,324.35,326.48,335.44,331.38,338.22,321.58,L7
2001-07-25 21:42:54+00:00,383.15,374.24,369.70,367.63,364.30,362.63,358.97,355.38,351.45,348.01,343.66,343.85,342.34,343.76,341.75,340.16,336.05,325.35,321.25,325.03,327.58,335.41,333.64,335.84,313.74,L7
2001-08-10 21:42:36+00:00,383.52,374.41,370.02,367.49,364.61,362.74,358.76,355.38,351.45,348.01,343.66,343.85,342.34,343.08,341.46,339.63,335.87,324.02,319.36,324.30,327.58,333.59,332.46,333.90,313.74,L7
2001-08-26 21:42:25+00:00,383.67,373.99,369.65,367.36,364.43,361.95,358.36,354.85,350.96,348.25,343.40,343.83,342.77,342.71,341.41,339.68,336.06,324.18,319.74,323.91,327.09,333.47,332.20,334.43,311.60,L7
2001-09-18 21:48:17+00:00,383.87,374.07,370.11,367.29,364.39,361.24,357.03,354.97,351.35,347.63,343.02,343.41,342.97,342.13,341.15,338.59,334.82,323.67,318.70,322.39,324.96,330.79,332.15,333.37,309.43,L7
2001-09-27 21:42:05+00:00,383.49,373.92,369.68,367.21,364.27,361.20,357.48,354.96,350.86,347.44,342.88,343.42,342.90,341.78,341.01,338.52,334.91,323.85,319.07,322.93,325.48,331.71,332.58,334.40,317.09,L7
2001-10-04 21:48:06+00:00,382.85,373.04,368.85,366.03,363.46,361.38,357.40,354.47,349.73,347.44,342.62,343.65,342.27,341.50,341.10,338.95,334.49,322.93,317.47,321.90,323.55,330.31,330.65,334.73,316.54,L7
2001-10-13 21:41:51+00:00,382.92,373.47,368.84,366.09,363.50,361.00,357.31,354.37,350.12,347.46,342.73,343.27,342.29,341.51,341.02,338.73,334.68,323.55,317.58,322.36,323.94,331.27,331.15,335.73,321.84,L7
2001-10-20 21:48:09+00:00,383.63,373.97,369.44,366.82,363.91,361.77,357.64,355.08,350.63,348.41,343.99,344.32,342.82,342.17,341.18,339.11,335.36,324.06,319.07,323.78,324.71,333.00,332.61,338.02,329.39,L7
2001-10-29 21:41:57+00:00,383.52,374.13,369.49,366.58,363.99,361.56,357.33,355.13,350.15,348.09,343.69,344.29,343.03,342.25,341.16,339.14,335.33,324.55,319.43,324.05,325.86,333.79,333.89,338.84,333.12,L7
2002-02-02 21:42:30+00:00,382.01,373.47,368.81,365.63,363.23,361.10,356.66,354.01,349.37,347.10,342.88,343.90,342.55,341.44,340.73,338.56,334.82,324.78,319.72,324.69,325.63,335.36,334.64,341.26,338.28,L7
2002-02-09 21:48:45+00:00,379.90,372.49,368.46,365.49,362.87,360.83,355.85,353.45,348.86,346.83,342.26,343.28,341.84,340.58,340.33,338.49,334.68,325.71,320.94,325.20,325.63,336.99,335.83,343.60,341.76,L7
2002-02-18 21:42:30+00:00,379.44,372.32,368.56,365.44,362.84,360.85,355.59,353.34,348.53,347.00,342.18,343.22,341.62,340.46,340.39,338.50,334.97,326.07,321.56,325.45,326.40,337.58,336.48,344.01,345.06,L7
2002-02-25 21:48:47+00:00,378.32,372.17,368.68,365.46,362.72,361.18,355.45,353.08,348.31,346.62,342.01,343.14,341.15,340.31,340.28,338.70,335.17,326.66,321.70,326.24,327.00,338.44,337.52,344.80,351.78,L7
2002-03-22 21:42:28+00:00,377.62,371.99,368.76,365.73,362.91,361.08,355.71,352.92,348.35,346.88,342.41,343.08,341.07,340.23,340.49,339.45,336.13,327.83,322.82,327.41,328.17,339.64,338.43,345.15,356.19,L7
2002-04-07 21:42:28+00:00,377.68,371.64,368.81,365.56,362.63,360.41,354.61,352.08,348.06,346.69,342.17,342.77,340.76,339.58,340.02,339.17,336.33,329.02,323.18,327.59,328.38,340.30,338.61,346.01,354.61,L7
2002-04-14 21:48:38+00:00,376.69,371.12,368.63,365.19,362.49,360.91,354.60,352.02,347.80,346.46,342.22,343.25,340.72,339.90,340.40,339.83,336.92,329.07,324.03,327.88,329.31,340.79,339.02,346.83,352.15,L7
2002-05-16 21:48:34+00:00,375.09,371.22,369.11,366.53,363.72,361.80,355.72,352.34,349.24,347.54,343.53,344.38,341.58,340.68,341.61,341.44,338.68,331.21,325.29,329.01,330.41,341.54,338.94,346.61,352.33,L7
2002-06-01 21:48:28+00:00,375.90,371.27,369.11,366.75,363.90,361.98,355.78,352.60,349.66,347.86,344.11,344.72,342.12,341.17,341.94,341.93,339.28,332.13,326.54,330.23,330.41,341.60,338.67,346.61,352.33,L7
2002-08-20 21:47:58+00:00,377.87,371.48,368.11,367.41,364.75,362.23,357.66,353.98,351.26,349.10,346.05,346.71,343.96,343.48,343.47,344.31,341.90,334.02,328.89,332.56,333.22,343.55,340.41,345.40,328.11,L7
2002-08-29 21:41:39+00:00,379.19,371.53,367.50,367.51,365.19,362.76,358.67,355.13,352.88,349.99,347.17,347.21,344.63,344.76,344.76,345.33,343.34,335.68,331.38,334.30,334.81,344.80,342.97,345.70,317.65,L7
2002-10-23 21:47:39+00:00,379.27,370.19,365.91,368.22,365.48,363.07,359.50,356.80,353.68,351.14,348.82,348.61,346.99,347.13,347.32,347.31,345.68,339.00,335.41,338.49,339.03,348.87,349.43,347.21,325.70,L7
2002-11-08 21:47:44+00:00,377.31,368.79,364.37,366.75,363.89,361.36,358.37,356.09,352.16,350.21,348.00,347.91,346.45,346.77,347.14,347.21,345.52,338.21,334.70,337.85,338.91,349.42,350.69,348.59,335.13,L7
2003-01-11 21:48:14+00:00,373.11,363.57,359.61,361.48,359.63,357.77,356.24,354.32,346.31,346.24,343.05,343.37,342.96,344.30,345.71,346.62,345.41,338.77,335.53,337.97,339.13,351.41,355.03,348.48,337.15,L7
2003-02-21 21:42:20+00:00,371.68,363.60,359.25,359.77,357.74,357.51,355.54,353.25,345.33,345.16,342.40,342.69,342.94,345.23,345.62,346.96,345.78,339.40,335.64,338.04,338.74,351.89,355.22,350.40,346.23,L7
2003-03-16 21:48:34+00:00,371.07,363.94,359.42,358.93,356.35,355.64,354.32,352.16,342.43,344.06,341.21,342.22,343.84,344.95,346.50,349.15,347.77,340.69,335.66,338.21,339.55,353.04,354.92,350.71,352.06,L7
2003-04-10 21:42:26+00:00,376.13,370.19,364.04,362.30,359.91,357.70,356.98,355.55,347.02,346.62,344.22,345.42,347.42,349.36,350.30,352.95,351.58,344.08,338.18,341.11,342.38,355.78,356.09,352.29,352.51,L7
2003-04-26 21:42:25+00:00,377.95,372.59,366.03,362.98,360.52,357.79,356.93,355.66,347.91,346.74,344.17,345.43,347.32,349.42,350.79,354.18,352.78,344.97,339.05,341.14,342.92,355.25,355.24,349.83,339.51,L7
2003-05-03 21:48:37+00:00,380.93,375.05,368.07,365.34,363.70,359.87,359.57,358.38,351.33,349.52,347.18,348.00,350.06,350.74,354.06,357.72,355.09,346.64,341.34,342.61,344.35,356.29,355.83,352.33,334.09,L7
2003-05-28 21:42:22+00:00,384.11,378.45,371.39,367.47,366.10,361.92,361.30,359.94,353.39,351.18,348.72,349.56,352.19,352.19,355.15,359.61,357.13,349.07,343.22,344.54,345.34,357.03,355.30,352.03,329.20,L7
2003-07-23 21:30:14+00:00,387.55,381.17,373.99,371.33,369.25,364.08,362.90,361.31,357.48,355.05,352.93,353.44,355.20,355.07,357.50,362.14,360.01,351.04,345.43,345.77,347.04,356.34,355.05,349.18,326.00,L5
2003-08-15 21:36:48+00:00,386.71,380.04,372.88,368.95,369.25,364.08,362.90,356.28,352.96,350.86,349.04,350.91,353.45,353.55,355.61,357.98,354.89,346.17,340.87,341.26,347.04,351.67,355.05,349.18,326.00,L5
2003-08-24 21:30:48+00:00,388.62,381.87,374.62,369.73,369.65,364.22,363.48,357.07,353.90,351.50,348.68,350.61,353.23,352.56,355.30,357.63,355.11,345.78,340.84,341.39,348.51,351.43,354.05,348.36,318.35,L5
2003-11-04 21:42:03+00:00,384.30,375.52,373.45,367.72,369.58,365.98,363.00,352.11,350.68,349.78,347.20,349.28,350.75,350.17,349.94,351.31,349.92,340.87,337.23,334.83,,343.91,351.39,340.34,325.01,L7
2003-11-19 21:38:14+00:00,380.80,374.01,371.07,367.81,369.22,365.58,362.65,353.41,351.92,351.90,346.77,348.74,350.02,349.88,350.10,351.54,349.91,341.81,339.70,340.42,355.80,348.34,355.14,345.54,332.15,L5
2003-11-20 21:42:19+00:00,379.74,372.75,368.26,366.71,366.74,365.58,362.65,353.41,351.92,351.90,347.32,349.10,350.37,350.15,350.34,351.79,350.52,342.60,340.15,341.36,355.80,348.34,355.14,345.54,336.88,L7
2003-11-28 21:32:10+00:00,373.90,368.04,359.72,361.40,360.93,360.50,357.28,350.53,349.06,348.89,344.60,347.64,348.24,348.01,348.42,349.23,348.68,341.28,339.03,339.35,349.96,348.52,355.70,346.03,340.80,L5
2003-12-30 21:32:24+00:00,372.96,367.09,359.41,360.65,360.01,359.58,356.92,349.54,348.03,347.61,343.88,347.25,347.18,347.40,347.99,349.53,348.87,341.98,339.48,340.63,348.73,350.18,355.55,346.20,342.62,L5
2004-01-22 21:38:40+00:00,367.89,362.62,352.65,354.23,352.22,352.39,348.89,344.48,341.63,342.60,339.18,343.87,344.30,344.88,346.36,347.59,347.06,340.38,337.76,340.64,347.72,349.59,353.59,346.88,342.16,L5
2004-01-23 21:42:42+00:00,367.48,362.27,352.67,354.08,352.18,351.70,348.40,344.60,341.63,342.60,339.18,343.87,344.30,345.59,346.39,348.32,347.77,340.89,338.05,340.87,346.81,349.84,354.65,346.88,342.16,L7
2004-02-24 21:42:45+00:00,365.58,360.87,350.60,352.44,350.73,349.56,347.19,346.84,343.58,345.55,341.98,345.62,345.03,347.18,347.87,351.68,352.53,345.33,342.18,345.10,346.81,355.84,356.82,348.94,346.62,L7
2004-03-11 21:42:54+00:00,368.14,360.87,350.60,352.44,350.73,349.56,348.74,347.93,344.42,346.08,340.75,343.83,344.25,347.03,347.86,351.76,352.01,345.33,342.18,345.10,346.81,355.84,357.81,350.22,346.58,L7
2004-03-18 21:49:07+00:00,368.40,360.90,351.45,352.44,350.73,349.56,348.74,347.93,344.42,346.08,340.95,343.79,344.25,346.69,347.42,351.16,351.60,344.68,341.23,345.10,346.81,355.84,357.81,350.22,346.41,L7
2004-03-27 21:42:57+00:00,368.40,360.90,352.04,353.73,352.38,351.26,349.73,348.46,345.08,346.67,342.21,344.73,345.28,346.69,347.42,351.16,351.60,344.68,341.84,345.51,346.26,355.65,357.92,350.57,343.61,L7
2004-04-03 21:49:06+00:00,368.40,360.90,352.84,354.46,353.22,352.34,350.48,348.81,345.80,347.20,342.82,345.45,345.28,346.69,347.42,351.16,351.60,344.68,341.69,345.21,345.40,354.85,357.80,351.31,341.91,L7
2004-04-04 21:33:01+00:00,368.74,360.94,353.28,354.39,353.25,352.95,350.55,348.85,345.38,346.98,343.01,345.99,346.10,347.29,348.07,351.32,351.95,344.97,342.50,345.21,345.72,355.00,357.83,353.25,342.01,L5
2004-04-12 21:42:51+00:00,368.47,360.52,352.53,352.98,351.99,352.42,349.92,348.85,345.38,346.98,343.01,345.99,345.48,346.74,347.33,351.32,351.95,344.97,341.76,345.02,345.72,355.00,357.83,353.25,342.01,L7
2004-05-21 21:49:02+00:00,369.17,359.83,352.25,351.81,349.36,350.93,348.75,346.63,342.33,343.98,340.52,344.79,344.35,345.95,346.13,350.04,351.23,343.50,340.19,343.12,344.28,353.62,356.61,353.21,339.65,L7
2004-05-22 21:34:26+00:00,369.17,359.83,352.25,351.81,349.36,352.42,351.34,346.63,342.33,343.98,340.52,344.79,344.35,345.95,346.13,350.04,351.23,343.50,340.19,343.12,345.35,357.08,359.60,353.21,339.65,L5
2004-06-06 21:48:56+00:00,372.37,360.18,353.92,352.97,350.17,353.13,352.13,346.68,343.89,345.68,342.30,345.95,345.35,347.49,347.93,351.68,352.74,344.84,340.60,343.75,345.53,356.94,359.98,353.96,337.54,L7
2004-06-07 21:34:54+00:00,373.87,361.82,354.63,353.54,351.32,353.13,352.13,346.68,343.89,345.68,342.30,345.95,345.35,347.49,347.93,351.68,352.74,344.84,340.60,343.75,345.53,356.94,359.98,353.96,337.54,L5
2004-06-22 21:48:52+00:00,376.21,364.17,356.99,356.01,354.35,355.92,354.32,349.93,347.38,348.57,342.30,345.95,345.35,347.49,347.93,351.68,355.56,347.67,342.97,345.66,345.53,357.97,360.44,353.96,337.54,L7
2004-06-23 21:35:22+00:00,377.16,365.54,358.28,355.99,354.90,356.26,354.44,350.06,347.48,348.69,343.18,346.80,346.25,348.08,348.70,352.54,355.83,347.97,343.13,345.66,345.53,357.29,359.22,353.96,337.54,L5
2004-06-30 21:41:46+00:00,377.66,365.47,357.44,354.94,353.75,355.49,353.96,349.46,346.17,347.86,342.10,345.94,345.74,347.24,347.96,351.98,355.17,346.88,341.68,345.49,345.41,355.25,356.72,355.11,335.52,L5
2004-07-25 21:36:14+00:00,382.61,370.16,360.88,357.53,357.15,359.27,357.80,352.88,349.39,350.09,344.10,347.44,347.05,347.88,348.71,352.44,356.13,347.90,342.28,346.78,346.14,357.26,358.39,359.44,334.87,L5
2004-08-02 21:42:28+00:00,382.61,370.16,361.33,358.56,357.86,359.98,358.26,353.47,349.90,350.91,345.44,348.46,348.23,349.61,348.71,352.44,356.13,347.90,342.93,346.87,346.14,357.27,358.52,357.94,323.05,L7
2004-08-25 21:48:37+00:00,382.45,370.15,361.47,359.10,358.96,360.70,359.60,355.10,351.43,352.28,345.60,348.77,348.50,349.32,348.42,352.13,357.10,349.44,343.95,347.72,347.78,357.60,358.35,356.44,321.66,L7
2004-08-26 21:36:59+00:00,382.46,370.44,361.84,359.51,358.79,360.45,359.35,355.13,351.50,352.50,346.30,349.42,349.67,350.37,349.55,353.59,358.31,350.70,344.99,347.50,347.51,357.10,357.72,354.82,317.10,L5
2004-09-03 21:42:23+00:00,382.46,370.44,361.84,359.51,358.79,360.45,359.31,354.82,351.42,352.40,347.19,349.86,349.79,350.75,350.20,354.22,358.29,350.70,344.99,347.50,347.51,357.01,357.68,354.68,316.80,L7
2004-09-18 21:43:46+00:00,382.50,370.93,361.28,358.67,357.80,359.87,358.41,353.71,350.57,351.84,348.76,351.62,350.82,351.77,350.69,354.57,359.20,350.81,345.10,346.22,345.65,356.39,355.81,353.53,311.20,L5
2004-09-19 21:42:17+00:00,382.16,370.88,361.16,358.84,357.99,360.07,358.52,353.83,351.08,352.12,349.51,352.09,350.82,351.77,350.69,354.57,359.20,351.02,345.25,346.27,346.03,356.40,356.19,353.72,315.39,L7
2004-10-04 21:44:07+00:00,383.02,371.75,362.06,358.99,357.91,357.65,357.02,351.27,349.03,349.70,346.73,349.64,347.65,349.47,347.87,351.76,356.89,348.36,342.37,342.99,342.09,354.98,353.43,347.84,311.33,L5
2004-10-13 21:38:08+00:00,382.93,372.03,362.59,359.78,358.67,358.03,357.76,350.46,348.02,348.75,346.04,348.85,348.17,349.53,348.38,351.27,356.14,347.77,342.78,342.92,342.38,355.38,353.27,347.96,315.21,L5
2004-10-20 21:44:28+00:00,382.11,371.09,361.96,359.38,358.42,357.97,357.40,350.58,348.21,348.75,346.65,349.18,348.89,350.07,349.31,352.24,356.92,348.10,343.06,343.40,343.10,355.69,353.66,349.95,321.68,L5
2004-11-06 21:42:35+00:00,381.15,370.08,361.96,359.38,358.42,357.97,357.40,350.42,348.06,348.71,346.64,349.06,348.73,349.90,349.63,352.64,356.85,348.11,343.06,343.40,343.10,355.69,354.10,351.06,325.99,L7
2004-11-29 21:48:57+00:00,380.42,369.55,360.77,357.81,356.94,356.59,354.81,349.73,347.48,348.03,346.17,349.76,348.51,349.73,349.52,352.82,357.19,348.66,343.93,344.36,341.70,354.24,352.76,352.08,329.37,L7
2004-12-07 21:45:24+00:00,378.93,369.30,361.08,357.91,355.72,355.78,354.02,349.25,346.53,347.31,345.24,349.03,349.11,350.23,349.67,353.61,357.52,349.10,345.11,344.27,341.53,353.93,352.72,351.82,331.89,L5
