dates,satname,nzd0233-0000,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0023,nzd0233-0024
1999-08-05 21:46:35+00:00,L7,389.35,375.41,373.56,375.25,369.48,368.09,361.67,359.46,353.97,352.68,353.08,348.37,349.50,349.14,349.29,341.51,341.44,326.67,318.18,322.43,315.51,318.91,313.61,308.12,244.84
1999-08-21 21:46:33+00:00,L7,427.39,393.24,389.90,395.99,389.81,386.45,380.53,382.59,383.75,373.91,371.38,371.01,371.84,387.88,,369.66,374.12,358.53,344.28,339.58,335.83,335.81,361.05,336.84,312.16
1999-09-22 21:46:36+00:00,L7,389.32,378.53,377.89,378.92,378.56,374.65,369.40,365.74,364.63,359.23,355.20,355.10,356.07,358.01,349.65,344.61,337.27,329.24,323.09,325.03,326.07,334.02,329.53,326.77,316.41
1999-09-29 21:52:52+00:00,L7,384.46,373.29,370.55,368.14,366.46,362.34,361.54,354.46,350.75,350.86,345.19,342.49,341.17,342.37,337.65,332.62,327.20,314.32,310.77,315.84,315.28,313.88,311.07,314.77,308.56
1999-10-24 21:46:32+00:00,L7,383.81,377.97,374.66,376.25,374.98,370.82,367.06,361.00,359.41,354.56,352.02,349.75,348.91,348.38,345.92,338.59,332.90,327.10,321.77,322.56,321.20,328.55,327.81,327.97,321.22
2000-02-04 21:52:37+00:00,L7,379.67,373.52,371.17,371.31,367.74,363.41,363.10,356.11,355.43,350.97,349.27,343.57,341.92,342.04,337.82,332.70,326.15,322.93,318.98,320.98,316.95,327.13,323.68,320.81,306.80
2000-02-20 21:52:29+00:00,L7,375.69,367.11,367.32,362.77,359.92,359.67,353.22,351.08,347.22,342.98,341.23,340.19,338.67,335.72,331.40,328.03,320.70,313.77,307.34,313.04,309.30,314.81,307.83,315.15,306.47
2000-03-16 21:46:15+00:00,L7,386.63,382.54,380.78,375.02,371.38,369.10,366.71,364.96,361.80,355.04,352.07,351.64,348.82,349.49,344.14,340.46,339.14,327.18,321.08,326.37,324.46,335.48,330.39,330.69,308.24
2000-05-03 21:45:55+00:00,L7,,369.97,370.38,367.13,364.36,363.80,357.30,354.54,352.18,350.19,345.80,343.70,344.60,344.08,337.95,334.42,327.51,316.55,313.14,320.04,318.94,328.98,321.60,321.69,268.48
2000-05-26 21:51:48+00:00,L7,,381.91,380.73,376.46,372.64,371.83,367.76,364.28,360.50,358.75,355.29,351.08,350.97,347.56,345.69,341.61,336.47,327.94,321.78,326.84,326.49,330.66,325.26,291.04,
