,dates,usa_CA_0173-0000,usa_CA_0173-0001,usa_CA_0173-0002,usa_CA_0173-0003,usa_CA_0173-0004,usa_CA_0173-0005,usa_CA_0173-0006,usa_CA_0173-0007,usa_CA_0173-0008,usa_CA_0173-0009,usa_CA_0173-0010,usa_CA_0173-0011,usa_CA_0173-0012,usa_CA_0173-0013,usa_CA_0173-0014,usa_CA_0173-0015,usa_CA_0173-0016
0,1984-05-02 18:13:39+00:00,192.77879474526256,168.8014974337941,175.0433415289392,167.90773447675602,181.35783966171715,174.22079834583087,199.26459888349598,199.52599728272003,206.94397264229474,192.07790099681006,190.35637786909098,187.68595575534312,167.68619257303885,210.82976565673408,232.45016512195235,199.44436540408782,205.33761161851118
1,1984-05-18 18:14:11+00:00,196.52154293939083,177.40889419288527,180.38339350433637,180.75813797009243,185.5000066944827,190.01065802120436,222.89515087037773,222.18073611724913,221.5820631019928,218.5959718421613,212.60993895164825,179.26565997649243,172.3689582506624,213.2409654731195,226.5669761092606,200.4205686863621,219.31730518879124
2,1984-09-16 18:10:24+00:00,194.88494714683827,174.0894826406417,173.8235097339707,170.16327217882144,178.94989742188767,174.17250983370093,195.96533545684392,186.73810930909156,197.25735519633793,183.04704059205113,,,,,,,
3,1984-09-23 18:16:35+00:00,168.4209050385176,151.4062602496377,152.56132783804867,159.26021194305838,171.3455387229653,176.5502213729788,181.49331202325786,182.38622993588007,186.01274606422822,165.41995616850613,171.29375921203393,182.62379810611176,174.21775377745945,192.34346741742536,207.5753374168668,197.17880793655613,198.3235019122543
4,1984-10-02 18:10:24+00:00,164.936275392189,,,,,,,,,,196.34997277661495,205.72630915106797,202.67319831406525,201.6859571013269,217.31905543090488,207.72051582871592,202.33538650353228
5,1984-10-18 18:10:21+00:00,,,,,,,,,,,,213.5650800580671,210.20732100426986,222.0667743421536,237.88820235686566,218.38122628937657,220.77648007079927
6,1984-12-12 18:16:32+00:00,155.3591733746399,144.05342326743022,149.8080334000179,147.46043270099779,159.73968545671752,162.06875590584673,179.70714787583915,166.206960798128,172.52356213071621,158.79052016358008,161.83640103060486,,,182.7442397120784,,183.48375348214978,186.62577914747814
7,1985-07-17 18:10:12+00:00,,,,,,,,,,,,,,,,,
8,1985-08-02 18:10:04+00:00,,,,,,,,,,,210.00564359414045,224.32989452916576,223.6309334527228,,242.81157666298134,218.3971486079879,214.62391933563222
9,1985-08-18 18:09:54+00:00,,,,,,,,,,,,,,,,,
10,1985-10-21 18:09:10+00:00,,,151.67927785559812,135.91397864352822,148.7605864358556,152.66145881451368,178.72737851822507,165.66238262808528,194.34931276430035,168.40658583300586,190.44709279531145,208.0666158342934,207.4105495769674,220.95897590359613,221.3817619274141,207.6258971782766,192.45208134976193
11,1985-12-08 18:08:22+00:00,,,,,,,,,,,,,,,,,
12,1986-01-09 18:07:47+00:00,,,,134.10864998898217,142.3998491974442,145.1923280441229,169.82962022863305,171.600637054682,180.2909773357356,159.00297787065284,157.0104015907704,159.7345211551334,149.46938136241315,180.15708297477462,190.12154309825024,175.19488771006968,166.98334660138352
13,1986-01-25 18:07:27+00:00,,,,,,,169.76460637364679,176.21650901553232,186.02586210031555,154.47494177559898,153.10581891763934,149.0715107122183,147.20095632850328,170.32941080886317,190.86214471010655,178.57695380619762,177.73080232902433
14,1986-02-01 18:13:28+00:00,135.6374668805786,131.87534606792235,150.42741487767324,141.25790039702514,154.10838899059286,151.94544682205,170.23839363371332,175.42768977670755,185.70261848559608,157.60108550747498,156.52219978054768,152.979100928533,145.50933106318894,169.73455085098465,169.0237782355781,,161.58321104519956
15,1986-02-26 18:06:42+00:00,,,,,,,,,,,,,,,,,
16,1986-03-14 18:06:23+00:00,166.93956788920204,152.20008343190284,161.02168896411473,154.69674973660238,166.92548000718872,163.0776044205673,181.2271095964266,201.32877464655036,209.09718684946716,188.25673736839002,181.2206208426402,182.1424577595018,172.07898156979041,183.55269855659031,199.32291002922062,192.07087492206603,192.9369579302064
17,1986-03-21 18:12:25+00:00,183.6674204740729,171.38525187039153,181.6840012364346,184.95994182103396,189.87525710483794,183.89491746410636,198.19883978231653,202.10104147469576,209.4890720926075,188.06114939561724,188.79770744202426,189.89464922588087,175.68394350900527,202.39784917069838,232.06702714660685,221.35913969163113,212.2797919406154
18,1986-05-01 18:05:19+00:00,209.97348493731417,181.72270333451584,179.11405633648022,184.16726824962618,186.79775063678898,189.60121403800775,212.42815328803374,224.72759539833788,232.3300523163311,,202.54087329342588,194.12243993162537,198.68738693903603,222.819924743109,237.21335373118293,,196.15872215076632
19,1986-05-08 18:11:19+00:00,,165.19177107172166,171.11452212220476,164.46634885509974,177.09933328366714,179.3621744168463,189.35852946029598,193.33165018348367,199.0730742338706,181.79497156718827,184.06786116735606,177.7200281030115,173.60004617083675,200.59074009121454,238.8684725122866,218.0166719932182,212.6881312613481
20,1986-05-17 18:04:53+00:00,,,,,,,,,,210.31314344434242,,,,,,,
21,1986-05-24 18:10:52+00:00,192.778798360574,181.71338016889703,177.72496883989703,184.00836219838567,198.8235283475253,201.48137836382364,213.6458506508194,214.42639523772257,217.9002658716082,201.0761040824508,202.93013001030337,189.33056250561913,193.96846314799336,217.21324420592828,231.99120818617806,216.3952014330282,219.4405215428506
22,1986-06-09 18:10:23+00:00,194.39255976774194,180.31696967732142,175.6881380141906,167.59432830761773,173.11143700435164,180.1798728282109,197.59188964926446,207.43033869772847,209.39112048588288,,,,,,,,
