,dates,usa_HI_0039-0000,usa_HI_0039-0001,usa_HI_0039-0002,usa_HI_0039-0003,usa_HI_0039-0004,usa_HI_0039-0005,usa_HI_0039-0006,usa_HI_0039-0007,usa_HI_0039-0008,usa_HI_0039-0009,usa_HI_0039-0010,usa_HI_0039-0011,usa_HI_0039-0012,usa_HI_0039-0013,usa_HI_0039-0014,usa_HI_0039-0015,usa_HI_0039-0016,usa_HI_0039-0017,usa_HI_0039-0018,usa_HI_0039-0019,usa_HI_0039-0020,usa_HI_0039-0021,usa_HI_0039-0022,usa_HI_0039-0023,usa_HI_0039-0024,usa_HI_0039-0025
0,1991-12-03 20:24:42+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1999-08-02 20:59:19+00:00,184.32686689073705,176.87099731433148,173.57716943704318,180.74418579864383,176.47139840220083,182.54484758858976,173.03705212983755,167.6690536523678,175.78195906538923,177.1567479031312,178.02413100826098,180.26515471565062,181.4674180181665,191.0735732712014,199.68085511285483,197.61825650081005,186.19186322241194,183.64755812536305,188.04195809862938,189.27611337062868,199.6910655240481,198.51571974590138,193.40111328103308,199.71563503727066,192.6533400215851,186.93819387540336
2,1999-08-18 20:59:15+00:00,189.73530160542074,182.35448003780184,180.43598253675168,180.54174913000244,182.33599700164535,179.4581142016413,175.55832838933273,171.2415442676571,176.9984954802678,184.11284227719872,185.83266606822605,191.56495401671324,189.1277968500478,186.3775482555035,197.71894166149386,196.7124140043033,188.3660330597141,190.2707537197784,188.28706955238786,186.23439913642616,194.95813390604073,199.05661441490673,190.2616742278332,195.10175325755736,204.59246371100218,190.95726003506627
3,2000-01-25 20:59:13+00:00,204.57256353247863,189.96772303712308,192.056448064389,189.9920276713474,199.44569488406498,194.9255809811479,187.07982580499385,187.73809078309313,188.6959489696688,190.60469930843956,194.3550596994228,199.62436186571523,198.09331632974926,199.46765303015994,204.21457482265265,206.64640422296375,203.85889626923068,199.86229627315853,203.69228580323883,206.31174967971643,211.09079278945958,213.37885844438966,208.6271949487795,214.76044528787128,217.98566999166997,210.4931214575013
4,2000-02-26 20:59:03+00:00,192.4488665323447,185.00193816002536,182.43287238252154,181.22358133789442,188.60372833763844,190.74741567195395,182.92561730636368,186.65533609092336,189.0035845970276,191.0122063013993,189.8314900641008,195.86327517722123,194.30295733221863,199.9019034430943,202.7243699929078,201.47017047392688,202.4739884799483,198.3262550933719,199.8536115506152,200.1025700288086,206.7986691762208,212.48809053808625,203.2339171608503,207.51223773833473,215.48097568538333,204.51471577653675
5,2000-05-16 20:58:31+00:00,181.86972721915387,177.44241375183034,176.4896769479366,166.18324064566082,174.13256711961472,176.07943531916055,175.61732304260798,175.79802107831193,182.88834061352213,181.57598608802013,184.2859045435813,186.04600030447457,192.38231811663206,187.91653652975958,197.96011219410983,196.612579177389,197.92672216589412,,,,,199.24398765014703,192.07566338756897,200.68463491513376,201.89849552556902,
6,2000-10-23 20:56:40+00:00,191.65114798677664,186.34112107896615,189.37592380697708,187.7267945641426,190.63764590544352,189.39046811206254,178.4219867731772,179.9561444614734,186.74690049689846,183.54906142753427,193.08377484443878,193.6825711172737,196.02257984154173,202.67200556298332,205.0000292309985,211.12584737014726,209.88385187937763,200.72723784693608,207.65428875015692,207.9903513389943,209.7731167389414,216.38485971367743,206.17644977061607,211.04988810152128,214.51211521931538,213.36156386255033
7,2000-11-08 20:56:43+00:00,191.77943827922957,191.35922717233407,201.10413933358478,175.47496186010795,181.1430286827352,185.6887446442032,172.5807291719103,175.69625710916895,,,,,,198.23211864047053,205.72866355046574,209.24326337510942,195.95561675792914,193.22617691301747,200.6226743534697,198.14265108259923,204.27800389418272,,,,,206.54892606186255
8,2000-11-24 20:56:45+00:00,186.89865657681668,183.19462650303794,183.74093959150966,183.87072106646872,186.85017770313712,184.61341695880444,172.83827211446334,173.80630597494007,183.161494008231,180.78303058303038,185.3235292012983,189.3950255821327,193.17356952995863,197.62707151927833,203.54467709349294,204.78996536502657,203.19307700239273,197.68364917113792,206.32786086492555,204.79989005750073,205.91415759618147,210.64993391433973,203.62202798660283,212.76384670225895,212.2543931654934,210.64810485542623
9,2000-12-26 20:56:52+00:00,186.9584005745103,183.54537904042888,189.1359881280875,185.74838990039362,194.0528628866859,186.93850665386918,167.65229700104982,170.86060650936125,181.53942539016316,185.5489030944592,190.5230950136631,194.7069623975981,194.14616462439378,201.1671417749192,201.4057678526506,207.97053987066332,207.60218340447307,198.87549972397395,208.91848635519005,210.23077943174923,214.54540073546556,218.7186069088306,210.3086724881275,211.3118762211309,214.66069668885447,211.60259365327232
10,2001-01-11 20:56:53+00:00,178.4098056099588,169.75314160503316,176.37256057685502,172.1431663543043,177.77383626542803,173.95627041131524,161.29024818735866,157.81848794568194,170.62006055117973,174.95262171499158,180.08793921622345,186.7328988788664,183.32227078196001,180.9421401169382,182.6187003375437,189.8455222129979,185.5642877072456,181.8120036988369,183.9687598437436,183.42314925300082,198.4188252406703,203.12697513078467,194.57088008437253,197.25056265174302,198.2858253379725,
11,2001-01-27 20:56:56+00:00,188.3275415201925,177.90283523811996,172.30608152867174,155.40844975905713,,,,182.71876784937854,186.95220063438896,185.08138411778003,189.4838001119674,190.9671610861393,196.2442261869642,194.65566338196734,198.66565803676113,205.5252322421064,205.27684836874326,203.6184088763064,201.35648747743645,204.89540902406515,208.2211811755248,216.6598426830848,209.0067784067887,215.57884682325295,214.37478267390463,208.87054513342935
