dates,nzd0277-0000,nzd0277-0001,nzd0277-0002,nzd0277-0003,nzd0277-0004,nzd0277-0005,nzd0277-0006,nzd0277-0007,nzd0277-0008,nzd0277-0009,nzd0277-0010,nzd0277-0011,nzd0277-0012,nzd0277-0013,nzd0277-0014,nzd0277-0015,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0035,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0048,nzd0277-0049,nzd0277-0050,satname
1999-07-09 22:05:23+00:00,334.90,317.77,310.00,318.26,311.15,319.91,340.17,349.40,360.94,350.87,339.37,314.46,314.76,318.02,333.62,334.80,333.82,331.20,327.75,328.47,323.29,325.17,325.06,320.81,320.60,311.89,301.18,296.42,310.42,322.20,338.27,344.67,347.14,347.65,341.82,330.86,326.63,318.48,316.53,322.06,328.74,327.32,317.22,302.89,287.94,285.58,282.56,276.42,277.51,280.65,285.01,L7
1999-07-25 22:05:27+00:00,332.86,,,,,,,,362.14,351.58,332.76,301.88,308.61,307.18,330.64,332.15,328.58,324.92,321.75,316.90,306.28,307.89,311.72,310.11,306.60,303.95,290.57,291.70,302.50,314.72,334.65,334.28,337.37,341.53,330.87,326.90,323.16,319.21,314.20,319.53,326.32,322.43,318.14,299.26,281.12,282.56,270.19,269.30,272.14,277.09,287.66,L7
1999-08-26 22:05:32+00:00,326.92,312.89,301.41,306.59,303.24,315.62,345.20,352.05,366.16,352.36,323.60,307.02,309.53,314.18,329.47,337.42,335.49,337.12,333.41,329.92,324.37,324.50,324.20,321.15,316.59,308.31,297.83,292.10,311.84,321.44,337.93,337.13,341.38,344.23,338.25,336.28,329.07,324.95,323.18,326.21,335.56,326.34,322.04,303.81,283.42,285.74,281.41,283.03,282.81,292.28,303.32,L7
1999-09-27 22:05:36+00:00,,,,,,,,,,,,,,,,,332.80,329.52,327.75,323.56,316.71,309.90,315.22,313.53,316.85,301.90,286.03,290.71,306.49,320.69,333.49,333.71,335.79,338.75,329.24,324.73,328.16,323.89,319.18,322.95,329.58,325.17,315.38,300.40,286.16,288.43,280.62,272.86,275.25,278.90,294.16,L7
1999-10-13 22:05:36+00:00,317.19,299.59,293.95,298.33,299.22,309.91,331.51,335.86,345.36,337.01,318.87,295.49,300.33,305.67,323.47,325.60,321.57,320.94,319.21,313.55,308.23,305.27,309.41,304.31,302.90,293.08,285.09,283.43,304.39,313.11,330.64,333.34,333.75,339.54,327.73,321.63,319.77,313.50,310.34,315.98,321.79,316.52,308.46,291.88,279.97,277.10,272.33,267.08,267.39,275.80,286.29,L7
1999-11-30 22:05:23+00:00,309.77,288.42,283.68,289.56,289.68,295.84,302.56,316.56,320.61,326.36,310.56,290.74,298.85,301.46,320.58,322.93,320.17,,303.93,304.77,296.08,298.05,301.38,298.27,300.69,288.75,282.91,267.95,290.07,299.93,311.38,325.05,326.76,329.52,321.53,320.03,313.99,306.28,306.26,314.01,326.77,312.64,306.69,293.71,278.03,281.01,261.81,261.54,262.67,269.71,282.16,L7
1999-12-09 21:59:21+00:00,313.50,297.57,299.27,301.79,296.25,315.95,333.10,336.98,355.53,341.96,323.84,302.92,301.73,314.90,335.66,338.23,336.05,333.94,331.54,324.47,314.16,314.57,317.83,308.76,301.16,296.40,290.80,293.71,306.17,321.90,337.91,331.77,338.41,334.77,330.03,328.92,323.28,320.33,314.97,317.75,327.43,324.98,309.21,297.23,284.60,284.80,275.01,273.66,274.52,281.86,288.58,L7
1999-12-25 21:59:16+00:00,324.55,305.04,300.40,304.69,300.72,317.67,338.49,341.74,352.89,340.48,320.92,305.19,303.91,314.78,331.84,335.42,331.16,325.80,324.22,320.89,313.32,315.80,316.04,305.62,308.01,297.78,289.57,294.60,307.47,322.71,338.13,339.50,344.92,342.80,319.97,314.32,319.84,316.61,306.37,316.80,325.06,327.18,315.66,298.31,286.96,288.45,282.02,272.57,274.85,284.14,290.65,L7
2000-01-10 21:59:16+00:00,325.93,309.97,299.05,303.51,309.36,319.67,335.28,344.27,353.70,347.55,328.18,302.43,306.06,312.96,331.45,334.43,329.84,327.46,325.75,323.21,314.33,315.12,317.78,313.09,310.16,300.18,295.75,295.04,311.86,321.05,334.78,337.11,340.20,336.87,333.58,333.46,329.52,322.14,316.55,316.68,327.55,327.76,316.29,301.69,286.74,286.10,279.23,275.14,274.72,281.36,292.06,L7
2000-01-26 21:59:14+00:00,323.10,308.26,302.89,300.12,303.86,318.17,354.15,353.59,360.01,362.86,332.90,310.98,317.81,317.52,332.81,340.25,337.75,332.27,348.73,346.55,329.38,322.12,320.34,323.46,336.27,306.27,305.30,298.22,320.58,334.14,341.59,342.73,352.87,345.03,338.45,334.07,336.01,337.00,330.21,334.96,335.83,338.83,324.04,324.88,294.60,288.55,300.89,293.25,290.75,289.53,294.46,L7
2000-02-27 21:59:04+00:00,325.12,298.42,293.34,294.51,300.77,307.89,332.98,348.40,345.49,346.80,332.27,303.94,308.73,307.33,324.39,331.12,327.40,326.97,323.66,328.95,312.91,312.69,313.18,313.23,308.40,301.06,291.62,289.44,303.79,312.57,329.16,332.31,336.67,336.23,328.86,326.49,325.10,318.73,310.71,312.51,322.39,318.51,311.50,295.36,280.56,282.01,274.55,270.75,269.60,276.46,282.86,L7
2000-03-30 21:58:57+00:00,327.10,310.53,293.87,298.57,302.53,313.71,330.88,339.07,347.59,343.03,329.06,306.45,307.97,308.87,329.23,331.58,325.80,322.35,321.36,317.30,309.35,310.29,309.89,309.29,307.12,298.90,288.72,284.95,306.39,314.07,331.39,335.35,339.99,338.58,330.61,327.66,323.51,319.96,313.43,319.59,327.02,323.51,315.71,301.83,293.47,289.88,287.21,279.20,273.86,283.25,285.31,L7
2000-05-24 22:04:34+00:00,323.38,314.48,301.40,303.72,305.08,315.87,346.66,362.02,373.30,349.00,330.49,313.08,314.38,323.63,336.27,340.31,342.10,340.13,341.98,343.16,347.03,330.89,337.54,325.63,333.77,309.56,306.64,294.73,304.30,317.56,337.51,338.09,342.73,347.93,339.19,330.68,325.17,315.14,307.19,316.20,323.91,323.47,315.26,302.47,285.20,285.64,278.55,279.14,270.30,277.67,,L7
2000-06-18 21:58:15+00:00,319.16,306.92,292.48,300.31,302.83,313.15,329.29,338.30,349.26,348.71,329.90,304.75,309.73,311.93,329.04,327.26,323.11,324.88,326.28,320.53,301.77,306.54,310.29,307.97,308.26,304.39,291.60,288.92,290.86,302.88,328.45,329.35,338.85,342.34,329.35,329.07,,,,,,,323.37,317.02,302.89,,282.53,274.29,,,303.82,L7
2000-07-04 21:58:02+00:00,338.79,318.12,305.31,311.31,311.30,321.74,343.91,352.38,360.86,354.68,335.27,312.10,312.60,314.56,333.26,339.06,334.57,334.35,334.77,328.92,322.15,318.78,322.64,320.93,320.10,306.82,300.36,299.19,305.34,323.78,343.12,346.01,354.21,350.89,343.22,335.73,328.26,323.20,317.29,322.67,335.16,329.92,320.31,306.18,288.69,286.60,283.81,268.81,278.65,282.60,289.81,L7
2000-07-11 22:04:05+00:00,343.36,322.22,307.03,304.65,306.76,319.29,340.81,345.06,358.47,344.20,333.17,308.40,314.16,314.96,338.10,334.38,330.51,334.59,329.11,325.93,320.68,317.28,325.65,317.05,319.94,304.96,295.63,299.16,313.97,329.57,346.62,342.76,346.92,343.96,335.75,332.80,326.95,318.77,314.17,321.40,328.97,325.12,315.61,306.04,288.36,288.65,282.59,275.77,277.73,288.60,289.62,L7
2000-08-05 21:57:32+00:00,328.02,311.63,304.26,305.04,303.77,319.64,352.39,356.35,,,328.37,302.39,310.70,311.96,332.85,331.37,331.23,331.55,350.31,342.66,333.82,320.32,317.17,322.51,342.30,297.27,291.74,290.37,298.62,312.91,334.32,336.26,341.60,341.53,329.13,324.07,325.66,317.20,309.93,321.69,324.46,315.86,309.04,291.79,278.96,278.32,274.25,266.29,269.10,275.15,284.66,L7
2000-08-12 22:03:42+00:00,311.26,294.78,284.75,,,,,,,,,,,,,,,,,,,,,,,299.34,288.00,285.23,292.79,307.13,324.25,327.52,331.75,337.76,327.41,318.26,318.45,308.49,305.17,306.03,316.06,314.44,307.24,292.04,278.16,277.90,270.38,262.40,268.38,274.77,282.82,L7
2000-08-21 21:57:26+00:00,329.68,305.24,299.71,305.45,302.02,325.85,345.54,351.52,376.28,359.69,335.89,307.00,312.13,311.88,328.57,330.05,328.57,326.88,340.13,333.52,326.30,322.37,318.38,320.40,314.67,305.69,294.83,290.41,302.82,312.93,330.97,333.48,337.91,337.67,330.52,323.45,324.46,314.69,311.19,313.52,320.08,319.52,309.79,289.32,279.60,276.70,266.75,264.99,264.18,275.37,292.73,L7
2000-09-13 22:03:14+00:00,310.81,295.84,283.15,292.05,290.69,305.34,332.88,341.41,353.36,341.53,316.72,294.98,299.81,302.13,321.68,326.07,323.55,325.12,325.08,319.25,307.88,306.01,310.58,302.26,302.29,296.06,284.14,283.38,292.88,307.32,325.58,332.27,337.19,340.89,326.59,320.65,320.45,314.08,312.66,311.17,321.12,318.35,310.13,295.43,279.15,282.39,272.03,269.82,272.55,273.58,286.06,L7
2000-09-22 21:56:53+00:00,324.75,303.20,294.25,300.08,298.73,310.36,340.28,350.88,,358.57,325.85,304.67,309.20,311.34,328.84,332.56,326.99,329.14,333.49,339.28,314.70,313.10,315.24,314.18,314.99,302.24,290.26,293.34,304.64,312.74,331.42,335.90,340.19,338.05,332.13,323.28,324.41,312.16,310.71,313.28,321.93,320.19,308.39,291.73,281.08,282.69,272.82,268.16,269.41,274.18,283.57,L7
2000-10-15 22:02:44+00:00,303.50,289.39,282.45,289.07,290.58,302.51,327.12,338.93,350.61,338.76,317.28,296.50,299.20,303.87,323.94,322.64,317.19,315.85,315.25,311.18,306.15,298.04,299.64,297.68,294.29,289.18,278.83,275.42,285.60,303.30,317.36,321.41,327.05,327.25,313.68,309.79,309.70,306.52,306.95,306.08,316.81,315.56,305.00,288.68,276.05,274.10,262.99,262.91,266.21,272.19,282.92,L7
2000-10-31 22:02:58+00:00,311.55,297.34,293.54,292.95,290.87,302.90,320.74,327.83,337.27,332.04,313.25,288.66,293.61,302.06,315.99,318.51,313.30,314.03,312.84,307.18,299.61,299.39,296.89,298.03,290.23,286.12,280.09,277.83,291.91,302.87,317.49,321.97,326.86,330.04,323.29,315.12,313.75,303.59,304.61,307.41,316.04,314.32,301.48,290.33,273.40,275.50,267.74,265.26,264.61,270.21,277.17,L7
2000-11-25 21:56:47+00:00,321.65,305.61,293.20,301.71,297.21,312.99,340.74,347.20,356.64,347.08,325.93,308.12,308.67,313.50,332.11,337.01,330.03,330.34,327.76,327.91,318.05,317.81,312.88,307.61,305.50,305.82,297.80,295.96,308.04,317.70,335.31,332.77,338.91,340.47,330.63,328.83,326.60,318.72,320.44,323.43,331.11,329.41,319.31,306.78,290.44,291.33,280.39,276.06,278.40,288.95,300.13,L7
2001-01-03 22:03:00+00:00,333.89,308.85,305.48,310.86,310.58,324.68,363.00,375.39,386.76,386.94,,322.66,330.03,326.53,339.02,340.81,339.92,345.90,355.70,342.29,325.00,346.94,329.41,329.24,,299.18,297.65,292.87,300.30,313.55,329.84,333.37,341.54,342.43,335.56,327.48,333.74,329.39,323.56,326.55,335.02,332.70,316.63,300.86,292.84,290.74,306.28,290.32,282.07,286.53,294.66,L7
2001-01-12 21:56:54+00:00,311.11,295.77,288.41,290.81,292.89,305.27,325.35,334.35,340.07,332.82,316.13,296.13,301.88,307.72,323.89,326.15,321.49,321.44,320.78,315.30,304.93,302.97,304.85,293.43,293.36,285.90,283.07,280.71,290.60,306.65,321.23,327.29,334.16,331.28,322.91,321.32,314.63,309.87,310.60,311.80,318.48,316.24,304.80,292.55,283.20,283.27,273.45,271.03,270.45,276.16,283.29,L7
2001-02-20 22:03:00+00:00,322.31,307.80,300.04,303.62,302.01,314.79,336.71,347.73,356.71,345.46,323.70,302.54,309.54,317.22,331.40,336.35,334.62,334.93,334.95,325.22,319.62,317.32,320.56,311.47,311.19,297.47,293.02,285.30,296.26,316.65,327.04,341.54,345.70,344.08,336.35,329.63,327.87,323.62,319.71,320.80,329.43,325.05,314.34,297.83,289.47,291.20,285.05,279.99,277.97,287.41,297.44,L7
2001-04-09 22:02:42+00:00,324.78,310.04,295.72,302.53,304.55,317.32,345.91,355.75,366.99,359.90,336.08,315.90,315.81,314.89,333.55,339.05,338.03,335.81,333.91,331.91,319.05,322.18,318.71,310.42,308.89,299.90,292.62,290.98,299.78,316.83,330.88,338.39,340.67,342.79,334.24,324.60,329.14,319.90,318.46,319.47,330.99,327.29,321.14,303.05,286.94,288.98,285.50,275.69,275.79,284.00,293.91,L7
2001-05-27 22:02:24+00:00,325.20,311.33,306.26,313.23,316.22,330.00,344.20,354.46,371.73,352.46,,307.37,312.07,315.42,337.31,341.20,335.83,334.19,336.73,338.06,329.20,325.09,324.82,330.72,324.34,319.25,308.16,295.91,302.48,314.27,327.21,337.45,340.47,342.34,336.44,326.51,323.99,318.15,311.18,315.50,320.75,321.50,309.94,299.24,285.76,282.67,270.63,272.78,278.17,277.27,,L7
2001-06-28 22:01:57+00:00,318.12,303.37,294.82,297.38,297.89,,,,,,,,,,,,,,,292.56,302.80,324.42,312.93,309.38,,,306.32,293.76,307.63,325.71,341.56,351.72,369.36,362.84,357.83,344.31,344.56,345.80,338.85,340.53,348.63,368.76,,,,,,,,,,L7
2001-07-07 21:55:48+00:00,342.22,323.88,300.51,306.84,305.54,320.53,340.04,349.14,362.11,355.14,,312.69,313.38,323.23,337.41,340.22,338.70,331.57,334.26,327.66,321.34,323.89,323.68,314.25,311.48,306.42,297.41,298.63,310.91,321.10,335.73,338.88,349.95,344.10,336.84,326.94,325.85,322.14,311.21,319.12,332.19,329.38,312.67,300.75,287.43,285.26,281.08,270.59,272.50,272.69,279.92,L7
2001-08-15 22:01:26+00:00,322.64,315.73,307.08,311.54,310.92,320.32,338.47,347.65,360.88,348.63,337.77,310.49,309.57,311.58,328.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.18,253.67,,,245.50,240.55,,L7
2001-09-09 21:55:00+00:00,339.80,314.11,307.75,309.64,310.22,325.71,362.84,368.57,389.90,386.02,,319.75,325.03,324.22,340.50,348.37,343.59,337.43,370.54,363.39,352.98,333.01,331.06,337.55,349.16,312.24,300.07,302.26,310.85,323.80,340.49,345.26,352.86,346.65,340.40,332.35,332.54,328.21,332.98,327.61,335.60,330.15,321.17,310.73,303.09,310.59,310.60,289.75,296.91,301.89,328.46,L7
2001-09-25 21:54:52+00:00,,,,317.83,322.04,340.03,358.83,360.69,381.94,367.46,,313.31,312.94,320.39,337.51,340.16,334.11,334.78,346.73,350.11,327.32,325.68,323.20,325.71,334.52,305.79,294.04,297.88,313.46,324.15,336.33,338.24,346.00,343.23,338.24,332.00,330.59,329.72,326.56,324.44,329.94,328.48,319.03,306.07,299.64,294.88,294.56,285.35,287.99,294.08,303.39,L7
2001-10-11 21:54:33+00:00,331.37,313.17,299.49,305.08,306.67,329.03,354.34,356.72,373.90,373.50,,314.45,301.91,309.36,329.32,335.33,333.53,334.17,344.96,348.76,332.46,326.75,322.89,322.18,,307.62,297.52,290.16,301.34,324.14,339.18,335.14,342.21,339.88,333.17,328.54,330.01,331.30,325.55,327.34,328.53,327.60,317.20,312.85,296.51,292.21,286.86,279.20,277.74,294.47,295.42,L7
2001-12-21 22:01:17+00:00,,,,,315.27,315.15,,322.87,341.77,333.93,311.20,295.66,302.31,305.64,319.05,322.42,318.18,315.17,311.58,315.04,301.43,299.57,304.76,292.54,297.09,289.49,289.26,282.33,291.68,304.25,319.38,326.55,327.10,321.86,313.65,305.65,304.78,,296.51,301.16,311.57,302.68,303.55,282.86,271.26,265.99,262.26,253.42,258.24,267.51,272.64,L7
2002-01-06 22:01:19+00:00,322.21,313.42,284.66,,307.62,341.87,358.75,370.90,376.66,,,312.44,333.08,313.85,345.92,342.08,339.64,346.38,351.76,354.39,,329.24,327.79,329.62,,299.88,302.39,292.00,298.45,316.28,330.57,338.73,348.43,342.45,342.60,343.67,336.77,331.99,326.60,329.98,333.94,330.18,,,295.19,301.45,310.46,297.74,283.64,288.69,,L7
2002-01-15 21:55:11+00:00,301.28,294.77,288.30,291.94,291.77,303.61,328.98,334.36,343.46,334.44,315.37,290.18,296.20,302.10,322.16,324.61,322.81,321.86,319.81,317.94,304.42,303.00,305.09,297.25,293.49,287.83,282.66,281.05,291.41,312.83,325.55,327.02,329.04,329.46,324.33,315.33,314.69,306.02,309.48,310.75,319.71,315.40,308.87,293.56,285.11,285.89,276.57,267.02,268.93,275.53,283.27,L7
2002-01-22 22:01:28+00:00,334.90,313.26,303.76,305.22,313.75,341.00,349.26,354.11,375.62,373.54,,306.91,309.19,314.20,333.13,337.00,335.95,329.60,342.31,344.71,324.67,322.03,323.47,318.68,322.72,302.75,306.19,305.77,322.87,328.30,335.41,334.77,342.73,339.08,338.10,334.42,336.37,333.71,333.74,331.43,343.46,330.50,315.62,300.96,292.50,301.54,315.63,296.24,307.32,313.08,320.13,L7
2002-02-07 22:01:30+00:00,314.97,300.67,290.35,289.56,298.10,303.95,322.85,330.83,338.69,334.03,311.84,297.21,298.58,304.20,317.50,321.64,316.24,313.40,310.91,308.31,296.56,301.81,301.05,299.10,295.51,287.64,286.52,282.32,293.74,307.69,318.25,325.73,327.47,328.28,318.67,316.59,313.16,305.44,299.57,306.34,317.68,315.52,306.29,290.26,279.06,276.69,272.83,265.42,267.83,273.04,280.58,L7
2002-02-16 21:55:18+00:00,336.44,315.80,306.92,303.18,309.53,321.32,334.36,342.79,351.63,344.35,330.48,306.67,306.64,312.58,334.12,333.51,326.84,329.49,327.57,324.92,314.47,319.03,316.85,313.23,308.96,306.28,302.50,297.22,308.30,324.71,333.24,345.54,352.55,341.86,340.83,335.14,327.43,324.49,324.87,318.34,328.06,325.69,313.53,299.69,290.59,290.35,284.87,278.42,276.43,284.25,295.22,L7
2002-03-11 22:01:31+00:00,,,,,,,,,,353.40,329.77,312.13,312.67,317.19,331.49,336.09,335.31,331.40,331.02,326.82,317.31,317.29,321.98,314.99,310.19,305.12,296.71,294.11,303.52,317.73,334.45,343.54,345.71,347.86,336.43,332.35,329.68,324.84,323.61,324.45,333.95,325.17,320.17,302.63,294.64,288.94,286.08,277.36,280.68,291.31,297.77,L7
2002-04-12 22:01:25+00:00,330.97,313.14,304.16,307.95,306.67,317.23,344.48,353.68,367.31,355.47,333.59,310.43,309.52,314.51,329.98,335.19,333.99,332.95,334.16,331.95,325.17,322.96,327.90,324.10,317.80,307.25,296.76,295.20,303.27,323.46,335.97,342.33,344.89,346.12,339.34,338.64,330.38,329.22,326.14,322.19,329.46,322.78,319.82,301.89,293.92,292.89,283.40,277.93,282.11,292.00,296.79,L7
2002-05-07 21:55:15+00:00,326.34,312.70,300.02,302.13,307.53,315.45,333.16,341.75,349.69,345.53,324.99,303.70,307.59,314.97,329.38,331.10,329.68,331.30,322.01,320.23,311.96,312.78,315.25,310.77,306.66,301.82,296.57,290.88,296.95,316.88,335.37,341.09,345.15,344.95,339.81,334.28,325.33,318.70,316.59,315.64,325.15,319.76,313.56,299.19,289.25,284.55,280.79,274.57,274.58,277.23,280.71,L7
2002-05-30 22:01:13+00:00,321.35,306.01,307.71,310.77,309.82,319.51,341.33,352.40,354.98,348.15,332.30,305.29,306.56,307.60,324.41,327.65,321.01,319.78,312.44,310.39,309.44,312.59,321.27,305.73,300.70,297.61,293.77,292.05,298.50,308.98,329.37,339.34,338.21,328.13,321.42,315.41,306.10,305.29,298.18,302.36,316.70,309.03,306.56,288.88,272.77,275.25,271.26,256.21,257.74,263.56,271.83,L7
2002-07-17 22:00:56+00:00,341.23,316.94,298.60,303.17,307.34,,371.27,,,,,331.56,329.58,315.49,347.72,,,,,,,,,,,,,287.74,296.68,332.62,336.42,343.35,354.23,350.78,341.70,,,,,,,,,,,,,,,,,L7
2002-08-02 22:00:49+00:00,,,,319.97,316.19,325.35,366.10,362.69,,380.91,,318.63,323.98,317.81,360.34,354.13,,,,,,332.47,326.85,327.78,,319.81,307.59,296.51,308.01,326.88,338.44,340.78,347.41,345.28,345.03,341.48,326.99,328.38,325.63,338.54,346.68,338.26,326.20,313.89,297.11,308.89,293.87,281.67,280.36,301.90,,L7
2002-08-18 22:00:45+00:00,,,291.57,293.42,296.15,303.10,320.86,329.17,340.73,335.15,320.56,295.19,297.68,297.00,317.28,319.20,312.02,312.93,310.89,308.10,298.39,298.27,302.10,302.24,296.08,288.97,283.43,279.49,284.76,301.34,320.53,328.64,327.50,331.88,322.68,321.04,313.40,304.16,301.94,305.92,315.49,309.77,306.47,292.21,274.64,274.98,265.27,262.52,265.62,269.14,274.83,L7
2002-08-27 21:54:24+00:00,328.58,309.86,299.84,300.04,303.32,314.14,337.34,345.48,354.16,346.37,330.70,301.94,305.37,308.29,324.80,330.28,325.65,326.08,322.96,322.08,312.96,312.45,313.70,308.60,310.13,299.40,294.66,285.44,294.59,308.75,327.58,336.37,337.53,341.65,336.18,328.89,322.73,314.70,310.87,313.21,321.01,318.85,314.72,299.42,281.53,281.95,275.16,272.25,272.24,279.90,283.63,L7
2002-10-14 21:54:07+00:00,329.37,310.30,305.77,305.66,308.53,336.02,349.14,353.34,370.12,370.55,,315.12,315.40,315.71,330.69,339.35,337.61,337.75,347.22,351.93,331.96,321.75,320.90,323.43,329.89,303.61,291.06,297.11,301.62,319.65,339.03,344.00,351.36,345.45,339.14,336.20,333.23,326.94,327.30,331.07,332.67,327.21,319.10,308.23,296.29,289.74,286.08,275.80,280.99,295.39,312.48,L7
2002-11-22 22:00:45+00:00,321.78,308.01,299.36,299.43,295.83,311.75,333.86,342.59,354.27,347.46,325.73,297.77,300.06,307.67,326.55,331.34,325.38,326.61,328.45,323.50,309.56,314.09,320.30,312.82,304.20,292.44,287.67,286.88,294.94,314.30,330.66,335.90,341.73,343.32,331.77,331.70,328.36,326.01,321.19,316.20,324.53,323.12,313.64,299.82,290.17,289.49,278.49,271.24,275.39,290.45,296.73,L7
