dates,nzd0561-0000,nzd0561-0001,nzd0561-0002,nzd0561-0003,nzd0561-0004,nzd0561-0005,nzd0561-0006,nzd0561-0007,nzd0561-0008,nzd0561-0009,satname
1999-08-08 22:19:52+00:00,309.16,301.49,304.73,318.43,328.05,319.38,322.43,316.43,326.10,333.05,L7
1999-10-27 22:19:51+00:00,317.56,307.09,309.38,321.43,328.22,322.00,324.81,318.12,321.38,321.11,L7
1999-11-05 22:14:04+00:00,317.56,307.90,310.44,321.84,327.68,322.27,324.24,317.75,320.24,320.54,L7
1999-11-12 22:19:51+00:00,318.97,308.40,310.49,321.84,327.68,320.37,322.63,316.81,317.98,316.73,L7
1999-11-28 22:19:44+00:00,317.74,307.45,309.25,321.13,326.63,319.89,321.90,316.52,316.50,316.34,L7
1999-12-07 22:14:05+00:00,319.18,307.94,310.39,321.70,327.09,320.74,322.71,317.25,316.95,317.34,L7
2000-01-24 22:13:59+00:00,319.18,307.94,310.10,320.63,324.78,316.54,322.71,312.00,314.45,314.29,L7
2000-04-13 22:13:30+00:00,319.07,307.70,310.13,318.14,322.82,314.98,319.90,310.62,311.58,310.95,L7
2000-04-20 22:19:15+00:00,318.41,309.53,311.07,319.29,323.90,315.93,320.82,311.63,311.84,312.13,L7
2000-06-07 22:18:48+00:00,306.09,306.75,309.95,315.23,321.71,312.19,319.45,305.64,309.38,311.65,L7
2000-08-10 22:18:02+00:00,306.09,307.27,311.59,316.41,325.16,319.66,320.13,315.30,314.57,318.68,L7
2000-09-20 22:11:38+00:00,309.23,307.14,310.63,316.94,326.16,320.42,321.71,319.05,317.46,319.33,L7
2000-09-27 22:17:24+00:00,316.22,307.41,310.64,317.48,325.23,320.01,323.10,320.36,318.62,319.36,L7
2000-10-06 22:11:35+00:00,316.22,307.41,309.02,317.55,324.79,319.22,322.29,318.60,317.07,318.71,L7
2000-10-29 22:17:19+00:00,319.11,307.02,308.81,319.01,325.09,320.93,324.70,320.60,319.07,318.19,L7
2000-11-07 22:11:29+00:00,319.11,307.02,308.81,319.01,325.09,320.93,324.70,320.60,317.40,317.62,L7
