dates,satname,nzd0561-0000,nzd0561-0001,nzd0561-0002,nzd0561-0003,nzd0561-0004,nzd0561-0005,nzd0561-0006,nzd0561-0007,nzd0561-0008,nzd0561-0009
1999-08-08 22:19:52+00:00,L7,302.12,296.26,296.63,311.68,321.57,313.79,318.38,312.38,319.06,322.25
1999-10-27 22:19:51+00:00,L7,336.13,320.24,325.74,334.18,337.75,332.70,333.04,325.65,326.82,324.77
1999-11-05 22:14:04+00:00,L7,396.65,307.47,309.34,320.00,324.03,320.59,321.51,315.42,315.19,315.12
1999-11-12 22:19:51+00:00,L7,326.83,313.63,316.45,,,318.67,320.70,316.89,316.22,313.04
1999-11-28 22:19:44+00:00,L7,315.27,304.57,305.71,320.16,324.61,318.94,319.65,316.05,311.81,316.65
1999-12-07 22:14:05+00:00,L7,328.92,313.31,320.68,327.80,332.62,328.13,329.07,323.19,323.19,328.48
2000-01-24 22:13:59+00:00,L7,,,317.96,323.28,320.89,297.99,,285.35,307.81,308.76
2000-04-13 22:13:30+00:00,L7,301.13,294.54,296.30,296.32,309.43,302.54,301.28,302.46,298.57,298.22
2000-04-20 22:19:15+00:00,L7,323.32,326.54,327.08,334.01,337.92,329.01,331.03,323.39,321.79,332.96
2000-06-07 22:18:48+00:00,L7,296.35,301.04,310.97,317.71,328.60,327.83,327.48,317.62,320.23,323.31
2000-08-10 22:18:02+00:00,L7,402.03,304.37,308.00,314.27,321.49,316.49,318.73,315.72,314.21,314.88
2000-09-20 22:11:38+00:00,L7,316.48,305.01,304.32,316.99,328.18,321.77,326.77,332.81,326.83,318.62
2000-09-27 22:17:24+00:00,L7,347.65,311.36,314.67,323.49,323.76,320.70,332.08,328.91,327.92,324.81
2000-10-06 22:11:35+00:00,L7,,,292.73,312.50,316.89,309.95,314.09,304.72,302.01,306.00
2000-10-29 22:17:19+00:00,L7,394.91,317.15,321.50,328.54,331.04,328.36,328.72,323.49,322.63,320.56
2000-11-07 22:11:29+00:00,L7,,,,,,,,,300.93,304.39
2000-12-25 22:11:38+00:00,L7,311.90,307.87,315.77,322.69,325.53,325.88,322.40,320.37,317.02,317.07
2001-01-26 22:11:42+00:00,L7,316.87,312.57,316.94,324.32,326.03,323.77,319.57,315.15,313.23,315.61
2001-02-11 22:11:36+00:00,L7,323.46,314.70,319.23,326.92,330.13,324.93,321.28,316.37,318.70,317.78
2001-03-06 22:17:18+00:00,L7,316.48,310.55,310.78,317.50,320.41,314.51,313.55,305.77,302.93,301.32
2001-03-22 22:17:33+00:00,L7,,,,,,,,,,329.64
2001-04-07 22:17:01+00:00,L7,324.98,321.16,325.24,329.11,334.26,326.43,324.78,320.60,317.96,324.79
2001-05-02 22:11:15+00:00,L7,396.69,309.25,310.18,320.44,324.81,319.17,314.83,311.20,305.45,306.23
2001-07-05 22:10:33+00:00,L7,302.10,338.18,340.44,,348.50,345.25,345.27,341.11,332.85,351.46
2001-07-28 22:16:09+00:00,L7,422.87,296.65,293.07,302.35,305.94,292.99,297.14,297.56,297.34,298.09
2001-11-01 22:15:17+00:00,L7,316.65,307.28,316.06,326.62,333.39,328.65,329.08,322.82,323.52,320.02
2001-11-26 22:09:45+00:00,L7,316.95,306.83,,,,321.34,321.30,319.05,315.31,315.79
2001-12-19 22:15:37+00:00,L7,332.06,313.99,314.91,325.54,330.38,323.64,322.22,317.92,316.50,315.15
2002-03-18 22:09:57+00:00,L7,315.51,308.59,317.78,326.42,338.31,,,,325.61,
2002-03-25 22:15:47+00:00,L7,312.58,300.53,300.51,312.27,318.80,314.90,315.21,312.22,303.87,307.30
2002-04-10 22:16:11+00:00,L7,,,,,338.81,340.88,334.16,327.60,321.90,325.13
2002-07-31 22:15:11+00:00,L7,315.74,322.36,330.76,337.61,339.75,339.28,338.74,336.00,333.60,336.95
2002-11-13 22:09:06+00:00,L7,313.58,298.66,301.48,312.08,318.89,311.09,307.71,308.00,306.26,308.42
2002-12-06 22:15:13+00:00,L7,422.87,313.13,314.32,326.70,328.89,319.06,321.19,316.34,314.14,315.38
2003-02-01 22:09:45+00:00,L7,321.14,321.93,318.86,330.79,332.62,325.73,321.60,319.87,319.30,324.22
2003-03-21 22:09:51+00:00,L7,366.48,322.90,330.28,337.15,341.32,335.93,332.38,333.98,336.22,334.10
2003-04-13 22:15:43+00:00,L7,319.72,316.68,316.39,323.44,324.20,327.78,320.20,317.67,316.99,316.97
2003-05-24 22:09:52+00:00,L7,396.66,302.50,,,,319.83,308.09,312.48,308.56,308.27
2003-08-03 22:15:46+00:00,L7,425.79,324.90,336.56,349.79,354.19,346.14,340.32,334.13,,
2003-08-11 22:03:51+00:00,L5,430.23,326.31,329.27,341.87,345.49,345.02,342.16,339.24,336.05,339.07
2003-08-12 22:09:35+00:00,L7,313.31,317.69,327.22,335.06,341.25,337.30,334.27,327.70,326.19,333.57
2003-09-20 22:15:34+00:00,L7,,,,,,,,,,319.78
2003-10-07 21:58:59+00:00,L5,404.32,315.21,319.56,333.59,335.10,329.96,333.83,333.13,325.31,334.51
2003-11-07 22:15:25+00:00,L7,,285.11,303.84,318.68,324.70,321.47,319.44,317.15,314.64,319.54
2003-11-23 22:15:38+00:00,L7,,,,,,322.01,319.78,316.03,315.95,314.87
2003-12-09 22:15:42+00:00,L7,,,,329.73,331.77,324.87,320.31,316.32,312.94,314.14
2003-12-26 21:59:54+00:00,L5,411.57,327.50,324.39,325.60,330.29,323.11,323.31,317.26,329.49,330.49
2004-01-27 22:00:01+00:00,L5,404.26,325.14,324.70,335.48,341.70,335.81,334.47,326.70,325.95,329.62
2004-02-11 22:16:29+00:00,L7,,,,,,,,,,
2004-02-19 22:05:55+00:00,L5,317.70,309.88,316.31,322.13,325.95,319.68,317.47,315.53,314.14,320.90
2004-03-07 22:10:23+00:00,L7,,,,,,,,,,330.08
2004-03-31 22:00:23+00:00,L5,,,,324.37,325.46,320.57,317.71,320.44,317.57,320.34
2004-04-23 22:06:53+00:00,L5,415.30,329.29,332.87,344.73,342.40,335.28,335.34,337.70,335.16,343.81
2004-04-24 22:10:19+00:00,L7,,,,,,,130.89,,,
2004-05-02 22:01:21+00:00,L5,407.45,310.72,313.82,323.57,321.38,310.67,326.33,323.03,320.67,314.61
2004-05-09 22:07:21+00:00,L5,415.34,332.77,337.00,345.91,349.08,339.46,338.51,333.50,333.19,338.85
2004-05-17 22:16:09+00:00,L7,400.87,320.62,327.77,326.97,337.97,330.02,328.36,326.71,315.57,317.51
2004-06-10 22:08:17+00:00,L5,311.56,298.99,317.60,323.14,334.17,326.96,332.16,324.38,323.37,314.97
2004-07-05 22:03:15+00:00,L5,309.24,,340.70,334.63,339.30,331.78,332.95,331.77,340.91,354.31
2004-07-12 22:09:13+00:00,L5,296.16,310.34,325.70,324.73,338.92,327.79,323.21,314.43,306.67,311.65
2004-07-20 22:15:54+00:00,L7,416.82,328.05,331.19,343.19,347.08,341.94,336.04,330.62,337.15,340.20
2004-07-21 22:03:39+00:00,L5,404.45,327.73,330.19,342.74,349.49,343.54,340.82,333.42,337.76,345.28
2004-07-29 22:10:02+00:00,L7,303.32,310.62,313.98,327.29,332.00,324.91,322.61,320.90,313.64,318.01
2004-08-14 22:09:59+00:00,L7,313.86,320.77,321.05,323.70,334.93,332.97,330.12,,,
2004-08-29 22:10:22+00:00,L5,415.29,328.14,328.41,333.73,342.28,341.27,337.72,329.12,328.97,335.82
2004-09-06 22:15:40+00:00,L7,316.42,311.03,310.99,318.98,336.83,335.96,332.06,,,
2004-09-15 22:09:49+00:00,L7,318.58,309.83,317.11,323.78,333.12,,,,,328.05
2004-09-30 22:11:09+00:00,L5,400.35,322.48,327.34,333.84,341.22,331.81,333.56,330.75,333.52,339.05
2004-10-17 22:09:50+00:00,L7,342.82,,323.61,336.61,332.23,329.60,324.53,321.45,319.54,333.68
2004-10-24 22:15:44+00:00,L7,,,,,,,,293.52,299.86,301.22
2004-11-01 22:11:49+00:00,L5,400.34,331.26,331.47,340.94,344.73,339.94,337.85,335.10,332.23,330.35
2004-12-03 22:12:25+00:00,L5,,,,,,,324.00,326.12,321.88,321.25
2004-12-04 22:10:19+00:00,L7,314.75,300.99,53.95,61.91,54.33,,,,,
2005-01-13 22:07:16+00:00,L5,419.20,331.80,328.04,338.69,354.87,335.84,333.99,327.39,333.47,345.47
2005-01-28 22:16:23+00:00,L7,,,324.87,343.97,343.80,334.82,331.07,328.03,323.73,328.45
2005-02-13 22:16:33+00:00,L7,316.75,302.32,314.13,,,,,63.13,,
2005-04-02 22:16:37+00:00,L7,,,,,315.76,312.87,312.29,307.82,305.05,309.81
2005-04-11 22:10:46+00:00,L7,330.82,327.12,326.07,336.53,342.25,336.44,335.30,,,
2005-05-12 22:14:14+00:00,L5,,,,,,,,,,
2005-05-13 22:10:48+00:00,L7,309.57,317.50,320.97,,333.64,329.66,324.96,321.87,,
2005-06-05 22:16:29+00:00,L7,,,,,,328.80,324.82,323.64,321.32,329.65
2005-06-13 22:14:31+00:00,L5,309.01,,326.82,349.20,352.41,342.21,340.41,333.93,331.91,342.28
2005-06-21 22:16:23+00:00,L7,,,,,,,,,,
2005-06-22 22:08:46+00:00,L5,307.99,324.31,328.73,349.33,358.13,350.37,343.05,336.98,338.71,353.25
2005-07-15 22:14:43+00:00,L5,304.63,302.95,304.68,311.35,319.22,318.20,320.19,319.26,313.82,319.52
2005-07-24 22:09:02+00:00,L5,422.62,328.85,321.92,332.56,340.69,334.02,334.62,346.99,343.17,362.97
2005-08-09 22:09:10+00:00,L5,391.05,330.61,328.96,343.58,349.74,344.46,341.67,340.44,340.59,340.00
2005-08-17 22:10:30+00:00,L7,316.39,310.54,320.82,332.86,342.50,,,,,337.98
2005-08-25 22:09:16+00:00,L5,318.06,309.82,313.96,328.21,334.59,328.06,325.18,319.98,316.35,323.50
2005-09-02 22:10:22+00:00,L7,,,,,,,,325.81,327.03,322.55
2005-09-09 22:16:04+00:00,L7,337.03,324.93,329.98,337.31,342.25,335.94,335.45,330.00,328.88,328.46
2005-09-10 22:09:19+00:00,L5,419.43,330.33,330.96,336.78,342.71,339.51,339.03,334.59,330.88,332.99
2005-10-11 22:16:02+00:00,L7,,,296.94,313.87,319.23,311.90,310.24,311.74,307.51,308.26
2005-11-13 22:09:32+00:00,L5,404.29,318.15,323.30,334.08,335.60,334.75,330.16,330.17,322.61,329.06
2005-12-30 22:17:07+00:00,L7,,,327.35,333.67,341.01,335.65,334.32,331.51,330.96,
2006-01-15 22:16:51+00:00,L7,342.66,330.07,331.75,340.79,,,,,,
2006-01-23 22:16:59+00:00,L5,430.24,331.75,331.95,338.86,341.48,335.45,333.34,334.53,333.47,338.64
2006-02-09 22:11:13+00:00,L7,,,313.85,328.03,331.44,324.00,323.64,319.44,315.21,322.94
2006-02-17 22:11:46+00:00,L5,391.60,341.31,341.61,349.41,352.43,344.75,345.26,341.08,340.16,348.76
2006-02-24 22:17:41+00:00,L5,314.04,298.72,319.07,326.58,331.69,323.95,324.68,326.72,323.03,332.57
2006-02-25 22:11:16+00:00,L7,317.44,311.78,313.83,323.84,326.39,322.14,319.44,316.27,320.13,315.38
2006-03-12 22:18:01+00:00,L5,385.31,326.82,324.19,326.46,332.70,327.83,324.92,326.48,324.47,320.84
2006-03-29 22:11:16+00:00,L7,337.27,325.26,327.07,336.72,338.27,,,,,328.58
2006-04-29 22:18:53+00:00,L5,385.23,334.39,330.02,,,,,340.65,354.31,352.45
2006-05-23 22:17:02+00:00,L7,,,,,,,,,,312.00
2006-05-31 22:19:19+00:00,L5,415.23,325.58,330.44,334.58,344.15,337.42,343.05,339.60,336.89,341.80
2006-06-16 22:19:34+00:00,L5,307.48,306.24,324.79,328.24,333.78,329.67,332.31,315.38,313.26,319.55
2006-06-24 22:16:54+00:00,L7,,,,,,,,,,
2006-07-03 22:11:04+00:00,L7,301.45,294.01,300.33,311.36,325.66,317.25,324.50,,,
2006-07-19 22:10:56+00:00,L7,299.78,292.27,296.28,312.09,,,,,311.12,313.03
2006-08-11 22:17:02+00:00,L7,,,,,,,,,,
2006-08-28 22:14:47+00:00,L5,335.51,329.94,335.72,341.45,348.31,342.61,338.28,323.37,322.19,323.27
2006-09-28 22:16:24+00:00,L7,,,317.25,333.60,328.57,326.88,327.86,325.16,317.90,321.51
2006-10-15 22:15:19+00:00,L5,307.02,299.10,295.48,305.81,311.68,308.94,306.93,310.20,305.31,310.25
2007-01-02 22:17:11+00:00,L7,,,,,,,,,,328.38
2007-01-26 22:21:54+00:00,L5,430.12,319.43,322.85,330.41,342.09,337.79,331.20,329.91,,
2007-02-03 22:17:19+00:00,L7,,,319.63,334.45,341.36,337.78,332.35,329.76,334.29,337.76
2007-02-04 22:16:09+00:00,L5,404.28,320.62,321.49,331.98,337.24,334.79,329.10,325.00,329.99,342.85
2007-02-19 22:17:25+00:00,L7,,,,,,,,,351.61,353.85
2007-03-23 22:17:30+00:00,L7,,,,,,,,,318.66,326.41
2007-06-11 22:17:14+00:00,L7,,,,,,,,,302.61,311.66
2007-07-06 22:11:24+00:00,L7,306.73,301.81,,,,,325.83,331.78,317.42,317.08
2007-08-07 22:11:16+00:00,L7,411.87,291.01,292.85,304.16,309.79,300.71,304.94,306.36,302.70,301.25
2007-08-14 22:17:00+00:00,L7,377.77,,316.51,336.68,345.33,341.52,334.50,333.90,341.06,351.66
2007-10-17 22:16:47+00:00,L7,,,,,,,,,311.07,311.12
2007-12-04 22:17:13+00:00,L7,,,,,,,,,,307.08
2007-12-20 22:17:17+00:00,L7,409.57,307.72,309.68,317.34,322.56,313.53,312.00,304.60,301.96,299.15
2008-01-05 22:17:19+00:00,L7,392.79,,,326.91,333.40,324.00,318.94,311.49,305.76,303.67
2008-01-30 22:11:31+00:00,L7,325.40,312.06,318.17,327.07,330.52,323.05,315.43,307.60,301.78,304.73
2008-03-18 22:11:19+00:00,L7,,,,,,,,321.37,312.61,312.01
2008-03-25 22:17:07+00:00,L7,,,,,,,,,333.41,340.82
2008-05-28 22:16:51+00:00,L7,,,,,,,,319.59,298.39,311.09
2008-06-22 22:10:50+00:00,L7,302.58,,,,,,,,,
2008-06-29 22:16:33+00:00,L7,286.93,292.05,293.55,,,,,,,
2008-09-01 22:15:59+00:00,L7,317.90,312.88,318.08,331.23,337.86,332.58,,,,
2008-10-12 22:09:49+00:00,L7,351.55,314.69,321.65,324.79,326.98,320.75,319.74,315.51,315.03,
2008-10-19 22:15:43+00:00,L7,331.89,319.26,324.72,333.99,335.97,331.49,326.21,321.40,316.37,315.87
2008-10-20 22:05:05+00:00,L5,324.04,310.63,313.57,322.03,326.12,318.24,321.81,318.83,316.56,322.37
2008-10-27 22:10:37+00:00,L5,370.31,322.00,322.84,332.24,335.37,331.76,326.67,320.41,317.52,317.83
2008-11-04 22:15:58+00:00,L7,,,,,,,,,,311.07
2008-11-13 22:10:19+00:00,L7,366.01,329.77,329.59,337.32,343.45,338.08,332.68,328.65,330.65,329.73
2008-11-28 22:10:42+00:00,L5,370.29,325.86,326.21,341.17,345.25,340.70,334.87,331.27,327.51,330.56
2008-12-22 22:16:31+00:00,L7,422.89,314.85,319.07,327.40,334.05,325.49,320.90,318.52,309.57,316.53
2008-12-31 22:10:49+00:00,L7,,,,,,,,,305.58,304.97
2009-01-31 22:12:28+00:00,L5,324.73,319.76,323.32,333.95,337.26,336.61,330.34,328.65,324.83,327.20
2009-02-09 22:06:55+00:00,L5,329.94,322.63,323.88,335.62,338.79,333.92,333.88,330.15,327.49,324.91
2009-03-28 22:17:13+00:00,L7,,,,,,,,324.43,323.87,324.28
2009-05-15 22:17:24+00:00,L7,408.02,,,,,,,,,
2009-05-24 22:11:38+00:00,L7,390.86,,,,,,,,,
2009-07-18 22:17:16+00:00,L7,301.57,285.84,300.87,,,,,,,
2009-09-04 22:17:08+00:00,L7,316.72,310.82,317.40,330.18,333.43,,,,,
2009-11-23 22:17:41+00:00,L7,,,,,,321.84,320.76,315.29,309.07,311.82
2010-01-27 22:12:02+00:00,L5,301.18,299.76,298.90,305.89,314.46,318.76,316.03,,,
2010-02-12 22:12:05+00:00,L5,325.94,316.91,323.67,333.93,337.64,332.91,332.32,327.66,327.36,322.98
2010-02-20 22:13:09+00:00,L7,355.09,311.83,321.07,333.07,333.49,328.64,,,,
2010-04-09 22:13:24+00:00,L7,,,,,327.12,317.60,315.80,308.85,,
