dates,satname,nzd0244-0000,nzd0244-0001,nzd0244-0002,nzd0244-0003,nzd0244-0004,nzd0244-0005,nzd0244-0006,nzd0244-0007,nzd0244-0008,nzd0244-0009,nzd0244-0010,nzd0244-0011,nzd0244-0012,nzd0244-0013,nzd0244-0014,nzd0244-0015,nzd0244-0016,nzd0244-0017,nzd0244-0018,nzd0244-0019,nzd0244-0020,nzd0244-0021,nzd0244-0022,nzd0244-0023,nzd0244-0024,nzd0244-0025,nzd0244-0026,nzd0244-0027,nzd0244-0028,nzd0244-0029,nzd0244-0030,nzd0244-0031,nzd0244-0032,nzd0244-0033,nzd0244-0034,nzd0244-0035,nzd0244-0036,nzd0244-0037,nzd0244-0038,nzd0244-0039,nzd0244-0040,nzd0244-0041,nzd0244-0042,nzd0244-0043,nzd0244-0044,nzd0244-0045,nzd0244-0046,nzd0244-0047,nzd0244-0048,nzd0244-0049,nzd0244-0050,nzd0244-0051,nzd0244-0052,nzd0244-0053,nzd0244-0054,nzd0244-0055,nzd0244-0056,nzd0244-0057,nzd0244-0058,nzd0244-0059,nzd0244-0060,nzd0244-0061,nzd0244-0062,nzd0244-0063,nzd0244-0064,nzd0244-0065,nzd0244-0066,nzd0244-0067,nzd0244-0068,nzd0244-0069,nzd0244-0070,nzd0244-0071,nzd0244-0072,nzd0244-0073,nzd0244-0074,nzd0244-0075,nzd0244-0076,nzd0244-0077,nzd0244-0078,nzd0244-0079,nzd0244-0080,nzd0244-0081,nzd0244-0082,nzd0244-0083,nzd0244-0084,nzd0244-0085,nzd0244-0086,nzd0244-0087,nzd0244-0088,nzd0244-0089,nzd0244-0090,nzd0244-0091
1999-12-25 21:58:52+00:00,L7,364.20,382.37,390.04,392.36,398.50,387.93,373.31,354.21,339.90,326.28,305.42,299.82,293.05,293.97,291.75,295.53,312.10,353.82,378.35,405.34,415.79,419.95,417.10,406.69,413.52,415.26,409.82,404.77,393.94,389.39,393.05,384.85,379.58,372.32,370.71,371.75,360.82,355.73,357.53,365.19,376.07,385.34,392.66,398.24,401.80,402.69,410.40,408.19,403.97,401.50,406.54,402.46,403.20,406.26,408.12,413.54,408.06,411.46,408.36,409.57,412.57,410.48,409.39,403.07,404.16,408.26,405.58,396.67,389.60,370.48,366.63,362.69,351.51,328.88,308.93,287.69,,,,,,,274.20,307.85,330.42,309.66,270.52,224.58,219.16,230.40,259.20,307.19
2000-01-10 21:58:52+00:00,L7,372.07,391.55,407.01,405.76,407.24,396.47,377.49,358.59,342.00,332.06,314.09,300.24,295.96,299.37,292.24,304.90,325.46,358.90,392.28,423.19,435.35,434.84,435.59,440.17,440.07,440.55,437.38,424.34,410.15,400.99,402.12,401.81,389.03,383.79,383.03,384.98,376.73,371.24,372.86,386.57,395.71,400.41,401.23,411.14,415.16,429.92,433.16,428.43,430.65,427.15,424.74,427.24,426.49,426.94,427.62,429.23,431.49,427.30,422.60,421.70,422.25,429.95,434.16,428.46,427.38,423.32,423.35,409.41,398.51,389.71,376.99,378.21,375.06,365.05,346.21,323.73,326.18,,,,,,288.20,316.40,332.62,323.72,279.07,237.15,227.38,241.29,270.14,307.06
2000-02-27 21:58:40+00:00,L7,,,408.28,420.53,411.72,402.46,389.06,,,,,,,311.25,316.38,333.23,362.75,,448.44,485.23,496.72,501.92,490.30,460.56,453.50,456.75,457.71,441.56,429.70,440.33,445.93,444.78,423.47,416.41,415.14,407.51,395.56,398.26,429.90,423.77,430.02,451.77,452.30,448.23,440.32,445.47,456.56,464.92,470.27,459.98,453.91,445.80,445.68,449.40,452.19,460.56,466.72,458.64,450.28,447.22,440.20,447.66,455.56,460.92,457.35,442.58,423.27,418.78,426.69,409.98,418.38,407.98,398.58,424.67,482.82,486.48,469.82,463.65,,,,,,,,296.85,,251.91,242.63,250.40,287.91,334.67
2000-03-14 21:58:35+00:00,L7,365.83,385.78,402.90,409.48,405.55,398.13,387.83,370.53,347.99,341.20,328.77,311.60,323.35,318.00,310.90,329.12,368.57,426.93,485.12,492.83,516.34,542.40,,,,467.68,439.47,437.39,448.48,,,,,462.90,,414.23,400.17,394.71,407.93,425.92,432.34,,,,,,,,,,,,,,,,,,,,,,,452.10,462.89,485.70,482.20,460.58,453.94,405.34,413.86,410.58,404.63,412.66,,489.43,481.19,477.43,,,,,483.80,484.42,,323.74,,258.47,239.66,251.98,281.78,337.89
2000-03-30 21:58:33+00:00,L7,359.27,369.87,387.51,398.12,404.25,392.07,376.01,359.42,332.83,326.07,306.58,291.95,298.28,296.74,298.61,316.57,353.23,405.58,441.93,452.75,466.32,493.08,493.21,491.70,474.07,453.91,433.16,437.64,441.34,424.76,426.13,417.10,408.45,400.55,395.64,400.46,390.64,389.06,400.02,414.78,420.98,416.60,418.07,416.60,418.16,429.98,432.71,440.15,445.73,446.65,437.35,434.62,428.32,428.84,431.10,443.93,443.26,443.57,443.08,438.21,439.23,438.58,440.54,438.73,443.63,451.95,438.76,428.84,409.81,398.70,394.76,386.97,383.90,384.24,388.03,406.27,391.54,373.78,,,,,420.31,431.37,,327.17,294.66,243.94,236.68,241.31,269.90,310.84
2000-04-15 21:58:19+00:00,L7,359.36,369.61,379.72,394.19,387.65,385.03,370.75,353.94,336.47,321.52,303.07,287.75,292.19,290.78,294.96,308.54,343.33,387.31,422.49,430.70,436.71,461.09,465.97,463.54,456.64,432.18,422.12,422.36,416.90,412.88,407.99,401.70,389.71,387.94,380.86,375.31,371.90,372.51,380.73,388.46,400.89,406.67,406.18,406.11,401.89,409.67,421.11,428.14,433.01,428.12,424.64,422.35,413.72,409.62,416.00,425.55,432.06,433.51,431.04,426.52,423.98,417.80,419.17,419.88,424.58,421.22,412.51,401.09,387.19,373.43,370.28,365.84,355.89,352.47,357.22,365.99,362.74,345.40,,266.84,264.88,,315.41,353.12,335.40,354.44,355.55,,246.50,228.59,249.63,311.80
2000-08-21 21:57:26+00:00,L7,,,,,,,,,,304.03,287.79,289.42,283.94,289.84,311.19,,491.38,506.92,543.12,536.98,547.49,,,527.33,518.79,481.04,456.94,431.30,467.13,449.67,444.41,432.74,426.36,415.77,421.78,415.88,396.65,385.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:21+00:00,L7,,,,,,,,,,269.53,268.41,263.06,269.65,291.16,,400.51,436.89,455.86,469.33,482.02,491.24,490.28,479.55,476.27,464.71,447.90,428.59,412.88,404.83,395.77,395.87,397.94,393.60,387.60,375.30,367.80,360.92,361.62,371.86,385.18,382.87,383.86,384.85,392.43,391.76,404.01,410.95,405.23,406.81,410.98,416.17,419.32,418.72,419.55,421.38,415.92,411.11,411.82,413.75,411.37,407.46,409.59,409.36,403.87,404.44,400.59,402.95,403.15,397.19,396.65,397.35,394.88,389.65,379.61,389.58,400.65,,,,,,348.76,358.70,364.40,335.59,302.05,274.56,257.77,240.48,267.45,300.34,339.33
2001-03-17 21:56:16+00:00,L7,309.34,317.60,313.74,313.14,301.30,296.83,279.51,280.48,,,,,,,,,,,499.76,,626.73,576.98,,514.02,519.82,501.02,511.41,479.29,494.32,462.05,456.97,457.32,437.09,422.35,403.11,402.86,402.05,407.83,420.15,418.95,421.86,418.46,434.95,439.89,448.73,455.86,452.73,456.32,479.99,468.81,454.12,453.51,447.85,457.04,455.75,452.23,462.56,474.44,486.17,482.80,477.60,459.08,441.27,455.19,466.65,470.58,474.39,455.53,435.10,464.79,467.37,464.89,,402.98,,359.60,350.27,,,,,391.60,376.51,420.89,422.99,398.39,,290.68,293.64,313.63,329.88,341.82
2001-05-20 21:56:16+00:00,L7,,,267.95,259.23,249.14,230.62,240.08,250.10,255.75,,274.99,303.32,329.67,,,390.35,398.55,417.16,,478.21,,443.77,502.00,456.80,,400.17,381.57,384.82,354.63,349.28,353.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
