dates,nzd0244-0000,nzd0244-0001,nzd0244-0002,nzd0244-0003,nzd0244-0004,nzd0244-0005,nzd0244-0006,nzd0244-0007,nzd0244-0008,nzd0244-0009,nzd0244-0010,nzd0244-0011,nzd0244-0012,nzd0244-0013,nzd0244-0014,nzd0244-0015,nzd0244-0016,nzd0244-0017,nzd0244-0018,nzd0244-0019,nzd0244-0020,nzd0244-0021,nzd0244-0022,nzd0244-0023,nzd0244-0024,nzd0244-0025,nzd0244-0026,nzd0244-0027,nzd0244-0028,nzd0244-0029,nzd0244-0030,nzd0244-0031,nzd0244-0032,nzd0244-0033,nzd0244-0034,nzd0244-0035,nzd0244-0036,nzd0244-0037,nzd0244-0038,nzd0244-0039,nzd0244-0040,nzd0244-0041,nzd0244-0042,nzd0244-0043,nzd0244-0044,nzd0244-0045,nzd0244-0046,nzd0244-0047,nzd0244-0048,nzd0244-0049,nzd0244-0050,nzd0244-0051,nzd0244-0052,nzd0244-0053,nzd0244-0054,nzd0244-0055,nzd0244-0056,nzd0244-0057,nzd0244-0058,nzd0244-0059,nzd0244-0060,nzd0244-0061,nzd0244-0062,nzd0244-0063,nzd0244-0064,nzd0244-0065,nzd0244-0066,nzd0244-0067,nzd0244-0068,nzd0244-0069,nzd0244-0070,nzd0244-0071,nzd0244-0072,nzd0244-0073,nzd0244-0074,nzd0244-0075,nzd0244-0076,nzd0244-0077,nzd0244-0078,nzd0244-0079,nzd0244-0080,nzd0244-0081,nzd0244-0082,nzd0244-0083,nzd0244-0084,nzd0244-0085,nzd0244-0086,nzd0244-0087,nzd0244-0088,nzd0244-0089,nzd0244-0090,nzd0244-0091,satname
1999-12-25 21:58:52+00:00,392.20,410.37,413.37,415.69,418.50,405.43,393.31,374.21,357.40,343.78,325.42,319.82,310.55,311.47,309.25,315.53,332.10,373.82,393.91,425.34,435.79,439.95,440.43,430.02,433.52,435.26,429.82,424.77,413.94,406.89,410.55,400.41,393.58,387.88,384.71,387.31,376.38,369.73,371.53,379.19,391.63,400.90,408.22,412.24,417.36,418.25,425.96,423.75,421.47,417.06,422.10,416.46,417.20,420.26,423.68,429.10,422.06,427.02,423.92,427.07,426.57,424.48,424.95,417.07,418.16,423.82,423.08,414.17,409.60,390.48,389.96,382.69,374.84,352.21,328.93,311.02,,,,,,,291.70,327.85,345.98,322.39,284.52,238.58,233.16,245.96,276.70,321.19,L7
2000-01-10 21:58:52+00:00,390.13,408.96,416.86,417.39,418.59,405.95,391.12,372.12,354.70,342.92,325.47,315.75,308.25,310.42,305.75,315.93,334.50,372.07,397.54,429.98,441.28,443.11,444.68,441.76,442.51,443.62,439.31,430.27,417.76,408.94,411.34,405.56,395.30,390.28,387.87,390.59,381.00,374.49,376.19,386.88,398.12,405.10,409.17,415.69,420.71,428.53,434.00,430.53,431.06,426.55,427.87,425.85,425.85,427.60,430.10,433.61,430.77,431.61,427.71,429.38,428.41,431.22,434.00,426.76,426.77,428.01,428.22,416.79,409.77,395.81,390.14,386.16,381.62,365.29,343.28,324.04,,,,,,,294.95,327.84,343.75,326.69,285.79,241.87,234.27,248.07,278.42,318.12,L7
2000-02-27 21:58:40+00:00,390.13,408.96,407.00,411.44,410.30,399.54,384.43,372.12,354.70,342.92,325.47,315.75,308.25,305.45,304.04,315.70,337.91,372.07,409.84,442.40,453.76,456.71,452.88,441.03,440.17,442.00,439.45,428.03,415.74,414.15,417.62,413.96,400.49,394.32,392.76,391.56,381.19,378.21,389.90,394.98,404.08,415.99,418.88,422.34,422.58,429.51,436.86,437.33,438.88,433.03,431.88,428.30,428.26,430.67,432.79,437.93,438.56,435.95,430.56,430.08,428.14,432.50,436.52,433.95,432.76,428.20,421.32,412.20,409.41,394.53,392.55,387.44,380.27,378.09,343.28,324.04,448.82,438.45,,,,,294.95,327.84,343.75,312.93,285.79,241.01,232.86,244.18,276.33,319.44,L7
2000-03-14 21:58:35+00:00,372.70,391.90,400.14,405.12,404.11,394.81,380.28,364.92,346.63,336.51,319.90,307.70,307.45,304.21,301.38,314.05,340.58,383.69,424.77,450.00,464.41,473.13,452.88,441.03,440.17,443.42,434.45,425.37,418.93,414.15,417.62,413.96,400.49,394.32,392.76,393.34,382.04,378.84,390.90,399.21,407.26,415.99,418.88,422.34,422.58,429.51,436.86,437.33,438.88,433.03,431.88,428.30,428.26,430.67,432.79,437.93,438.56,435.95,430.56,430.08,428.14,432.50,436.52,434.99,436.80,438.69,432.16,419.92,415.54,392.24,392.05,388.22,380.53,380.90,343.28,324.04,453.34,443.94,,,,,294.95,327.84,343.75,312.45,285.79,241.88,231.06,242.24,273.32,320.55,L7
2000-03-30 21:58:33+00:00,368.04,385.09,396.75,402.85,403.40,393.61,378.68,362.62,342.37,333.09,315.64,302.83,304.35,302.07,300.18,313.81,342.37,388.24,427.62,449.81,464.05,476.38,461.88,452.61,447.72,444.77,433.45,427.08,422.67,415.99,418.93,414.02,401.83,395.16,392.83,394.19,383.18,380.36,392.21,401.81,409.42,415.42,417.96,420.25,420.75,428.90,435.10,437.31,439.78,435.71,432.52,429.23,427.62,429.56,431.65,438.71,439.08,437.13,432.97,431.30,430.26,433.37,436.80,435.22,437.64,440.76,432.83,421.06,413.65,392.79,391.72,387.23,380.34,380.70,356.96,324.04,453.34,418.82,,,,,294.95,327.84,343.75,314.92,287.88,241.77,231.66,241.48,271.99,318.09,L7
2000-04-15 21:58:19+00:00,371.59,387.28,397.58,405.07,403.92,394.93,380.51,364.65,344.49,334.08,316.90,303.59,305.22,302.94,302.06,316.08,345.67,391.82,429.21,449.77,462.63,476.98,467.10,459.20,453.28,445.82,434.71,429.44,424.85,418.67,420.04,414.49,402.05,396.65,393.08,393.48,383.75,381.25,392.50,401.78,410.45,416.60,418.53,420.06,419.91,427.99,435.23,438.41,441.73,437.13,433.88,430.49,427.48,428.21,431.45,439.01,440.32,439.34,435.52,433.64,431.65,432.89,436.21,434.86,437.66,439.95,432.19,420.48,412.39,392.70,391.82,386.81,379.93,379.66,361.74,324.04,453.34,407.06,,,,,307.27,342.55,345.85,314.92,287.88,241.77,236.34,241.77,271.01,319.24,L7
2000-08-21 21:57:26+00:00,359.22,372.82,387.94,398.92,396.58,389.42,375.20,359.68,337.68,328.18,300.48,289.11,303.19,293.92,299.01,316.15,375.40,425.62,445.05,471.24,484.26,493.91,482.05,479.28,470.18,449.86,433.42,425.59,432.25,427.03,426.24,419.75,408.10,400.84,399.45,396.10,384.41,382.06,400.65,409.23,416.61,424.27,424.78,422.98,419.38,427.63,436.05,443.66,448.84,444.18,437.89,433.59,428.57,428.62,432.36,442.61,446.68,444.50,440.73,436.48,433.80,434.01,437.68,438.91,443.11,445.92,434.19,422.32,413.70,391.15,392.66,387.13,379.08,386.85,380.20,,453.34,407.06,,,,,331.91,371.98,350.07,307.07,292.06,241.71,237.37,238.62,267.31,319.80,L7
2000-11-09 21:56:21+00:00,,,,,,,,,,,278.96,277.10,288.15,291.25,294.19,421.65,464.99,482.25,485.77,510.36,520.22,511.42,504.22,502.80,492.61,465.33,443.62,422.94,436.84,423.47,420.89,416.00,410.58,402.35,399.14,392.50,379.45,374.09,386.66,399.98,399.31,400.30,401.29,407.23,408.20,420.45,427.39,421.67,425.31,427.42,432.61,434.12,433.52,434.35,437.82,432.36,425.91,428.26,430.19,429.87,422.26,424.39,425.80,418.67,419.24,417.03,421.45,421.65,418.33,417.79,422.02,416.02,414.32,404.28,410.72,,,,,,,367.26,,385.54,352.03,315.50,289.36,272.57,255.28,283.89,,354.13,L7
2001-03-17 21:56:16+00:00,286.14,294.40,294.41,293.81,,,,,,,289.55,284.20,288.15,309.66,,421.65,458.03,477.00,486.32,503.16,512.38,511.42,504.22,497.81,494.55,476.75,449.73,448.37,425.97,430.91,428.42,429.40,416.94,406.75,390.81,387.11,383.26,386.33,397.61,403.67,404.14,402.94,411.68,417.76,422.02,431.71,433.62,432.55,445.40,441.67,436.92,438.01,434.88,439.89,440.34,435.85,438.44,444.90,451.74,449.09,444.13,435.94,427.09,431.13,437.14,437.36,440.67,431.34,418.43,433.00,435.03,432.17,414.32,393.96,410.72,340.27,,,,,,372.18,362.01,394.93,352.03,315.50,289.36,275.82,268.66,292.31,,342.18,L7
2001-05-20 21:56:16+00:00,286.14,294.40,293.35,288.69,,,,,,,295.85,324.18,347.92,,,411.21,419.41,438.02,486.87,499.07,,,526.33,487.91,503.25,484.45,,434.20,,447.55,442.47,444.43,425.49,409.46,391.51,389.97,389.16,396.23,408.55,407.35,408.97,405.57,422.06,428.29,435.84,442.97,439.84,443.43,465.49,455.92,441.23,441.91,436.25,445.44,442.86,439.34,450.96,461.55,473.28,468.30,466.00,447.48,428.38,443.59,455.05,457.69,459.89,441.03,418.53,448.22,448.04,448.32,,383.65,,340.27,,,,,,377.10,362.01,404.32,,,,279.08,282.04,300.74,,330.22,L7
