dates,satname,nzd0098-0000,nzd0098-0001,nzd0098-0002
1999-08-26 22:04:44+00:00,L7,,390.83,393.49
1999-09-27 22:04:48+00:00,L7,396.38,383.64,379.20
1999-11-14 22:04:42+00:00,L7,402.38,387.12,387.42
1999-11-30 22:04:35+00:00,L7,,,
2000-01-01 22:04:37+00:00,L7,390.17,369.55,392.71
2000-01-17 22:04:35+00:00,L7,408.49,402.76,402.38
2000-05-24 22:03:46+00:00,L7,403.63,392.26,389.82
2000-08-12 22:02:54+00:00,L7,412.53,396.64,399.46
2000-10-15 22:01:56+00:00,L7,,379.73,371.40
2001-01-03 22:02:12+00:00,L7,404.67,396.67,399.14
2001-03-08 22:02:09+00:00,L7,,381.29,379.71
2001-03-24 22:01:59+00:00,L7,396.94,384.54,377.16
2001-06-28 22:01:09+00:00,L7,414.38,396.52,399.47
2001-08-15 22:00:38+00:00,L7,,397.38,405.00
2001-10-02 22:00:04+00:00,L7,387.83,,
2001-12-21 22:00:29+00:00,L7,401.21,386.86,380.13
2002-01-22 22:00:40+00:00,L7,410.27,394.45,398.41
2002-03-27 22:00:37+00:00,L7,404.05,389.58,383.51
2002-06-15 22:00:19+00:00,L7,,391.75,391.23
2002-07-17 22:00:08+00:00,L7,422.31,398.67,404.33
2002-08-02 22:00:01+00:00,L7,,393.08,396.71
2003-08-05 22:00:11+00:00,L7,407.50,393.57,397.11
2003-09-14 21:49:18+00:00,L5,402.53,388.83,384.00
2003-09-30 21:49:30+00:00,L5,399.42,386.21,377.16
2003-11-09 22:00:18+00:00,L7,397.17,386.63,386.04
2003-11-25 22:00:29+00:00,L7,,,
2003-12-03 21:50:19+00:00,L5,419.71,399.65,395.78
2003-12-19 21:50:27+00:00,L5,409.90,396.59,392.22
2004-04-01 22:01:04+00:00,L7,411.69,394.76,396.08
2004-06-20 22:00:50+00:00,L7,397.09,387.10,376.03
2004-07-06 22:00:48+00:00,L7,397.41,387.84,382.73
2004-07-22 22:00:44+00:00,L7,405.94,390.36,388.49
2004-07-30 21:54:28+00:00,L5,416.42,409.01,400.66
2004-08-23 22:00:35+00:00,L7,409.80,392.95,399.63
2004-10-10 22:00:20+00:00,L7,404.61,395.74,396.75
2004-11-11 22:00:45+00:00,L7,393.10,390.07,
2004-11-27 22:00:53+00:00,L7,395.92,380.06,373.44
2004-12-21 21:57:36+00:00,L5,397.92,395.70,403.41
2005-01-14 22:01:13+00:00,L7,384.45,383.37,379.96
2005-02-15 22:01:25+00:00,L7,,,
2005-02-23 21:58:31+00:00,L5,404.13,389.21,384.73
2005-03-03 22:01:30+00:00,L7,418.86,,393.37
2005-03-11 21:58:44+00:00,L5,386.25,381.81,374.55
2005-04-28 21:58:59+00:00,L5,404.67,394.24,382.68
2005-05-06 22:01:25+00:00,L7,,,
2005-05-22 22:01:24+00:00,L7,,,
2005-07-09 22:01:14+00:00,L7,,390.06,388.69
2005-07-17 21:59:35+00:00,L5,415.69,403.26,395.21
2005-08-10 22:01:10+00:00,L7,401.96,389.46,385.93
2005-09-19 21:59:56+00:00,L5,401.63,377.91,369.83
2005-11-14 22:01:17+00:00,L7,404.04,393.33,394.41
2005-11-22 22:00:23+00:00,L5,405.51,385.84,381.80
2005-11-30 22:01:24+00:00,L7,397.21,385.48,384.97
2006-02-18 22:01:53+00:00,L7,388.37,379.31,371.32
2006-02-26 22:02:35+00:00,L5,,,
2006-04-07 22:01:51+00:00,L7,409.38,394.10,400.89
2006-05-17 22:03:57+00:00,L5,402.21,396.15,386.34
2006-06-10 22:01:49+00:00,L7,410.28,400.30,397.45
2006-07-28 22:01:30+00:00,L7,409.35,389.26,389.64
2006-10-16 22:01:19+00:00,L7,404.10,400.53,402.09
2006-11-25 22:06:19+00:00,L5,394.61,398.91,
2006-12-11 22:06:28+00:00,L5,421.52,,
2007-01-04 22:02:01+00:00,L7,396.65,385.62,377.27
2007-01-21 22:00:33+00:00,L5,,,
2007-05-12 22:02:11+00:00,L7,421.26,405.12,409.74
2007-05-28 22:02:04+00:00,L7,,402.25,401.06
2007-11-20 22:01:58+00:00,L7,409.85,394.15,401.57
2008-02-24 22:02:02+00:00,L7,379.13,370.87,368.64
2008-04-28 22:01:53+00:00,L7,405.83,390.81,393.79
2008-05-14 22:01:48+00:00,L7,415.93,401.75,403.45
2008-05-30 22:01:41+00:00,L7,415.35,412.37,404.11
2008-08-02 22:01:03+00:00,L7,393.22,383.49,382.91
2008-10-29 21:55:24+00:00,L5,397.69,376.94,358.18
2009-01-25 22:01:34+00:00,L7,393.42,383.87,
2009-02-02 21:57:22+00:00,L5,406.91,390.93,384.50
2009-06-02 22:02:15+00:00,L7,424.75,402.00,405.90
2009-06-18 22:02:13+00:00,L7,424.38,407.74,404.90
2009-07-04 22:02:11+00:00,L7,411.61,393.85,398.08
2009-07-20 22:02:06+00:00,L7,419.63,401.69,404.06
2009-08-05 22:02:01+00:00,L7,,396.80,396.54
2009-08-21 22:01:59+00:00,L7,393.74,384.18,373.97
2009-09-06 22:01:59+00:00,L7,,,377.47
2009-11-25 22:02:33+00:00,L7,397.26,392.04,394.71
2010-01-12 22:03:17+00:00,L7,400.90,388.73,386.19
2010-02-05 22:02:41+00:00,L5,402.53,,452.59
2010-03-17 22:03:57+00:00,L7,390.18,371.25,376.90
2010-05-04 22:03:59+00:00,L7,399.53,395.51,396.38
2010-06-21 22:03:58+00:00,L7,419.90,400.32,406.28
2010-07-07 22:04:01+00:00,L7,418.79,400.36,402.74
2010-07-23 22:04:02+00:00,L7,416.80,395.15,398.28
2010-11-12 22:04:30+00:00,L7,,,
2011-01-07 22:01:44+00:00,L5,396.93,379.38,368.92
2011-03-12 22:01:43+00:00,L5,407.45,394.86,388.87
2011-04-05 22:05:26+00:00,L7,,,
2011-05-07 22:05:25+00:00,L7,393.21,379.57,374.81
2011-05-23 22:05:23+00:00,L7,406.70,391.19,392.60
2011-07-10 22:05:20+00:00,L7,,408.64,404.68
2011-07-26 22:05:18+00:00,L7,418.56,408.85,404.15
2011-08-27 22:05:11+00:00,L7,,398.53,399.52
2011-09-12 22:05:05+00:00,L7,,387.48,386.69
2012-04-07 22:05:52+00:00,L7,391.96,372.82,370.30
2012-05-09 22:06:27+00:00,L7,379.42,368.15,366.88
2012-05-18 22:00:20+00:00,L7,,,399.90
2012-06-26 22:06:18+00:00,L7,410.04,394.80,395.03
2012-07-12 22:06:34+00:00,L7,,,
2012-08-13 22:06:56+00:00,L7,,,
2012-11-17 22:07:47+00:00,L7,383.20,369.24,360.81
2013-01-04 22:07:58+00:00,L7,,387.31,379.03
2013-02-05 22:08:01+00:00,L7,405.57,395.61,396.53
2013-03-09 22:07:57+00:00,L7,,,
2013-03-25 22:07:51+00:00,L7,400.38,394.34,392.39
2013-04-10 22:07:50+00:00,L7,,,356.88
2013-05-12 22:07:41+00:00,L7,,,
2013-05-20 22:13:50+00:00,L8,,404.09,401.85
2013-05-28 22:07:35+00:00,L7,,393.05,
2013-06-05 22:13:51+00:00,L8,,398.87,396.26
2013-06-21 22:13:43+00:00,L8,420.16,400.25,406.55
2013-06-29 22:07:21+00:00,L7,413.05,391.51,398.86
2013-07-07 22:13:48+00:00,L8,410.09,395.67,397.58
2013-07-15 22:07:11+00:00,L7,,,
2013-08-16 22:07:07+00:00,L7,,395.34,400.22
2013-09-17 22:07:29+00:00,L7,404.94,390.87,392.35
2013-10-11 22:13:41+00:00,L8,,,383.12
2013-10-19 22:07:51+00:00,L7,397.02,389.11,388.35
2013-10-27 22:13:31+00:00,L8,410.84,394.78,395.72
2013-11-12 22:13:32+00:00,L8,,396.40,402.07
2013-12-14 22:13:21+00:00,L8,410.05,394.78,398.02
2014-01-15 22:12:57+00:00,L8,392.70,376.10,366.93
2014-03-12 22:08:38+00:00,L7,,390.68,394.33
2014-03-20 22:12:13+00:00,L8,393.97,378.04,370.67
2014-04-05 22:11:58+00:00,L8,393.36,376.02,369.76
2014-05-15 22:09:08+00:00,L7,,391.05,392.36
2014-05-31 22:09:12+00:00,L7,,385.06,375.91
2014-06-16 22:09:12+00:00,L7,393.88,378.37,371.30
2014-07-02 22:09:19+00:00,L7,409.74,392.25,392.57
2014-07-26 22:11:43+00:00,L8,408.76,393.24,396.59
2014-08-11 22:11:51+00:00,L8,389.78,375.78,371.39
2014-10-06 22:09:44+00:00,L7,404.15,389.76,393.28
2014-10-14 22:12:02+00:00,L8,404.83,388.34,390.11
2014-10-22 22:09:53+00:00,L7,,,
2014-10-30 22:11:58+00:00,L8,,406.42,390.71
2014-12-01 22:12:00+00:00,L8,411.02,396.09,401.62
2014-12-09 22:10:12+00:00,L7,383.47,374.65,364.60
2015-01-10 22:10:23+00:00,L7,380.61,378.97,
2015-01-26 22:10:26+00:00,L7,,,372.31
2015-02-19 22:11:37+00:00,L8,,386.26,375.60
2015-02-27 22:10:40+00:00,L7,,,
2015-03-31 22:10:52+00:00,L7,,396.39,396.35
2015-04-24 22:11:08+00:00,L8,402.17,380.59,372.66
2015-05-02 22:11:08+00:00,L7,411.03,393.97,398.84
2015-05-10 22:10:52+00:00,L8,,388.89,386.45
2015-05-18 22:11:16+00:00,L7,,,
2015-06-11 22:11:04+00:00,L8,419.58,400.50,403.83
2015-07-05 22:11:30+00:00,L7,,386.11,387.80
2015-07-21 22:11:34+00:00,L7,404.43,390.91,391.10
2015-07-29 22:11:25+00:00,L8,417.96,407.37,401.63
2015-08-22 22:11:39+00:00,L7,406.97,395.00,396.97
2015-09-07 22:11:41+00:00,L7,405.20,393.35,392.35
2015-10-09 22:11:54+00:00,L7,409.03,395.01,399.90
2015-11-02 22:11:55+00:00,L8,400.89,387.11,382.13
2015-12-20 22:11:57+00:00,L8,,396.83,396.16
2015-12-28 22:13:09+00:00,L7,,,
2016-02-22 22:11:42+00:00,L8,401.22,383.99,373.87
2016-03-09 22:11:40+00:00,L8,,384.57,372.84
2016-03-25 22:11:32+00:00,L8,,378.33,370.07
2016-04-02 22:13:58+00:00,L7,,,400.96
2016-04-26 22:11:21+00:00,L8,,,
2016-05-12 22:11:20+00:00,L8,409.31,392.33,393.93
2016-05-20 22:14:14+00:00,L7,,390.24,391.92
2016-05-28 22:11:27+00:00,L8,362.61,,300.39
2016-06-13 22:11:30+00:00,L8,,,400.09
2016-06-29 22:11:39+00:00,L8,403.32,393.91,
2016-07-07 22:14:22+00:00,L7,,,
2016-07-23 22:14:24+00:00,L7,,,
2016-08-16 22:11:53+00:00,L8,411.04,397.12,402.96
2016-09-01 22:12:00+00:00,L8,408.67,390.12,391.49
2016-09-09 22:14:31+00:00,L7,,390.00,393.86
2016-10-19 22:12:09+00:00,L8,397.96,387.25,376.67
2016-11-20 22:12:09+00:00,L8,403.78,387.24,386.66
2016-12-14 22:14:15+00:00,L7,393.61,382.12,379.05
